ID_2_Da.Do,NAME_2,TAXONOMY,GEM_TAXONOMY,AFFECTED_UNITS,DAMAGED_UNITS,DS2_MODARATE_DAMAGED,DS3_EXTENSIVE,DS4_COMPLETE,COLLAPSED_UNITS,UNIT_TYPES,CAUSE_OF_DAMAGE,REFERENCE,COMMENTS
66006,AVEZZANO,,,,,0,2,0,,,Shaking,Da.Do,
66015,CAMPO DI GIOVE,,,,,0,4,0,,,Shaking,Da.Do,
68017,CUGNOLI,,,,,0,82,8,,,Shaking,Da.Do,
67010,CASTEL CASTAGNA,,,,,0,23,16,,,Shaking,Da.Do,
66038,COLLARMELE,,,,,0,53,1,,,Shaking,Da.Do,
66018,CANSANO,,,,,0,21,2,,,Shaking,Da.Do,
67045,TOSSICIA,,,,,0,59,43,,,Shaking,Da.Do,
67003,ARSITA,,,,,0,102,31,,,Shaking,Da.Do,
67018,COLLEDARA,,,,,0,115,21,,,Shaking,Da.Do,
68014,CIVITELLA CASANOVA,,,,,0,64,7,,,Shaking,Da.Do,
67022,CORTINO,,,,,0,22,9,,,Shaking,Da.Do,
67043,TORRICELLA SICURA,,,,,0,24,9,,,Shaking,Da.Do,
67046,VALLE CASTELLANA,,,,,0,10,10,,,Shaking,Da.Do,
67036,ROCCA SANTA MARIA,,,,,0,3,0,,,Shaking,Da.Do,
66076,PREZZA,,,,,0,10,2,,,Shaking,Da.Do,
66048,INTRODACQUA,,,,,0,22,1,,,Shaking,Da.Do,
66040,COLLEPIETRO,,,,,0,17,0,,,Shaking,Da.Do,
66024,CARAPELLE CALVISIO,,,,,0,51,0,,,Shaking,Da.Do,
66079,ROCCACASALE,,,,,0,22,0,,,Shaking,Da.Do,
69030,FARA FILIORUM PETRI,,,,,0,1,0,,,Shaking,Da.Do,
66059,OCRE,,,,,0,152,0,,,Shaking,Da.Do,
66065,OVINDOLI,,,,,0,37,0,,,Shaking,Da.Do,
66097,SECINARO,,,,,0,14,2,,,Shaking,Da.Do,
66064,ORTUCCHIO,,,,,0,2,0,,,Shaking,Da.Do,
66083,ROCCA PIA,,,,,0,3,0,,,Shaking,Da.Do,
67033,PENNA SANT'ANDREA,,,,,0,32,0,,,Shaking,Da.Do,
66080,ROCCA DI BOTTE,,,,,0,0,1,,,Shaking,Da.Do,
66033,CERCHIO,,,,,0,0,2,,,Shaking,Da.Do,
