ID_1,NAME_1,LATITUDE,LONGITUDE,TAXONOMY,GEM_TAXONOMY,AFFECTED_UNITS,DAMAGED_UNITS,COLLAPSED_UNITS,UNIT_TYPES,NO_DAMAGED_UNITS,DAMAGED_UNITS,COMPLETE_COLLAPSE_UNITS,D0_NO_DAMAGE,D1_NEGLIGIBLE_TO_SLIGHT_DAMAGE,D2_MODERATE_DAMAGE,D3_SUBSTANTIAL_TO_HEAVY_DAMAGE,D4_VERY_HEAVY_DAMAGE,D5_DESTRUCTION,DS1_SLIGHT,DS2_MODERATE,DS3_EXTENSIVE,DS4_COMPLETE,DS5_COLLAPSED,UNIT_TYPES_ORIGINAL,CAUSE_OF_DAMAGE,REFERENCE,COMMENTS
35533022B6259730729674,Fars,,,,,,267,,,9,267,1369,,,,,,,,,,1369,,Others,Ground shaking,Kuwata_et_al_2005,
35533022B31104615707077,Gilan,,,,,,0,,,0,0,643,,,,,,,,,,643,,Others,Ground shaking,Kuwata_et_al_2005,
35533022B55463835543913,Hormozgan,,,,,,61,,,3,61,1289,,,,,,,,,,1289,,Others,Ground shaking,Kuwata_et_al_2005,
35533022B37008061952406,Isfahan ,,,,,,40,,,0,40,317,,,,,,,,,,317,,Others,Ground shaking,Kuwata_et_al_2005,
35533022B811098048381,Khorasan,,,,,,73,,,48,73,791,,,,,,,,,,791,,Others,Ground shaking,Kuwata_et_al_2005,
35533022B43373017713126,Markazi,,,,,,25,,,1,25,1536,,,,,,,,,,1536,,Others,Ground shaking,Kuwata_et_al_2005,
35533022B10120991379702,Mazandaran,,,,,,557,,,14,557,563,,,,,,,,,,563,,Others,Ground shaking,Kuwata_et_al_2005,
35533022B57897798339025,Tehran,,,,,,54,,,0,54,1164,,,,,,,,,,1164,,Others,Ground shaking,Kuwata_et_al_2005,
35533022B93788791122013,Yazd,,,,,,313,,,8,313,999,,,,,,,,,,999,,Others,Ground shaking,Kuwata_et_al_2005,
35533022B91067707197140,Sistan and Baluchestan,,,,,,2536,,,5,2536,1838,,,,,,,,,,1838,,Others,Ground shaking,Kuwata_et_al_2005,
,Station_1,29.112,58.367,Adobe,ADO,,,,,,,,0,,,,,16,,,,,16,Buildings,Ground shaking,CEQID,
,Station_1,29.112,58.367,Simple masonry,M,,,,,,,,0,,,,,19,,,,,19,Buildings,Ground shaking,CEQID,
,Station_1,29.112,58.367,Masonry with steel frame,MCF+s,,,,,,,,0,,,,,2,,,,,2,Buildings,Ground shaking,CEQID,
,Station_2,29.106,58.358,Adobe,ADO,,,,,,,,0,0,0,0,3,91,0,0,0,3,91,Buildings,Ground shaking,CEQID,
,Station_2,29.106,58.358,Simple masonry,M,,,,,,,,0,3,9,8,20,33,3,9,8,20,33,Buildings,Ground shaking,CEQID,
,Station_2,29.106,58.358,Masonry with steel frame,MCF+s,,,,,,,,0,2,23,13,31,32,2,23,13,31,32,Buildings,Ground shaking,CEQID,
,Station_2,29.106,58.358,Masonry with RC frame,MCF,,,,,,,,0,0,1,0,0,0,0,1,0,0,0,Buildings,Ground shaking,CEQID,
,Station_2,29.106,58.358,Steel moment frame,S/LFM,,,,,,,,0,0,3,5,1,2,0,3,5,1,2,Buildings,Ground shaking,CEQID,
,Station_2,29.106,58.358,RC moment frame ,CR/LFM,,,,,,,,0,0,0,0,1,0,0,0,0,1,0,Buildings,Ground shaking,CEQID,
,Station_3,29.107,58.324,Adobe,ADO,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,Buildings,Ground shaking,CEQID,
,Station_3,29.107,58.324,Simple masonry,M,,,,,,,,0,8,33,26,12,3,8,33,26,12,3,Buildings,Ground shaking,CEQID,
,Station_3,29.107,58.324,Masonry with steel frame,MCF+s,,,,,,,,0,1,7,1,2,0,1,7,1,2,0,Buildings,Ground shaking,CEQID,
,Station_3,29.107,58.324,Masonry with RC frame,MCF,,,,,,,,0,1,0,2,0,0,1,0,2,0,0,Buildings,Ground shaking,CEQID,
,Station_3,29.107,58.324,Steel moment frame,S/LFM,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,Buildings,Ground shaking,CEQID,
,Station_3,29.107,58.324,RC moment frame ,CR/LFM,,,,,,,,0,0,1,0,0,0,0,1,0,0,0,Buildings,Ground shaking,CEQID,
,Station_4,29.108,58.343,Adobe,ADO,,,,,,,,0,0,0,0,0,14,0,0,0,0,14,Buildings,Ground shaking,CEQID,
,Station_4,29.108,58.343,Simple masonry,M,,,,,,,,0,0,7,5,7,12,0,7,5,7,12,Buildings,Ground shaking,CEQID,
,Station_4,29.108,58.343,Masonry with steel frame,MCF+s,,,,,,,,0,0,0,5,0,2,0,0,5,0,2,Buildings,Ground shaking,CEQID,
,Station_4,29.108,58.343,Masonry with RC frame,MCF,,,,,,,,0,0,1,0,0,0,0,1,0,0,0,Buildings,Ground shaking,CEQID,
,Station_4,29.108,58.343,Steel moment frame,S/LFM,,,,,,,,0,0,0,1,0,0,0,0,1,0,0,Buildings,Ground shaking,CEQID,
,Station_4,29.108,58.343,RC moment frame ,CR/LFM,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,Buildings,Ground shaking,CEQID,
,Station_5,29.098,58.374,Adobe,ADO,,,,,,,,0,0,0,0,1,8,0,0,0,1,8,Buildings,Ground shaking,CEQID,
,Station_5,29.098,58.374,Simple masonry,M,,,,,,,,0,1,10,6,2,31,1,10,6,2,31,Buildings,Ground shaking,CEQID,
,Station_5,29.098,58.374,Masonry with steel frame,MCF+s,,,,,,,,0,0,3,2,2,9,0,3,2,2,9,Buildings,Ground shaking,CEQID,
,Station_5,29.098,58.374,Masonry with RC frame,MCF,,,,,,,,0,0,0,0,0,1,0,0,0,0,1,Buildings,Ground shaking,CEQID,
,Station_5,29.098,58.374,Steel moment frame,S/LFM,,,,,,,,0,0,0,1,0,2,0,0,1,0,2,Buildings,Ground shaking,CEQID,
,Station_5,29.098,58.374,RC moment frame ,CR/LFM,,,,,,,,0,0,1,0,0,0,0,1,0,0,0,Buildings,Ground shaking,CEQID,
,Station_6,29.08,58.353,Adobe,ADO,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,Buildings,Ground shaking,CEQID,
,Station_6,29.08,58.353,Simple masonry,M,,,,,,,,0,2,7,13,12,14,2,7,13,12,14,Buildings,Ground shaking,CEQID,
,Station_6,29.08,58.353,Masonry with steel frame,MCF+s,,,,,,,,0,0,1,2,1,1,0,1,2,1,1,Buildings,Ground shaking,CEQID,
,Station_6,29.08,58.353,Masonry with RC frame,MCF,,,,,,,,0,0,2,3,6,1,0,2,3,6,1,Buildings,Ground shaking,CEQID,
,Station_6,29.08,58.353,Steel moment frame,S/LFM,,,,,,,,0,1,5,0,0,0,1,5,0,0,0,Buildings,Ground shaking,CEQID,
,Station_6,29.08,58.353,RC moment frame ,CR/LFM,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,Buildings,Ground shaking,CEQID,
,Station_7,29.095,58.355,Adobe,ADO,,,,,,,,0,0,0,0,3,21,0,0,0,3,21,Buildings,Ground shaking,CEQID,
,Station_7,29.095,58.355,Simple masonry,M,,,,,,,,0,1,1,15,10,6,1,1,15,10,6,Buildings,Ground shaking,CEQID,
,Station_7,29.095,58.355,Masonry with steel frame,MCF+s,,,,,,,,0,0,11,16,2,0,0,11,16,2,0,Buildings,Ground shaking,CEQID,
,Station_7,29.095,58.355,Masonry with RC frame,MCF,,,,,,,,0,0,1,0,0,0,0,1,0,0,0,Buildings,Ground shaking,CEQID,
,Station_7,29.095,58.355,Steel moment frame,S/LFM,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,Buildings,Ground shaking,CEQID,
,Station_7,29.095,58.355,RC moment frame ,CR/LFM,,,,,,,,0,0,1,0,0,0,0,1,0,0,0,Buildings,Ground shaking,CEQID,
,Station_8,29.07,58.404,Adobe,ADO,,,,,,,,0,0,1,1,4,6,0,1,1,4,6,Buildings,Ground shaking,CEQID,
,Station_8,29.07,58.404,Simple masonry,M,,,,,,,,0,1,5,16,27,44,1,5,16,27,44,Buildings,Ground shaking,CEQID,
,Station_8,29.07,58.404,Masonry with steel frame,MCF+s,,,,,,,,0,1,0,3,1,0,1,0,3,1,0,Buildings,Ground shaking,CEQID,
,Station_8,29.07,58.404,Masonry with RC frame,MCF,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,Buildings,Ground shaking,CEQID,
,Station_8,29.07,58.404,Steel moment frame,S/LFM,,,,,,,,0,0,1,0,0,0,0,1,0,0,0,Buildings,Ground shaking,CEQID,
,Station_8,29.07,58.404,RC moment frame ,CR/LFM,,,,,,,,0,0,1,0,0,0,0,1,0,0,0,Buildings,Ground shaking,CEQID,
