EVENT,ID_0,NAME_0,FATALITIES,FATALITIES_GROUND_SHAKING,INJURIES,DISPLACED_POPULATION,AFFECTED_POPULATION,AFFECTED_UNITS,DAMAGED_UNITS,COLLAPSED_UNITS,UNIT_TYPES,ECONOMIC_LOSSES,INSURED_LOSSES,CURRENCY,INDUCED_EFFECTS,FLAG,REFERENCE,COMMENTS,INJURIES_SEVERE,INJURIES_GRAVELY,HOMELESS,DS5_COLLAPSE,INJURIES_LIGHT,INJURIES_CRITICAL,HOMELESS.1,SHELTERED,DS1_SLIGHT,DS2_MODERATE,DS3_EXTENSIVE,DS4_COMPLETE,TAXONOMY,GEM_TAXONOMY,OCCUPANCY,INJURIES_SERIOUSLY,EXTREMA_GRAVEDAD,DAMAGED_OR_DESTROYED_UNITS,EVACUATED,ECONOMIC_LOSSES_RES,RECONSTRUCTION_COST,DAMAGED_NOT_DESTROYED,MISSING,DESTROYED_UNITS,PARTIAL_DESTROY_UNITS,SLIGHT_DAMAGE,INJURIES_SLIGHT,INJURIES_SERIOUS,DAMAGED_SCHOOLS,RECOVERY_AND_RECONSTRUCTION_COSTS,MINOR_INJURIES,HOSPITALIZED,LOSSES,RECOVERY_AND_RECONSTRUCTION_COST,SLIGHTLY_INJURED,DESTROYED_OR_DAMAGED_BEYOND_REPAIR,HOMELESS_POPULATION,HOMELESS_PEOPLE,FATALITIES_AVALANCHE,lightly_injured,seriously_injured,ECONOMIC_RES_DAMAGES,DAMAGED_OR_DESTROYED,RECONSTRUCTION_COSTS,DAMAGED_SEVERELY,OCCUPANCY.1,BUILDINGS_DAMAGED_LOWER30%,BUILDINGS_DAMAGED_30%_TO_60%,BUILDINGS_DAMAGED_ABOVE60%,BUILDINGS_DAMAGE_OR_DESTROYED,DAMAGED_TOTALLY,DAMAGED_PARTIALLY,DEMOLISHED_UNITS,LIGHT_INJURY,BAD_INJURY,INJURIES_LIGHT ,INJURIES_SEVERE ,LIGHT,MODERATE,HEAVY,DS1_SLIGHT ,DS2_MODERATE ,SEVERELY_INJURED,DESTROYED_HOUSES,SLIGHTLY_DAMAGED,MODERATELY_DAMAGED,SEVERELY_DAMAGED
19890310_M6.2_Salima,MWI,Malawi,9,,100,,,,,,,28000000.0,,USD,,,NOAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20091219_M6.0_Karonga,MWI,Malawi,3,3,250,,,,3565,1111,houses,,,,,,NOAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20040224_M6.3_AlHoceima,MAR,Morocco,628,628,926,,,,,2539.0,Buildings,400000000.0,,USD,,,NOAA,BUILDINGS_COLLAPSED from houses destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20040224_M6.3_AlHoceima,MAR,Morocco,628,628,926,12539.0,13465.0,,,,,400000000.0,,USD,,,EM-DAT,Adjusted total damages are 573835000 USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20040224_M6.3_AlHoceima,MAR,Morocco,628,628,926,15000.0,,,,2539.0,Buildings,,,,Landslides,,USGS,BUILDINGS_COLLAPSED from houses destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230908_M6.9_MarrakeshSafi,MAR,Morocco,2946,2946.0,5674,,,,40578.0,19096.0,,,,,,,NOAA,COLLAPSED_UNITS come from NOAA's reported number of houses destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230908_M6.9_MarrakeshSafi,MAR,Morocco,2497,,2476,,2000000.0,,,,,,,,,,EM-DAT,INJURIES seem to be incorrectly identical to the FATALITIES in this reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20160910_M5.9_Bukoba,TZA,Tanzania,17.0,17.0,440.0,,139161.0,,,,,458000000.0,,USD,,,EM-DAT,Total adjusted damages are 517085000 USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20160910_M5.9_Bukoba,UGA,Uganda,4.0,4.0,,590.0,,,,,,,,,,,EM-DAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20160910_M5.9_Bukoba,TZA,Tanzania,23.0,23.0,252.0,,,,6281.0,1172.0,Buildings,458000000.0,,USD,,,NOAA,Impact values appear to include Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20160910_M5.9_Bukoba,TZA,Tanzania,19.0,19.0,253.0,,,,1264.0,840.0,Buildings,,,,,,USGS,"""Several thousand displaced""; damage reports from Bukoba",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20160910_M5.9_Bukoba,UGA,Uganda,4.0,4.0,7.0,,,,,118.0,Buildings,,,,,,USGS,Damage reports from Rakai and Minziro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20160910_M5.9_Bukoba,TZA,Tanzania,17.0,17.0,252.0,,,,1250.0,840.0,Buildings,,,,,,AP/Tanzania PM,https://web.archive.org/web/20160914161327/http://www.therepublic.com/2016/09/13/af-tanzania-earthquake-2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20160910_M5.9_Bukoba,TZA,Tanzania,,,,,,,,7500.0,Buildings,,,,,,ReliefWeb,https://reliefweb.int/disaster/eq-2016-000098-tza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20160910_M5.9_Bukoba,UGA,Uganda,,,,,1170.0,,,,,,,,,,ReliefWeb,https://reliefweb.int/disaster/eq-2016-000098-tza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20160910_M5.9_Bukoba,TZA,Tanzania,20.0,20.0,269.0,,,,1125.0,905.0,Buildings,,,,,,Tanzanian Red Cross,https://reliefweb.int/report/united-republic-tanzania/tanzania-earthquake-emergency-plan-action-update-epoa-n-mdrtz020-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20160910_M5.9_Bukoba,TZA,Tanzania,20.0,20.0,269.0,,,,2029.0,270.0,Buildings,,,,,,Tanzanian Red Cross,https://m.reliefweb.int/disaster/36681/eq-2016-000098-tza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20160910_M5.9_Bukoba,TZA,Tanzania,,,,10000.0,,,,,,,,,,,IDMC,https://www.internal-displacement.org/database/displacement-data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19910422_M7.6_Limon,CRI,Costa Rica,47,47,199,,6320.0,,,,Buildings,,,,Tsunami,,EM-DAT,,,,3900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19910422_M7.6_Limon,CRI,Costa Rica,90,87,895,,,,,,Buildings,510000000.0,,USD,Tsunami,,NOAA,3 death because of Tsunami.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19910422_M7.6_Limon,CRI,Costa Rica,47,47,109,,,,,,Buildings,43000000.0,,USD,"Tsunami, landslides",,USGS,"28 people were killed, 454 were injured, 2,400 were homeless, and 866 buildings were destroyed (VII-VIII) in the Guabito-Almirante-Bocas del Toro area, Panama.",,,7439.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19910422_M7.6_Limon,CRI,Costa Rica,47-127,47-127,109-759,7439-10900,,,,4452.0,Buildings,21991900000.0,,CRC,Tsunami,,Wikipedia,There were 79 dead and 1061 injured in Panamá.,,,,4452.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19910422_M7.6_Limon,CRI,Costa Rica,75,75,563,,,,,,Buildings,,,,Tsunami,,UTSU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19910422_M7.6_Limon,CRI,Costa Rica,87,87,,,,,,,Buildings,,,,,,Worlddata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19910422_M7.6_Limon,CRI,Costa Rica,52,52,600,,,,,,Buildings,,,,,,Learnig_From_Earthqauke,,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19910422_M7.6_Limon,CRI,Costa Rica,48,48,651,,,,7869.0,4452.0,Buildings,21991900000.0,,CRC,"Tsunami, landslides, liquefaction",,LIS,www.lis.ucr.ac.cr. There were 79 dead and 1061 injured in Panamá.,651.0,651.0,,4452.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20090108_M6.1_Cinchona,CRI,Costa Rica,40,,100.0,,,,518.0,,Buildings,,,,,,USGS,Many of the casualties were caused by landslides. ,,,,,,,,,,,,,,,,,,518.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20090108_M6.1_Cinchona,CRI,Costa Rica,40,,100.0,,128527.0,,,518.0,Buildings,,,,,,NOAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20090108_M6.1_Cinchona,CRI,Costa Rica,31,,91.0,,,,,,,200000000.0,100000000.0,USD,,,EM-DAT,"Geo Locations: Alajuela, Alfaro Ruiz, Barva, Grecia, Heredia, Poas, Santa Barbara, Sarapiqui, Valverde Vega (Adm2).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20090108_M6.1_Cinchona,CRI,Costa Rica,23,,100.0,,,,,,,,,,,,UTSU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20090108_M6.1_Cinchona,CRI,Costa Rica,47-98,,91.0,1244.0,,,,,,,,,,,Wikipedia,,91.0,,,,,,,,,,,,,,,,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20090108_M6.1_Cinchona,CRI,Costa Rica,23,,,,,,,,,,,,,,Worlddata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20090108_M6.1_Cinchona,CRI,Costa Rica,40,,91.0,2326.0,,,267.0,251.0,Dwellings (Single-Family),100000000.0,,USD,,,Learnig_From_Earthqauke,Losses estimated in US$ 100 million in an area that covers 180 square km.,91.0,,,,,,,,,,,,,,,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20090108_M6.1_Cinchona,CRI,Costa Rica,27,,,,,,,,,,,,,,Damage_Cinchona_RSN_ICE_UCR,National Seismological Network (ucr.ac.cr) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20120905_M7.6_Nicoya,CRI,Costa Rica,2,,20,,,,,,,,,,Tsunami,,NOAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20120905_M7.6_Nicoya,CRI,Costa Rica,2,1.0,>20,,,,,,,,,,"Tsunami, landslides ",,USGS,One died of a heart attack.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20120905_M7.6_Nicoya,CRI,Costa Rica,2,,225,,537.0,,,,,45000000.0,32000000.0,USD,Tsunami,,EM-DAT,"Geo Locations: Abangares, Acosta, Aguirre, Alajuela, Alfaro Ruiz, Atenas, Carrillo, Garabito, Grecia, Hojancha, Liberia, Limon, Nandayure, Naranjo, Nicoya, Poas, Puntarenas, Puriscal, San Carlos, San Jose, San Ramon, Santa Cruz, Upala, Valverde Vega (Adm2).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20120905_M7.6_Nicoya,CRI,Costa Rica,1,,20,,,,,,,,,,Tsunami,,UTSU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20120905_M7.6_Nicoya,CRI,Costa Rica,2,,,,,,,,,,,,,,Worlddata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20120905_M7.6_Nicoya,CRI,Costa Rica,2,,78,,,,,,,22360000000.0,,CRC,Tsunami,,Wikipedia,,,,,,,,,,,,,,,,,,,,1474.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20171113_M6.5_Puntarenas,CRI,Costa_Rica,2,2,,,,,,,,,,,,,NOAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20171113_M6.5_Puntarenas,CRI,Costa_Rica,0,0,0.0,,,,,,,,,,,,UTSU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20171113_M6.5_Puntarenas,CRI,Costa_Rica,3,3,,,,,,,,,,,,,USGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20171113_M6.5_Puntarenas,CRI,Costa_Rica,3,3,,,,,,,,,,,,,Wikipedia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20010113_M7.7_Subduction,SLV,El Salvador,844,844,4723,,1329806.0,,,,,1500000000.0,290000000.0,USD,Landslides,,EM_DAT,"Geo Locations: Ahuachapan, Cabanas, Chalatenango, La Liberta,  La Paz, La Unio, Moraza, San Miguel, San Salvador, San Vicent, Santa Ana, Sonsonate, Usulutan (Adm1).  ECONOMIC_LOSSES indicates direct and indirect economic loss.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20010113_M7.7_Subduction,SLV,El Salvador,844,844,4723,,,,169632,108226,Buildings,753000000.0,,USD,"Landslides, Tsunami",,NOAA,BUILDINGS_COLLAPSED refers to homes. ECONOMIC_LOSSES indicates direct economic loss.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20010113_M7.7_Subduction,SLV,El Salvador,844,844,4723,,,,150000,108226,Buildings,,,,Landslides,,USGS,About 585 of the deaths were caused by large landslides in Nueva San Salvador and Comasagua. BUILDINGS_COLLAPSED refers to homes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20010113_M7.7_Subduction,SLV,El Salvador,944,944,5565,68777.0,1364160.0,,150000-277953,108261,Buildings,1255400000.0,,USD,,,Wikipedia,BUILDINGS_COLLAPSED refers to homes. ECONOMIC_LOSSES indicates direct and indirect economic loss.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20010113_M7.7_Subduction,SLV,El Salvador,844,844,4723,,1329806.0,,169632,108226,Buildings,1255400000.0,,USD,,,Reliefweb,BUILDINGS_COLLAPSED refers to homes. ECONOMIC_LOSSES indicates direct and indirect economic loss.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20010113_M7.7_Subduction,SLV,El Salvador,944,944,,,,,,,,,,,,,Vallee_et_al_2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20010113_M7.7_Subduction,SLV,El Salvador,944,944,,,,,,108671,Dwellings,,,,,,MARN,"Damage includes 1155 public buildings damaged, 108,261 homes destroyed, 19 hospitals damaged, 405 churches damaged, 445 collapses",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20010113_M7.7_Subduction,SLV,El Salvador,800,800,,,,,,,,1280000000.0,,USD,,,Learning_from_Earthquakes,ECONOMIC_LOSSES indicates direct and indirect economic loss.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20010113_M7.7_Subduction,SLV,El Salvador,844,844,4723,,1329806.0,,,,,1255400000.0,,USD,,,Guevara_et_al_2005,ECONOMIC_LOSSES indicates direct and indirect economic loss.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20010113_M7.7_Subduction,SLV,El Salvador,,,5645,,,,,108261,Buildings,,,,,,Diario_ElSalvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20010113_M7.7_Subduction,SLV,El Salvador,683,683,3440,,,,84682,38628,Buildings,,,,,,AUST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20010113_M7.7_Subduction,SLV,El Salvador,844,844,4723,,,,,,,,,,,,Keppler_et_al_2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20010113_M7.7_Subduction,SLV,El Salvador,1500,1500,,,1500000.0,,,,,2000000000.0,,USD,,,SWI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20010113_M7.7_Subduction,SLV,El Salvador,704-844,704-844,4055-4723,45857.0,,,105618,70401-75000,Buildings,,,,,,Yushimura_et_al_2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20010113_M7.7_Subduction,SLV,El Salvador,943,943,5264,81486.0,1692942.0,,157053,102684,Buildings,,,,,,Desinventar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20010113_M7.7_Subduction,SLV,El Salvador,944,944,5565,68777.0,1364160.0,,172046,108261,Buildings,,,,,,ProteccionCivil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20010113_M7.7_Subduction,SLV,El Salvador,827,827,4520,,1160316.0,222773.0,130005,92768,Buildings,1255500000.0,,USD,,,CEPAL,ECONOMIC_LOSSES indicates direct and indirect economic loss.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20010213_M6.6_SanVicente,SLV ,El Salvador ,315,315,3399.0,,275013,,17084.0,44750.0,Buildings,,,,,,ProteccionCivil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20010213_M6.6_SanVicente,SLV ,El Salvador ,315,315,3399.0,,256021,,,,,348500000.0,,USD,,,EM_DAT ,"Geo Locations: Cuscatlan, La Libertad, La Paz, Morazan, San Salvador, San Vicente (Adm1).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20010213_M6.6_SanVicente,SLV ,El Salvador ,315,315,3399.0,,,,,41302.0,Buildings,348500000.0,,USD,Landslides,,NOAA ,BUILDINGS_DAMAGED and BUILDINGS_COLLAPSED refer to homes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20010213_M6.6_SanVicente,SLV ,El Salvador ,315,315,3399.0,,,,,,,,,,Landslides,,USGS ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20010213_M6.6_SanVicente,SLV ,El Salvador ,315,315,3399.0,,252622-275013,,17084.0,57242.0,Buildings,,,,Landslides,,Wikipedia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20010213_M6.6_SanVicente,SLV ,El Salvador ,315,315,3399.0,,252622,,15706.0,41302.0,Buildings,,,,,,Reliefweb ,BUILDINGS_DAMAGED and BUILDINGS_COLLAPSED refer to homes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20010213_M6.6_SanVicente,SLV ,El Salvador ,286,286,2969.0,,279753,,14339.0,35196.0,Buildings,,,,,,Desinventar,AFFECTED_POPULATION consists of directly and indirectly affected populations. BUILDINGS_DAMAGED and BUILDINGS_COLLAPSED refer to homes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
