ID_1,NAME_1,ID_2,NAME_2,FATALITIES,FATALITIES_GROUND_SHAKING,INJURIES,INJURIES_LIGHT,INJURIES_SEVERE,INJURIES_CRITICAL,HOMELESS,SHELTERED,DISPLACED_POPULATION,AFFECTED_POPULATION,CAUSE_OF_INJURY/DEATH,REFERENCE,COMMENTS
14,Kanagawa ,39,Kanagawa-ku,4,,131,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
8,Ibaraki ,43,Kashima City,1,,0,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
12,Chiba ,30,Kashiwa City,1,,22,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
7,Fukushima ,51,Katsurao-mura,7,,0,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
14,Kanagawa ,20,Kawasaki-ku,1,,17,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
4,Miyagi ,28,Kesennuma City,1406,,,,,,,,,,,The Economist,https://www.economist.com/asia/2011/03/24/survivors-of-japans-tsunami-struggle-to-pick-up-the-pieces
8,Ibaraki ,9,Kitaibaraki City,0,,0,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
7,Fukushima ,54,Koriyama City,1,,4,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
13,Tokyo,41,Koto-ku,2,,0,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
3,Iwate ,3,Kuji City,4,,0,,,,,,,,,The Great East Japan earthquake and tsunami records of Miyako city.,https://iwate-archive.pref.iwate.jp/wp/wp-content/uploads/2017/02/records_of_miyako_city.pdf
13,Tokyo,47,Machida City,2,,15,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
4,Miyagi ,24,Matsushima City,2,,0,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
7,Fukushima ,3,Miharu-machi,1,,2,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
4,Miyagi ,7,Minamisanriku-cho,901,,,,,,,,,,,CNN,http://edition.cnn.com/2011/WORLD/asiapcf/03/12/japan.quake/
7,Fukushima ,13,Minamisoma City,663,,0,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
2,Aomori ,6,Misawa City,2,,1,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
8,Ibaraki ,26,Mito City,2,,83,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
3,Iwate ,12,Miyako City,541,,0,,,,,,,,,The Great East Japan earthquake and tsunami records of Miyako city.,https://iwate-archive.pref.iwate.jp/wp/wp-content/uploads/2017/02/records_of_miyako_city.pdf
8,Ibaraki ,38,Namegata City,2,,5,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
7,Fukushima ,39,Namie-machi,184,,0,,,,,,,,,Japan Times,https://www.japantimes.co.jp/cgi-bin/nn20110314a3.html
7,Fukushima ,35,Naraha-machi,13,,0,,,,,,,,,IAEA,https://www.iaea.org/newscenter/news/fukushima-nuclear-accident-update-log-49
12,Chiba ,42,Narashino City,1,,6,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
9,Tochigi ,21,Nasukarasuyama City,2,,7,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
4,Miyagi ,8,Natori City,982,,0,,,,,,,,,City of Natori,https://web.archive.org/web/20110322192812/http://www.city.natori.miyagi.jp/en/english4.html
9,Tochigi ,11,Nikko City,1,,4,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
7,Fukushima ,53,Nishigo-mura,3,,4,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
12,Chiba ,50,Noda City,1,,5,,,,,,,,,The Great East Japan earthquake and tsunami records of Miyako city.,https://iwate-archive.pref.iwate.jp/wp/wp-content/uploads/2017/02/records_of_miyako_city.pdf
3,Iwate ,29,Noda-mura,38,,0,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
8,Ibaraki ,17,Oarai-machi,25,,706,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
6,Yamagata ,11,Obanazawa City,24,,4,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
3,Iwate ,10,Ofunato City,446,,,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
7,Fukushima ,20,Okuma-machi,85,,,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
4,Miyagi ,17,Onagawa-cho,914,,,,,,,,,,,Japan Times,https://www.japantimes.co.jp/cgi-bin/fl20110327rp.html
4,Miyagi ,12,Osaki City,5,,222,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
4,Miyagi ,15,Osato-cho,1,,6,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
3,Iwate ,9,Otsuchi-cho,1378,,,,,,,,,,,The Great East Japan earthquake and tsunami records of Miyako city.,https://iwate-archive.pref.iwate.jp/wp/wp-content/uploads/2017/02/records_of_miyako_city.pdf
4,Miyagi ,5,Rifu-cho,46,,0,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
3,Iwate ,32,Rikuzentakata City,1939,,0,,,,,,,,,The Great East Japan earthquake and tsunami records of Miyako city.,https://iwate-archive.pref.iwate.jp/wp/wp-content/uploads/2017/02/records_of_miyako_city.pdf
8,Ibaraki ,44,Ryugasaki City,1,,5,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
12,Chiba ,19,Sanmu City,1,,2,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
4,Miyagi ,,Sendai,730,,,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
4,Miyagi ,26,Shibata-machi,2,,4,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
4,Miyagi ,2,Shichigahama-machi,75,,,,,,,,,,,Kahoku Shimpo news report,https://web.archive.org/web/20110317004120/http://www.kahoku.co.jp/news/2011/03/20110314t13052.htm
8,Ibaraki ,5,Shimotsuma,1,,0,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
7,Fukushima ,29,Shinchi-machi,110,,0,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
4,Miyagi ,9,Shiogama City,21,,0,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
7,Fukushima ,44,Shirakawa City,12,,3,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
12,Chiba ,36,Shirako-maki,1,,0,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
4,Miyagi ,32,Shiroishi City,1,,18,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
7,Fukushima ,45,Soma City,459,,0,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
7,Fukushima ,57,Sukagawa City,11,,1,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
4,Miyagi ,10,Tagajo City,189,,,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
13,Tokyo,17,Tama City,1,,0,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
7,Fukushima ,43,Tamura City,1,,5,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
3,Iwate ,10,Tanohata-mura,30,,0,,,,,,,,,The Great East Japan earthquake and tsunami records of Miyako city.,https://iwate-archive.pref.iwate.jp/wp/wp-content/uploads/2017/02/records_of_miyako_city.pdf
8,Ibaraki ,42,Takahagi City,1,,19,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
10,Gunma ,33,Tatebayashi City,1,,1,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
8,Ibaraki ,24,Tokai-mura,4,,5,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
13,Tokyo,,Tokyo,7,,90,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
7,Fukushima ,23,Tomioka-machi,25,,0,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
12,Chiba ,27,Tonosho,1,,4,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
8,Ibaraki ,2,Tsukuba City,1,,13,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
8,Ibaraki ,29,Ushiku City,1,,6,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
4,Miyagi ,30,Wakuya-cho,3,,47,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
4,Miyagi ,4,Watari-cho,270,,0,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
12,Chiba ,,Yachiyo,1,,3,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
3,Iwate ,13,Yamada-machi,815,,,,,,,,,,,The Great East Japan earthquake and tsunami records of Miyako city.,https://iwate-archive.pref.iwate.jp/wp/wp-content/uploads/2017/02/records_of_miyako_city.pdf
6,Yamagata ,12,Yamagata City,2,,9,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
4,Miyagi ,20,Yamamoto-cho,690,,0,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
14,Kanagawa ,,Yokohama,2,,76,,,,,,,,,Wikipedia ENG,https://en.wikipedia.org/wiki/List_of_cities_and_towns_severely_damaged_by_the_2011_Tōhoku_earthquake_and_tsunami
2,Aomori,12,Hachinohe City,2,,17,,,,,,,,,Fire and Disaster Management Agency (FDMA) + Nishiyama_et_al_2011,
2,Aomori,35,Hashikami-cho,0,,0,,,,,,,,,Fire and Disaster Management Agency (FDMA) + Nishiyama_et_al_2012,
3,Iwate,18,Hirono-cho,0,,0,,,,,,,,,Fire and Disaster Management Agency (FDMA) + Nishiyama_et_al_2013,
3,Iwate,3,Kuji City,4,,8,,,,,,,,,Fire and Disaster Management Agency (FDMA) + Nishiyama_et_al_2014,
3,Iwate,29,Noda-mura,38,,17,,,,,,,,,Fire and Disaster Management Agency (FDMA) + Nishiyama_et_al_2015,
3,Iwate,,Hudai,1,,1,,,,,,,,,Fire and Disaster Management Agency (FDMA) + Nishiyama_et_al_2016,
3,Iwate,20,Tanohata-mura,33,,8,,,,,,,,,Fire and Disaster Management Agency (FDMA) + Nishiyama_et_al_2017,
3,Iwate,12,Miyako City,544,,33,,,,,,,,,Fire and Disaster Management Agency (FDMA) + Nishiyama_et_al_2018,
3,Iwate,13,Yamada-machi,853,,,,,,,,,,,Fire and Disaster Management Agency (FDMA) + Nishiyama_et_al_2019,
3,Iwate,9,Otsuchi-cho,1449,,,,,,,,,,,Fire and Disaster Management Agency (FDMA) + Nishiyama_et_al_2020,
3,Iwate,31,Kamaishi City,1180,,,,,,,,,,,Fire and Disaster Management Agency (FDMA) + Nishiyama_et_al_2021,
3,Iwate,10,Ofunato City,449,,,,,,,,,,,Fire and Disaster Management Agency (FDMA) + Nishiyama_et_al_2022,
3,Iwate,32,Rikuzentakata City,2115,,,,,,,,,,,Fire and Disaster Management Agency (FDMA) + Nishiyama_et_al_2023,
4,Miyagi,28,Kesennuma City,1414,,,,,,,,,,,Fire and Disaster Management Agency (FDMA) + Nishiyama_et_al_2024,
4,Miyagi,7,Minamisanriku-cho,987,,,,,,,,,,,Fire and Disaster Management Agency (FDMA) + Nishiyama_et_al_2025,
4,Miyagi,17,Onagawa-cho,949,,2,,,,,,,,,Fire and Disaster Management Agency (FDMA) + Nishiyama_et_al_2026,
4,Miyagi,33,Ishinomaki City,4043,,,,,,,,,,,Fire and Disaster Management Agency (FDMA) + Nishiyama_et_al_2027,
4,Miyagi,24,Higashimatsushima City,1148,,,,,,,,,,,Fire and Disaster Management Agency (FDMA) + Nishiyama_et_al_2028,
4,Miyagi,24,Matsushima City,2,,37,,,,,,,,,Fire and Disaster Management Agency (FDMA) + Nishiyama_et_al_2029,
4,Miyagi,5,Rifu-cho,2,,1,,,,,,,,,Fire and Disaster Management Agency (FDMA) + Nishiyama_et_al_2030,
4,Miyagi,9,Shiogama City,21,,10,,,,,,,,,Fire and Disaster Management Agency (FDMA) + Nishiyama_et_al_2031,
4,Miyagi,2,Shichigahama-machi,72,,,,,,,,,,,Fire and Disaster Management Agency (FDMA) + Nishiyama_et_al_2032,
4,Miyagi,10,Tagajo City,191,,,,,,,,,,,Fire and Disaster Management Agency (FDMA) + Nishiyama_et_al_2033,
4,Miyagi,,Sendai,737,,2276,,,,,,,,,Fire and Disaster Management Agency (FDMA) + Nishiyama_et_al_2034,
4,Miyagi,8,Natori City,993,,,,,,,,,,,Fire and Disaster Management Agency (FDMA) + Nishiyama_et_al_2035,
4,Miyagi,21,Iwanuma City,184,,293,,,,,,,,,Fire and Disaster Management Agency (FDMA) + Nishiyama_et_al_2036,
4,Miyagi,4,Watari-cho,261,,44,,,,,,,,,Fire and Disaster Management Agency (FDMA) + Nishiyama_et_al_2037,
4,Miyagi,20,Yamamoto-cho,693,,90,,,,,,,,,Fire and Disaster Management Agency (FDMA) + Nishiyama_et_al_2038,
7,Fukushima,29,Shinchi-machi,110,,3,,,,,,,,,Fire and Disaster Management Agency (FDMA) + Nishiyama_et_al_2039,
7,Fukushima,45,Soma City,459,,71,,,,,,,,,Fire and Disaster Management Agency (FDMA) + Nishiyama_et_al_2040,
7,Fukushima,13,Minamisoma City,671,,59,,,,,,,,,Fire and Disaster Management Agency (FDMA) + Nishiyama_et_al_2041,
7,Fukushima,39,Namie-machi,184,,0,,,,,,,,,Fire and Disaster Management Agency (FDMA) + Nishiyama_et_al_2042,
7,Fukushima,14,Futaba-machi,35,,1,,,,,,,,,Fire and Disaster Management Agency (FDMA) + Nishiyama_et_al_2043,
7,Fukushima,20,Okuma-machi,74,,0,,,,,,,,,Fire and Disaster Management Agency (FDMA) + Nishiyama_et_al_2044,
7,Fukushima,23,Tomioka-machi,25,,0,,,,,,,,,Fire and Disaster Management Agency (FDMA) + Nishiyama_et_al_2045,
7,Fukushima,35,Naraha-machi,13,,5,,,,,,,,,Fire and Disaster Management Agency (FDMA) + Nishiyama_et_al_2046,
7,Fukushima,28,Hirono-machi,3,,0,,,,,,,,,Fire and Disaster Management Agency (FDMA) + Nishiyama_et_al_2047,
7,Fukushima,1,Iwaki City,347,,4,,,,,,,,,Fire and Disaster Management Agency (FDMA) + Nishiyama_et_al_2048,
8,Ibaraki,9,Kitaibaraki City,6,,188,,,,,,,,,Fire and Disaster Management Agency (FDMA) + Nishiyama_et_al_2049,
8,Ibaraki,42,Takahagi City,1,,19,,,,,,,,,Fire and Disaster Management Agency (FDMA) + Nishiyama_et_al_2050,
8,Ibaraki,23,Hitachi City,0,,166,,,,,,,,,Fire and Disaster Management Agency (FDMA) + Nishiyama_et_al_2051,
8,Ibaraki,24,Tokai-mura,4,,5,,,,,,,,,Fire and Disaster Management Agency (FDMA) + Nishiyama_et_al_2052,
8,Ibaraki,4,Hitachinaka City,2,,27,,,,,,,,,Fire and Disaster Management Agency (FDMA) + Nishiyama_et_al_2053,
8,Ibaraki,17,Oarai-machi,1,,6,,,,,,,,,Fire and Disaster Management Agency (FDMA) + Nishiyama_et_al_2054,
8,Ibaraki,40,Hokota City,0,,15,,,,,,,,,Fire and Disaster Management Agency (FDMA) + Nishiyama_et_al_2055,
8,Ibaraki,43,Kashima City,1,,0,,,,,,,,,Fire and Disaster Management Agency (FDMA) + Nishiyama_et_al_2056,
8,Ibaraki,31,Kamisu City,0,,6,,,,,,,,,Fire and Disaster Management Agency (FDMA) + Nishiyama_et_al_2057,
12,Chiba,51,Choshi City,0,,19,,,,,,,,,Fire and Disaster Management Agency (FDMA) + Nishiyama_et_al_2058,
12,Chiba,25,Asahi City,15,,12,,,,,,,,,Fire and Disaster Management Agency (FDMA) + Nishiyama_et_al_2059,
