STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,PGA_VALUE,SA(0.3)_VALUE,SA(0.6)_VALUE,SA(1.0)_VALUE,PGA_LN_SIGMA,SA(0.3)_LN_SIGMA,SA(0.6)_LN_SIGMA,SA(1.0)_LN_SIGMA,PGA_VALUE_1,SA(0.3)_VALUE_1,SA(0.6)_VALUE_1,SA(1.0)_VALUE_1,PGA_VALUE_2,SA(0.3)_VALUE_2,SA(0.6)_VALUE_2,SA(1.0)_VALUE_2,PGA_VALUE_V,SA(0.3)_VALUE_V,SA(0.6)_VALUE_V,SA(1.0)_VALUE_V,SOIL_TYPE,VS30,VS30_TYPE ,MMI_VALUE,MMI_STDDEV,PGV_LN_SIGMA,PGV_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE,VS30_TYPE
201209051442PJAC.lis,201209051442PJAC.lis,9.609,-84.623,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.157,0.575319452,0.266150477,0.359884356,0.0,0.0,0.0,0.0,0.157,0.524221993,0.244695002,0.359884356,0.132,0.575319452,0.266150477,0.277362592,0.0489,0.0,0.0,0.0,,,,,,,,,,
201209051442GCNS.lis,201209051442GCNS.lis,10.428,-85.091,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.146,0.449610182,0.476497645,0.254684695,0.0,0.0,0.0,0.0,0.146,0.449610182,0.476497645,0.215287807,0.143,0.409564855,0.475735112,0.254684695,0.114,0.0,0.0,0.0,,,,,,,,,,
201209051442AALA.lis,201209051442AALA.lis,10.025,-84.214,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.139,0.314501739,0.51869669,0.204314538,0.0,0.0,0.0,0.0,0.139,0.314501739,0.51869669,0.204314538,0.131,0.160356748,0.453481024,0.15410972,0.0424,0.0,0.0,0.0,,,,,,,,,,
201209051442GTGA.lis,201209051442GTGA.lis,10.349,-85.178,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.132,0.428517449,0.370847201,0.273706907,0.0,0.0,0.0,0.0,0.132,0.428517449,0.370847201,0.273706907,0.101,0.301558422,0.284505027,0.209048182,0.116,0.0,0.0,0.0,,,,,,,,,,
201209051442AFBR.lis,201209051442AFBR.lis,10.007,-84.266,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.122,0.324035868,0.339959569,0.250482942,0.0,0.0,0.0,0.0,0.104,0.222327993,0.286305234,0.250482942,0.122,0.324035868,0.339959569,0.202187369,0.0615,0.0,0.0,0.0,,,,,,,,,,
201209051442HPVJ.lis,201209051442HPVJ.lis,10.45,-84.013,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.121,0.272435235,0.309697404,0.167985437,0.0,0.0,0.0,0.0,0.121,0.272435235,0.309697404,0.066110529,0.0888,0.260598426,0.237504421,0.167985437,0.0302,0.0,0.0,0.0,,,,,,,,,,
201209051442CTRH.lis,201209051442CTRH.lis,9.936,-83.976,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.118,0.417452214,0.337791021,0.188189856,0.0,0.0,0.0,0.0,0.118,0.240975153,0.337791021,0.188189856,0.111,0.417452214,0.277184665,0.172680108,0.054,0.0,0.0,0.0,,,,,,,,,,
201209051442AORT.lis,201209051442AORT.lis,9.912,-84.522,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.117,0.370283959,0.172125098,0.105116158,0.0,0.0,0.0,0.0,0.108,0.335766375,0.172125098,0.099876148,0.117,0.370283959,0.136333941,0.105116158,0.0388,0.0,0.0,0.0,,,,,,,,,,
201209051442SCCH.lis,201209051442SCCH.lis,9.915,-84.242,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.117,0.312467224,0.504131215,0.067864562,0.0,0.0,0.0,0.0,0.117,0.250839346,0.504131215,0.067864562,0.0942,0.312467224,0.27972012,0.059353975,0.053,0.0,0.0,0.0,,,,,,,,,,
201209051442GLIB.lis,201209051442GLIB.lis,10.621,-85.461,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.117,0.38724328,0.294049148,0.38837812,0.0,0.0,0.0,0.0,0.106,0.305354024,0.265005588,0.213048437,0.117,0.38724328,0.294049148,0.38837812,0.0592,0.0,0.0,0.0,,,,,,,,,,
201209051442GSTR.lis,201209051442GSTR.lis,10.837,-85.618,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.115,0.329680633,0.276771671,0.105789503,0.0,0.0,0.0,0.0,0.115,0.329680633,0.276771671,0.105789503,0.0914,0.225577949,0.242681102,0.102593345,0.0975,0.0,0.0,0.0,,,,,,,,,,
201209051442RGAR.lis,201209051442RGAR.lis,10.005,-84.296,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.114,0.318977896,0.273285518,0.110324162,0.0,0.0,0.0,0.0,0.102,0.318977896,0.273285518,0.110207332,0.114,0.275317172,0.190841471,0.110324162,0.0441,0.0,0.0,0.0,,,,,,,,,,
201209051442GLCR.lis,201209051442GLCR.lis,11.073,-85.632,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.11,0.154881227,0.353455455,0.302670926,0.0,0.0,0.0,0.0,0.101,0.154881227,0.331475392,0.302670926,0.11,0.139873511,0.353455455,0.162295438,0.0637,0.0,0.0,0.0,,,,,,,,,,
201209051442HCPD.lis,201209051442HCPD.lis,9.995,-84.036,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.1,0.252079978,0.422759563,0.129863578,0.0,0.0,0.0,0.0,0.0426,0.18006851,0.092224225,0.044767061,0.1,0.252079978,0.422759563,0.129863578,0.0666,0.0,0.0,0.0,,,,,,,,,,
201209051442SIAC.lis,201209051442SIAC.lis,9.799,-84.161,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.0887,0.257125635,0.201216595,0.068523011,0.0,0.0,0.0,0.0,0.0887,0.257125635,0.201216595,0.068523011,0.0727,0.187219683,0.134176128,0.053177794,0.0508,0.0,0.0,0.0,,,,,,,,,,
201209051442STRN.lis,201209051442STRN.lis,9.933,-84.077,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.0851,0.28068795,0.19553536,0.119728162,0.0,0.0,0.0,0.0,0.0851,0.28068795,0.19553536,0.119728162,0.0676,0.208571555,0.151613476,0.082428166,0.0471,0.0,0.0,0.0,,,,,,,,,,
201209051442CPAR.lis,201209051442CPAR.lis,9.827,-83.869,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.0844,0.152324298,0.256080308,0.126608037,0.0,0.0,0.0,0.0,0.0844,0.124336793,0.256080308,0.111273976,0.0694,0.152324298,0.203533815,0.126608037,0.0285,0.0,0.0,0.0,,,,,,,,,,
201209051442SSBN.lis,201209051442SSBN.lis,9.943,-84.113,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.0829,0.324785555,0.278517711,0.097578675,0.0,0.0,0.0,0.0,0.0829,0.324785555,0.278517711,0.097578675,0.0763,0.2393094,0.171216182,0.072920956,0.0395,0.0,0.0,0.0,,,,,,,,,,
201209051442CTEC.lis,201209051442CTEC.lis,9.854,-83.907,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.0827,0.135554256,0.324414264,0.129868215,0.0,0.0,0.0,0.0,0.0827,0.135554256,0.324414264,0.129868215,0.0424,0.07918879,0.099041244,0.100450421,0.0244,0.0,0.0,0.0,,,,,,,,,,
201209051442AUPA.lis,201209051442AUPA.lis,10.898,-85.01,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.0826,0.203559698,0.332643723,0.174845834,0.0,0.0,0.0,0.0,0.0826,0.203559698,0.332643723,0.174845834,0.0573,0.151500543,0.205595815,0.081697046,0.0358,0.0,0.0,0.0,,,,,,,,,,
201209051442SCGH.lis,201209051442SCGH.lis,9.936,-84.071,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.0823,0.348690597,0.22808631,0.15166696,0.0,0.0,0.0,0.0,0.0823,0.348690597,0.22808631,0.15166696,0.0606,0.248485162,0.170869369,0.093887495,0.0376,0.0,0.0,0.0,,,,,,,,,,
201209051442AMTR.lis,201209051442AMTR.lis,10.552,-84.65,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.081,0.121852561,0.168888578,0.193083256,0.0,0.0,0.0,0.0,0.0793,0.121638574,0.126872884,0.193083256,0.081,0.121852561,0.168888578,0.192985748,0.0388,0.0,0.0,0.0,,,,,,,,,,
201209051442ASCS.lis,201209051442ASCS.lis,10.324,-84.432,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.0769,0.147944264,0.173523763,0.169070651,0.0,0.0,0.0,0.0,0.0769,0.132260034,0.166603469,0.159755556,0.0625,0.147944264,0.173523763,0.169070651,0.058,0.0,0.0,0.0,,,,,,,,,,
201209051442SHTH.lis,201209051442SHTH.lis,9.915,-84.097,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.0701,0.24274862,0.149779729,0.076098214,0.0,0.0,0.0,0.0,0.0607,0.148110872,0.103999619,0.064008011,0.0701,0.24274862,0.149779729,0.076098214,0.0347,0.0,0.0,0.0,,,,,,,,,,
201209051442SFRA.lis,201209051442SFRA.lis,9.751,-84.056,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.0601,0.140312224,0.084063955,0.072176215,0.0,0.0,0.0,0.0,0.0601,0.140312224,0.084063955,0.072176215,0.0416,0.103701821,0.06251138,0.040532709,0.0158,0.0,0.0,0.0,,,,,,,,,,
201209051442ACLS.lis,201209051442ACLS.lis,11.031,-84.718,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.0601,0.107082974,0.278096469,0.100030769,0.0,0.0,0.0,0.0,0.0601,0.102617774,0.278096469,0.085918301,0.0422,0.107082974,0.113678455,0.100030769,0.0202,0.0,0.0,0.0,,,,,,,,,,
201209051442CCDN.lis,201209051442CCDN.lis,9.832,-83.918,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.0587,0.224465469,0.160991353,0.103981058,0.0,0.0,0.0,0.0,0.0587,0.146305656,0.122627967,0.067797512,0.0534,0.224465469,0.160991353,0.103981058,0.0214,0.0,0.0,0.0,,,,,,,,,,
201209051442RALT.lis,201209051442RALT.lis,9.897,-83.941,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.054,0.10452578,0.161015848,0.118009627,0.0,0.0,0.0,0.0,0.0394,0.074130696,0.105162102,0.061123828,0.054,0.10452578,0.161015848,0.118009627,0.0171,0.0,0.0,0.0,,,,,,,,,,
201209051442SGTS.lis,201209051442SGTS.lis,9.869,-84.036,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.0537,0.146802293,0.183279557,0.059370638,0.0,0.0,0.0,0.0,0.0522,0.146802293,0.154064234,0.058587899,0.0537,0.129054486,0.183279557,0.059370638,0.0176,0.0,0.0,0.0,,,,,,,,,,
201209051442SJUD.lis,201209051442SJUD.lis,9.934,-84.184,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.0532,0.143081186,0.092184659,0.055340323,0.0,0.0,0.0,0.0,0.0532,0.143081186,0.08511256,0.055340323,0.0342,0.080862471,0.092184659,0.047469148,0.0318,0.0,0.0,0.0,,,,,,,,,,
201209051442HVRG.lis,201209051442HVRG.lis,10.391,-84.139,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.0518,0.065769293,0.156065546,0.10044434,0.0,0.0,0.0,0.0,0.0518,0.065769293,0.156065546,0.10044434,0.0323,0.059044464,0.098653358,0.054535021,0.0222,0.0,0.0,0.0,,,,,,,,,,
201209051442CCRT.lis,201209051442CCRT.lis,9.864,-83.927,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.0468,0.115799029,0.123482206,0.106397949,0.0,0.0,0.0,0.0,0.0468,0.115799029,0.123482206,0.085847991,0.037,0.073297801,0.117848076,0.106397949,0.0228,0.0,0.0,0.0,,,,,,,,,,
201209051442HHDA.lis,201209051442HHDA.lis,9.999,-84.122,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.0462,0.088366062,0.091922523,0.080559063,0.0,0.0,0.0,0.0,0.0462,0.065270419,0.077266666,0.080559063,0.0311,0.088366062,0.091922523,0.053626226,0.0276,0.0,0.0,0.0,,,,,,,,,,
201209051442CHLM.lis,201209051442CHLM.lis,9.821,-83.894,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.0458,0.124142957,0.093566287,0.036074944,0.0,0.0,0.0,0.0,0.0458,0.101597379,0.093566287,0.036074944,0.0442,0.124142957,0.06219206,0.033169562,0.0155,0.0,0.0,0.0,,,,,,,,,,
201209051442PQSH.lis,201209051442PQSH.lis,9.443,-84.137,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.0442,0.106302588,0.197339465,0.085863614,0.0,0.0,0.0,0.0,0.0442,0.106302588,0.197339465,0.085863614,0.035,0.105488746,0.134592112,0.073575233,0.013,0.0,0.0,0.0,,,,,,,,,,
201209051442CTUH.lis,201209051442CTUH.lis,9.903,-83.687,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.0442,0.112423172,0.093737297,0.078803905,0.0,0.0,0.0,0.0,0.028,0.067085077,0.093737297,0.078803905,0.0442,0.112423172,0.067626727,0.068427571,0.0119,0.0,0.0,0.0,,,,,,,,,,
201209051442ACAR.lis,201209051442ACAR.lis,10.03,-84.265,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.0441,0.098004298,0.104279023,0.103927959,0.0,0.0,0.0,0.0,0.0441,0.078721406,0.104279023,0.086805566,0.0316,0.098004298,0.10288026,0.103927959,0.0323,0.0,0.0,0.0,,,,,,,,,,
201209051442PQUE.lis,201209051442PQUE.lis,9.428,-84.16,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.0429,0.151133203,0.128726242,0.064800764,0.0,0.0,0.0,0.0,0.0429,0.151133203,0.118355038,0.064800764,0.0341,0.109727889,0.128726242,0.042203844,0.0181,0.0,0.0,0.0,,,,,,,,,,
201209051442LBTN.lis,201209051442LBTN.lis,10.085,-83.346,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.0413,0.052242705,0.088934028,0.132400685,0.0,0.0,0.0,0.0,0.0413,0.048362203,0.088934028,0.092913369,0.0383,0.052242705,0.087700759,0.132400685,0.0148,0.0,0.0,0.0,,,,,,,,,,
201209051442LTAL.lis,201209051442LTAL.lis,9.623,-82.856,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.0397,0.048127218,0.147750674,0.06997706,0.0,0.0,0.0,0.0,0.0397,0.048127218,0.094139015,0.06997706,0.0349,0.044934655,0.147750674,0.069970459,0.0107,0.0,0.0,0.0,,,,,,,,,,
201209051442CSRH.lis,201209051442CSRH.lis,9.867,-83.9,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.037,0.113449978,0.094446402,0.05724008,0.0,0.0,0.0,0.0,0.0334,0.105422671,0.063664639,0.052284792,0.037,0.113449978,0.094446402,0.05724008,0.0214,0.0,0.0,0.0,,,,,,,,,,
201209051442CTBA.lis,201209051442CTBA.lis,9.902,-83.673,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.037,0.069667968,0.114593407,0.146930921,0.0,0.0,0.0,0.0,0.0294,0.055527106,0.114593407,0.061805772,0.037,0.069667968,0.105067297,0.146930921,0.0137,0.0,0.0,0.0,,,,,,,,,,
201209051442PBNA.lis,201209051442PBNA.lis,9.172,-83.336,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.0362,0.104070858,0.104487346,0.039657068,0.0,0.0,0.0,0.0,0.0362,0.078678221,0.104487346,0.03642047,0.0295,0.104070858,0.070709445,0.039657068,0.0118,0.0,0.0,0.0,,,,,,,,,,
201209051442CCHI.lis,201209051442CCHI.lis,9.841,-83.804,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.033,0.070133401,0.085462411,0.084246213,0.0,0.0,0.0,0.0,0.033,0.070133401,0.085462411,0.084246213,0.0227,0.043312372,0.055326297,0.065181809,0.0161,0.0,0.0,0.0,,,,,,,,,,
201209051442SSMD.lis,201209051442SSMD.lis,9.649,-83.972,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.0317,0.061179602,0.092348956,0.108059678,0.0,0.0,0.0,0.0,0.0277,0.047536917,0.092348956,0.108059678,0.0317,0.061179602,0.090372981,0.059825343,0.0155,0.0,0.0,0.0,,,,,,,,,,
201209051442LCAR.lis,201209051442LCAR.lis,10.361,-83.735,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.0298,0.049372854,0.055440635,0.076490317,0.0,0.0,0.0,0.0,0.0298,0.049372854,0.055440635,0.069313498,0.0296,0.040208113,0.051047359,0.076490317,0.0134,0.0,0.0,0.0,,,,,,,,,,
201209051442SISD.lis,201209051442SISD.lis,9.372,-83.703,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.0275,0.062436427,0.075998226,0.072436608,0.0,0.0,0.0,0.0,0.0252,0.057281636,0.04122917,0.055082669,0.0275,0.062436427,0.075998226,0.072436608,0.0101,0.0,0.0,0.0,,,,,,,,,,
201209051442LGPI.lis,201209051442LGPI.lis,10.205,-83.825,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.0272,0.052231536,0.055214099,0.055026139,0.0,0.0,0.0,0.0,0.0272,0.052231536,0.055214099,0.050558275,0.0242,0.040512438,0.048913519,0.055026139,0.0114,0.0,0.0,0.0,,,,,,,,,,
201209051442LMOI.lis,201209051442LMOI.lis,10.005,-83.076,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.0268,0.027808515,0.033228964,0.055649245,0.0,0.0,0.0,0.0,0.0268,0.027808515,0.033228964,0.052839483,0.0189,0.021292602,0.026840868,0.055649245,0.0146,0.0,0.0,0.0,,,,,,,,,,
201209051442SISH.lis,201209051442SISH.lis,9.37,-83.705,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.0266,0.050445251,0.054496289,0.044474836,0.0,0.0,0.0,0.0,0.0185,0.050445251,0.054496289,0.034830116,0.0266,0.049594264,0.051016229,0.044474836,0.0122,0.0,0.0,0.0,,,,,,,,,,
201209051442PPTG.lis,201209051442PPTG.lis,9.017,-83.174,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.0259,0.03826474,0.053986393,0.058538407,0.0,0.0,0.0,0.0,0.0198,0.030198056,0.046778456,0.056807029,0.0259,0.03826474,0.053986393,0.058538407,0.0146,0.0,0.0,0.0,,,,,,,,,,
201209051442RMOI.lis,201209051442RMOI.lis,9.986,-83.089,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.0252,0.04880694,0.082386495,0.109267857,0.0,0.0,0.0,0.0,0.0252,0.04880694,0.082386495,0.109267857,0.0199,0.044541112,0.057313768,0.074729483,0.0132,0.0,0.0,0.0,,,,,,,,,,
201209051442LLIH.lis,201209051442LLIH.lis,9.999,-83.027,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.0251,0.0359403,0.056704686,0.070102979,0.0,0.0,0.0,0.0,0.0251,0.0359403,0.052193042,0.070102979,0.0208,0.031677802,0.056704686,0.052894387,0.00941,0.0,0.0,0.0,,,,,,,,,,
201209051442POSA.lis,201209051442POSA.lis,8.979,-83.532,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.0226,0.029995105,0.054125319,0.084027188,0.0,0.0,0.0,0.0,0.0189,0.024409281,0.029574122,0.044008596,0.0226,0.029995105,0.054125319,0.084027188,0.00869,0.0,0.0,0.0,,,,,,,,,,
201209051442PLRL.lis,201209051442PLRL.lis,8.432,-82.957,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.0208,0.02579135,0.050660818,0.07696041,0.0,0.0,0.0,0.0,0.0201,0.02579135,0.050660818,0.07696041,0.0208,0.022857682,0.042918835,0.053200575,0.0106,0.0,0.0,0.0,,,,,,,,,,
201209051442PJMN.lis,201209051442PJMN.lis,8.53,-83.305,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.0202,0.030483636,0.058239805,0.072455617,0.0,0.0,0.0,0.0,0.0202,0.022544077,0.058239805,0.070994733,0.0198,0.030483636,0.03537525,0.072455617,0.00757,0.0,0.0,0.0,,,,,,,,,,
201209051442LSQR.lis,201209051442LSQR.lis,10.096,-83.505,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.0182,0.035793044,0.044988074,0.037137148,0.0,0.0,0.0,0.0,0.0155,0.02948388,0.042824947,0.034976453,0.0182,0.035793044,0.044988074,0.037137148,0.00733,0.0,0.0,0.0,,,,,,,,,,
201209051442PSVT.lis,201209051442PSVT.lis,8.822,-82.967,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.0176,0.02217127,0.042516952,0.044947509,0.0,0.0,0.0,0.0,0.0114,0.019597617,0.031933233,0.041498124,0.0176,0.02217127,0.042516952,0.044947509,0.00882,0.0,0.0,0.0,,,,,,,,,,
201209051442PCNH.lis,201209051442PCNH.lis,8.632,-82.938,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.0154,0.022832713,0.039391459,0.031708652,0.0,0.0,0.0,0.0,0.0154,0.017876227,0.039391459,0.029826172,0.0135,0.022832713,0.037634823,0.031708652,0.00994,0.0,0.0,0.0,,,,,,,,,,
201209051442PCNL.lis,201209051442PCNL.lis,8.648,-82.942,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.0132,0.016184958,0.036922847,0.039092997,0.0,0.0,0.0,0.0,0.0119,0.015389536,0.02204559,0.039092997,0.0132,0.016184958,0.036922847,0.032479666,0.00684,0.0,0.0,0.0,,,,,,,,,,
201209051442PGOL.lis,201209051442PGOL.lis,8.644,-83.171,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.00484,0.011293922,0.010396489,0.01075402,0.0,0.0,0.0,0.0,0.00484,0.011293922,0.010396489,0.01075402,0.00403,0.007960076,0.008791624,0.008170063,0.00276,0.0,0.0,0.0,,,,,,,,,,
GNSR,GNSR,9.979,-85.648,seismic,https://www.lis.ucr.ac.cr/Descargas,1.58,,,,0.0,,,,0.684,,,,1.58,,,,0.783,,,,S2,555.0,measured ,,,,,,,
GSTC,GSTC,10.286,-85.59,seismic,https://www.lis.ucr.ac.cr/Descargas,0.563,,,,0.0,,,,0.563,,,,0.382,,,,0.221,,,,S2,555.0,measured ,,,,,,,
PPQR,PPQR,9.82,-84.936,seismic,https://www.lis.ucr.ac.cr/Descargas,0.428,,,,0.0,,,,0.317,,,,0.428,,,,0.205,,,,S3,265.0,measured ,,,,,,,
AFRA,AFRA,10.137,-84.193,seismic,https://www.lis.ucr.ac.cr/Descargas,0.361,,,,0.0,,,,0.276,,,,0.361,,,,0.0746,,,,S2,555.0,measured ,,,,,,,
ASRM,ASRM,10.087,-84.485,seismic,https://www.lis.ucr.ac.cr/Descargas,0.263,,,,0.0,,,,0.263,,,,0.225,,,,0.0918,,,,S4,180.0,measured ,,,,,,,
GNYA,GNYA,10.145,-85.453,seismic,https://www.lis.ucr.ac.cr/Descargas,0.241,,,,0.0,,,,0.241,,,,0.199,,,,0.138,,,,S1,760.0,measured ,,,,,,,
PCDA,PCDA,9.911,-84.717,seismic,https://www.lis.ucr.ac.cr/Descargas,0.221,,,,0.0,,,,0.221,,,,0.201,,,,0.0776,,,,S3,265.0,measured ,,,,,,,
PPUN,PPUN,9.981,-84.81,seismic,https://www.lis.ucr.ac.cr/Descargas,0.212,,,,0.0,,,,0.212,,,,0.181,,,,0.0721,,,,S4,180.0,measured ,,,,,,,
GJTS,GJTS,10.281,-84.963,seismic,https://www.lis.ucr.ac.cr/Descargas,0.206,,,,0.0,,,,0.206,,,,0.143,,,,0.0817,,,,S3,265.0,measured ,,,,,,,
