# 20180906_M6.6_HokkaidoEasternIburi median gmf, Stations:Seismic, gmlt:USGS, Rupture:USGS
custom_site_id,lon,lat,AbrahamsonEtAl2014,AbrahamsonEtAl2015SInter,AbrahamsonEtAl2015SSlab,AtkinsonBoore2003SInter,AtkinsonBoore2003SSlab,AtkinsonBoore2003SSlabCascadia,BooreEtAl2014,CampbellBozorgnia2014,ChiouYoungs2014,ZhaoEtAl2016SInter,ZhaoEtAl2016SSlab
s_129,143.1356,42.6975,0.02732,0.02732,0.02732,0.02732,0.02732,0.02732,0.02732,0.02732,0.02732,0.02732,0.02732
s_13,141.601,42.79,0.36076,0.36076,0.36076,0.36076,0.36076,0.36076,0.36076,0.36076,0.36076,0.36076,0.36076
s_130,143.61829999999998,43.1213,0.0273,0.0273,0.0273,0.0273,0.0273,0.0273,0.0273,0.0273,0.0273,0.0273,0.0273
s_131,143.5544,43.2436,0.02704,0.02704,0.02704,0.02704,0.02704,0.02704,0.02704,0.02704,0.02704,0.02704,0.02704
s_132,141.1547,40.5846,0.02694,0.02694,0.02694,0.02694,0.02694,0.02694,0.02694,0.02694,0.02694,0.02694,0.02694
s_133,140.8132,41.328,0.02678,0.02678,0.02678,0.02678,0.02678,0.02678,0.02678,0.02678,0.02678,0.02678,0.02678
s_134,143.24080000000004,43.1694,0.02618,0.02618,0.02618,0.02618,0.02618,0.02618,0.02618,0.02618,0.02618,0.02618,0.02618
s_136,144.123,43.1142,0.02569,0.02569,0.02569,0.02569,0.02569,0.02569,0.02569,0.02569,0.02569,0.02569,0.02569
s_137,142.1594,43.8243,0.0243,0.0243,0.0243,0.0243,0.0243,0.0243,0.0243,0.0243,0.0243,0.0243,0.0243
s_138,144.123,43.1141,0.02429,0.02429,0.02429,0.02429,0.02429,0.02429,0.02429,0.02429,0.02429,0.02429,0.02429
s_139,141.44510000000002,40.5794,0.02416,0.02416,0.02416,0.02416,0.02416,0.02416,0.02416,0.02416,0.02416,0.02416,0.02416
s_14,141.08140000000003,42.4211,0.35797,0.35797,0.35797,0.35797,0.35797,0.35797,0.35797,0.35797,0.35797,0.35797,0.35797
s_140,141.34230000000002,40.2383,0.02347,0.02347,0.02347,0.02347,0.02347,0.02347,0.02347,0.02347,0.02347,0.02347,0.02347
s_141,141.42449999999997,40.1533,0.02306,0.02306,0.02306,0.02306,0.02306,0.02306,0.02306,0.02306,0.02306,0.02306,0.02306
s_142,142.5245,43.3841,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023
s_143,144.3274,43.1359,0.02276,0.02276,0.02276,0.02276,0.02276,0.02276,0.02276,0.02276,0.02276,0.02276,0.02276
s_144,140.4334,41.6795,0.02201,0.02201,0.02201,0.02201,0.02201,0.02201,0.02201,0.02201,0.02201,0.02201,0.02201
s_145,140.6436,42.5894,0.02175,0.02175,0.02175,0.02175,0.02175,0.02175,0.02175,0.02175,0.02175,0.02175,0.02175
s_146,139.98149999999998,42.1297,0.02171,0.02171,0.02171,0.02171,0.02171,0.02171,0.02171,0.02171,0.02171,0.02171,0.02171
s_147,140.48310000000004,42.8309,0.02132,0.02132,0.02132,0.02132,0.02132,0.02132,0.02132,0.02132,0.02132,0.02132,0.02132
s_148,142.41229999999996,44.0235,0.0209,0.0209,0.0209,0.0209,0.0209,0.0209,0.0209,0.0209,0.0209,0.0209,0.0209
s_149,144.08439999999996,43.4361,0.02069,0.02069,0.02069,0.02069,0.02069,0.02069,0.02069,0.02069,0.02069,0.02069,0.02069
s_15,142.13099999999997,42.5886,0.3555,0.3555,0.3555,0.3555,0.3555,0.3555,0.3555,0.3555,0.3555,0.3555,0.3555
s_150,144.0697,42.9581,0.02002,0.02002,0.02002,0.02002,0.02002,0.02002,0.02002,0.02002,0.02002,0.02002,0.02002
s_151,140.01750000000004,42.4286,0.01978,0.01978,0.01978,0.01978,0.01978,0.01978,0.01978,0.01978,0.01978,0.01978,0.01978
s_152,143.30489999999998,43.3191,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197
s_153,140.995,40.58,0.01929,0.01929,0.01929,0.01929,0.01929,0.01929,0.01929,0.01929,0.01929,0.01929,0.01929
s_154,141.3295,39.7841,0.01844,0.01844,0.01844,0.01844,0.01844,0.01844,0.01844,0.01844,0.01844,0.01844,0.01844
s_155,140.63980000000004,41.0473,0.01834,0.01834,0.01834,0.01834,0.01834,0.01834,0.01834,0.01834,0.01834,0.01834,0.01834
s_156,142.12580000000003,43.9994,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832
s_157,143.31529999999998,42.1287,0.01778,0.01778,0.01778,0.01778,0.01778,0.01778,0.01778,0.01778,0.01778,0.01778,0.01778
s_158,141.37329999999997,40.9665,0.01753,0.01753,0.01753,0.01753,0.01753,0.01753,0.01753,0.01753,0.01753,0.01753,0.01753
s_159,144.08550000000002,43.4369,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171
s_16,141.65229999999997,43.2204,0.30058,0.30058,0.30058,0.30058,0.30058,0.30058,0.30058,0.30058,0.30058,0.30058,0.30058
s_160,142.6837,43.6249,0.01696,0.01696,0.01696,0.01696,0.01696,0.01696,0.01696,0.01696,0.01696,0.01696,0.01696
s_161,140.4207,41.5977,0.01666,0.01666,0.01666,0.01666,0.01666,0.01666,0.01666,0.01666,0.01666,0.01666,0.01666
s_162,140.53020000000004,42.8051,0.01663,0.01663,0.01663,0.01663,0.01663,0.01663,0.01663,0.01663,0.01663,0.01663,0.01663
s_163,144.8021,43.39,0.01657,0.01657,0.01657,0.01657,0.01657,0.01657,0.01657,0.01657,0.01657,0.01657,0.01657
s_164,141.27999999999997,40.4124,0.01646,0.01646,0.01646,0.01646,0.01646,0.01646,0.01646,0.01646,0.01646,0.01646,0.01646
s_165,140.30489999999998,42.6679,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164,0.0164
s_166,140.43259999999998,40.9676,0.01624,0.01624,0.01624,0.01624,0.01624,0.01624,0.01624,0.01624,0.01624,0.01624,0.01624
s_167,144.6279,43.3848,0.01608,0.01608,0.01608,0.01608,0.01608,0.01608,0.01608,0.01608,0.01608,0.01608,0.01608
s_168,145.284,43.3852,0.01599,0.01599,0.01599,0.01599,0.01599,0.01599,0.01599,0.01599,0.01599,0.01599,0.01599
s_169,140.75009999999997,40.8193,0.01591,0.01591,0.01591,0.01591,0.01591,0.01591,0.01591,0.01591,0.01591,0.01591,0.01591
s_17,141.00170000000003,42.4116,0.256,0.256,0.256,0.256,0.256,0.256,0.256,0.256,0.256,0.256,0.256
s_170,144.49760000000003,43.1486,0.01586,0.01586,0.01586,0.01586,0.01586,0.01586,0.01586,0.01586,0.01586,0.01586,0.01586
s_171,145.2604,43.2326,0.01577,0.01577,0.01577,0.01577,0.01577,0.01577,0.01577,0.01577,0.01577,0.01577,0.01577
s_172,140.82190000000003,41.1453,0.01544,0.01544,0.01544,0.01544,0.01544,0.01544,0.01544,0.01544,0.01544,0.01544,0.01544
s_173,143.0861,43.8494,0.01499,0.01499,0.01499,0.01499,0.01499,0.01499,0.01499,0.01499,0.01499,0.01499,0.01499
s_174,144.42849999999999,43.22,0.01497,0.01497,0.01497,0.01497,0.01497,0.01497,0.01497,0.01497,0.01497,0.01497,0.01497
s_175,144.38239999999996,42.9845,0.01468,0.01468,0.01468,0.01468,0.01468,0.01468,0.01468,0.01468,0.01468,0.01468,0.01468
s_176,141.96709999999996,39.7357,0.01461,0.01461,0.01461,0.01461,0.01461,0.01461,0.01461,0.01461,0.01461,0.01461,0.01461
s_177,145.1168,43.3941,0.01437,0.01437,0.01437,0.01437,0.01437,0.01437,0.01437,0.01437,0.01437,0.01437,0.01437
s_178,140.2636,42.2586,0.01398,0.01398,0.01398,0.01398,0.01398,0.01398,0.01398,0.01398,0.01398,0.01398,0.01398
s_179,140.127,41.8691,0.01361,0.01361,0.01361,0.01361,0.01361,0.01361,0.01361,0.01361,0.01361,0.01361,0.01361
s_18,141.5462,43.1161,0.25244,0.25244,0.25244,0.25244,0.25244,0.25244,0.25244,0.25244,0.25244,0.25244,0.25244
s_180,140.9896,41.234,0.01341,0.01341,0.01341,0.01341,0.01341,0.01341,0.01341,0.01341,0.01341,0.01341,0.01341
s_181,144.23379999999997,43.2556,0.01339,0.01339,0.01339,0.01339,0.01339,0.01339,0.01339,0.01339,0.01339,0.01339,0.01339
s_182,145.1307,43.6619,0.01325,0.01325,0.01325,0.01325,0.01325,0.01325,0.01325,0.01325,0.01325,0.01325,0.01325
s_183,139.9678,42.4851,0.01313,0.01313,0.01313,0.01313,0.01313,0.01313,0.01313,0.01313,0.01313,0.01313,0.01313
s_184,140.94060000000002,40.4371,0.01304,0.01304,0.01304,0.01304,0.01304,0.01304,0.01304,0.01304,0.01304,0.01304,0.01304
s_185,141.082,39.9203,0.01299,0.01299,0.01299,0.01299,0.01299,0.01299,0.01299,0.01299,0.01299,0.01299,0.01299
s_186,141.20799999999997,40.6152,0.01298,0.01298,0.01298,0.01298,0.01298,0.01298,0.01298,0.01298,0.01298,0.01298,0.01298
s_187,141.76409999999998,40.1819,0.01296,0.01296,0.01296,0.01296,0.01296,0.01296,0.01296,0.01296,0.01296,0.01296,0.01296
s_188,140.8084,40.0622,0.01288,0.01288,0.01288,0.01288,0.01288,0.01288,0.01288,0.01288,0.01288,0.01288,0.01288
s_189,140.247,41.4862,0.01265,0.01265,0.01265,0.01265,0.01265,0.01265,0.01265,0.01265,0.01265,0.01265,0.01265
s_19,141.34969999999998,42.5629,0.23725,0.23725,0.23725,0.23725,0.23725,0.23725,0.23725,0.23725,0.23725,0.23725,0.23725
s_190,144.32479999999998,43.233,0.01258,0.01258,0.01258,0.01258,0.01258,0.01258,0.01258,0.01258,0.01258,0.01258,0.01258
s_191,139.8537,42.4502,0.01255,0.01255,0.01255,0.01255,0.01255,0.01255,0.01255,0.01255,0.01255,0.01255,0.01255
s_192,140.4801,41.1795,0.01236,0.01236,0.01236,0.01236,0.01236,0.01236,0.01236,0.01236,0.01236,0.01236,0.01236
s_193,144.7704,43.4108,0.01235,0.01235,0.01235,0.01235,0.01235,0.01235,0.01235,0.01235,0.01235,0.01235,0.01235
s_194,142.14840000000004,44.0071,0.01232,0.01232,0.01232,0.01232,0.01232,0.01232,0.01232,0.01232,0.01232,0.01232,0.01232
s_195,140.3791,43.3235,0.01184,0.01184,0.01184,0.01184,0.01184,0.01184,0.01184,0.01184,0.01184,0.01184,0.01184
s_196,140.44730000000004,40.8152,0.01178,0.01178,0.01178,0.01178,0.01178,0.01178,0.01178,0.01178,0.01178,0.01178,0.01178
s_197,142.6006,43.5038,0.01173,0.01173,0.01173,0.01173,0.01173,0.01173,0.01173,0.01173,0.01173,0.01173,0.01173
s_198,142.9448,43.3337,0.01165,0.01165,0.01165,0.01165,0.01165,0.01165,0.01165,0.01165,0.01165,0.01165,0.01165
s_199,144.96180000000004,43.6772,0.01158,0.01158,0.01158,0.01158,0.01158,0.01158,0.01158,0.01158,0.01158,0.01158,0.01158
s_2,142.12850000000003,42.8714,0.69237,0.69237,0.69237,0.69237,0.69237,0.69237,0.69237,0.69237,0.69237,0.69237,0.69237
s_20,141.0643,42.6476,0.22069,0.22069,0.22069,0.22069,0.22069,0.22069,0.22069,0.22069,0.22069,0.22069,0.22069
s_200,140.49900000000002,40.6018,0.01154,0.01154,0.01154,0.01154,0.01154,0.01154,0.01154,0.01154,0.01154,0.01154,0.01154
s_201,140.4841,42.6104,0.01146,0.01146,0.01146,0.01146,0.01146,0.01146,0.01146,0.01146,0.01146,0.01146,0.01146
s_202,141.5709,40.2705,0.01115,0.01115,0.01115,0.01115,0.01115,0.01115,0.01115,0.01115,0.01115,0.01115,0.01115
s_203,142.3942,44.1821,0.01114,0.01114,0.01114,0.01114,0.01114,0.01114,0.01114,0.01114,0.01114,0.01114,0.01114
s_204,141.43759999999997,39.6336,0.01109,0.01109,0.01109,0.01109,0.01109,0.01109,0.01109,0.01109,0.01109,0.01109,0.01109
s_205,141.13779999999997,39.3209,0.01103,0.01103,0.01103,0.01103,0.01103,0.01103,0.01103,0.01103,0.01103,0.01103,0.01103
s_206,141.9087,39.7435,0.01097,0.01097,0.01097,0.01097,0.01097,0.01097,0.01097,0.01097,0.01097,0.01097,0.01097
s_207,142.5695,43.909,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109
s_208,143.683,43.4683,0.0108,0.0108,0.0108,0.0108,0.0108,0.0108,0.0108,0.0108,0.0108,0.0108,0.0108
s_209,141.6789,39.5997,0.0107,0.0107,0.0107,0.0107,0.0107,0.0107,0.0107,0.0107,0.0107,0.0107,0.0107
s_210,141.19150000000002,40.0811,0.0106,0.0106,0.0106,0.0106,0.0106,0.0106,0.0106,0.0106,0.0106,0.0106,0.0106
s_211,141.4176,38.6993,0.01059,0.01059,0.01059,0.01059,0.01059,0.01059,0.01059,0.01059,0.01059,0.01059,0.01059
s_212,140.91899999999998,40.7002,0.01056,0.01056,0.01056,0.01056,0.01056,0.01056,0.01056,0.01056,0.01056,0.01056,0.01056
s_213,140.9155,40.9924,0.01055,0.01055,0.01055,0.01055,0.01055,0.01055,0.01055,0.01055,0.01055,0.01055,0.01055
s_214,141.652,39.802,0.01029,0.01029,0.01029,0.01029,0.01029,0.01029,0.01029,0.01029,0.01029,0.01029,0.01029
s_215,139.99760000000003,41.6487,0.01028,0.01028,0.01028,0.01028,0.01028,0.01028,0.01028,0.01028,0.01028,0.01028,0.01028
s_216,144.9665,43.5508,0.01023,0.01023,0.01023,0.01023,0.01023,0.01023,0.01023,0.01023,0.01023,0.01023,0.01023
s_217,140.0616,42.7011,0.01006,0.01006,0.01006,0.01006,0.01006,0.01006,0.01006,0.01006,0.01006,0.01006,0.01006
s_218,141.2908,40.2612,0.01001,0.01001,0.01001,0.01001,0.01001,0.01001,0.01001,0.01001,0.01001,0.01001,0.01001
s_219,144.9726,43.555,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
s_220,142.94730000000004,43.3338,0.00999,0.00999,0.00999,0.00999,0.00999,0.00999,0.00999,0.00999,0.00999,0.00999,0.00999
s_221,141.8861,40.0083,0.00986,0.00986,0.00986,0.00986,0.00986,0.00986,0.00986,0.00986,0.00986,0.00986,0.00986
s_222,144.5996,43.3033,0.00974,0.00974,0.00974,0.00974,0.00974,0.00974,0.00974,0.00974,0.00974,0.00974,0.00974
s_223,143.1277,44.4796,0.00973,0.00973,0.00973,0.00973,0.00973,0.00973,0.00973,0.00973,0.00973,0.00973,0.00973
s_224,141.69780000000003,44.3611,0.00948,0.00948,0.00948,0.00948,0.00948,0.00948,0.00948,0.00948,0.00948,0.00948,0.00948
s_225,139.4515,42.0661,0.00937,0.00937,0.00937,0.00937,0.00937,0.00937,0.00937,0.00937,0.00937,0.00937,0.00937
s_226,141.0145,40.2962,0.00916,0.00916,0.00916,0.00916,0.00916,0.00916,0.00916,0.00916,0.00916,0.00916,0.00916
s_227,139.82870000000003,42.5949,0.00908,0.00908,0.00908,0.00908,0.00908,0.00908,0.00908,0.00908,0.00908,0.00908,0.00908
s_228,144.84979999999996,43.0509,0.00898,0.00898,0.00898,0.00898,0.00898,0.00898,0.00898,0.00898,0.00898,0.00898,0.00898
s_229,142.7656,43.8546,0.00898,0.00898,0.00898,0.00898,0.00898,0.00898,0.00898,0.00898,0.00898,0.00898,0.00898
s_23,141.55240000000003,42.9925,0.20303,0.20303,0.20303,0.20303,0.20303,0.20303,0.20303,0.20303,0.20303,0.20303,0.20303
s_230,140.3121,40.7618,0.00897,0.00897,0.00897,0.00897,0.00897,0.00897,0.00897,0.00897,0.00897,0.00897,0.00897
s_231,140.31060000000002,41.1281,0.00895,0.00895,0.00895,0.00895,0.00895,0.00895,0.00895,0.00895,0.00895,0.00895,0.00895
s_232,141.9336,39.4734,0.00893,0.00893,0.00893,0.00893,0.00893,0.00893,0.00893,0.00893,0.00893,0.00893,0.00893
s_233,143.6202,44.2146,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891,0.00891
s_234,141.3909,39.1809,0.00887,0.00887,0.00887,0.00887,0.00887,0.00887,0.00887,0.00887,0.00887,0.00887,0.00887
s_235,144.44849999999997,43.5077,0.00884,0.00884,0.00884,0.00884,0.00884,0.00884,0.00884,0.00884,0.00884,0.00884,0.00884
s_236,139.8184,42.2286,0.00883,0.00883,0.00883,0.00883,0.00883,0.00883,0.00883,0.00883,0.00883,0.00883,0.00883
s_237,141.85609999999997,39.2701,0.00846,0.00846,0.00846,0.00846,0.00846,0.00846,0.00846,0.00846,0.00846,0.00846,0.00846
s_238,145.12959999999998,43.0767,0.00839,0.00839,0.00839,0.00839,0.00839,0.00839,0.00839,0.00839,0.00839,0.00839,0.00839
s_239,140.3499,40.6199,0.00836,0.00836,0.00836,0.00836,0.00836,0.00836,0.00836,0.00836,0.00836,0.00836,0.00836
s_24,141.6399,42.888,0.19292,0.19292,0.19292,0.19292,0.19292,0.19292,0.19292,0.19292,0.19292,0.19292,0.19292
s_240,141.6642,44.1486,0.00833,0.00833,0.00833,0.00833,0.00833,0.00833,0.00833,0.00833,0.00833,0.00833,0.00833
s_241,143.51,43.6352,0.00831,0.00831,0.00831,0.00831,0.00831,0.00831,0.00831,0.00831,0.00831,0.00831,0.00831
s_242,141.97479999999996,39.485,0.0083,0.0083,0.0083,0.0083,0.0083,0.0083,0.0083,0.0083,0.0083,0.0083,0.0083
s_243,144.1913,43.9144,0.00827,0.00827,0.00827,0.00827,0.00827,0.00827,0.00827,0.00827,0.00827,0.00827,0.00827
s_244,142.2255,45.2141,0.00813,0.00813,0.00813,0.00813,0.00813,0.00813,0.00813,0.00813,0.00813,0.00813,0.00813
s_245,142.7686,43.8543,0.00796,0.00796,0.00796,0.00796,0.00796,0.00796,0.00796,0.00796,0.00796,0.00796,0.00796
s_246,141.94640000000004,39.6472,0.00793,0.00793,0.00793,0.00793,0.00793,0.00793,0.00793,0.00793,0.00793,0.00793,0.00793
s_247,143.8936,43.1603,0.0079,0.0079,0.0079,0.0079,0.0079,0.0079,0.0079,0.0079,0.0079,0.0079,0.0079
s_248,143.45140000000004,43.7419,0.00782,0.00782,0.00782,0.00782,0.00782,0.00782,0.00782,0.00782,0.00782,0.00782,0.00782
s_249,141.9653,44.5453,0.00776,0.00776,0.00776,0.00776,0.00776,0.00776,0.00776,0.00776,0.00776,0.00776,0.00776
s_25,141.6635,43.3443,0.18855,0.18855,0.18855,0.18855,0.18855,0.18855,0.18855,0.18855,0.18855,0.18855,0.18855
s_250,141.0983,39.2569,0.00749,0.00749,0.00749,0.00749,0.00749,0.00749,0.00749,0.00749,0.00749,0.00749,0.00749
s_251,141.0523,40.1011,0.00749,0.00749,0.00749,0.00749,0.00749,0.00749,0.00749,0.00749,0.00749,0.00749,0.00749
s_252,145.80259999999998,43.368,0.00745,0.00745,0.00745,0.00745,0.00745,0.00745,0.00745,0.00745,0.00745,0.00745,0.00745
s_253,145.52089999999998,43.1948,0.00736,0.00736,0.00736,0.00736,0.00736,0.00736,0.00736,0.00736,0.00736,0.00736,0.00736
s_254,141.9251,44.8948,0.00734,0.00734,0.00734,0.00734,0.00734,0.00734,0.00734,0.00734,0.00734,0.00734,0.00734
s_255,142.4056,44.4376,0.00732,0.00732,0.00732,0.00732,0.00732,0.00732,0.00732,0.00732,0.00732,0.00732,0.00732
s_256,143.57799999999997,43.6707,0.00731,0.00731,0.00731,0.00731,0.00731,0.00731,0.00731,0.00731,0.00731,0.00731,0.00731
s_257,142.63030000000003,44.2921,0.00728,0.00728,0.00728,0.00728,0.00728,0.00728,0.00728,0.00728,0.00728,0.00728,0.00728
s_258,140.15570000000002,42.7797,0.00727,0.00727,0.00727,0.00727,0.00727,0.00727,0.00727,0.00727,0.00727,0.00727,0.00727
s_259,140.2726,40.5488,0.00722,0.00722,0.00722,0.00722,0.00722,0.00722,0.00722,0.00722,0.00722,0.00722,0.00722
s_26,142.36879999999996,42.3414,0.18325,0.18325,0.18325,0.18325,0.18325,0.18325,0.18325,0.18325,0.18325,0.18325,0.18325
s_260,141.56370000000004,39.3291,0.00714,0.00714,0.00714,0.00714,0.00714,0.00714,0.00714,0.00714,0.00714,0.00714,0.00714
s_261,142.1612,44.2806,0.0071,0.0071,0.0071,0.0071,0.0071,0.0071,0.0071,0.0071,0.0071,0.0071,0.0071
s_262,140.25120000000004,41.7492,0.00709,0.00709,0.00709,0.00709,0.00709,0.00709,0.00709,0.00709,0.00709,0.00709,0.00709
s_263,144.4574,43.8566,0.00707,0.00707,0.00707,0.00707,0.00707,0.00707,0.00707,0.00707,0.00707,0.00707,0.00707
s_264,141.4502,40.0366,0.00697,0.00697,0.00697,0.00697,0.00697,0.00697,0.00697,0.00697,0.00697,0.00697,0.00697
s_265,141.28179999999998,38.4292,0.00694,0.00694,0.00694,0.00694,0.00694,0.00694,0.00694,0.00694,0.00694,0.00694,0.00694
s_266,143.89160000000004,43.1502,0.00692,0.00692,0.00692,0.00692,0.00692,0.00692,0.00692,0.00692,0.00692,0.00692,0.00692
s_267,141.5109,38.7262,0.00692,0.00692,0.00692,0.00692,0.00692,0.00692,0.00692,0.00692,0.00692,0.00692,0.00692
s_268,142.4547,44.3598,0.00683,0.00683,0.00683,0.00683,0.00683,0.00683,0.00683,0.00683,0.00683,0.00683,0.00683
