STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,SOIL_TYPE,PGA_VALUE,PGA_LN_SIGMA,PGASTATION_Name,PGA_VALUE_1,PGA_VALUE_2,PGA_VALUE_V,PGAVS30,VS30,MMI_VALUE,MMI_STDDEV,PGV_LN_SIGMA,PGV_VALUE,SA(0.3)_LN_SIGMA,SA(0.3)_VALUE,SA(1.0)_LN_SIGMA,SA(1.0)_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE,VS30_TYPE
DYOBS_10,Imperial::Lima Provincias::Peru (Intensity VII),-13.07,-76.36,macroseismic,Stations_USGS,,0.206662,0.8059,,,,,,351.86,6.5,0.3,0.875,18.768,1.0131,0.389664,1.0822,0.258309,1.4737,0.050106,inferred
DYOBS_7,Quito::Pichincha::Ecuador (Intensity III),-0.19,-78.5,macroseismic,Stations_USGS,,,,,,,,,760.0,3.1,0.3,,,,,,,,,inferred
OBS_17,Paracas,-13.867,-76.267,macroseismic,Stations_USGS,,0.422768,0.8059,,,,,,373.94,7.5,0.3,0.875,38.8932,1.0131,0.71378,1.0822,0.539636,1.4737,0.100982,inferred
DYOBS_6,Pucallpa::Ucayali::Peru (Intensity IV),-8.39,-74.53,macroseismic,Stations_USGS,,,,,,,,,222.65,3.6,0.3,,,,,,,,,inferred
OBS_2,Pucusama,-12.483,-76.8,macroseismic,Stations_USGS,,0.099921,0.8059,,,,,,392.22,5.5,0.3,0.875,9.0565,1.0131,0.211501,1.0822,0.124479,1.4737,0.02505,inferred
OBS_16,San AndrAos,-13.733,-76.233,macroseismic,Stations_USGS,,0.410311,0.8059,,,,,,292.36,7.5,0.3,0.875,38.8932,1.0131,0.702645,1.0822,0.549619,1.4737,0.103078,inferred
OBS_22,Santiago,-14.189,-75.714,macroseismic,Stations_USGS,,0.268585,0.8059,,,,,,295.36,7.0,0.3,0.875,27.0175,1.0131,0.501485,1.0822,0.395929,1.4737,0.07597,inferred
DYOBS_17,Cusco::Cusco::Peru (Intensity V),-13.52,-71.99,macroseismic,Stations_USGS,,0.043304,0.8059,,,,,,585.33,4.8,0.3,0.875,5.438,1.0131,0.069961,1.0822,0.09127,1.4737,0.019308,inferred
UTM:(18L 005 910 10000),,-8.0769,-79.0357,macroseismic,Stations_USGS,,,,,,,,,374.71,3.2,0.3,,,,,,,,,inferred
UTM:(18L 011 920 10000),,-7.179,-78.4849,macroseismic,Stations_USGS,,,,,,,,,374.8,3.8,0.3,,,,,,,,,inferred
UTM:(18L 022 894 10000),,-9.5351,-77.505,macroseismic,Stations_USGS,,,,,,,,,813.81,3.0,0.3,,,,,,,,,inferred
UTM:(18L 027 866 10000),,-12.0687,-77.067,macroseismic,Stations_USGS,,0.104787,0.8059,,,,,,403.23,5.8,0.3,0.875,11.2693,1.0131,0.232276,1.0822,0.172023,1.4737,0.034672,inferred
UTM:(18L 031 868 10000),,-11.8904,-76.6985,macroseismic,Stations_USGS,,0.054811,0.8059,,,,,,900.0,4.8,0.3,0.875,5.438,1.0131,0.094767,1.0822,0.078995,1.4737,0.016422,inferred
UTM:(18L 035 855 10000),,-13.0677,-76.3374,macroseismic,Stations_USGS,,0.181709,0.8059,,,,,,351.86,6.3,0.3,0.875,16.2228,1.0131,0.347871,1.0822,0.220951,1.4737,0.043122,inferred
UTM:(18L 036 848 10000),,-13.701,-76.2484,macroseismic,Stations_USGS,,0.81234,0.8059,,,,,,600.0,8.6,0.3,0.875,86.6911,1.0131,1.294443,1.0822,1.317602,1.4737,0.239374,inferred
UTM:(18L 036 890 10000),,-9.9035,-76.2313,macroseismic,Stations_USGS,,,,,,,,,900.0,3.8,0.3,,,,,,,,,inferred
UTM:(18L 037 851 10000),,-13.4302,-76.1547,macroseismic,Stations_USGS,,0.637585,0.8059,,,,,,320.95,8.3,0.3,0.875,69.6687,1.0131,1.063995,1.0822,1.074283,1.4737,0.197686,inferred
UTM:(18L 041 844 10000),,-14.0645,-75.7873,macroseismic,Stations_USGS,,0.399476,0.8059,,,,,,384.09,7.6,0.3,0.875,41.833,1.0131,0.708879,1.0822,0.628396,1.4737,0.118287,inferred
UTM:(18L 055 907 10000),,-8.3679,-74.5005,macroseismic,Stations_USGS,,,,,,,,,222.65,3.6,0.3,,,,,,,,,inferred
UTM:(18L 081 852 10000),,-13.3257,-72.0925,macroseismic,Stations_USGS,,,,,,,,,597.98,2.0,0.3,,,,,,,,,inferred
UTM:(18L 082 850 10000),,-13.5052,-71.9981,macroseismic,Stations_USGS,,0.033175,0.8059,,,,,,585.33,4.5,0.3,0.875,4.3703,1.0131,0.046488,1.0822,0.071925,1.4737,0.015348,inferred
UTM:(18L 087 818 10000),,-16.3871,-71.4901,macroseismic,Stations_USGS,,,,,,,,,589.26,3.3,0.3,,,,,,,,,inferred
