STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,SOIL_TYPE,PGA_VALUE,SA(0.3)_VALUE,SA(0.6)_VALUE,SA(1.0)_VALUE,PGA_LN_SIGMA,SA(0.3)_LN_SIGMA,SA(0.6)_LN_SIGMA,SA(1.0)_LN_SIGMA,PGA_VALUE_1,SA(0.3)_VALUE_1,SA(0.6)_VALUE_1,SA(1.0)_VALUE_1,PGA_VALUE_2,SA(0.3)_VALUE_2,SA(0.6)_VALUE_2,SA(1.0)_VALUE_2,PGA_VALUE_V,SA(0.3)_VALUE_V,SA(0.6)_VALUE_V,SA(1.0)_VALUE_V,VS30,MMI_VALUE,MMI_STDDEV,PGV_LN_SIGMA,PGV_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE,VS30_TYPE
UTM:(14Q 040 186 10000),,16.8665,-99.8918,macroseismic,Stations_USGS,,0.477091,0.722059,,0.322352,0.8059,1.0131,,1.0822,,,,,,,,,,,,,538.33,7.2,0.3,0.875,30.0503,1.4737,0.060592,inferred
UTM:(14Q 049 213 10000),,19.3088,-99.0476,macroseismic,Stations_USGS,,0.076483,0.195622,,0.169785,0.8059,1.0131,,1.0822,,,,,,,,,,,,,208.58,5.7,0.3,0.875,10.0731,1.4737,0.035623,inferred
UTM:(14Q 074 189 10000),,17.1265,-96.6973,macroseismic,Stations_USGS,,0.069018,0.181144,,0.160764,0.8059,1.0131,,1.0822,,,,,,,,,,,,,756.77,,,0.875,9.3652,1.4737,0.033929,inferred
UTM:(14Q 049 215 10000),,19.4896,-99.0476,macroseismic,Stations_USGS,,0.062236,0.162796,,0.135403,0.8059,1.0131,,1.0822,,,,,,,,,,,,,209.19,5.4,0.3,0.875,8.0952,1.4737,0.028698,inferred
UTM:(14Q 048 214 10000),,19.3991,-99.1429,macroseismic,Stations_USGS,,0.049138,0.095946,,0.097799,0.8059,1.0131,,1.0822,,,,,,,,,,,,,221.17,5.0,0.3,0.875,6.0485,1.4737,0.020951,inferred
UTM:(14Q 047 214 10000),,19.399,-99.2381,macroseismic,Stations_USGS,,0.043506,0.073317,,0.0833,0.8059,1.0131,,1.0822,,,,,,,,,,,,,385.93,4.8,0.3,0.875,5.2282,1.4737,0.017945,inferred
UTM:(14Q 058 210 10000),,19.0359,-98.1922,macroseismic,Stations_USGS,,0.043176,0.072602,,0.083689,0.8059,1.0131,,1.0822,,,,,,,,,,,,,297.42,4.8,0.3,0.875,5.2282,1.4737,0.018039,inferred
UTM:(14Q 048 215 10000),,19.4895,-99.1429,macroseismic,Stations_USGS,,0.042965,0.072146,,0.08394,0.8059,1.0131,,1.0822,,,,,,,,,,,,,207.97,4.8,0.3,0.875,5.2282,1.4737,0.0181,inferred
UTM:(14Q 046 214 10000),,19.3989,-99.3333,macroseismic,Stations_USGS,,0.040978,0.064174,,0.07683,0.8059,1.0131,,1.0822,,,,,,,,,,,,,850.43,4.7,0.3,0.875,4.8608,1.4737,0.016596,inferred
UTM:(14Q 047 216 10000),,19.5798,-99.2384,macroseismic,Stations_USGS,,0.037137,0.054437,,0.071928,0.8059,1.0131,,1.0822,,,,,,,,,,,,,452.86,4.6,0.3,0.875,4.5192,1.4737,0.015608,inferred
UTM:(14Q 080 211 10000),,19.1052,-96.1013,macroseismic,Stations_USGS,,0.03568,0.053274,,0.072671,0.8059,1.0131,,1.0822,,,,,,,,,,,,,760.0,4.6,0.3,0.875,4.5192,1.4737,0.015789,inferred
UTM:(14Q 043 213 10000),,19.3078,-99.6187,macroseismic,Stations_USGS,,0.03019,0.043515,,0.059964,0.8059,1.0131,,1.0822,,,,,,,,,,,,,296.37,4.4,0.3,0.875,3.9064,1.4737,0.013051,inferred
UTM:(14Q 048 213 10000),,19.3088,-99.1428,macroseismic,Stations_USGS,,0.029427,0.042918,,0.06036,0.8059,1.0131,,1.0822,,,,,,,,,,,,,334.06,4.4,0.3,0.875,3.9064,1.4737,0.013148,inferred
UTM:(14Q 049 214 10000),,19.3992,-99.0476,macroseismic,Stations_USGS,,0.028517,0.042197,,0.060849,0.8059,1.0131,,1.0822,,,,,,,,,,,,,207.54,4.4,0.3,0.875,3.9064,1.4737,0.013267,inferred
UTM:(14Q 071 209 10000),,18.9361,-96.9584,macroseismic,Stations_USGS,,0.026509,0.040567,,0.062001,0.8059,1.0131,,1.0822,,,,,,,,,,,,,436.16,4.4,0.3,0.875,3.9064,1.4737,0.013549,inferred
UTM:(14Q 047 209 10000),,18.9472,-99.2374,macroseismic,Stations_USGS,,0.024525,0.034771,,0.05,0.8059,1.0131,,1.0822,,,,,,,,,,,,,521.84,4.2,0.3,0.875,3.3766,1.4737,0.010916,inferred
UTM:(14Q 049 216 10000),,19.5799,-99.0477,macroseismic,Stations_USGS,,0.023499,0.03594,,0.056857,0.8059,1.0131,,1.0822,,,,,,,,,,,,,518.8,4.3,0.3,0.875,3.6318,1.4737,0.01245,inferred
UTM:(14Q 043 212 10000),,19.2174,-99.6184,macroseismic,Stations_USGS,,0.023045,0.033623,,0.050806,0.8059,1.0131,,1.0822,,,,,,,,,,,,,393.45,4.2,0.3,0.875,3.3766,1.4737,0.011113,inferred
UTM:(14Q 049 217 10000),,19.6703,-99.0477,macroseismic,Stations_USGS,,0.022999,0.035525,,0.057172,0.8059,1.0131,,1.0822,,,,,,,,,,,,,221.95,4.3,0.3,0.875,3.6318,1.4737,0.012527,inferred
UTM:(14Q 080 212 10000),,19.1955,-96.0997,macroseismic,Stations_USGS,,0.022849,0.0354,,0.057268,0.8059,1.0131,,1.0822,,,,,,,,,,,,,760.0,4.3,0.3,0.875,3.6318,1.4737,0.012551,inferred
UTM:(14Q 042 213 10000),,19.3074,-99.7139,macroseismic,Stations_USGS,,0.022478,0.033174,,0.051132,0.8059,1.0131,,1.0822,,,,,,,,,,,,,237.54,4.2,0.3,0.875,3.3766,1.4737,0.011193,inferred
UTM:(14Q 047 215 10000),,19.4894,-99.2382,macroseismic,Stations_USGS,,0.020977,0.03196,,0.052047,0.8059,1.0131,,1.0822,,,,,,,,,,,,,344.08,4.2,0.3,0.875,3.3766,1.4737,0.011418,inferred
UTM:(14Q 057 210 10000),,19.0363,-98.2873,macroseismic,Stations_USGS,,0.015886,0.024589,,0.04256,0.8059,1.0131,,1.0822,,,,,,,,,,,,,214.43,4.0,0.3,0.875,2.4806,1.4737,0.009441,inferred
UNM,"Unam - Mexico, Mexico",19.3297,-99.1781,seismic,Stations_USGS,,0.015415,0.023787,,0.037896,0.0,0.0,,0.0,,,,,,,,,,,,,367.31,4.2,0.63,0.0,3.2011,0.0,0.013679,inferred
UTM:(14Q 047 217 10000),,19.6702,-99.2385,macroseismic,Stations_USGS,,0.014895,0.023749,,0.043934,0.8059,1.0131,,1.0822,,,,,,,,,,,,,344.4,4.0,0.3,0.875,2.4806,1.4737,0.009926,inferred
TXMV,"CEIEPAA, FMVZ, UNAM, Tequisquiapan, Queretaro, MEXICO",20.6112,-99.9309,seismic,Stations_USGS,,0.001787,0.002772,,0.004666,0.0,0.0,,0.0,,,,,,,,,,,,,760.0,3.0,0.63,0.0,0.4501,0.0,0.003378,inferred
UTM:(13Q 047 228 10000),,20.6642,-105.24,macroseismic,Stations_USGS,,,,,,,,,,,,,,,,,,,,,,760.0,2.8,0.3,,,,,inferred
UTM:(14Q 026 217 10000),,19.6563,-101.2413,macroseismic,Stations_USGS,,,,,,,,,,,,,,,,,,,,,,485.56,3.2,0.3,,,,,inferred
UTM:(14Q 027 217 10000),,19.6575,-101.1459,macroseismic,Stations_USGS,,,,,,,,,,,,,,,,,,,,,,366.42,3.8,0.3,,,,,inferred
UTM:(14Q 035 227 10000),,20.5684,-100.3911,macroseismic,Stations_USGS,,,,,,,,,,,,,,,,,,,,,,760.0,2.0,0.3,,,,,inferred
UTM:(14Q 046 216 10000),,19.5796,-99.3337,macroseismic,Stations_USGS,,,,,,,,,,,,,,,,,,,,,,422.53,3.1,0.3,,,,,inferred
UTM:(14Q 047 208 10000),,18.8568,-99.2373,macroseismic,Stations_USGS,,,,,,,,,,,,,,,,,,,,,,466.83,3.6,0.3,,,,,inferred
UTM:(14Q 047 213 10000),,19.3087,-99.238,macroseismic,Stations_USGS,,,,,,,,,,,,,,,,,,,,,,484.27,3.7,0.3,,,,,inferred
UTM:(14Q 048 208 10000),,18.8569,-99.1424,macroseismic,Stations_USGS,,,,,,,,,,,,,,,,,,,,,,900.0,3.9,0.3,,,,,inferred
UTM:(14Q 048 217 10000),,19.6703,-99.1431,macroseismic,Stations_USGS,,,,,,,,,,,,,,,,,,,,,,213.98,3.5,0.3,,,,,inferred
UTM:(14Q 066 227 10000),,20.5667,-97.417,macroseismic,Stations_USGS,,,,,,,,,,,,,,,,,,,,,,760.0,2.0,0.3,,,,,inferred
UTM:(14Q 070 208 10000),,18.8468,-97.0543,macroseismic,Stations_USGS,,,,,,,,,,,,,,,,,,,,,,467.29,3.9,0.3,,,,,inferred
UTM:(14Q 071 216 10000),,19.5683,-96.9505,macroseismic,Stations_USGS,,,,,,,,,,,,,,,,,,,,,,516.43,3.1,0.3,,,,,inferred
UTM:(14Q 074 188 10000),,17.0362,-96.6984,macroseismic,Stations_USGS,,,,,,,,,,,,,,,,,,,,,,545.39,3.7,0.3,,,,,inferred
UTM:(15Q 048 185 10000),,16.778,-93.1407,macroseismic,Stations_USGS,,,,,,,,,,,,,,,,,,,,,,760.0,2.5,0.3,,,,,inferred
UTM:(15Q 050 198 10000),,17.9531,-92.9528,macroseismic,Stations_USGS,,,,,,,,,,,,,,,,,,,,,,760.0,2.0,0.3,,,,,inferred
