custom_site_id,lon,lat,vs30
t_244,-70.74858,-31.87277,667
t_245,-70.87735,-31.84849,727
t_246,-71.00617,-31.82429,334
t_247,-70.46245,-31.81176,900
t_248,-71.13504,-31.80018,633
t_249,-70.59123,-31.78723,900
t_250,-71.26397,-31.77617,516
t_251,-70.72005,-31.76279,696
t_252,-70.84893,-31.73844,900
t_253,-70.97786,-31.71417,900
t_254,-71.10684,-31.68999,848
t_255,-70.56253,-31.6771,546
t_256,-71.23588,-31.6659,554
t_257,-70.69147,-31.65259,900
t_258,-70.82046,-31.62816,406
t_259,-70.9495,-31.60382,627
t_260,-71.07859,-31.57957,900
t_261,-70.53379,-31.56675,831
t_262,-71.20773,-31.55541,361
t_263,-70.66284,-31.54216,900
t_264,-70.79194,-31.51766,900
t_265,-70.92109,-31.49325,543
t_266,-71.05029,-31.46892,837
t_267,-71.17954,-31.44469,403
t_268,-70.63415,-31.4315,717
t_269,-71.30885,-31.42054,775
t_270,-70.76336,-31.40693,900
t_271,-70.89262,-31.38244,900
t_272,-71.02193,-31.35805,720
t_273,-71.1513,-31.33374,838
t_274,-70.60541,-31.32062,806
t_275,-71.28071,-31.30952,900
t_276,-70.73473,-31.29597,524
t_277,-70.86411,-31.27141,900
t_278,-70.99353,-31.24694,900
t_279,-71.12301,-31.22256,691
t_280,-70.57662,-31.20951,426
t_281,-71.25253,-31.19827,593
t_282,-70.70605,-31.18479,900
t_283,-70.83554,-31.16016,770
t_284,-70.96507,-31.13561,591
t_285,-71.09466,-31.11116,386
t_286,-70.54778,-31.09817,900
t_287,-71.2243,-31.08679,446
t_288,-70.67732,-31.07338,900
t_289,-70.80692,-31.04867,480
t_290,-70.93657,-31.02405,602
t_291,-71.06626,-30.99952,448
t_292,-70.51889,-30.98661,900
t_293,-71.19601,-30.97509,546
t_294,-70.64854,-30.96174,900
t_295,-71.32582,-30.95074,357
t_296,-71.40899,-32.60768,586
t_297,-71.47305,-32.59595,600
t_298,-71.39511,-32.55344,460
t_299,-71.45919,-32.54169,900
t_300,-71.43145,-32.43301,512
t_301,-71.40366,-32.3241,353
t_302,-71.37582,-32.21497,477
t_303,-71.34794,-32.10561,710
t_304,-71.47658,-32.08189,900
t_305,-71.44875,-31.97223,614
t_306,-71.42087,-31.86235,615
t_307,-71.39294,-31.75224,642
t_308,-71.52196,-31.72839,501
t_309,-71.36496,-31.6419,754
t_310,-71.49409,-31.61798,900
t_311,-71.33693,-31.53133,758
t_312,-71.46617,-31.50734,835
t_313,-71.4382,-31.39648,511
t_314,-71.56761,-31.37251,559
t_315,-71.41018,-31.28539,858
t_316,-71.5397,-31.26135,551
t_317,-71.38211,-31.17407,596
t_318,-71.51174,-31.14995,556
t_319,-71.35399,-31.06252,723
t_320,-71.48373,-31.03833,750
t_321,-71.61352,-31.01424,549
t_322,-71.45567,-30.92648,678
t_323,-71.58557,-30.90231,704
t_324,-71.42756,-30.8144,552
t_325,-71.55757,-30.79016,436
t_326,-71.39939,-30.70209,375
t_327,-70.37919,-33.02557,900
t_328,-70.10999,-33.02022,900
t_329,-70.44293,-33.01355,900
t_330,-70.1737,-33.0081,900
t_331,-70.23742,-32.996,900
t_332,-70.30116,-32.98392,900
t_333,-70.3649,-32.97186,746
t_334,-70.42866,-32.95982,900
t_335,-70.15931,-32.95439,900
t_336,-70.22306,-32.94227,900
t_337,-70.28683,-32.93017,900
t_338,-70.3506,-32.91809,900
t_339,-70.41439,-32.90603,900
t_340,-70.14492,-32.90062,900
t_341,-70.2087,-32.88848,900
t_342,-70.27249,-32.87636,900
t_343,-70.33629,-32.86427,900
t_344,-70.4001,-32.85219,900
t_345,-70.19431,-32.83464,900
t_346,-70.25813,-32.8225,900
t_347,-70.32196,-32.81039,900
t_348,-70.3858,-32.79829,900
t_349,-70.17992,-32.78074,900
t_350,-70.24376,-32.76858,900
t_351,-70.30762,-32.75645,900
t_352,-70.37149,-32.74434,900
t_353,-70.43537,-32.73225,884
t_354,-70.2789,-32.64841,900
t_355,-70.40676,-32.62414,900
t_356,-70.25013,-32.54015,900
t_357,-70.3781,-32.5158,899
t_358,-70.34939,-32.40725,578
t_359,-70.32062,-32.29846,900
t_360,-70.44886,-32.27405,900
t_361,-70.42015,-32.16497,900
t_362,-70.39139,-32.05567,654
t_363,-70.71937,-32.79213,523
t_364,-71.05297,-32.78662,900
t_365,-70.44966,-32.78622,829
t_366,-70.78326,-32.78018,822
t_367,-71.11689,-32.7748,653
t_368,-70.51352,-32.77417,900
t_369,-70.84716,-32.76825,553
t_370,-71.18083,-32.76299,253
t_371,-70.5774,-32.76214,451
t_372,-70.91108,-32.75635,900
t_373,-71.24478,-32.75121,626
t_374,-70.6413,-32.75013,338
t_375,-70.97501,-32.74446,900
t_376,-71.30875,-32.73945,719
t_377,-70.7052,-32.73814,306
t_378,-71.03895,-32.7326,900
t_379,-70.76912,-32.72617,360
t_380,-71.1029,-32.72076,897
t_381,-70.49927,-32.72018,725
t_382,-70.83305,-32.71423,900
t_383,-71.16687,-32.70894,648
t_384,-70.56317,-32.70813,764
t_385,-70.89699,-32.70231,900
t_386,-71.23085,-32.69714,516
t_387,-70.62709,-32.6961,457
t_388,-70.96095,-32.6904,703
t_389,-71.29484,-32.68536,512
t_390,-70.69102,-32.6841,696
t_391,-71.02492,-32.67852,900
t_392,-70.75497,-32.67211,794
t_393,-71.0889,-32.66666,900
t_394,-70.81893,-32.66015,900
t_395,-71.15289,-32.65482,560
t_396,-70.8829,-32.64821,571
t_397,-71.2169,-32.64301,761
t_398,-70.94688,-32.63629,858
t_399,-71.28092,-32.63121,900
t_400,-71.01088,-32.62439,867
t_401,-71.07488,-32.61251,654
t_402,-71.1389,-32.60065,713
t_403,-70.53467,-32.59995,900
t_404,-71.20294,-32.58882,900
t_405,-71.26698,-32.57701,450
t_406,-70.66263,-32.57584,834
t_407,-71.33104,-32.56521,335
t_408,-70.79064,-32.55182,760
t_409,-70.9187,-32.52789,401
t_410,-71.04682,-32.50404,900
t_411,-70.50612,-32.49154,900
t_412,-71.17498,-32.48028,380
t_413,-70.63419,-32.46736,900
t_414,-71.30319,-32.4566,525
t_415,-70.76231,-32.44327,686
t_416,-70.89048,-32.41926,862
t_417,-71.0187,-32.39534,900
t_418,-70.47751,-32.38291,900
t_419,-71.14697,-32.37151,900
t_420,-70.60569,-32.35866,687
t_421,-71.27529,-32.34776,471
t_422,-70.73392,-32.33449,900
t_423,-70.8622,-32.31042,900
t_424,-70.99053,-32.28642,900
t_425,-71.11891,-32.26252,643
t_426,-70.57715,-32.24973,709
t_427,-71.24734,-32.2387,554
t_428,-70.70548,-32.22549,883
t_429,-70.83387,-32.20134,587
t_430,-70.96231,-32.17728,900
t_431,-71.0908,-32.1533,900
t_432,-70.54855,-32.14058,729
t_433,-71.48333,-33.15858,462
t_434,-71.5471,-33.147,341
t_435,-71.61088,-33.13544,622
t_436,-71.34198,-33.12817,493
t_437,-71.40576,-33.11653,464
t_438,-71.46955,-33.10491,587
t_439,-71.53334,-33.09332,425
t_440,-71.59715,-33.08175,555
t_441,-71.39194,-33.06283,365
t_442,-71.45575,-33.0512,417
t_443,-71.51958,-33.03958,302
t_444,-71.58341,-33.02799,472
t_445,-71.3781,-33.00907,490
t_446,-71.44194,-32.99742,462
t_447,-71.5058,-32.98579,460
t_448,-71.56966,-32.97418,600
t_449,-71.36426,-32.95526,424
t_450,-71.42812,-32.94359,527
t_451,-71.492,-32.93194,466
t_452,-71.5559,-32.92032,600
t_453,-71.3504,-32.90139,468
t_454,-71.41429,-32.88971,860
t_455,-71.4782,-32.87804,490
t_456,-71.54212,-32.8664,600
t_457,-71.33653,-32.84747,900
t_458,-71.40045,-32.83576,617
t_459,-71.46438,-32.82408,375
t_460,-71.52833,-32.81242,344
t_461,-71.38659,-32.78177,380
t_462,-71.45055,-32.77007,401
t_463,-71.51453,-32.75839,600
t_464,-71.37272,-32.72771,537
t_465,-71.43671,-32.716,330
t_466,-71.50071,-32.7043,600
t_467,-71.35884,-32.6736,715
t_468,-71.42286,-32.66187,488
t_469,-71.48689,-32.65015,600
t_470,-71.34495,-32.61944,562
t_471,-71.32814,-33.07448,673
t_472,-70.72626,-33.07311,332
t_473,-71.05908,-33.06764,825
t_474,-70.45718,-33.06722,699
t_475,-70.79,-33.06123,280
t_476,-71.12286,-33.05589,900
t_477,-70.5209,-33.05524,755
t_478,-70.85376,-33.04937,544
t_479,-71.18665,-33.04415,401
t_480,-70.58463,-33.04328,777
t_481,-70.91753,-33.03753,561
t_482,-71.25046,-33.03244,389
t_483,-70.64837,-33.03134,770
t_484,-70.98131,-33.02572,478
t_485,-71.31427,-33.02074,263
t_486,-70.71213,-33.01942,306
t_487,-71.0451,-33.01392,900
t_488,-70.7759,-33.00752,538
t_489,-71.10891,-33.00215,564
t_490,-70.50667,-33.00155,709
t_491,-70.83968,-32.99564,428
t_492,-71.17273,-32.99039,541
t_493,-70.57043,-32.98957,900
t_494,-70.90348,-32.98379,758
t_495,-71.23656,-32.97866,591
t_496,-70.63421,-32.97761,834
t_497,-70.96729,-32.97195,900
t_498,-71.3004,-32.96695,474
t_499,-70.69799,-32.96567,891
t_500,-71.03111,-32.96014,900
t_501,-70.76179,-32.95376,596
t_502,-71.09494,-32.94835,765
t_503,-70.49244,-32.9478,900
t_504,-70.8256,-32.94186,577
t_505,-71.15879,-32.93658,900
t_506,-70.55623,-32.9358,744
t_507,-70.88942,-32.92999,891
t_508,-71.22264,-32.92483,898
t_509,-70.62002,-32.92383,900
t_510,-70.95325,-32.91814,563
t_511,-71.28651,-32.9131,271
t_512,-70.68384,-32.91187,900
t_513,-71.0171,-32.9063,812
t_514,-70.74766,-32.89994,731
t_515,-71.08096,-32.89449,555
t_516,-70.47819,-32.89399,900
t_517,-70.8115,-32.88802,671
t_518,-71.14483,-32.88271,748
t_519,-70.542,-32.88198,788
t_520,-70.87535,-32.87613,655
t_521,-71.20872,-32.87094,301
t_522,-70.60583,-32.86999,251
t_523,-70.93921,-32.86426,332
t_524,-71.27262,-32.85919,578
t_525,-70.66967,-32.85801,300
t_526,-71.00308,-32.85241,584
t_527,-70.73352,-32.84606,630
t_528,-71.06697,-32.84059,260
t_529,-70.46393,-32.84014,900
t_530,-70.79738,-32.83413,513
t_531,-71.13087,-32.82878,402
t_532,-70.52777,-32.8281,571
t_533,-70.86126,-32.82222,841
t_534,-71.19478,-32.81699,666
t_535,-70.59162,-32.81609,373
t_536,-70.92515,-32.81033,400
t_537,-71.25871,-32.80523,789
t_538,-70.65549,-32.8041,319
t_539,-70.98905,-32.79847,686
t_540,-71.32264,-32.79349,900
t_541,-71.3336,-33.35393,298
t_542,-70.73312,-33.35254,226
t_543,-71.06518,-33.34712,629
t_544,-70.46466,-33.34667,900
t_545,-70.79672,-33.34073,180
t_546,-71.12881,-33.33543,603
t_547,-70.52823,-33.33476,452
t_548,-70.86033,-33.32894,233
t_549,-71.19245,-33.32376,900
t_550,-70.59182,-33.32287,744
t_551,-70.92395,-33.31717,900
t_552,-71.25611,-33.31211,804
t_553,-70.65542,-33.311,448
t_554,-70.98758,-33.30542,900
t_555,-71.31978,-33.30048,357
t_556,-70.71903,-33.29915,265
t_557,-71.05123,-33.29369,900
t_558,-70.45045,-33.29329,900
t_559,-70.78265,-33.28732,237
t_560,-71.11489,-33.28198,346
t_561,-70.51405,-33.28136,737
t_562,-70.84629,-33.27551,439
t_563,-71.17856,-33.2703,677
t_564,-70.57766,-33.26945,900
t_565,-70.90994,-33.26372,900
t_566,-71.24224,-33.25863,797
t_567,-70.64129,-33.25756,510
t_568,-70.9736,-33.25195,900
t_569,-71.30594,-33.24699,510
t_570,-70.70492,-33.2457,292
t_571,-71.03727,-33.24021,900
t_572,-70.76857,-33.23385,271
t_573,-71.10096,-33.22848,900
t_574,-70.49985,-33.22791,823
t_575,-70.83224,-33.22202,363
t_576,-71.16465,-33.21678,475
t_577,-70.56349,-33.21598,875
t_578,-70.89591,-33.21022,900
t_579,-71.22836,-33.20509,695
t_580,-70.62714,-33.20408,831
t_581,-70.9596,-33.19843,825
t_582,-71.29209,-33.19343,586
t_583,-70.6908,-33.19219,350
t_584,-71.0233,-33.18667,900
t_585,-70.75448,-33.18032,792
t_586,-71.08701,-33.17492,669
t_587,-70.48564,-33.1744,900
t_588,-70.81817,-33.16848,560
t_589,-71.15074,-33.1632,752
t_590,-70.5493,-33.16246,900
t_591,-70.88187,-33.15666,229
t_592,-71.21447,-33.1515,365
t_593,-70.61298,-33.15053,900
t_594,-70.94559,-33.14485,900
t_595,-71.27822,-33.13982,557
t_596,-70.67667,-33.13863,332
t_597,-71.00931,-33.13307,827
t_598,-70.74038,-33.12674,440
t_599,-71.07305,-33.12131,674
t_600,-70.47141,-33.12084,794
t_601,-70.80409,-33.11488,271
t_602,-71.13681,-33.10957,900
t_603,-70.53511,-33.10888,691
t_604,-70.86782,-33.10304,741
t_605,-71.20057,-33.09786,900
t_606,-70.59881,-33.09693,666
t_607,-70.93156,-33.09122,456
t_608,-71.26435,-33.08616,761
t_609,-70.66253,-33.08501,441
t_610,-70.99532,-33.07942,782
t_611,-71.55699,-33.70355,579
t_612,-71.62048,-33.69213,408
t_613,-71.35283,-33.68492,427
t_614,-71.68399,-33.68073,600
t_615,-71.41631,-33.67341,718
t_616,-71.7475,-33.66934,600
t_617,-71.4798,-33.66193,408
t_618,-71.54331,-33.65047,455
t_619,-71.60682,-33.63902,462
t_620,-71.33905,-33.63183,552
t_621,-71.67035,-33.6276,600
t_622,-71.40255,-33.6203,335
t_623,-71.73389,-33.6162,600
t_624,-71.46607,-33.6088,321
t_625,-71.52961,-33.59732,395
t_626,-71.59315,-33.58586,542
t_627,-71.65671,-33.57443,600
t_628,-71.38879,-33.56714,389
t_629,-71.72027,-33.56301,600
t_630,-71.45233,-33.55562,435
t_631,-71.51589,-33.54412,496
t_632,-71.57946,-33.53265,354
t_633,-71.64305,-33.52119,600
t_634,-71.37501,-33.51392,900
t_635,-71.70664,-33.50976,600
t_636,-71.43858,-33.50238,579
t_637,-71.50217,-33.49087,337
t_638,-71.56577,-33.47938,435
t_639,-71.62938,-33.4679,557
t_640,-71.36122,-33.46064,577
t_641,-71.693,-33.45645,600
t_642,-71.42482,-33.44909,489
t_643,-71.48843,-33.43756,426
t_644,-71.55206,-33.42605,393
t_645,-71.61569,-33.41456,451
t_646,-71.34742,-33.40731,900
t_647,-71.67934,-33.40309,484
t_648,-71.41105,-33.39574,444
t_649,-71.47468,-33.38419,536
t_650,-71.53834,-33.37267,200
t_651,-71.602,-33.36116,407
t_652,-71.66568,-33.34967,275
t_653,-71.39726,-33.34234,472
t_654,-71.46092,-33.33077,538
t_655,-71.5246,-33.31923,496
t_656,-71.58829,-33.3077,338
t_657,-71.652,-33.2962,611
t_658,-71.38346,-33.28888,381
t_659,-71.44715,-33.2773,280
t_660,-71.51086,-33.26573,469
t_661,-71.57457,-33.25419,496
t_662,-71.6383,-33.24267,396
t_663,-71.36965,-33.23536,595
t_664,-71.43337,-33.22376,486
t_665,-71.4971,-33.21218,381
t_666,-71.56084,-33.20062,468
t_667,-71.6246,-33.18908,504
t_668,-71.35582,-33.18179,559
t_669,-71.41957,-33.17017,425
t_670,-71.00777,-33.63669,900
t_671,-70.73995,-33.63043,311
t_672,-71.07124,-33.62504,652
t_673,-70.47211,-33.62458,652
t_674,-70.8034,-33.61868,307
t_675,-71.13472,-33.61342,674
t_676,-70.53554,-33.61274,509
t_677,-70.86687,-33.60696,300
t_678,-71.19822,-33.60182,532
t_679,-70.59898,-33.60091,307
t_680,-70.93034,-33.59526,835
t_681,-71.26173,-33.59024,310
t_682,-70.66243,-33.58911,315
t_683,-70.99383,-33.58357,529
t_684,-71.32525,-33.57868,859
t_685,-70.72589,-33.57733,440
t_686,-71.05733,-33.57191,574
t_687,-70.45793,-33.5715,900
t_688,-70.78937,-33.56556,312
t_689,-71.12084,-33.56027,606
t_690,-70.52139,-33.55963,900
t_691,-70.85286,-33.55382,487
t_692,-71.18436,-33.54865,520
t_693,-70.58485,-33.54779,314
t_694,-70.91636,-33.5421,695
t_695,-71.2479,-33.53705,393
t_696,-70.64833,-33.53597,308
t_697,-70.97988,-33.5304,863
t_698,-71.31145,-33.52548,900
t_699,-70.71182,-33.52417,310
t_700,-71.0434,-33.51872,616
t_701,-70.77533,-33.51239,312
t_702,-71.10694,-33.50707,367
t_703,-70.50723,-33.50648,900
t_704,-70.83884,-33.50063,248
t_705,-71.17049,-33.49543,287
t_706,-70.57072,-33.49462,404
t_707,-70.90237,-33.48889,862
t_708,-71.23406,-33.48381,458
t_709,-70.63422,-33.48278,284
t_710,-70.96591,-33.47718,870
t_711,-71.29763,-33.47222,454
t_712,-70.69774,-33.47096,270
t_713,-71.02947,-33.46548,238
t_714,-70.76127,-33.45916,266
t_715,-71.09303,-33.45381,864
t_716,-70.49305,-33.45326,900
t_717,-70.82481,-33.44739,701
t_718,-71.15661,-33.44215,584
t_719,-70.55657,-33.44139,371
t_720,-70.88837,-33.43563,499
t_721,-71.2202,-33.43052,404
t_722,-70.6201,-33.42953,336
t_723,-70.95194,-33.4239,900
t_724,-71.2838,-33.41891,900
t_725,-70.68365,-33.41769,304
t_726,-71.01552,-33.41218,900
t_727,-70.7472,-33.40588,246
t_728,-71.07911,-33.40049,843
t_729,-70.47886,-33.4,859
t_730,-70.81077,-33.39409,224
t_731,-71.14272,-33.38882,433
t_732,-70.54241,-33.3881,427
t_733,-70.87436,-33.38231,385
t_734,-71.20633,-33.37717,900
t_735,-70.60597,-33.37623,900
t_736,-70.93795,-33.37056,900
t_737,-71.26996,-33.36554,711
t_738,-70.66954,-33.36437,268
t_739,-71.00156,-33.35883,900
t_740,-70.4379,-34.23993,563
t_741,-70.42379,-34.18751,900
t_742,-70.40965,-34.13503,824
t_743,-70.39551,-34.08249,900
t_744,-70.38135,-34.0299,900
t_745,-70.44456,-34.01812,900
t_746,-70.36718,-33.97726,900
t_747,-70.43041,-33.96546,758
t_748,-70.353,-33.92456,900
t_749,-70.41626,-33.91274,900
t_750,-70.33881,-33.87181,771
t_751,-70.40209,-33.85997,802
t_752,-70.3246,-33.819,582
t_753,-70.38791,-33.80714,656
t_754,-70.31038,-33.76613,900
t_755,-70.37372,-33.75426,614
t_756,-70.43707,-33.74241,802
t_757,-70.29615,-33.71321,900
t_758,-70.35951,-33.70132,900
t_759,-70.42289,-33.68946,900
t_760,-70.28191,-33.66024,900
t_761,-70.3453,-33.64833,736
t_762,-70.4087,-33.63645,900
t_763,-70.26765,-33.60721,900
t_764,-70.33107,-33.59528,842
t_765,-70.39449,-33.58338,888
t_766,-70.25338,-33.55412,900
t_767,-70.31682,-33.54218,900
t_768,-70.38028,-33.53026,900
t_769,-70.44375,-33.51836,900
t_770,-70.2391,-33.50098,900
t_771,-70.30257,-33.48902,900
t_772,-70.36605,-33.47708,590
t_773,-70.42954,-33.46516,900
t_774,-70.2248,-33.44779,741
t_775,-70.2883,-33.43581,724
t_776,-70.35181,-33.42385,900
