STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,PGA_VALUE,PGA_LN_SIGMA,PGA_VALUE_1,PGA_VALUE_2,VS30,VS30_TYPE,MMI_VALUE,MMI_STDDEV,PGV_LN_SIGMA,PGV_VALUE,SA(0.3)_LN_SIGMA,SA(0.3)_VALUE,SA(1.0)_LN_SIGMA,SA(1.0)_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE
OBS_2,Jirandeh,36.693,49.77,macroseismic,Stations_USGS,1.509634,0.8059,,,773.61,inferred,9.0,0.3,0.875,116.0264,1.0131,1.964966,1.0822,1.442184,1.4737,0.251973
OBS_1,Rudbar,36.81,49.426,macroseismic,Stations_USGS,1.509634,0.8059,,,900.0,inferred,9.0,0.3,0.875,116.0264,1.0131,1.964966,1.0822,1.442184,1.4737,0.251973
MZOBS_8,Rudbar (Intensity IX),36.806,49.414,macroseismic,Stations_USGS,1.509634,0.8059,,,900.0,inferred,9.0,0.3,0.875,116.0264,1.0131,1.964966,1.0822,1.442184,1.4737,0.251973
OBS_3,Marlik,36.842,49.522,macroseismic,Stations_USGS,1.105952,0.8059,,,514.46,inferred,8.5,0.3,0.875,80.5989,1.0131,1.487929,1.0822,0.969632,1.4737,0.171886
MZOBS_9,Abbar (Intensity IX),36.895,48.997,macroseismic,Stations_USGS,1.105952,0.8059,,,631.67,inferred,8.5,0.3,0.875,80.5989,1.0131,1.487929,1.0822,0.969632,1.4737,0.171886
OBS_5,Manjil,36.736,49.417,macroseismic,Stations_USGS,0.810217,0.8059,,,612.46,inferred,8.0,0.3,0.875,55.9888,1.0131,1.126702,1.0822,0.651918,1.4737,0.117254
MZOBS_7,Loshan (Intensity VIII),36.6294,49.5186,macroseismic,Stations_USGS,0.673163,0.8059,,,471.28,inferred,8.0,0.3,0.875,55.9888,1.0131,1.022113,1.0822,0.730333,1.4737,0.133172
OBS_4,Abbar,36.895,48.997,macroseismic,Stations_USGS,0.593562,0.8059,,,631.67,inferred,7.5,0.3,0.875,38.8932,1.0131,0.853171,1.0822,0.438308,1.4737,0.079986
OBS_6,Sefid Rud Dam,36.73,49.367,macroseismic,Stations_USGS,0.560834,0.8059,,,403.95,inferred,7.5,0.3,0.875,38.8932,1.0131,0.828108,1.0822,0.453813,1.4737,0.083164
1362-1,Abbar,36.92,48.97,seismic,Stations_USGS,0.55861,0.0,,,644.49,inferred,7.7,0.63,0.0,48.4,,,,,,
OBS_7,Lowshan,36.626,49.514,macroseismic,Stations_USGS,0.490281,0.8059,,,475.51,inferred,7.5,0.3,0.875,38.8932,1.0131,0.771598,1.0822,0.492792,1.4737,0.09121
1360,Manjil,36.76,49.39,seismic,Stations_USGS,0.44669,0.0,,,900.0,inferred,5.6,0.63,0.0,9.37,,,,,,
TAFRESH,TAFRESH,34.69,50.02,seismic,Stations_USGS,0.220296,0.0,,,473.3,inferred,,,,,,,,,,
ABH,Abhar,36.15,49.225,seismic,Stations_USGS,0.209184,0.0,,,345.86,inferred,,,0.0,55.4,0.0,0.909184,0.0,0.256122,0.0,0.569388
MZOBS_1,Ghazvin (Intensity VII),36.2667,50.0,macroseismic,Stations_USGS,0.205242,0.8059,,,286.44,inferred,6.5,0.3,0.875,18.768,1.0131,0.388254,1.0822,0.259403,1.4737,0.050344
MZOBS_4,Lahijan (Intensity VII),37.206,50.007,macroseismic,Stations_USGS,0.19833,0.8059,,,255.58,inferred,6.5,0.3,0.875,18.768,1.0131,0.381324,1.0822,0.264907,1.4737,0.051542
MZOBS_3,Rudsar (Intensity VII),37.141,50.283,macroseismic,Stations_USGS,0.193208,0.8059,,,241.62,inferred,6.5,0.3,0.875,18.768,1.0131,0.376114,1.0822,0.26919,1.4737,0.052477
MZOBS_2,Abhar (Intensity VII),36.25,49.3667,macroseismic,Stations_USGS,0.191793,0.8059,,,583.3,inferred,6.5,0.3,0.875,18.768,1.0131,0.374664,1.0822,0.270406,1.4737,0.052743
1353,Ghazvin,36.26,50.0,seismic,Stations_USGS,0.1896,0.0,,,286.44,inferred,6.2,0.63,0.0,15.4,,,,,,
QAZ,Qazvin,36.24,50.02,seismic,Stations_USGS,0.183673,0.0,,,276.17,inferred,6.2,0.63,0.0,15.6,0.0,0.785714,0.0,0.109184,0.0,0.035918
1357-1,Lahijan,37.21,50.03,seismic,Stations_USGS,0.17941,0.0,,,652.3,inferred,7.4,0.63,0.0,36.3,,,,,,
MZOBS_5,Tonkabon (Intensity VII),36.808,50.884,macroseismic,Stations_USGS,0.173152,0.8059,,,255.17,inferred,6.5,0.3,0.875,18.768,1.0131,0.355056,1.0822,0.287894,1.4737,0.05658
OBS_8,Fuman,37.223,49.313,macroseismic,Stations_USGS,0.161494,0.8059,,,280.8,inferred,6.0,0.3,0.875,13.0374,1.0131,0.305248,1.0822,0.166934,1.4737,0.032698
OBS_14,Qazvin,36.263,50.006,macroseismic,Stations_USGS,0.149919,0.8059,,,286.44,inferred,6.0,0.3,0.875,13.0374,1.0131,0.293544,1.0822,0.17472,1.4737,0.034412
OBS_9,Rasht,37.273,49.604,macroseismic,Stations_USGS,0.148516,0.8059,,,224.68,inferred,6.0,0.3,0.875,13.0374,1.0131,0.292096,1.0822,0.17573,1.4737,0.034635
OBS_11,Lahijan,37.21,49.999,macroseismic,Stations_USGS,0.145183,0.8059,,,255.58,inferred,6.0,0.3,0.875,13.0374,1.0131,0.288632,1.0822,0.178191,1.4737,0.035179
MZOBS_13,Robat-Karim (Intensity VII),35.4667,51.0833,macroseismic,Stations_USGS,0.144738,0.8059,,,305.96,inferred,6.5,0.3,0.875,18.768,1.0131,0.323127,1.0822,0.321325,1.4737,0.063994
OBS_10,Astaneh,37.261,49.954,macroseismic,Stations_USGS,0.142593,0.8059,,,180.0,inferred,6.0,0.3,0.875,13.0374,1.0131,0.285913,1.0822,0.180168,1.4737,0.035617
OBS_12,Langrud,37.196,50.154,macroseismic,Stations_USGS,0.142015,0.8059,,,230.85,inferred,6.0,0.3,0.875,13.0374,1.0131,0.285302,1.0822,0.180618,1.4737,0.035716
OBS_13,Rudsar,37.135,50.286,macroseismic,Stations_USGS,0.141779,0.8059,,,232.11,inferred,6.0,0.3,0.875,13.0374,1.0131,0.285054,1.0822,0.180801,1.4737,0.035757
TON,Tonekabun,36.81,50.78,seismic,Stations_USGS,0.136735,0.0,,,845.02,inferred,6.6,0.63,0.0,19.5,0.0,0.270408,0.0,0.247959,0.0,0.051837
ZANJAN,ZANJAN,36.67,48.48,seismic,Stations_USGS,0.135056,0.0,,,386.11,inferred,,,,,,,,,,
1364,Zanjan,36.66,48.5,seismic,Stations_USGS,0.12742,0.0,,,392.33,inferred,6.2,0.63,0.0,14.6,,,,,,
1359,Tonekabon,36.808,50.884,seismic,Stations_USGS,0.11957,0.0,,,255.17,inferred,,,,,,,,,,
GCR,Gachsar,36.11,51.3,seismic,Stations_USGS,0.105102,0.0,,,900.0,inferred,4.5,0.63,0.0,4.08,0.0,0.269388,0.0,0.033469,0.0,0.007561
MZOBS_11,Zanjan (Intensity VI),36.6667,48.4333,macroseismic,Stations_USGS,0.104112,0.8059,,,401.55,inferred,5.5,0.3,0.875,9.0565,1.0131,0.216118,1.0822,0.121384,1.4737,0.024353
RUD,Rudsar,37.13,50.3,seismic,Stations_USGS,0.097041,0.0,,,232.11,inferred,6.2,0.63,0.0,11.5,0.0,0.291837,0.0,0.122449,0.0,0.02398
1355,Rudsar,37.141,50.283,seismic,Stations_USGS,0.09093,0.0,,,241.62,inferred,5.6,0.63,0.0,10.0,,,,,,
MZOBS_19,Eshtehard (Intensity VI),35.721,50.366,macroseismic,Stations_USGS,0.086741,0.8059,,,318.77,inferred,5.5,0.3,0.875,9.0565,1.0131,0.196343,1.0822,0.135753,1.4737,0.027606
MZOBS_14,Karaj (Intensity VI),35.831,50.987,macroseismic,Stations_USGS,0.082762,0.8059,,,505.71,inferred,5.5,0.3,0.875,9.0565,1.0131,0.191555,1.0822,0.139717,1.4737,0.028511
1372,Eshtehard,35.721,50.366,seismic,Stations_USGS,0.07849,0.0,,,318.77,inferred,5.0,0.63,0.0,6.0,,,,,,
ROBATKARIM,ROBATKARIM,35.47,51.08,seismic,Stations_USGS,0.06683,0.0,,,305.96,inferred,,,,,,,,,,
TEHRAN042,TEHRAN042,35.71,51.39,seismic,Stations_USGS,0.06158,0.0,,,419.89,inferred,,,,,,,,,,
MZOBS_17,Ardebil (Intensity V),38.25,48.2833,macroseismic,Stations_USGS,0.058815,0.8059,,,260.37,inferred,5.0,0.3,0.875,6.2912,1.0131,0.116096,1.0822,0.095704,1.4737,0.01986
MZOBS_10,Kahrizak (Intensity V),35.5175,51.3597,macroseismic,Stations_USGS,0.055835,0.8059,,,250.51,inferred,5.0,0.3,0.875,6.2912,1.0131,0.108575,1.0822,0.098804,1.4737,0.020582
TEHRAN046,TEHRAN046,35.71,51.39,seismic,Stations_USGS,0.054944,0.0,,,419.89,inferred,,,,,,,,,,
KAHRIZAK,KAHRIZAK,35.5,51.37,seismic,Stations_USGS,0.048603,0.0,,,271.36,inferred,,,,,,,,,,
1363-1,Kahrizak,35.52,51.35,seismic,Stations_USGS,0.04689,0.0,,,250.51,inferred,5.2,0.63,0.0,7.1,,,,,,
1369,Rudshur,35.444,50.901,seismic,Stations_USGS,0.04485,0.0,,,299.37,inferred,5.0,0.63,0.0,6.2,,,,,,
MZOBS_12,Tehran (Chizar) (Intensity V),35.797,51.453,macroseismic,Stations_USGS,0.041762,0.8059,,,524.71,inferred,4.5,0.3,0.875,4.3703,1.0131,0.056426,1.0822,0.06559,1.4737,0.013841
MZOBS_15,Ghom (Intensity V),34.64,50.8764,macroseismic,Stations_USGS,0.037824,0.8059,,,241.85,inferred,4.5,0.3,0.875,4.3703,1.0131,0.049897,1.0822,0.069543,1.4737,0.01478
1371-2,Karaj,35.85,51.0,seismic,Stations_USGS,0.03568,0.0,,,774.36,inferred,4.2,0.63,0.0,3.5,,,,,,
MZOBS_18,Tabriz (Intensity V),38.0833,46.2833,macroseismic,Stations_USGS,0.035598,0.8059,,,361.07,inferred,4.5,0.3,0.875,4.3703,1.0131,0.04829,1.0822,0.070635,1.4737,0.01504
MIYANEH,MIYANEH,37.42,47.71,seismic,Stations_USGS,0.035229,0.0,,,377.92,inferred,,,,,,,,,,
TEH,Tehran-Building and Housing Research Center,35.73,51.37,seismic,Stations_USGS,0.033061,0.0,,,508.43,inferred,4.9,0.63,0.0,4.21,0.0,0.091939,0.0,0.06551,0.0,0.017347
1365,Ardebil,38.26,48.28,seismic,Stations_USGS,0.03058,0.0,,,260.37,inferred,4.2,0.63,0.0,3.5,,,,,,
KUSHKENOSRAT,KUSHKENOSRAT,35.11,50.9,seismic,Stations_USGS,0.028512,0.0,,,479.23,inferred,,,,,,,,,,
HIST_7,Koosk-e-Nosrat,35.16,50.88,seismic,Stations_USGS,0.027449,0.0,,,370.63,inferred,,,,,,,,,,
1370-2,Robat-Karim,51.08,35.47,seismic,Stations_USGS,0.01937,0.0,,,760.0,inferred,,,0.0,1.24,,,,,,
1366,Chizar,35.77,51.42,seismic,Stations_USGS,0.01927,0.0,,,441.54,inferred,,,,,,,,,,
MZOBS_16,Urumieh (Intensity IV),37.533,45.0833,macroseismic,Stations_USGS,0.015784,0.8059,,,274.46,inferred,4.0,0.3,0.875,2.6996,1.0131,0.023522,1.0822,0.048358,1.4737,0.01047
TEHRAN047,TEHRAN047,35.69,51.32,seismic,Stations_USGS,0.013598,0.0,,,374.31,inferred,,,,,,,,,,
THS,Tehran-Sarif University,35.7,51.48,seismic,Stations_USGS,0.012857,0.0,,,380.9,inferred,3.5,0.63,0.0,1.24,0.0,0.036837,0.0,0.018673,0.0,0.005143
