STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,EPICENTRAL_DISTANCE,STATION_TYPE,REFERENCES,PGA_VALUE,PGA_LN_SIGMA,SA(0.3)_VALUE,SA(0.3)_LN_SIGMA,SA(0.6)_VALUE,SA(0.6)_LN_SIGMA,SA(1.0)_VALUE,SA(1.0)_LN_SIGMA,SA(3.0)_VALUE,SA(3.0)_LN_SIGMA,SOIL_TYPE,VS30_TYPE,VS30,MMI_VALUE,MMI_STDDEV,PGV_LN_SIGMA,PGV_VALUE
UTM:(33T 0570 5073 1000),,45.8115,15.9074,,macroseismic,Stations_USGS,0.166055,0.8059,0.338357,1.0131,,,0.080865,1.0822,0.017855,1.4737,,inferred,357.18,5.9,0.3,0.875,9.3244
UTM:(33T 0573 5072 1000),,45.8021,15.9458,,macroseismic,Stations_USGS,0.165662,0.8059,0.337936,1.0131,,,0.080983,1.0822,0.017884,1.4737,,inferred,209.92,5.9,0.3,0.875,9.3244
UTM:(33T 0577 5068 1000),,45.7657,15.9967,,macroseismic,Stations_USGS,0.155754,0.8059,0.327155,1.0131,,,0.084103,1.0822,0.018658,1.4737,,inferred,223.59,5.9,0.3,0.875,9.3244
UTM:(33T 0578 5071 1000),,45.7926,16.01,,macroseismic,Stations_USGS,0.152623,0.8059,0.316352,1.0131,,,0.075712,1.0822,0.016793,1.4737,,inferred,225.52,5.8,0.3,0.875,8.6691
UTM:(33T 0571 5071 1000),,45.7933,15.92,,macroseismic,Stations_USGS,0.143166,0.8059,0.298965,1.0131,,,0.070008,1.0822,0.015575,1.4737,,inferred,223.15,5.7,0.3,0.875,8.0599
UTM:(33T 0570 5071 1000),,45.7935,15.9071,,macroseismic,Stations_USGS,0.14253,0.8059,0.298266,1.0131,,,0.070199,1.0822,0.015623,1.4737,,inferred,225.55,5.7,0.3,0.875,8.0599
UTM:(33T 0576 5074 1000),,45.8198,15.9848,,macroseismic,Stations_USGS,0.142129,0.8059,0.291082,1.0131,,,0.062522,1.0822,0.013894,1.4737,,inferred,394.28,5.6,0.3,0.875,7.4935
UTM:(33T 0574 5071 1000),,45.793,15.9586,,macroseismic,Stations_USGS,0.135554,0.8059,0.283923,1.0131,,,0.064363,1.0822,0.014353,1.4737,,inferred,237,5.6,0.3,0.875,7.4935
UTM:(33T 0570 5072 1000),,45.8025,15.9072,,macroseismic,Stations_USGS,0.127607,0.8059,0.268819,1.0131,,,0.059385,1.0822,0.013279,1.4737,,inferred,229.84,5.5,0.3,0.875,6.9669
UTM:(33T 0573 5071 1000),,45.7931,15.9457,,macroseismic,Stations_USGS,0.127193,0.8059,0.26836,1.0131,,,0.059503,1.0822,0.013309,1.4737,,inferred,222.57,5.5,0.3,0.875,6.9669
UTM:(33T 0571 5072 1000),,45.8024,15.9201,,macroseismic,Stations_USGS,0.11326,0.8059,0.241178,1.0131,,,0.050504,1.0822,0.011355,1.4737,,inferred,207.24,5.3,0.3,0.875,6.0221
UTM:(33T 0603 5128 1000),,46.3022,16.344,,macroseismic,Stations_USGS,0.100305,0.8059,0.247964,1.0131,,,0.087066,1.0822,0.019887,1.4737,,inferred,243.32,5.7,0.3,0.875,8.0599
UTM:(33T 0550 5156 1000),,46.5602,15.6589,,macroseismic,Stations_USGS,0.09031,0.8059,0.234651,1.0131,,,0.092852,1.0822,0.021374,1.4737,,inferred,362.65,5.7,0.3,0.875,8.0599
UTM:(33T 0584 5062 1000),,45.7109,16.0856,,macroseismic,Stations_USGS,0.085893,0.8059,0.199204,1.0131,,,0.047299,1.0822,0.010817,1.4737,,inferred,248.09,5.1,0.3,0.875,5.2054
UTM:(33T 0595 5073 1000),,45.8084,16.2291,,macroseismic,Stations_USGS,0.07182,0.8059,0.169279,1.0131,,,0.030417,1.0822,0.006752,1.4737,,inferred,415.6,4.8,0.3,0.875,4.1833
UTM:(33T 0562 5078 1000),,45.8572,15.8051,,macroseismic,Stations_USGS,0.071462,0.8059,0.156543,1.0131,,,0.01948,1.0822,0.003688,1.4737,,inferred,243.91,4.6,0.3,0.875,3.616
UTM:(33T 0551 5100 1000),,46.0561,15.6658,,macroseismic,Stations_USGS,0.06764,0.8059,0.163162,1.0131,,,0.032642,1.0822,0.007506,1.4737,,inferred,690.85,4.8,0.3,0.875,4.1833
UTM:(33T 0555 5072 1000),,45.8038,15.7142,,macroseismic,Stations_USGS,0.067495,0.8059,0.153836,1.0131,,,0.026111,1.0822,0.005544,1.4737,,inferred,496.7,4.7,0.3,0.875,3.8893
UTM:(33T 0565 5067 1000),,45.7579,15.8422,,macroseismic,Stations_USGS,0.066196,0.8059,0.141849,1.0131,,,0.021317,1.0822,0.004222,1.4737,,inferred,271.85,4.6,0.3,0.875,3.616
UTM:(33T 0642 5084 1000),,45.8993,16.837,,macroseismic,Stations_USGS,0.056933,0.8059,0.13823,1.0131,,,0.048108,1.0822,0.011304,1.4737,,inferred,299.69,4.9,0.3,0.875,4.4995
UTM:(33T 0619 5097 1000),,46.0206,16.5439,,macroseismic,Stations_USGS,0.055823,0.8059,0.120466,1.0131,,,0.03265,1.0822,0.007755,1.4737,,inferred,268.09,4.7,0.3,0.875,3.8893
UTM:(33T 0610 5137 1000),,46.382,16.437,,macroseismic,Stations_USGS,0.045002,0.8059,0.081586,1.0131,,,0.02679,1.0822,0.006144,1.4737,,inferred,210.47,4.5,0.3,0.875,3.3615
UTM:(33T 0567 5141 1000),,46.4237,15.8785,,macroseismic,Stations_USGS,0.043483,0.8059,0.073799,1.0131,,,0.022258,1.0822,0.004804,1.4737,,inferred,400.99,4.4,0.3,0.875,2.8741
UTM:(33T 0638 5038 1000),,45.4863,16.7723,,macroseismic,Stations_USGS,0.042563,0.8059,0.075935,1.0131,,,0.028606,1.0822,0.00678,1.4737,,inferred,367.14,4.5,0.3,0.875,3.3615
UTM:(33T 0514 5045 1000),,45.5629,15.1858,,macroseismic,Stations_USGS,0.040914,0.8059,0.068232,1.0131,,,0.023912,1.0822,0.00535,1.4737,,inferred,257.68,4.4,0.3,0.875,2.8741
UTM:(33T 0520 5120 1000),,46.2378,15.2659,,macroseismic,Stations_USGS,0.035743,0.8059,0.053711,1.0131,,,0.017099,1.0822,0.003448,1.4737,,inferred,292.1,4.2,0.3,0.875,2.1011
UTM:(33T 0641 5113 1000),,46.1604,16.8327,,macroseismic,Stations_USGS,0.028851,0.8059,0.045239,1.0131,,,0.015164,1.0822,0.002973,1.4737,,inferred,230.98,4.1,0.3,0.875,1.7965
UTM:(33T 0509 5133 1000),,46.355,15.1235,,macroseismic,Stations_USGS,0.026511,0.8059,0.04322,1.0131,,,0.01581,1.0822,0.003166,1.4737,,inferred,434.66,4.1,0.3,0.875,1.7965
LJU,"Ljubljana, SL",46.0438,14.5278,,seismic,Stations_USGS,0.004688,0,0.004844,0,,,0.004523,0,0.000463,0,,inferred,760,3,0.63,0,0.2305
PERS,"Pernice, SL",46.6365,15.1139,,seismic,Stations_USGS,0.004426,0,0.004805,0,,,0.002344,0,0.000388,0,,inferred,900,2.8,0.63,0,0.2459
VNDS,"Vrh nad Dolskim, SL",46.1016,14.7014,,seismic,Stations_USGS,0.004362,0,0.005862,0,,,0.003605,0,0.000448,0,,inferred,864.32,3.1,0.63,0,0.2402
CEY,"Cerknica, SL",45.7381,14.4221,,seismic,Stations_USGS,0.001983,0,0.002204,0,,,0.002545,0,0.000251,0,,inferred,760,2.6,0.63,0,0.1758
SABO,Sabotino,45.9875,13.6337,,seismic,Stations_USGS,0.0014,0,0.004674,0,,,0.001939,0,0.000369,0,,inferred,760,2.5,0.63,0,0.1188
TEOL,Teolo,45.3617,11.6739,,seismic,Stations_USGS,0.000864,0,0.001479,0,,,0.001798,0,0.000108,0,,inferred,760,2.2,0.63,0,0.0968
GUMA,Gualdo di Macerata,43.0627,13.3352,,seismic,Stations_USGS,0.000727,0,0.001097,0,,,0.000958,0,0.000114,0,,inferred,760,2,0.63,0,0.0675
CTI,CASTELLO TESINO,46.0482,11.6497,,seismic,Stations_USGS,0.000439,0,0.000956,0,,,0.000509,0,0.000127,0,,inferred,760,1.5,0.63,0,0.0391
ARSA,"Arzberg, Styria, Austria",47.2505,15.5232,,seismic,Stations_USGS,0.000398,0,0.001103,0,,,0.000623,0,0.000207,0,,inferred,760,1.3,0.63,0,0.031
SALO,Salo,45.6183,10.5243,,seismic,Stations_USGS,0.000346,0,0.000602,0,,,0.000767,0,0.000102,0,,inferred,760,1.9,0.63,0,0.0411
FUSE,Fusea,46.4142,13.0011,,seismic,Stations_USGS,0.000287,0,0.000672,0,,,0.000771,0,0.000127,0,,inferred,760,1.7,0.63,0,0.0358
CESX,Cesi,42.6085,12.5868,,seismic,Stations_USGS,0.000146,0,0.00021,0,,,0.000496,0,8.70E-05,0,,inferred,760,1.1,0.63,0,0.0249
FDMO,Fiordimonte,43.0365,13.0873,,seismic,Stations_USGS,0.000145,0,0.000201,0,,,0.000568,0,8.60E-05,0,,inferred,760,1.2,0.63,0,0.0282
GEC2A,Null,48.8451,13.7016,,seismic,Stations_USGS,0.000133,0,0.000187,0,,,0.000136,0,7.60E-05,0,,inferred,760,1,0.63,0,0.0166
PRMA,Parma,44.7637,10.3131,,seismic,Stations_USGS,0.000132,0,0.000183,0,,,0.00042,0,0.000153,0,,inferred,760,1.6,0.63,0,0.0287
KHC,Kasperske Hory,49.1309,13.5782,,seismic,Stations_USGS,0.000124,0,0.000156,0,,,0.000237,0,8.10E-05,0,,inferred,760,1,0.63,0,0.0137
SGRT,San Giovanni Rotondo,41.7546,15.7437,,seismic,Stations_USGS,0.000119,0,0.000176,0,,,0.000294,0,8.20E-05,0,,inferred,760,1,0.63,0,0.022
FUORN,"Ofenpass-Fuorn, GR",46.6203,10.2635,,seismic,Stations_USGS,6.00E-05,0,0.000108,0,,,0.000117,0,5.60E-05,0,,inferred,760,1,0.63,0,0.0148
PSZ,"GKKI/GEOFON Station Piszkes, Hungary",47.9184,19.8944,,seismic,Stations_USGS,4.20E-05,0,0.000102,0,,,9.30E-05,0,4.20E-05,0,,inferred,760,1,0.63,0,0.0105
MORC,"GEOFON Station Moravsky Beroun, Czech Republic",49.7766,17.5428,,seismic,Stations_USGS,3.10E-05,0,5.50E-05,0,,,5.50E-05,0,3.00E-05,0,,inferred,760,1,0.63,0,0.0047
UTM:(33T 0404 5056 1000),,45.6555,13.7742,,macroseismic,Stations_USGS,,,,,,,,,,,,inferred,760,3.2,0.3,,
UTM:(33T 0405 5056 1000),,45.6556,13.7871,,macroseismic,Stations_USGS,,,,,,,,,,,,inferred,760,3,0.3,,
UTM:(33T 0437 5065 1000),,45.7402,14.1966,,macroseismic,Stations_USGS,,,,,,,,,,,,inferred,760,3.3,0.3,,
UTM:(33T 0449 5120 1000),,46.2362,14.345,,macroseismic,Stations_USGS,,,,,,,,,,,,inferred,760,2.7,0.3,,
UTM:(33T 0460 5098 1000),,46.0389,14.4895,,macroseismic,Stations_USGS,,,,,,,,,,,,inferred,760,2.8,0.3,,
UTM:(33T 0460 5102 1000),,46.0749,14.4892,,macroseismic,Stations_USGS,,,,,,,,,,,,inferred,760,3.1,0.3,,
UTM:(33T 0461 5098 1000),,46.039,14.5024,,macroseismic,Stations_USGS,,,,,,,,,,,,inferred,760,2.8,0.3,,
UTM:(33T 0461 5099 1000),,46.048,14.5024,,macroseismic,Stations_USGS,,,,,,,,,,,,inferred,760,3.5,0.3,,
UTM:(33T 0461 5100 1000),,46.057,14.5023,,macroseismic,Stations_USGS,,,,,,,,,,,,inferred,760,3.4,0.3,,
UTM:(33T 0469 5109 1000),,46.1384,14.6051,,macroseismic,Stations_USGS,,,,,,,,,,,,inferred,760,2.8,0.3,,
UTM:(33T 0486 5107 1000),,46.1209,14.8253,,macroseismic,Stations_USGS,,,,,,,,,,,,inferred,486.89,3.6,0.3,,
UTM:(33T 0503 5109 1000),,46.1391,15.0453,,macroseismic,Stations_USGS,,,,,,,,,,,,inferred,457.46,3.7,0.3,,
UTM:(33T 0503 5136 1000),,46.3821,15.0455,,macroseismic,Stations_USGS,,,,,,,,,,,,inferred,381.86,3.4,0.3,,
UTM:(33T 0508 5133 1000),,46.355,15.1105,,macroseismic,Stations_USGS,,,,,,,,,,,,inferred,406.48,3.9,0.3,,
UTM:(33T 0510 5133 1000),,46.355,15.1365,,macroseismic,Stations_USGS,,,,,,,,,,,,inferred,500.52,3.6,0.3,,
UTM:(33T 0513 5072 1000),,45.8059,15.1737,,macroseismic,Stations_USGS,,,,,,,,,,,,inferred,254.28,3.7,0.3,,
UTM:(33T 0516 5128 1000),,46.3099,15.2143,,macroseismic,Stations_USGS,,,,,,,,,,,,inferred,501.64,3,0.3,,
UTM:(33T 0520 5121 1000),,46.2468,15.2659,,macroseismic,Stations_USGS,,,,,,,,,,,,inferred,321.74,3.7,0.3,,
UTM:(33T 0526 5076 1000),,45.8415,15.3413,,macroseismic,Stations_USGS,,,,,,,,,,,,inferred,347.83,3.9,0.3,,
UTM:(33T 0533 5212 1000),,47.0652,15.4412,,macroseismic,Stations_USGS,,,,,,,,,,,,inferred,760,2.9,0.3,,
UTM:(33T 0534 5215 1000),,47.0921,15.4546,,macroseismic,Stations_USGS,,,,,,,,,,,,inferred,760,2.4,0.3,,
UTM:(33T 0543 5038 1000),,45.4987,15.5568,,macroseismic,Stations_USGS,,,,,,,,,,,,inferred,236.06,3.3,0.3,,
UTM:(33T 0544 5137 1000),,46.3896,15.5788,,macroseismic,Stations_USGS,,,,,,,,,,,,inferred,343.26,3.8,0.3,,
UTM:(33T 0548 5154 1000),,46.5423,15.6326,,macroseismic,Stations_USGS,,,,,,,,,,,,inferred,217.48,3.3,0.3,,
UTM:(33T 0548 5155 1000),,46.5513,15.6327,,macroseismic,Stations_USGS,,,,,,,,,,,,inferred,249.63,2.8,0.3,,
UTM:(33T 0549 5156 1000),,46.5602,15.6458,,macroseismic,Stations_USGS,,,,,,,,,,,,inferred,330.16,3.6,0.3,,
UTM:(33T 0550 5155 1000),,46.5512,15.6587,,macroseismic,Stations_USGS,,,,,,,,,,,,inferred,271.84,3.7,0.3,,
UTM:(33T 0573 4979 1000),,44.9651,15.932,,macroseismic,Stations_USGS,,,,,,,,,,,,inferred,760,3.6,0.3,,
UTM:(33T 0610 5138 1000),,46.391,16.4372,,macroseismic,Stations_USGS,,,,,,,,,,,,inferred,212.17,3.9,0.3,,
UTM:(33T 0635 4981 1000),,44.974,16.7184,,macroseismic,Stations_USGS,,,,,,,,,,,,inferred,760,2.8,0.3,,
UTM:(33T 0673 4959 1000),,44.7678,17.1925,,macroseismic,Stations_USGS,,,,,,,,,,,,inferred,760,2.4,0.3,,
UTM:(33T 0673 5051 1000),,45.5954,17.2245,,macroseismic,Stations_USGS,,,,,,,,,,,,inferred,350.37,3.7,0.3,,
UTM:(34T 0265 5004 1000),,45.155,18.0166,,macroseismic,Stations_USGS,,,,,,,,,,,,inferred,760,3,0.3,,
UTM:(34T 0285 5105 1000),,46.0694,18.2263,,macroseismic,Stations_USGS,,,,,,,,,,,,inferred,760,3,0.3,,
