custom_site_id,lon,lat,vs30
m_98,-71.22,-34.98,247.18
m_99,-71.2463,-34.9841,280.17
m_100,-71.67,-35.07,260.53
m_101,-72.0175,-35.0938,475.17
m_102,-73.83,-41.87,484.39
m_103,-71.6,-33.05,513.49
m_104,-70.86,-34.4,303.85
m_105,-72.23,-36.96,309.19
m_106,-72.5348,-35.7392,356.12
m_107,-72.4,-36.39,900
m_108,-71.73,-34.12,331.97
m_109,-72.7,-36.49,479.88
m_110,-72.08,-36.98,302.98
m_111,-72.4095,-35.3346,561.69
m_112,-70.6782,-33.3662,585.66
m_113,-71.48,-34.44,252.54
m_114,-70.6645,-33.4068,344.77
m_115,-72.27,-35.59,315.81
m_116,-71.61,-33.91,440.08
m_117,-72.4,-37.03,358.67
m_118,-73.0476,-36.8271,211.93
m_119,-70.67,-33.45,306.36
m_120,-72.4122,-35.3326,298.12
m_121,-70.67,-34.18,328.31
m_122,-70.7564,-33.5034,300.77
m_123,-72.83,-37.98,286.09
m_124,-70.6005,-33.4551,329.21
m_125,-70.7815,-33.7325,301.46
m_126,-71.45,-35.38,252.77
m_127,-70.8835,-33.8766,367.46
m_128,-73.23,-38.01,707.38
m_129,-73.16,-37.03,403.99
m_130,-72.42,-35.33,298.12
m_131,-71.33,-29.96,600
m_132,-71.6075,-33.048,652.98
m_133,-71.724,-36.0038,256.22
m_134,-72.3516,-37.4707,262.03
m_135,-71.74,-35.67,271.24
m_136,-72.5418,-36.2817,331.5
m_137,-73.65,-37.61,663.93
m_138,-73.16,-37.09,425.92
m_139,-73.0543,-36.8282,211.93
m_140,-71.231,-34.9866,247.18
m_141,-72.4136,-35.3276,298.12
m_142,-73,-36.73,600
m_143,-71.36,-33.04,336.54
m_144,-73.0575,-36.8258,211.93
m_145,-71.3662,-34.6392,226.14
m_146,-72.102,-36.6069,274.83
m_147,-73.0432,-36.822,211.93
m_148,-71.598,-35.8454,246.83
m_149,-71.7661,-36.0524,229.85
m_150,-71.74,-35.6,325.47
m_151,-70.7034,-33.6903,293.53
m_152,-72.3152,-35.9667,234.97
m_153,-72.0092,-34.986,489.93
m_154,-71.28,-35.11,288.35
m_155,-73.67,-37.6,600
m_156,-72.41,-35.3337,561.69
m_157,-70.72,-34.07,261.98
m_158,-72.58,-38.73,448.78
m_159,-73.0618,-36.828,211.93
m_160,-71.24,-32.46,403.94
m_161,-71.08,-34.44,242.58
m_162,-71.28,-34.36,313.76
m_163,-71.82,-33.95,283.75
m_164,-72.4102,-35.3305,298.12
m_165,-71.74,-35.59,283.75
m_166,-66.35,-33.31,363.2
m_167,-71.02,-33.68,281.39
m_168,-72.36,-37.46,278.7
m_169,-73.0969,-36.8378,496.01
m_170,-73.1137,-36.7167,533.54
m_171,-73.08,-38.02,461.68
m_172,-71.05,-34.7,282.17
m_173,-72.4082,-35.3317,298.12
m_174,-71.22,-33.69,257.8
m_175,-67.49,-45.86,760
m_176,-73.087,-36.8361,496.01
m_177,-73.0527,-36.8304,211.93
m_178,-73.0448,-36.8228,211.93
m_179,-70.7936,-33.3967,223.14
m_180,-72.02,-35.08,475.17
m_181,-72.4146,-35.3312,298.12
m_182,-72.4103,-35.3355,561.69
m_183,-72.55,-37.1,331.64
m_184,-72.4046,-35.3396,561.69
m_185,-72.71,-37.28,355.55
m_186,-70.66,-34.19,450.98
m_187,-71.31,-34.29,558.7
m_188,-70.7554,-33.505,300.77
m_189,-72.19,-36.5,205.57
m_190,-72.4098,-35.3365,561.69
m_191,-70.75,-33.82,292.41
m_192,-71.68,-35.97,228.51
m_193,-71.5,-33.04,604.2
m_194,-71.31,-34.93,842.72
m_195,-72.4107,-35.3375,561.69
m_196,-73.1412,-37.0341,600
m_197,-71.61,-34.4,282.91
m_198,-70.74,-34.17,291.45
m_199,-70.7,-33.6,330.11
m_200,-72.07,-45.57,760
m_201,-71.5506,-33.0184,282.96
m_202,-71.66,-35.42,240.48
m_203,-73.0612,-36.8208,211.93
m_204,-70.57,-33.61,315.92
m_205,-71.98,-35.32,409.2
m_206,-73.0664,-36.8186,211.93
m_207,-73.051,-32.8266,600
m_208,-72.4142,-35.3296,298.12
m_209,-73.0833,-36.8154,296.37
m_210,-72.03,-36.8,301.73
m_211,-73.053,-36.8288,211.93
m_212,-72.411,-35.3293,298.12
m_213,-73.0488,-36.8257,211.93
m_214,-73.0685,-36.8302,296.37
m_215,-72.413,-35.3287,298.12
m_216,-73.1117,-36.7136,533.54
m_217,-73.16,-40.57,314.77
m_218,-72.4074,-35.3368,561.69
m_219,-70.67,-34.04,323.66
m_220,-72.44,-37.08,231.3
m_221,-72.32,-35.96,279.59
m_222,-71.27,-33.02,483.14
m_223,-72.4098,-35.334,561.69
m_224,-71.28,-34.73,236.63
m_225,-73.0617,-36.8229,211.93
m_226,-70.93,-33.67,310.39
m_227,-71.815,-36.2829,236.15
m_228,-71.99,-35.24,409.87
m_229,-71.57,-35.75,248.5
m_230,-72.4082,-35.3339,561.69
m_231,-71.83,-36.14,262.88
m_232,-73.0585,-36.8297,211.93
m_233,-70.93,-33.66,302.8
m_234,-70.6709,-33.3468,585.66
m_235,-71.6181,-34.397,282.91
m_236,-72.7,-37.27,355.55
m_237,-73.04,-36.9,548.41
m_238,-71.22,-34.67,238.27
m_239,-71.64,-33.04,677.67
m_240,-71.37,-34.63,221.28
m_241,-70.64,-33.46,335.54
m_242,-70.9,-33.28,532.4
m_243,-71.24,-34.98,280.17
m_244,-72.95,-36.62,555.47
m_245,-70.6755,-33.3614,585.66
m_246,-71.17,-34.38,245.15
m_247,-71.61,-33.59,482.76
m_248,-71.51,-31.91,394.93
m_249,-70.7263,-34.0644,298.5
m_250,-73.053,-36.8278,211.93
m_251,-72.94,-41.47,600
m_252,-71.55,-33.01,282.96
m_253,-72.4129,-35.3313,298.12
m_254,-72.4059,-35.3376,561.69
m_255,-71.6661,-35.4265,240.48
m_256,-70.7132,-33.5949,402.75
m_257,-71.8222,-36.1413,262.88
m_258,-71.08,-34.43,549.95
m_259,-72.4134,-35.3307,298.12
m_260,-71.5,-34.5,707.21
m_261,-73.4,-37.8,290.38
m_262,-70.96,-34.23,432.18
m_263,-71.9527,-36.4207,251.39
m_264,-71.55,-34.44,281.05
m_265,-72.7926,-36.1323,660.14
m_266,-72.4786,-36.7548,344.45
m_267,-71.77,-36.03,234.93
m_268,-72.99,-41.33,412.65
m_269,-70.92,-33.62,290.53
m_270,-73.41,-37.63,267.69
m_271,-71.12,-31.6,742.97
m_272,-72.9566,-36.6169,555.47
m_273,-70.5954,-33.4475,339.5
m_274,-71.59,-35.84,246.83
m_275,-72.35,-37.47,262.03
m_276,-70.7407,-34.1707,291.45
m_277,-72.47,-36.74,344.45
m_278,-71.1,-34.3,464.84
m_279,-73.4,-37.81,383.68
m_280,-71.52,-33.01,485.56
m_281,-73.0621,-36.8267,211.93
m_282,-70.7615,-33.5022,300.77
m_283,-70.6707,-33.3566,585.66
m_284,-72.4085,-35.3347,561.69
m_285,-71.25,-29.9,472.65
m_286,-72.3,-36.74,244.5
m_287,-73.039,-36.8209,211.93
m_288,-71.62,-34.8,900
m_289,-71.89,-34.66,399.89
m_290,-72.55,-36.28,331.5
m_291,-72.4086,-35.3284,298.12
m_292,-71.16,-34.87,299.18
m_293,-71.62,-33.77,512.93
m_294,-72.4074,-35.3325,298.12
m_295,-71.84,-33.93,325.65
m_296,-71.98,-34.99,509.25
m_297,-72.23,-39.28,329.76
m_298,-72.78,-36.13,660.14
m_299,-72.414,-35.3322,298.12
m_300,-71.58,-35.55,269.35
m_301,-72.411,-35.3333,298.12
m_302,-73.0502,-36.8271,211.93
m_303,-73.05,-36.83,211.93
m_304,-71.2,-30.59,462.3
m_305,-71.26,-32.88,275.55
m_306,-72.52,-35.73,394.68
m_307,-73.0491,-36.8253,211.93
m_308,-73.35,-37.47,522.12
m_309,-70.6633,-33.4065,344.77
m_310,-71.81,-35.34,225.88
m_311,-70.77,-33.7,301.46
m_312,-72.4104,-35.3331,298.12
m_313,-71.2061,-34.6529,371.92
m_314,-73.04,-36.8181,211.93
m_315,-71.64,-34.26,439.33
m_316,-73.0628,-36.8379,588.89
m_317,-72.4087,-35.3333,298.12
m_318,-71.2391,-34.9819,280.17
m_319,-71.96,-36.42,251.39
m_320,-73.0568,-36.8293,211.93
m_321,-71.82,-36.15,262.88
m_322,-70.5992,-33.4755,347.4
m_323,-71.3916,-35.1832,268
m_324,-68.34,-34.62,286.54
m_325,-70.94,-34.27,699.42
m_326,-68.83,-32.89,331.13
m_327,-72.4061,-35.3348,561.69
m_328,-73.0596,-36.7769,357.29
m_329,-71.16,-34.86,288.85
m_330,-71.61,-33.6,420.51
m_331,-70.6976,-33.4156,304.48
m_332,-72.709,-37.7989,501.84
m_333,-70.6891,-33.366,585.66
m_334,-72.41,-35.34,561.69
m_335,-70.6611,-33.3943,265.82
m_336,-71.27,-35.28,312.98
m_337,-73.0546,-36.3287,600
m_338,-72.409,-35.3326,298.12
m_339,-73,-36.74,501.89
m_340,-71.5,-34.23,339.53
m_341,-72.67,-36.43,446.93
m_342,-71.24,-34.9847,280.17
m_343,-72.4114,-35.3311,298.12
m_344,-73.13,-36.74,311.19
m_345,-71.73,-33.94,426.47
m_346,-70.74,-34.16,304.84
m_347,-72.9288,-37.1234,439.01
m_348,-71.49,-35.53,284
m_349,-73.1284,-36.713,533.54
m_350,-72.58,-37.67,225.84
m_351,-72.66,-36.82,362.72
m_352,-73.1087,-36.7198,533.54
m_353,-73.0473,-36.8226,211.93
m_354,-73.0551,-36.8295,211.93
m_355,-71.53,-33.93,327.12
m_356,-72.6,-36.64,492.18
m_357,-72.4108,-35.3323,298.12
m_358,-71.63,-34.28,290.24
m_359,-71.3206,-35.0954,296.26
m_360,-71.48,-35.55,290.36
m_361,-73.23,-39.82,224.49
m_362,-73.0361,-36.8231,211.93
m_363,-65.47,-33.69,311.16
m_364,-71.12,-34.96,349.09
m_365,-73.28,-37.26,279.33
m_366,-71.81,-34.98,400.35
m_367,-68.49,-33.07,218.86
m_368,-73.0282,-36.8154,315.41
m_369,-71.59,-35.85,246.83
m_370,-70.6,-32.83,397.78
m_371,-70.97,-31.77,787.14
m_372,-70.75,-33.73,291.14
m_373,-73.0572,-36.8295,211.93
m_374,-73.0361,-36.8202,211.93
m_375,-71.19,-32.79,384.05
m_376,-73.7019,-37.6285,600
m_377,-73.8785,-41.8532,600
m_378,-73.2634,-39.8066,252.2
m_379,-73.0927,-36.8405,496.01
m_380,-73.088,-36.7506,232.22
m_381,-73.1909,-40.5297,517.26
m_382,-72.9669,-36.5745,569.81
m_383,-73.004,-41.3469,350.24
m_384,-72.8901,-41.4408,299.64
m_385,-72.6889,-37.7546,593.6
m_386,-72.6667,-37.3049,348.53
m_387,-72.6244,-38.7475,291.6
m_388,-72.4652,-35.3286,600
m_389,-72.3368,-37.4948,262.03
m_390,-72.2712,-35.9648,296.54
m_391,-72.189,-39.3007,350.77
m_392,-71.8346,-36.1562,235.25
m_393,-71.7051,-35.6184,263.41
m_394,-71.699,-35.4383,255.06
m_395,-71.6225,-33.0059,600
m_396,-72.0138,-45.6088,760
m_397,-71.6007,-35.801,248.44
m_398,-71.5156,-33.0081,485.56
m_399,-71.4817,-35.5331,284
m_400,-71.3456,-34.6344,226.14
m_401,-71.3016,-33.0123,263.14
m_402,-71.2878,-32.4714,639.25
m_403,-71.2488,-35.087,295.41
m_404,-71.2463,-34.9969,280.17
m_405,-71.3229,-41.1229,600
m_406,-71.1229,-34.4581,233.52
m_407,-71.0207,-34.7304,293.66
m_408,-71.0162,-34.5501,900
m_409,-70.9032,-34.3716,271.48
m_410,-70.8872,-33.6504,300.56
m_411,-70.7832,-33.8324,284.46
m_412,-70.7813,-33.7422,308.55
m_413,-70.6822,-34.1945,328.31
m_414,-70.6805,-34.1043,275.09
m_415,-70.6681,-33.4733,285.37
m_416,-68.8398,-32.8529,424.35
m_417,-68.5181,-33.0326,221.11
m_418,-68.2907,-34.6549,285.7
m_419,-66.3695,-33.2763,355.12
