STATION_ID,STATION_NAME,LONGITUDE,LATITUDE,STATION_TYPE,VS30,MMI_VALUE,MMI_STDDEV,PGA_LN_SIGMA,PGA_VALUE,PGV_LN_SIGMA,PGV_VALUE,SA(0.3)_LN_SIGMA,SA(0.3)_VALUE,SA(1.0)_LN_SIGMA,SA(1.0)_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE,VS30_TYPE,REFERENCES,GMICE,SA(2.0)_VALUE,SA(2.0)_LN_SIGMA
LAK,"Lakhimpur, India",80.79,27.949,seismic,760.0,3.9,0.63,0.0,0.0143,0.0,2.26,,,,,,,inferred,Stations_USGS_PanjamaniEtAl2016,,,
PTN,"Patna, India",85.149,25.622,seismic,291.05,4.5,0.63,0.0,0.047,0.0,4.4,,,,,,,inferred,Stations_USGS_PanjamaniEtAl2016,,,
KHA,"Khatima, India",79.961,28.925,seismic,760.0,3.9,0.63,0.0,0.00987,0.0,1.89,,,,,,,inferred,Stations_USGS_PanjamaniEtAl2016,,,
TDR,"Takurdwar, India",78.855,29.148,seismic,760.0,3.6,0.63,0.0,0.00534,0.0,1.17,,,,,,,inferred,Stations_USGS_PanjamaniEtAl2016,,,
NAR,"Narora, India",78.425,28.226,seismic,760.0,3.6,0.63,0.0,0.00803,0.0,1.55,,,,,,,inferred,Stations_USGS_PanjamaniEtAl2016,,,
GDA,"Gonda, India",82.237,27.116,seismic,215.62,4.8,0.63,0.0,0.0433,0.0,5.16,,,,,,,inferred,Stations_USGS_PanjamaniEtAl2016,,,
FZB,"Faizabad, India",82.146,26.73,seismic,227.05,,,0.0,0.0328,0.0,40.7,,,,,,,inferred,Stations_USGS_PanjamaniEtAl2016,,,
JAU,"Jaunpur, India",82.693,25.733,seismic,284.59,4.1,0.63,0.0,0.0215,0.0,2.46,,,,,,,inferred,Stations_USGS_PanjamaniEtAl2016,,,
TAN,"Tanakpur, India",80.112,29.074,seismic,760.0,3.6,0.63,0.0,0.00519,0.0,1.47,,,,,,,inferred,Stations_USGS_PanjamaniEtAl2016,,,
THM,THM (Intensity VII),85.3643,27.6749,macroseismic,290.13,7.0,0.3,0.52,0.13476608308585894,0.52,21.655737325297455,0.56,0.28321205646624636,0.58,0.08668205991575496,0.65,0.02525124352620635,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.10009937466009874,0.62
OBS_14,Near Trishuli Bazaar (Intensity IX),85.1303,27.9236,macroseismic,900.0,8.5,0.3,0.52,0.3922346560010223,0.52,78.61101238308251,0.56,0.9531631723643558,0.58,0.3096155035446315,0.65,0.10358056485117581,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.49826156374187897,0.62
OBS_5,Laprak Village (Intensity IX),84.8008,28.2189,macroseismic,900.0,9.0,0.3,0.52,0.5600168343967803,0.52,120.81481524795296,0.56,1.4284085011041625,0.58,0.4732825851390492,0.65,0.16580976733828334,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.8507449779974539,0.62
KATNP,KATNP (Intensity VII),85.3074,27.7082,macroseismic,304.61,7.0,0.3,0.52,0.13476608308585894,0.52,21.655737325297455,0.56,0.28321205646624636,0.58,0.08668205991575496,0.65,0.02525124352620635,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.10009937466009874,0.62
OBS_6,Phulkharka (Intensity IX),84.9198,28.0646,macroseismic,900.0,9.0,0.3,0.52,0.5600168343967803,0.52,120.81481524795296,0.56,1.4284085011041625,0.58,0.4732825851390492,0.65,0.16580976733828334,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.8507449779974539,0.62
OBS_10,Gaunkharka (Intensity IX),85.4578,27.9371,macroseismic,900.0,9.0,0.3,0.52,0.5600168343967803,0.52,120.81481524795296,0.56,1.4284085011041625,0.58,0.4732825851390492,0.65,0.16580976733828334,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.8507449779974539,0.62
OBS_11,Kharanitar (Intensity VIII),85.3207,27.9281,macroseismic,900.0,8.0,0.3,0.52,0.27472035824415364,0.52,51.15011147606632,0.56,0.6360365626845507,0.58,0.2025465610720321,0.65,0.06470628110224393,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.29182021912945755,0.62
OBS_4,Barpak Village (Intensity IX),84.7429,28.201,macroseismic,900.0,9.0,0.3,0.52,0.5600168343967803,0.52,120.81481524795296,0.56,1.4284085011041625,0.58,0.4732825851390492,0.65,0.16580976733828334,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.8507449779974539,0.62
OBS_1,Swayambhunath Stupa (Intensity VIII),85.2905,27.7151,macroseismic,463.5,8.0,0.3,0.52,0.27472035824415364,0.52,51.15011147606632,0.56,0.6360365626845507,0.58,0.2025465610720321,0.65,0.06470628110224393,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.29182021912945755,0.62
OBS_8,Chautara (Intensity IX),85.7222,27.7707,macroseismic,821.8,9.0,0.3,0.52,0.5600168343967803,0.52,120.81481524795296,0.56,1.4284085011041625,0.58,0.4732825851390492,0.65,0.16580976733828334,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.8507449779974539,0.62
RAM,RAM (Intensity VIII),85.251,27.7223,macroseismic,747.46,8.1,0.3,0.52,0.2949998994622657,0.52,55.74089600729068,0.56,0.6896347170869556,0.58,0.22048773645832476,0.65,0.07109070270480586,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.3247758893713248,0.62
TVU,TVU (Intensity VII),85.3167,27.691,macroseismic,403.67,7.0,0.3,0.52,0.13476608308585894,0.52,21.655737325297455,0.56,0.28321205646624636,0.58,0.08668205991575496,0.65,0.02525124352620635,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.10009937466009874,0.62
SWY,SWY (Intensity VIII),85.2756,27.7126,macroseismic,463.5,8.0,0.3,0.52,0.27472035824415364,0.52,51.15011147606632,0.56,0.6360365626845507,0.58,0.2025465610720321,0.65,0.06470628110224393,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.29182021912945755,0.62
OBS_9,Ghale (Intensity VIII),84.3089,28.2776,macroseismic,900.0,8.0,0.3,0.52,0.27472035824415364,0.52,51.15011147606632,0.56,0.6360365626845507,0.58,0.2025465610720321,0.65,0.06470628110224393,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.29182021912945755,0.62
OBS_7,Pipaldanda (Intensity IX),85.6869,27.7791,macroseismic,857.49,9.0,0.3,0.52,0.5600168343967803,0.52,120.81481524795296,0.56,1.4284085011041625,0.58,0.4732825851390492,0.65,0.16580976733828334,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.8507449779974539,0.62
BHK,BHK (Intensity VIII),85.4259,27.6719,macroseismic,318.5,7.8,0.3,0.52,0.2382477437698744,0.52,43.07168505756668,0.56,0.5410133888001925,0.58,0.17092506110004468,0.65,0.05360603753837775,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.2356017848760766,0.62
OBS_12,Betrawati (Intensity IX),85.1857,27.9737,macroseismic,900.0,8.5,0.3,0.52,0.3922346560010223,0.52,78.61101238308251,0.56,0.9531631723643558,0.58,0.3096155035446315,0.65,0.10358056485117581,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.49826156374187897,0.62
OBS_2,Dharhara Tower (Intensity VIII),85.3119,27.7006,macroseismic,313.22,8.0,0.3,0.52,0.27472035824415364,0.52,51.15011147606632,0.56,0.6360365626845507,0.58,0.2025465610720321,0.65,0.06470628110224393,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.29182021912945755,0.62
DMG,DMG (Intensity VIII),85.3197,27.7218,macroseismic,283.38,7.5,0.3,0.52,0.19241358222461452,0.52,33.28202785716901,0.56,0.42442104437175854,0.58,0.13250340804136326,0.65,0.0404217028561134,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.17091232093688177,0.62
OBS_13,Battar Bazaar (Intensity IX),85.1463,27.8969,macroseismic,614.68,8.5,0.3,0.52,0.3922346560010223,0.52,78.61101238308251,0.56,0.9531631723643558,0.58,0.3096155035446315,0.65,0.10358056485117581,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.49826156374187897,0.62
OBS_15,Trishuli Bazaar (Intensity IX),85.1413,27.9255,macroseismic,720.12,8.5,0.3,0.52,0.3922346560010223,0.52,78.61101238308251,0.56,0.9531631723643558,0.58,0.3096155035446315,0.65,0.10358056485117581,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.49826156374187897,0.62
GNG,GNG (Intensity VIII),85.3171,27.7375,macroseismic,348.46,8.0,0.3,0.52,0.27472035824415364,0.52,51.15011147606632,0.56,0.6360365626845507,0.58,0.2025465610720321,0.65,0.06470628110224393,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.29182021912945755,0.62
OBS_3,Taleju (Intensity VIII),85.3079,27.7049,macroseismic,304.61,8.0,0.3,0.52,0.27472035824415364,0.52,51.15011147606632,0.56,0.6360365626845507,0.58,0.2025465610720321,0.65,0.06470628110224393,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.29182021912945755,0.62
Anantalingeshwor1,Anantalingeshwor1,85.3645,27.666,macroseismic,290.13,7.0,0.3,0.52,0.13476608308585894,0.52,21.655737325297455,0.56,0.28321205646624636,0.58,0.08668205991575496,0.65,0.02525124352620635,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.10009937466009874,0.62
Anantalingeshwor2,Anantalingeshwor2,85.375,27.668,macroseismic,290.44,7.0,0.3,0.52,0.13476608308585894,0.52,21.655737325297455,0.56,0.28321205646624636,0.58,0.08668205991575496,0.65,0.02525124352620635,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.10009937466009874,0.62
Anantalingeshwor11,Anantalingeshwor11,85.3881,27.654,macroseismic,424.69,7.5,0.3,0.52,0.19241358222461452,0.52,33.28202785716901,0.56,0.42442104437175854,0.58,0.13250340804136326,0.65,0.0404217028561134,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.17091232093688177,0.62
Anantalingeshwor15,Anantalingeshwor15,85.4118,27.647,macroseismic,556.32,7.0,0.3,0.52,0.13476608308585894,0.52,21.655737325297455,0.56,0.28321205646624636,0.58,0.08668205991575496,0.65,0.02525124352620635,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.10009937466009874,0.62
Bajrabarahi1,Bajrabarahi1,85.3207,27.609,macroseismic,550.14,7.0,0.3,0.52,0.13476608308585894,0.52,21.655737325297455,0.56,0.28321205646624636,0.58,0.08668205991575496,0.65,0.02525124352620635,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.10009937466009874,0.62
Bajrabarahi2,Bajrabarahi2,85.3185,27.611,macroseismic,550.14,7.0,0.3,0.52,0.13476608308585894,0.52,21.655737325297455,0.56,0.28321205646624636,0.58,0.08668205991575496,0.65,0.02525124352620635,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.10009937466009874,0.62
Bajrabarahi3,Bajrabarahi3,85.3186,27.613,macroseismic,550.14,7.5,0.3,0.52,0.19241358222461452,0.52,33.28202785716901,0.56,0.42442104437175854,0.58,0.13250340804136326,0.65,0.0404217028561134,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.17091232093688177,0.62
Bajrabarahi4,Bajrabarahi4,85.3206,27.613,macroseismic,550.14,7.5,0.3,0.52,0.19241358222461452,0.52,33.28202785716901,0.56,0.42442104437175854,0.58,0.13250340804136326,0.65,0.0404217028561134,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.17091232093688177,0.62
Bajrabarahi10,Bajrabarahi10,85.3236,27.598,macroseismic,540.22,6.5,0.3,0.52,0.09438989150518112,0.52,14.09081685511731,0.56,0.18898466509022505,0.58,0.056706311349312415,0.65,0.015774330485024173,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.058625877598626606,0.62
Bajrabarahi11,Bajrabarahi11,85.3247,27.596,macroseismic,540.22,6.0,0.3,0.52,0.06611048873983888,0.52,9.168522718112113,0.56,0.12610763851263201,0.58,0.037096554350119965,0.65,0.009854148449858388,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.03433581414349425,0.62
Bajrabarahi14,Bajrabarahi14,85.3326,27.572,macroseismic,652.79,7.0,0.3,0.52,0.13476608308585894,0.52,21.655737325297455,0.56,0.28321205646624636,0.58,0.08668205991575496,0.65,0.02525124352620635,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.10009937466009874,0.62
Bajrabarahi16,Bajrabarahi16,85.3156,27.575,macroseismic,590.18,7.0,0.3,0.52,0.13476608308585894,0.52,21.655737325297455,0.56,0.28321205646624636,0.58,0.08668205991575496,0.65,0.02525124352620635,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.10009937466009874,0.62
Besisahar1,Besisahar1,84.4179,28.164,macroseismic,867.66,7.5,0.3,0.52,0.19241358222461452,0.52,33.28202785716901,0.56,0.42442104437175854,0.58,0.13250340804136326,0.65,0.0404217028561134,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.17091232093688177,0.62
Besisahar2,Besisahar2,84.4215,28.183,macroseismic,900.0,7.5,0.3,0.52,0.19241358222461452,0.52,33.28202785716901,0.56,0.42442104437175854,0.58,0.13250340804136326,0.65,0.0404217028561134,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.17091232093688177,0.62
Besisahar3,Besisahar3,84.3762,28.184,macroseismic,481.86,7.0,0.3,0.52,0.13476608308585894,0.52,21.655737325297455,0.56,0.28321205646624636,0.58,0.08668205991575496,0.65,0.02525124352620635,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.10009937466009874,0.62
Besisahar4,Besisahar4,84.3997,28.197,macroseismic,555.73,7.0,0.3,0.52,0.13476608308585894,0.52,21.655737325297455,0.56,0.28321205646624636,0.58,0.08668205991575496,0.65,0.02525124352620635,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.10009937466009874,0.62
Besisahar5,Besisahar5,84.3907,28.209,macroseismic,900.0,7.0,0.3,0.52,0.13476608308585894,0.52,21.655737325297455,0.56,0.28321205646624636,0.58,0.08668205991575496,0.65,0.02525124352620635,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.10009937466009874,0.62
Besisahar6,Besisahar6,84.3699,28.207,macroseismic,900.0,6.5,0.3,0.52,0.09438989150518112,0.52,14.09081685511731,0.56,0.18898466509022505,0.58,0.056706311349312415,0.65,0.015774330485024173,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.058625877598626606,0.62
Besisahar7,Besisahar7,84.3783,28.219,macroseismic,900.0,7.0,0.3,0.52,0.13476608308585894,0.52,21.655737325297455,0.56,0.28321205646624636,0.58,0.08668205991575496,0.65,0.02525124352620635,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.10009937466009874,0.62
Besisahar8,Besisahar8,84.362,28.228,macroseismic,832.91,7.0,0.3,0.52,0.13476608308585894,0.52,21.655737325297455,0.56,0.28321205646624636,0.58,0.08668205991575496,0.65,0.02525124352620635,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.10009937466009874,0.62
Besisahar9,Besisahar9,84.3734,28.229,macroseismic,832.91,7.5,0.3,0.52,0.19241358222461452,0.52,33.28202785716901,0.56,0.42442104437175854,0.58,0.13250340804136326,0.65,0.0404217028561134,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.17091232093688177,0.62
Besisahar10,Besisahar10,84.3782,28.23,macroseismic,657.18,7.0,0.3,0.52,0.13476608308585894,0.52,21.655737325297455,0.56,0.28321205646624636,0.58,0.08668205991575496,0.65,0.02525124352620635,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.10009937466009874,0.62
Besisahar11,Besisahar11,84.3777,28.234,macroseismic,657.18,7.0,0.3,0.52,0.13476608308585894,0.52,21.655737325297455,0.56,0.28321205646624636,0.58,0.08668205991575496,0.65,0.02525124352620635,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.10009937466009874,0.62
Besisahar12,Besisahar12,84.3662,28.236,macroseismic,832.91,7.0,0.3,0.52,0.13476608308585894,0.52,21.655737325297455,0.56,0.28321205646624636,0.58,0.08668205991575496,0.65,0.02525124352620635,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.10009937466009874,0.62
Besisahar13,Besisahar13,84.3681,28.245,macroseismic,900.0,7.0,0.3,0.52,0.13476608308585894,0.52,21.655737325297455,0.56,0.28321205646624636,0.58,0.08668205991575496,0.65,0.02525124352620635,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.10009937466009874,0.62
Besisahar14,Besisahar14,84.3575,28.257,macroseismic,856.88,7.0,0.3,0.52,0.13476608308585894,0.52,21.655737325297455,0.56,0.28321205646624636,0.58,0.08668205991575496,0.65,0.02525124352620635,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.10009937466009874,0.62
Bhaktapur1,Bhaktapur1,85.4437,27.673,macroseismic,391.17,7.5,0.3,0.52,0.19241358222461452,0.52,33.28202785716901,0.56,0.42442104437175854,0.58,0.13250340804136326,0.65,0.0404217028561134,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.17091232093688177,0.62
Bhaktapur2,Bhaktapur2,85.439,27.668,macroseismic,318.5,7.5,0.3,0.52,0.19241358222461452,0.52,33.28202785716901,0.56,0.42442104437175854,0.58,0.13250340804136326,0.65,0.0404217028561134,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.17091232093688177,0.62
Bhaktapur3,Bhaktapur3,85.443,27.675,macroseismic,278.06,7.0,0.3,0.52,0.13476608308585894,0.52,21.655737325297455,0.56,0.28321205646624636,0.58,0.08668205991575496,0.65,0.02525124352620635,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.10009937466009874,0.62
Bhaktapur4,Bhaktapur4,85.441,27.678,macroseismic,348.96,7.5,0.3,0.52,0.19241358222461452,0.52,33.28202785716901,0.56,0.42442104437175854,0.58,0.13250340804136326,0.65,0.0404217028561134,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.17091232093688177,0.62
Bhaktapur5,Bhaktapur5,85.4304,27.676,macroseismic,348.96,7.5,0.3,0.52,0.19241358222461452,0.52,33.28202785716901,0.56,0.42442104437175854,0.58,0.13250340804136326,0.65,0.0404217028561134,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.17091232093688177,0.62
Bhaktapur6,Bhaktapur6,85.4357,27.669,macroseismic,318.5,7.5,0.3,0.52,0.19241358222461452,0.52,33.28202785716901,0.56,0.42442104437175854,0.58,0.13250340804136326,0.65,0.0404217028561134,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.17091232093688177,0.62
Bhaktapur7,Bhaktapur7,85.4331,27.669,macroseismic,318.5,7.0,0.3,0.52,0.13476608308585894,0.52,21.655737325297455,0.56,0.28321205646624636,0.58,0.08668205991575496,0.65,0.02525124352620635,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.10009937466009874,0.62
Bhaktapur15,Bhaktapur15,85.424,27.676,macroseismic,415.48,7.5,0.3,0.52,0.19241358222461452,0.52,33.28202785716901,0.56,0.42442104437175854,0.58,0.13250340804136326,0.65,0.0404217028561134,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.17091232093688177,0.62
Bhaktapur10,Bhaktapur10,85.4286,27.676,macroseismic,348.96,7.5,0.3,0.52,0.19241358222461452,0.52,33.28202785716901,0.56,0.42442104437175854,0.58,0.13250340804136326,0.65,0.0404217028561134,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.17091232093688177,0.62
Bhaktapur17,Bhaktapur17,85.4167,27.671,macroseismic,537.27,7.5,0.3,0.52,0.19241358222461452,0.52,33.28202785716901,0.56,0.42442104437175854,0.58,0.13250340804136326,0.65,0.0404217028561134,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.17091232093688177,0.62
Bhaktapur16,Bhaktapur16,85.4243,27.669,macroseismic,537.27,7.0,0.3,0.52,0.13476608308585894,0.52,21.655737325297455,0.56,0.28321205646624636,0.58,0.08668205991575496,0.65,0.02525124352620635,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.10009937466009874,0.62
Bhaktapur14,Bhaktapur14,85.4253,27.667,macroseismic,318.5,7.5,0.3,0.52,0.19241358222461452,0.52,33.28202785716901,0.56,0.42442104437175854,0.58,0.13250340804136326,0.65,0.0404217028561134,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.17091232093688177,0.62
Bhaktapur12,Bhaktapur12,85.4287,27.668,macroseismic,318.5,7.5,0.3,0.52,0.19241358222461452,0.52,33.28202785716901,0.56,0.42442104437175854,0.58,0.13250340804136326,0.65,0.0404217028561134,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.17091232093688177,0.62
Bhaktapur11,Bhaktapur11,85.4306,27.669,macroseismic,318.5,7.5,0.3,0.52,0.19241358222461452,0.52,33.28202785716901,0.56,0.42442104437175854,0.58,0.13250340804136326,0.65,0.0404217028561134,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.17091232093688177,0.62
Bhaktapur8,Bhaktapur8,85.4308,27.672,macroseismic,318.5,7.5,0.3,0.52,0.19241358222461452,0.52,33.28202785716901,0.56,0.42442104437175854,0.58,0.13250340804136326,0.65,0.0404217028561134,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.17091232093688177,0.62
Bhaktapur9,Bhaktapur9,85.4313,27.674,macroseismic,318.5,7.0,0.3,0.52,0.13476608308585894,0.52,21.655737325297455,0.56,0.28321205646624636,0.58,0.08668205991575496,0.65,0.02525124352620635,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.10009937466009874,0.62
Bhimeshwor1,Bhimeshwor1,86.0545,27.666,macroseismic,813.02,8.0,0.3,0.52,0.27472035824415364,0.52,51.15011147606632,0.56,0.6360365626845507,0.58,0.2025465610720321,0.65,0.06470628110224393,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.29182021912945755,0.62
Bhimeshwor2,Bhimeshwor2,86.0718,27.67,macroseismic,900.0,7.5,0.3,0.52,0.19241358222461452,0.52,33.28202785716901,0.56,0.42442104437175854,0.58,0.13250340804136326,0.65,0.0404217028561134,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.17091232093688177,0.62
Bhimeshwor3,Bhimeshwor3,86.0711,27.684,macroseismic,900.0,7.5,0.3,0.52,0.19241358222461452,0.52,33.28202785716901,0.56,0.42442104437175854,0.58,0.13250340804136326,0.65,0.0404217028561134,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.17091232093688177,0.62
Bhimeshwor4,Bhimeshwor4,86.088,27.67,macroseismic,900.0,7.5,0.3,0.52,0.19241358222461452,0.52,33.28202785716901,0.56,0.42442104437175854,0.58,0.13250340804136326,0.65,0.0404217028561134,inferred,Stations_USGS_PanjamaniEtAl2016,PanjamaniEtAl2016,0.17091232093688177,0.62
