STATION_ID,STATION_NAME,LONGITUDE,LATITUDE,STATION_TYPE,VS30,MMI_VALUE,MMI_STDDEV,PGA_LN_SIGMA,PGA_VALUE,PGV_LN_SIGMA,PGV_VALUE,SA(0.3)_LN_SIGMA,SA(0.3)_VALUE,SA(1.0)_LN_SIGMA,SA(1.0)_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE,VS30_TYPE,REFERENCES,GMICE
MRT,"Eerut, India",77.617,29.154,seismic,760.0,3.0,0.63,0.0,0.00466,0.0,0.56,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,
LSA,"Tibet, China",91.127,29.7031,seismic,760.0,3.1,0.63,0.0,0.00168,0.0,0.4053,0.0,0.003688,0.0,0.001345,0.0,0.001375,inferred,Stations_USGS_CaprioEtAl2015,
CGD,"Chandigarh, India",76.767,30.76,seismic,760.0,3.4,0.63,0.0,0.00274,0.0,1.06,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,
BSR,"Bisalpur, India",79.805,28.209,seismic,760.0,3.6,0.63,0.0,0.009,0.0,1.27,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,
HSR,"Hissar, India",75.6,29.446,seismic,760.0,2.8,0.63,0.0,0.00251,0.0,0.44,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,
LAK,"Lakhimpur, India",80.79,27.949,seismic,760.0,3.9,0.63,0.0,0.0143,0.0,2.26,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,
PTN,"Patna, India",85.149,25.622,seismic,291.05,4.5,0.63,0.0,0.047,0.0,4.4,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,
KHA,"Khatima, India",79.961,28.925,seismic,760.0,3.9,0.63,0.0,0.00987,0.0,1.89,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,
TDR,"Takurdwar, India",78.855,29.148,seismic,760.0,3.6,0.63,0.0,0.00534,0.0,1.17,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,
NAR,"Narora, India",78.425,28.226,seismic,760.0,3.6,0.63,0.0,0.00803,0.0,1.55,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,
GDA,"Gonda, India",82.237,27.116,seismic,215.62,4.8,0.63,0.0,0.0433,0.0,5.16,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,
FZB,"Faizabad, India",82.146,26.73,seismic,227.05,,,0.0,0.0328,0.0,40.7,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,
JAU,"Jaunpur, India",82.693,25.733,seismic,284.59,4.1,0.63,0.0,0.0215,0.0,2.46,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,
TAN,"Tanakpur, India",80.112,29.074,seismic,760.0,3.6,0.63,0.0,0.00519,0.0,1.47,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,
THM,THM (Intensity VII),85.3643,27.6749,macroseismic,290.13,7.0,0.3,1.4,0.1570106490152386,1.3,13.07482220240086,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
OBS_14,Near Trishuli Bazaar (Intensity IX),85.1303,27.9236,macroseismic,900.0,8.5,0.3,1.4,0.3876089415140448,1.3,47.645645188843524,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
OBS_5,Laprak Village (Intensity IX),84.8008,28.2189,macroseismic,900.0,9.0,0.3,1.4,0.5238601299811912,1.3,73.31941971579404,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
KATNP,KATNP (Intensity VII),85.3074,27.7082,macroseismic,304.61,7.0,0.3,1.4,0.1570106490152386,1.3,13.07482220240086,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
OBS_6,Phulkharka (Intensity IX),84.9198,28.0646,macroseismic,900.0,9.0,0.3,1.4,0.5238601299811912,1.3,73.31941971579404,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
OBS_10,Gaunkharka (Intensity IX),85.4578,27.9371,macroseismic,900.0,9.0,0.3,1.4,0.5238601299811912,1.3,73.31941971579404,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
OBS_11,Kharanitar (Intensity VIII),85.3207,27.9281,macroseismic,900.0,8.0,0.3,1.4,0.2867954305799765,1.3,30.96188587226579,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
OBS_4,Barpak Village (Intensity IX),84.7429,28.201,macroseismic,900.0,9.0,0.3,1.4,0.5238601299811912,1.3,73.31941971579404,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
OBS_1,Swayambhunath Stupa (Intensity VIII),85.2905,27.7151,macroseismic,463.5,8.0,0.3,1.4,0.2867954305799765,1.3,30.96188587226579,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
OBS_8,Chautara (Intensity IX),85.7222,27.7707,macroseismic,821.8,9.0,0.3,1.4,0.5238601299811912,1.3,73.31941971579404,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
RAM,RAM (Intensity VIII),85.251,27.7223,macroseismic,747.46,8.1,0.3,1.4,0.30460465743379395,1.3,33.74943967307367,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
TVU,TVU (Intensity VII),85.3167,27.691,macroseismic,403.67,7.0,0.3,1.4,0.1570106490152386,1.3,13.07482220240086,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
SWY,SWY (Intensity VIII),85.2756,27.7126,macroseismic,463.5,8.0,0.3,1.4,0.2867954305799765,1.3,30.96188587226579,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
OBS_9,Ghale (Intensity VIII),84.3089,28.2776,macroseismic,900.0,8.0,0.3,1.4,0.2867954305799765,1.3,30.96188587226579,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
OBS_7,Pipaldanda (Intensity IX),85.6869,27.7791,macroseismic,857.49,9.0,0.3,1.4,0.5238601299811912,1.3,73.31941971579404,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
BHK,BHK (Intensity VIII),85.4259,27.6719,macroseismic,318.5,7.8,0.3,1.4,0.25423983840080167,1.3,26.05848019020591,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
OBS_12,Betrawati (Intensity IX),85.1857,27.9737,macroseismic,900.0,8.5,0.3,1.4,0.3876089415140448,1.3,47.645645188843524,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
OBS_2,Dharhara Tower (Intensity VIII),85.3119,27.7006,macroseismic,313.22,8.0,0.3,1.4,0.2867954305799765,1.3,30.96188587226579,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
DMG,DMG (Intensity VIII),85.3197,27.7218,macroseismic,283.38,7.5,0.3,1.4,0.21220258407938133,1.3,20.120167813189386,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
OBS_13,Battar Bazaar (Intensity IX),85.1463,27.8969,macroseismic,614.68,8.5,0.3,1.4,0.3876089415140448,1.3,47.645645188843524,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
OBS_15,Trishuli Bazaar (Intensity IX),85.1413,27.9255,macroseismic,720.12,8.5,0.3,1.4,0.3876089415140448,1.3,47.645645188843524,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
GNG,GNG (Intensity VIII),85.3171,27.7375,macroseismic,348.46,8.0,0.3,1.4,0.2867954305799765,1.3,30.96188587226579,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
OBS_3,Taleju (Intensity VIII),85.3079,27.7049,macroseismic,304.61,8.0,0.3,1.4,0.2867954305799765,1.3,30.96188587226579,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Anantalingeshwor1,Anantalingeshwor1,85.3645,27.666,macroseismic,290.13,7.0,0.3,1.4,0.1570106490152386,1.3,13.07482220240086,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Anantalingeshwor2,Anantalingeshwor2,85.375,27.668,macroseismic,290.44,7.0,0.3,1.4,0.1570106490152386,1.3,13.07482220240086,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Anantalingeshwor11,Anantalingeshwor11,85.3881,27.654,macroseismic,424.69,7.5,0.3,1.4,0.21220258407938133,1.3,20.120167813189386,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Anantalingeshwor15,Anantalingeshwor15,85.4118,27.647,macroseismic,556.32,7.0,0.3,1.4,0.1570106490152386,1.3,13.07482220240086,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Bajrabarahi1,Bajrabarahi1,85.3207,27.609,macroseismic,550.14,7.0,0.3,1.4,0.1570106490152386,1.3,13.07482220240086,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Bajrabarahi2,Bajrabarahi2,85.3185,27.611,macroseismic,550.14,7.0,0.3,1.4,0.1570106490152386,1.3,13.07482220240086,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Bajrabarahi3,Bajrabarahi3,85.3186,27.613,macroseismic,550.14,7.5,0.3,1.4,0.21220258407938133,1.3,20.120167813189386,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Bajrabarahi4,Bajrabarahi4,85.3206,27.613,macroseismic,550.14,7.5,0.3,1.4,0.21220258407938133,1.3,20.120167813189386,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Bajrabarahi10,Bajrabarahi10,85.3236,27.598,macroseismic,540.22,6.5,0.3,1.4,0.11617362724934785,1.3,8.496498499000138,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Bajrabarahi11,Bajrabarahi11,85.3247,27.596,macroseismic,540.22,6.0,0.3,1.4,0.08595793822214275,1.3,5.521336017116593,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Bajrabarahi14,Bajrabarahi14,85.3326,27.572,macroseismic,652.79,7.0,0.3,1.4,0.1570106490152386,1.3,13.07482220240086,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Bajrabarahi16,Bajrabarahi16,85.3156,27.575,macroseismic,590.18,7.0,0.3,1.4,0.1570106490152386,1.3,13.07482220240086,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Besisahar1,Besisahar1,84.4179,28.164,macroseismic,867.66,7.5,0.3,1.4,0.21220258407938133,1.3,20.120167813189386,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Besisahar2,Besisahar2,84.4215,28.183,macroseismic,900.0,7.5,0.3,1.4,0.21220258407938133,1.3,20.120167813189386,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Besisahar3,Besisahar3,84.3762,28.184,macroseismic,481.86,7.0,0.3,1.4,0.1570106490152386,1.3,13.07482220240086,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Besisahar4,Besisahar4,84.3997,28.197,macroseismic,555.73,7.0,0.3,1.4,0.1570106490152386,1.3,13.07482220240086,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Besisahar5,Besisahar5,84.3907,28.209,macroseismic,900.0,7.0,0.3,1.4,0.1570106490152386,1.3,13.07482220240086,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Besisahar6,Besisahar6,84.3699,28.207,macroseismic,900.0,6.5,0.3,1.4,0.11617362724934785,1.3,8.496498499000138,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Besisahar7,Besisahar7,84.3783,28.219,macroseismic,900.0,7.0,0.3,1.4,0.1570106490152386,1.3,13.07482220240086,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Besisahar8,Besisahar8,84.362,28.228,macroseismic,832.91,7.0,0.3,1.4,0.1570106490152386,1.3,13.07482220240086,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Besisahar9,Besisahar9,84.3734,28.229,macroseismic,832.91,7.5,0.3,1.4,0.21220258407938133,1.3,20.120167813189386,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Besisahar10,Besisahar10,84.3782,28.23,macroseismic,657.18,7.0,0.3,1.4,0.1570106490152386,1.3,13.07482220240086,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Besisahar11,Besisahar11,84.3777,28.234,macroseismic,657.18,7.0,0.3,1.4,0.1570106490152386,1.3,13.07482220240086,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Besisahar12,Besisahar12,84.3662,28.236,macroseismic,832.91,7.0,0.3,1.4,0.1570106490152386,1.3,13.07482220240086,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Besisahar13,Besisahar13,84.3681,28.245,macroseismic,900.0,7.0,0.3,1.4,0.1570106490152386,1.3,13.07482220240086,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Besisahar14,Besisahar14,84.3575,28.257,macroseismic,856.88,7.0,0.3,1.4,0.1570106490152386,1.3,13.07482220240086,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Bhaktapur1,Bhaktapur1,85.4437,27.673,macroseismic,391.17,7.5,0.3,1.4,0.21220258407938133,1.3,20.120167813189386,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Bhaktapur2,Bhaktapur2,85.439,27.668,macroseismic,318.5,7.5,0.3,1.4,0.21220258407938133,1.3,20.120167813189386,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Bhaktapur3,Bhaktapur3,85.443,27.675,macroseismic,278.06,7.0,0.3,1.4,0.1570106490152386,1.3,13.07482220240086,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Bhaktapur4,Bhaktapur4,85.441,27.678,macroseismic,348.96,7.5,0.3,1.4,0.21220258407938133,1.3,20.120167813189386,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Bhaktapur5,Bhaktapur5,85.4304,27.676,macroseismic,348.96,7.5,0.3,1.4,0.21220258407938133,1.3,20.120167813189386,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Bhaktapur6,Bhaktapur6,85.4357,27.669,macroseismic,318.5,7.5,0.3,1.4,0.21220258407938133,1.3,20.120167813189386,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Bhaktapur7,Bhaktapur7,85.4331,27.669,macroseismic,318.5,7.0,0.3,1.4,0.1570106490152386,1.3,13.07482220240086,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Bhaktapur15,Bhaktapur15,85.424,27.676,macroseismic,415.48,7.5,0.3,1.4,0.21220258407938133,1.3,20.120167813189386,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Bhaktapur10,Bhaktapur10,85.4286,27.676,macroseismic,348.96,7.5,0.3,1.4,0.21220258407938133,1.3,20.120167813189386,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Bhaktapur17,Bhaktapur17,85.4167,27.671,macroseismic,537.27,7.5,0.3,1.4,0.21220258407938133,1.3,20.120167813189386,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Bhaktapur16,Bhaktapur16,85.4243,27.669,macroseismic,537.27,7.0,0.3,1.4,0.1570106490152386,1.3,13.07482220240086,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Bhaktapur14,Bhaktapur14,85.4253,27.667,macroseismic,318.5,7.5,0.3,1.4,0.21220258407938133,1.3,20.120167813189386,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Bhaktapur12,Bhaktapur12,85.4287,27.668,macroseismic,318.5,7.5,0.3,1.4,0.21220258407938133,1.3,20.120167813189386,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Bhaktapur11,Bhaktapur11,85.4306,27.669,macroseismic,318.5,7.5,0.3,1.4,0.21220258407938133,1.3,20.120167813189386,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Bhaktapur8,Bhaktapur8,85.4308,27.672,macroseismic,318.5,7.5,0.3,1.4,0.21220258407938133,1.3,20.120167813189386,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Bhaktapur9,Bhaktapur9,85.4313,27.674,macroseismic,318.5,7.0,0.3,1.4,0.1570106490152386,1.3,13.07482220240086,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Bhimeshwor1,Bhimeshwor1,86.0545,27.666,macroseismic,813.02,8.0,0.3,1.4,0.2867954305799765,1.3,30.96188587226579,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Bhimeshwor2,Bhimeshwor2,86.0718,27.67,macroseismic,900.0,7.5,0.3,1.4,0.21220258407938133,1.3,20.120167813189386,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Bhimeshwor3,Bhimeshwor3,86.0711,27.684,macroseismic,900.0,7.5,0.3,1.4,0.21220258407938133,1.3,20.120167813189386,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Bhimeshwor4,Bhimeshwor4,86.088,27.67,macroseismic,900.0,7.5,0.3,1.4,0.21220258407938133,1.3,20.120167813189386,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Bhimeshwor5,Bhimeshwor5,86.0792,27.649,macroseismic,838.34,8.5,0.3,1.4,0.3876089415140448,1.3,47.645645188843524,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Bhimeshwor6,Bhimeshwor6,86.0733,27.629,macroseismic,900.0,7.5,0.3,1.4,0.21220258407938133,1.3,20.120167813189386,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Bhimeshwor7,Bhimeshwor7,86.0621,27.65,macroseismic,900.0,7.5,0.3,1.4,0.21220258407938133,1.3,20.120167813189386,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Bhimeshwor8,Bhimeshwor8,86.0488,27.635,macroseismic,900.0,7.5,0.3,1.4,0.21220258407938133,1.3,20.120167813189386,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Bhimeshwor9,Bhimeshwor9,86.0335,27.649,macroseismic,900.0,8.5,0.3,1.4,0.3876089415140448,1.3,47.645645188843524,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Bhimeshwor10,Bhimeshwor10,86.0397,27.669,macroseismic,900.0,8.0,0.3,1.4,0.2867954305799765,1.3,30.96188587226579,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Bhimeshwor11,Bhimeshwor11,86.0163,27.663,macroseismic,900.0,8.5,0.3,1.4,0.3876089415140448,1.3,47.645645188843524,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Bhimeshwor12,Bhimeshwor12,86.0212,27.679,macroseismic,900.0,7.5,0.3,1.4,0.21220258407938133,1.3,20.120167813189386,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Bhimeshwor13,Bhimeshwor13,86.0083,27.699,macroseismic,900.0,7.5,0.3,1.4,0.21220258407938133,1.3,20.120167813189386,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Bidur1,Bidur1,85.1587,27.925,macroseismic,866.79,7.5,0.3,1.4,0.21220258407938133,1.3,20.120167813189386,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Bidur2,Bidur2,85.1685,27.916,macroseismic,621.84,7.5,0.3,1.4,0.21220258407938133,1.3,20.120167813189386,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Bidur3,Bidur3,85.1557,27.904,macroseismic,614.68,8.0,0.3,1.4,0.2867954305799765,1.3,30.96188587226579,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Bidur4,Bidur4,85.1441,27.901,macroseismic,614.68,7.5,0.3,1.4,0.21220258407938133,1.3,20.120167813189386,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Bidur5,Bidur5,85.1463,27.881,macroseismic,415.99,8.0,0.3,1.4,0.2867954305799765,1.3,30.96188587226579,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Bidur6,Bidur6,85.1377,27.884,macroseismic,383.36,7.5,0.3,1.4,0.21220258407938133,1.3,20.120167813189386,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Bidur7,Bidur7,85.1273,27.869,macroseismic,416.88,7.5,0.3,1.4,0.21220258407938133,1.3,20.120167813189386,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Bidur8,Bidur8,85.1325,27.927,macroseismic,720.12,7.5,0.3,1.4,0.21220258407938133,1.3,20.120167813189386,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Bidur9,Bidur9,85.1487,27.936,macroseismic,508.25,8.0,0.3,1.4,0.2867954305799765,1.3,30.96188587226579,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Bidur10,Bidur10,85.1468,27.925,macroseismic,508.25,7.5,0.3,1.4,0.21220258407938133,1.3,20.120167813189386,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Bidur11,Bidur11,85.1494,27.921,macroseismic,849.91,7.5,0.3,1.4,0.21220258407938133,1.3,20.120167813189386,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Budanilkanta8,Budanilkanta8,85.3405,27.752,macroseismic,432.32,7.5,0.3,1.4,0.21220258407938133,1.3,20.120167813189386,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Budanilkanta10,Budanilkanta10,85.3488,27.742,macroseismic,420.7,7.5,0.3,1.4,0.21220258407938133,1.3,20.120167813189386,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Budanilkanta11,Budanilkanta11,85.3473,27.73,macroseismic,310.41,7.5,0.3,1.4,0.21220258407938133,1.3,20.120167813189386,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Budanilkanta12,Budanilkanta12,85.3537,27.73,macroseismic,310.41,7.5,0.3,1.4,0.21220258407938133,1.3,20.120167813189386,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Budanilkanta14,Budanilkanta14,85.3682,27.737,macroseismic,433.39,7.5,0.3,1.4,0.21220258407938133,1.3,20.120167813189386,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Budanilkanta13,Budanilkanta13,85.3608,27.739,macroseismic,433.39,7.5,0.3,1.4,0.21220258407938133,1.3,20.120167813189386,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Budanilkanta15,Budanilkanta15,85.3651,27.751,macroseismic,540.5,7.5,0.3,1.4,0.21220258407938133,1.3,20.120167813189386,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Budanilkanta9,Budanilkanta9,85.3575,27.759,macroseismic,495.04,7.5,0.3,1.4,0.21220258407938133,1.3,20.120167813189386,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Budanilkanta16,Budanilkanta16,85.375,27.757,macroseismic,575.52,7.5,0.3,1.4,0.21220258407938133,1.3,20.120167813189386,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Budanilkanta17,Budanilkanta17,85.3752,27.765,macroseismic,777.68,7.5,0.3,1.4,0.21220258407938133,1.3,20.120167813189386,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Budanilkanta3,Budanilkanta3,85.3706,27.769,macroseismic,606.92,7.5,0.3,1.4,0.21220258407938133,1.3,20.120167813189386,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Budanilkanta2,Budanilkanta2,85.3738,27.773,macroseismic,606.92,7.5,0.3,1.4,0.21220258407938133,1.3,20.120167813189386,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
Budanilkanta1,Budanilkanta1,85.3761,27.789,macroseismic,900.0,7.5,0.3,1.4,0.21220258407938133,1.3,20.120167813189386,,,,,,,inferred,Stations_USGS_CaprioEtAl2015,CaprioEtAl2015
