STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,SOIL_TYPE,PGA_VALUE_1,SA(0.3)_VALUE_1,SA(0.6)_VALUE_1,SA(1.0)_VALUE_1,PGA_VALUE_2,SA(0.3)_VALUE_2,SA(0.6)_VALUE_2,SA(1.0)_VALUE_2,PGA_VALUE_V,SA(0.3)_VALUE_V,SA(0.6)_VALUE_V,SA(1.0)_VALUE_V,PGA_VALUE,SA(0.3)_VALUE,SA(0.6)_VALUE,SA(1.0)_VALUE,PGA_LN_SIGMA,SA(0.3)_LN_SIGMA,SA(0.6)_LN_SIGMA,SA(1.0)_LN_SIGMA,REFERENCES,VS30,MMI_VALUE,MMI_STDDEV,PGV_LN_SIGMA,PGV_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE,VS30_TYPE,GMICE
Melamchi1,Melamchi1,27.847,85.5292,macroseismic,,,,,,,,,,,,,,1.307169,1.8217,,1.575259,0.8059,1.0131,,1.0822,Stations_USGS,900.0,9.0,0.3,0.875,116.0264,1.4737,0.278173,inferred,
OBS_8,Chautara (Intensity IX),27.7707,85.7222,macroseismic,,,,,,,,,,,,,,1.303479,1.818995,,1.577991,0.8059,1.0131,,1.0822,Stations_USGS,821.8,9.0,0.3,0.875,116.0264,1.4737,0.278713,inferred,
OBS_5,Laprak Village (Intensity IX),28.2189,84.8008,macroseismic,,,,,,,,,,,,,,1.297795,1.814821,,1.582224,0.8059,1.0131,,1.0822,Stations_USGS,900.0,9.0,0.3,0.875,116.0264,1.4737,0.279551,inferred,
OBS_10,Gaunkharka (Intensity IX),27.9371,85.4578,macroseismic,,,,,,,,,,,,,,1.294424,1.812341,,1.584748,0.8059,1.0131,,1.0822,Stations_USGS,900.0,9.0,0.3,0.875,116.0264,1.4737,0.280051,inferred,
Jiri4,Jiri4,27.622,86.2435,macroseismic,,,,,,,,,,,,,,1.126105,1.684361,,1.725997,0.8059,1.0131,,1.0822,Stations_USGS,900.0,9.0,0.3,0.875,116.0264,1.4737,0.308173,inferred,
Jiri3,Jiri3,27.602,86.2538,macroseismic,,,,,,,,,,,,,,1.111002,1.672447,,1.74034,0.8059,1.0131,,1.0822,Stations_USGS,900.0,9.0,0.3,0.875,116.0264,1.4737,0.311045,inferred,
Changunarayan1,Changunarayan1,27.705,85.4421,macroseismic,,,,,,,,,,,,,,0.983685,1.399051,,1.041818,0.8059,1.0131,,1.0822,Stations_USGS,640.13,8.5,0.3,0.875,80.5989,1.4737,0.186291,inferred,
Tarkeshwor6,Tarkeshwor6,27.781,85.3088,macroseismic,,,,,,,,,,,,,,0.978967,1.395519,,1.044893,0.8059,1.0131,,1.0822,Stations_USGS,558.29,8.5,0.3,0.875,80.5989,1.4737,0.186907,inferred,
Shankarapur11,Shankarapur11,27.738,85.4695,macroseismic,,,,,,,,,,,,,,0.976901,1.39397,,1.046247,0.8059,1.0131,,1.0822,Stations_USGS,659.92,8.5,0.3,0.875,80.5989,1.4737,0.187179,inferred,
OBS_13,Battar Bazaar (Intensity IX),27.8969,85.1463,macroseismic,,,,,,,,,,,,,,0.967244,1.386709,,1.052637,0.8059,1.0131,,1.0822,Stations_USGS,614.68,8.5,0.3,0.875,80.5989,1.4737,0.188461,inferred,
Bhimeshwor11,Bhimeshwor11,27.663,86.0163,macroseismic,,,,,,,,,,,,,,0.967203,1.386678,,1.052665,0.8059,1.0131,,1.0822,Stations_USGS,900.0,8.5,0.3,0.875,80.5989,1.4737,0.188466,inferred,
OBS_14,Near Trishuli Bazaar (Intensity IX),27.9236,85.1303,macroseismic,,,,,,,,,,,,,,0.963867,1.384161,,1.054896,0.8059,1.0131,,1.0822,Stations_USGS,900.0,8.5,0.3,0.875,80.5989,1.4737,0.188914,inferred,
Chautrara9,Chautrara9,27.755,85.6862,macroseismic,,,,,,,,,,,,,,0.963128,1.383604,,1.055392,0.8059,1.0131,,1.0822,Stations_USGS,632.25,8.5,0.3,0.875,80.5989,1.4737,0.189013,inferred,
OBS_15,Trishuli Bazaar (Intensity IX),27.9255,85.1413,macroseismic,,,,,,,,,,,,,,0.96312,1.383597,,1.055397,0.8059,1.0131,,1.0822,Stations_USGS,720.12,8.5,0.3,0.875,80.5989,1.4737,0.189015,inferred,
Melamchi9,Melamchi9,27.805,85.5439,macroseismic,,,,,,,,,,,,,,0.963079,1.383566,,1.055425,0.8059,1.0131,,1.0822,Stations_USGS,900.0,8.5,0.3,0.875,80.5989,1.4737,0.18902,inferred,
Bhimeshwor9,Bhimeshwor9,27.649,86.0335,macroseismic,,,,,,,,,,,,,,0.9628,1.383356,,1.055612,0.8059,1.0131,,1.0822,Stations_USGS,900.0,8.5,0.3,0.875,80.5989,1.4737,0.189058,inferred,
Melamchi3,Melamchi3,27.821,85.5308,macroseismic,,,,,,,,,,,,,,0.961313,1.382232,,1.056613,0.8059,1.0131,,1.0822,Stations_USGS,900.0,8.5,0.3,0.875,80.5989,1.4737,0.189259,inferred,
Melamchi13,Melamchi13,27.82,85.5839,macroseismic,,,,,,,,,,,,,,0.95913,1.380581,,1.058086,0.8059,1.0131,,1.0822,Stations_USGS,745.96,8.5,0.3,0.875,80.5989,1.4737,0.189554,inferred,
Chautrara2,Chautrara2,27.796,85.7014,macroseismic,,,,,,,,,,,,,,0.957578,1.379406,,1.059137,0.8059,1.0131,,1.0822,Stations_USGS,733.98,8.5,0.3,0.875,80.5989,1.4737,0.189765,inferred,
OBS_12,Betrawati (Intensity IX),27.9737,85.1857,macroseismic,,,,,,,,,,,,,,0.954301,1.376922,,1.061365,0.8059,1.0131,,1.0822,Stations_USGS,900.0,8.5,0.3,0.875,80.5989,1.4737,0.190213,inferred,
Chautrara6,Chautrara6,27.772,85.7599,macroseismic,,,,,,,,,,,,,,0.953914,1.376629,,1.061628,0.8059,1.0131,,1.0822,Stations_USGS,540.29,8.5,0.3,0.875,80.5989,1.4737,0.190266,inferred,
Bhimeshwor5,Bhimeshwor5,27.649,86.0792,macroseismic,,,,,,,,,,,,,,0.939824,1.365902,,1.071355,0.8059,1.0131,,1.0822,Stations_USGS,838.34,8.5,0.3,0.875,80.5989,1.4737,0.192221,inferred,
Dhunche8,Dhunche8,28.082,85.3038,macroseismic,,,,,,,,,,,,,,0.935535,1.362621,,1.074363,0.8059,1.0131,,1.0822,Stations_USGS,900.0,8.5,0.3,0.875,80.5989,1.4737,0.192826,inferred,
Kamalamai1,Kamalamai1,27.259,85.8871,macroseismic,,,,,,,,,,,,,,0.903094,1.337572,,1.097856,0.8059,1.0131,,1.0822,Stations_USGS,900.0,8.5,0.3,0.875,80.5989,1.4737,0.197557,inferred,
Jiri9,Jiri9,27.605,86.1803,macroseismic,,,,,,,,,,,,,,0.860213,1.303798,,1.131083,0.8059,1.0131,,1.0822,Stations_USGS,757.91,8.5,0.3,0.875,80.5989,1.4737,0.204271,inferred,
Jiri6,Jiri6,27.628,86.2207,macroseismic,,,,,,,,,,,,,,0.84038,1.287908,,1.14737,0.8059,1.0131,,1.0822,Stations_USGS,707.5,8.5,0.3,0.875,80.5989,1.4737,0.20757,inferred,
Those6,Those6,27.591,86.2549,macroseismic,,,,,,,,,,,,,,0.810532,1.263654,,1.173085,0.8059,1.0131,,1.0822,Stations_USGS,900.0,8.5,0.3,0.875,80.5989,1.4737,0.212791,inferred,
Those3,Those3,27.572,86.2589,macroseismic,,,,,,,,,,,,,,0.803593,1.257955,,1.179284,0.8059,1.0131,,1.0822,Stations_USGS,900.0,8.5,0.3,0.875,80.5989,1.4737,0.214051,inferred,
RAM,RAM (Intensity VIII),27.7223,85.251,macroseismic,,,,,,,,,,,,,,0.773049,1.124692,,0.754642,0.8059,1.0131,,1.0822,Stations_USGS,747.46,8.1,0.3,0.875,60.2208,1.4737,0.136435,inferred,
Gorkha8,Gorkha8,27.965,84.6133,macroseismic,,,,,,,,,,,,,,0.734827,1.070312,,0.692134,0.8059,1.0131,,1.0822,Stations_USGS,453.95,8.0,0.3,0.875,55.9888,1.4737,0.125391,inferred,
Gorkha6,Gorkha6,27.984,84.6237,macroseismic,,,,,,,,,,,,,,0.731943,1.068102,,0.693805,0.8059,1.0131,,1.0822,Stations_USGS,839.46,8.0,0.3,0.875,55.9888,1.4737,0.12573,inferred,
SWY,SWY (Intensity VIII),27.7126,85.2756,macroseismic,,,,,,,,,,,,,,0.726868,1.064201,,0.69677,0.8059,1.0131,,1.0822,Stations_USGS,463.5,8.0,0.3,0.875,55.9888,1.4737,0.126332,inferred,
OBS_2,Dharhara Tower (Intensity VIII),27.7006,85.3119,macroseismic,,,,,,,,,,,,,,0.72641,1.063849,,0.697039,0.8059,1.0131,,1.0822,Stations_USGS,313.22,8.0,0.3,0.875,55.9888,1.4737,0.126387,inferred,
OBS_3,Taleju (Intensity VIII),27.7049,85.3079,macroseismic,,,,,,,,,,,,,,0.726035,1.06356,,0.69726,0.8059,1.0131,,1.0822,Stations_USGS,304.61,8.0,0.3,0.875,55.9888,1.4737,0.126432,inferred,
Gorkha14,Gorkha14,28.012,84.6553,macroseismic,,,,,,,,,,,,,,0.72599,1.063525,,0.697286,0.8059,1.0131,,1.0822,Stations_USGS,796.12,8.0,0.3,0.875,55.9888,1.4737,0.126437,inferred,
OBS_1,Swayambhunath Stupa (Intensity VIII),27.7151,85.2905,macroseismic,,,,,,,,,,,,,,0.725483,1.063135,,0.697585,0.8059,1.0131,,1.0822,Stations_USGS,463.5,8.0,0.3,0.875,55.9888,1.4737,0.126498,inferred,
GNG,GNG (Intensity VIII),27.7375,85.3171,macroseismic,,,,,,,,,,,,,,0.721606,1.060145,,0.69988,0.8059,1.0131,,1.0822,Stations_USGS,348.46,8.0,0.3,0.875,55.9888,1.4737,0.126964,inferred,
Nilkantha1,Nilkantha1,27.944,84.8893,macroseismic,,,,,,,,,,,,,,0.718258,1.057555,,0.701878,0.8059,1.0131,,1.0822,Stations_USGS,532.11,8.0,0.3,0.875,55.9888,1.4737,0.127371,inferred,
Bidur5,Bidur5,27.881,85.1463,macroseismic,,,,,,,,,,,,,,0.710401,1.051459,,0.706625,0.8059,1.0131,,1.0822,Stations_USGS,415.99,8.0,0.3,0.875,55.9888,1.4737,0.128336,inferred,
Melamchi10,Melamchi10,27.771,85.5739,macroseismic,,,,,,,,,,,,,,0.708293,1.049817,,0.707913,0.8059,1.0131,,1.0822,Stations_USGS,506.91,8.0,0.3,0.875,55.9888,1.4737,0.128599,inferred,
Bidur3,Bidur3,27.904,85.1557,macroseismic,,,,,,,,,,,,,,0.707513,1.049209,,0.708391,0.8059,1.0131,,1.0822,Stations_USGS,614.68,8.0,0.3,0.875,55.9888,1.4737,0.128696,inferred,
Melamchi8,Melamchi8,27.788,85.5696,macroseismic,,,,,,,,,,,,,,0.706559,1.048465,,0.708977,0.8059,1.0131,,1.0822,Stations_USGS,750.97,8.0,0.3,0.875,55.9888,1.4737,0.128815,inferred,
Bidur9,Bidur9,27.936,85.1487,macroseismic,,,,,,,,,,,,,,0.704209,1.04663,,0.710427,0.8059,1.0131,,1.0822,Stations_USGS,508.25,8.0,0.3,0.875,55.9888,1.4737,0.129111,inferred,
Bhimeshwor10,Bhimeshwor10,27.669,86.0397,macroseismic,,,,,,,,,,,,,,0.703712,1.046242,,0.710734,0.8059,1.0131,,1.0822,Stations_USGS,900.0,8.0,0.3,0.875,55.9888,1.4737,0.129173,inferred,
Melamchi12,Melamchi12,27.806,85.5989,macroseismic,,,,,,,,,,,,,,0.703674,1.046212,,0.710758,0.8059,1.0131,,1.0822,Stations_USGS,900.0,8.0,0.3,0.875,55.9888,1.4737,0.129178,inferred,
Melamchi7,Melamchi7,27.82,85.568,macroseismic,,,,,,,,,,,,,,0.703159,1.04581,,0.711077,0.8059,1.0131,,1.0822,Stations_USGS,900.0,8.0,0.3,0.875,55.9888,1.4737,0.129243,inferred,
Melamchi2,Melamchi2,27.841,85.5149,macroseismic,,,,,,,,,,,,,,0.702649,1.04541,,0.711393,0.8059,1.0131,,1.0822,Stations_USGS,733.0,8.0,0.3,0.875,55.9888,1.4737,0.129307,inferred,
Melamchi5,Melamchi5,27.835,85.5427,macroseismic,,,,,,,,,,,,,,0.702381,1.045201,,0.71156,0.8059,1.0131,,1.0822,Stations_USGS,900.0,8.0,0.3,0.875,55.9888,1.4737,0.129341,inferred,
Melamchi6,Melamchi6,27.835,85.5694,macroseismic,,,,,,,,,,,,,,0.701531,1.044536,,0.712088,0.8059,1.0131,,1.0822,Stations_USGS,864.07,8.0,0.3,0.875,55.9888,1.4737,0.129449,inferred,
OBS_11,Kharanitar (Intensity VIII),27.9281,85.3207,macroseismic,,,,,,,,,,,,,,0.700171,1.043471,,0.712935,0.8059,1.0131,,1.0822,Stations_USGS,900.0,8.0,0.3,0.875,55.9888,1.4737,0.129622,inferred,
Chautrara3,Chautrara3,27.776,85.7173,macroseismic,,,,,,,,,,,,,,0.70015,1.043454,,0.712948,0.8059,1.0131,,1.0822,Stations_USGS,900.0,8.0,0.3,0.875,55.9888,1.4737,0.129624,inferred,
Chautrara7,Chautrara7,27.769,85.7289,macroseismic,,,,,,,,,,,,,,0.69969,1.043094,,0.713236,0.8059,1.0131,,1.0822,Stations_USGS,633.01,8.0,0.3,0.875,55.9888,1.4737,0.129683,inferred,
Bhimeshwor1,Bhimeshwor1,27.666,86.0545,macroseismic,,,,,,,,,,,,,,0.699413,1.042877,,0.713408,0.8059,1.0131,,1.0822,Stations_USGS,813.02,8.0,0.3,0.875,55.9888,1.4737,0.129718,inferred,
Chautrara4,Chautrara4,27.788,85.7236,macroseismic,,,,,,,,,,,,,,0.699032,1.042578,,0.713647,0.8059,1.0131,,1.0822,Stations_USGS,900.0,8.0,0.3,0.875,55.9888,1.4737,0.129767,inferred,
Laharepauwa1,Laharepauwa1,27.978,85.1846,macroseismic,,,,,,,,,,,,,,0.698703,1.04232,,0.713853,0.8059,1.0131,,1.0822,Stations_USGS,615.77,8.0,0.3,0.875,55.9888,1.4737,0.129809,inferred,
Melamchi14,Melamchi14,27.845,85.6293,macroseismic,,,,,,,,,,,,,,0.698654,1.042282,,0.713884,0.8059,1.0131,,1.0822,Stations_USGS,900.0,8.0,0.3,0.875,55.9888,1.4737,0.129815,inferred,
Chautrara5,Chautrara5,27.783,85.7415,macroseismic,,,,,,,,,,,,,,0.697704,1.041537,,0.714479,0.8059,1.0131,,1.0822,Stations_USGS,870.07,8.0,0.3,0.875,55.9888,1.4737,0.129936,inferred,
Manthali12,Manthali12,27.362,86.0255,macroseismic,,,,,,,,,,,,,,0.660121,1.011654,,0.739143,0.8059,1.0131,,1.0822,Stations_USGS,900.0,8.0,0.3,0.875,55.9888,1.4737,0.134974,inferred,
Kamalamai2,Kamalamai2,27.248,85.8911,macroseismic,,,,,,,,,,,,,,0.653114,1.005994,,0.743994,0.8059,1.0131,,1.0822,Stations_USGS,664.84,8.0,0.3,0.875,55.9888,1.4737,0.135967,inferred,
Manthali16,Manthali16,27.408,86.063,macroseismic,,,,,,,,,,,,,,0.649032,1.002684,,0.746859,0.8059,1.0131,,1.0822,Stations_USGS,636.84,8.0,0.3,0.875,55.9888,1.4737,0.136554,inferred,
BHK,BHK (Intensity VIII),27.6719,85.4259,macroseismic,,,,,,,,,,,,,,0.640497,0.951152,,0.595204,0.8059,1.0131,,1.0822,Stations_USGS,318.5,7.8,0.3,0.875,48.3961,1.4737,0.108562,inferred,
Manthali3,Manthali3,27.398,86.0776,macroseismic,,,,,,,,,,,,,,0.638269,0.993908,,0.754552,0.8059,1.0131,,1.0822,Stations_USGS,900.0,8.0,0.3,0.875,55.9888,1.4737,0.138131,inferred,
Kamalamai8,Kamalamai8,27.242,85.9767,macroseismic,,,,,,,,,,,,,,0.630546,0.987567,,0.760204,0.8059,1.0131,,1.0822,Stations_USGS,900.0,8.0,0.3,0.875,55.9888,1.4737,0.139291,inferred,
Jiri7,Jiri7,27.629,86.1912,macroseismic,,,,,,,,,,,,,,0.629713,0.986882,,0.76082,0.8059,1.0131,,1.0822,Stations_USGS,695.18,8.0,0.3,0.875,55.9888,1.4737,0.139418,inferred,
Jiri8,Jiri8,27.599,86.2148,macroseismic,,,,,,,,,,,,,,0.612685,0.972761,,0.773711,0.8059,1.0131,,1.0822,Stations_USGS,900.0,8.0,0.3,0.875,55.9888,1.4737,0.142068,inferred,
Kamalamai3,Kamalamai3,27.169,85.8551,macroseismic,,,,,,,,,,,,,,0.603007,0.964652,,0.781299,0.8059,1.0131,,1.0822,Stations_USGS,627.12,8.0,0.3,0.875,55.9888,1.4737,0.14363,inferred,
UTM:(45R 033 306 10000),,27.6992,85.3266,macroseismic,,,,,,,,,,,,,,0.602336,0.900075,,0.549502,0.8059,1.0131,,1.0822,Stations_USGS,290.59,7.7,0.3,0.875,44.995,1.4737,0.100511,inferred,
Jiri1,Jiri1,27.643,86.2658,macroseismic,,,,,,,,,,,,,,0.598807,0.961114,,0.784653,0.8059,1.0131,,1.0822,Stations_USGS,900.0,8.0,0.3,0.875,55.9888,1.4737,0.144322,inferred,
Jiri2,Jiri2,27.616,86.2665,macroseismic,,,,,,,,,,,,,,0.593596,0.956708,,0.788868,0.8059,1.0131,,1.0822,Stations_USGS,810.92,8.0,0.3,0.875,55.9888,1.4737,0.145191,inferred,
Those5,Those5,27.58,86.2547,macroseismic,,,,,,,,,,,,,,0.591862,0.955238,,0.790283,0.8059,1.0131,,1.0822,Stations_USGS,900.0,8.0,0.3,0.875,55.9888,1.4737,0.145483,inferred,
Those7,Those7,27.593,86.2765,macroseismic,,,,,,,,,,,,,,0.585479,0.949808,,0.795553,0.8059,1.0131,,1.0822,Stations_USGS,691.37,8.0,0.3,0.875,55.9888,1.4737,0.146571,inferred,
OBS_9,Ghale (Intensity VIII),28.2776,84.3089,macroseismic,,,,,,,,,,,,,,0.585433,0.949768,,0.795592,0.8059,1.0131,,1.0822,Stations_USGS,900.0,8.0,0.3,0.875,55.9888,1.4737,0.146579,inferred,
Those4,Those4,27.567,86.2775,macroseismic,,,,,,,,,,,,,,0.580541,0.945588,,0.799693,0.8059,1.0131,,1.0822,Stations_USGS,900.0,8.0,0.3,0.875,55.9888,1.4737,0.147426,inferred,
Those8,Those8,27.594,86.2928,macroseismic,,,,,,,,,,,,,,0.579392,0.944604,,0.800665,0.8059,1.0131,,1.0822,Stations_USGS,900.0,8.0,0.3,0.875,55.9888,1.4737,0.147627,inferred,
Those9,Those9,27.578,86.2975,macroseismic,,,,,,,,,,,,,,0.574931,0.940773,,0.804468,0.8059,1.0131,,1.0822,Stations_USGS,900.0,8.0,0.3,0.875,55.9888,1.4737,0.148413,inferred,
Kamalamai16,Kamalamai16,27.095,85.9936,macroseismic,,,,,,,,,,,,,,0.557388,0.925571,,0.819893,0.8059,1.0131,,1.0822,Stations_USGS,900.0,8.0,0.3,0.875,55.9888,1.4737,0.151606,inferred,
Kamalamai14,Kamalamai14,27.073,85.9901,macroseismic,,,,,,,,,,,,,,0.549496,0.918658,,0.82709,0.8059,1.0131,,1.0822,Stations_USGS,575.58,8.0,0.3,0.875,55.9888,1.4737,0.153098,inferred,
Thaha4,Thaha4,27.613,85.0989,macroseismic,,,,,,,,,,,,,,0.547558,0.817744,,0.460525,0.8059,1.0131,,1.0822,Stations_USGS,900.0,7.5,0.3,0.875,38.8932,1.4737,0.084544,inferred,
Thaha2,Thaha2,27.638,85.0691,macroseismic,,,,,,,,,,,,,,0.545692,0.816277,,0.46149,0.8059,1.0131,,1.0822,Stations_USGS,487.1,7.5,0.3,0.875,38.8932,1.4737,0.084742,inferred,
Palungtar3,Palungtar3,27.962,84.4481,macroseismic,,,,,,,,,,,,,,0.545073,0.815791,,0.461811,0.8059,1.0131,,1.0822,Stations_USGS,408.24,7.5,0.3,0.875,38.8932,1.4737,0.084809,inferred,
Karyabinayak14,Karyabinayak14,27.577,85.3046,macroseismic,,,,,,,,,,,,,,0.544667,0.815471,,0.462022,0.8059,1.0131,,1.0822,Stations_USGS,707.76,7.5,0.3,0.875,38.8932,1.4737,0.084852,inferred,
Karyabinayak17,Karyabinayak17,27.584,85.2929,macroseismic,,,,,,,,,,,,,,0.54433,0.815206,,0.462197,0.8059,1.0131,,1.0822,Stations_USGS,707.76,7.5,0.3,0.875,38.8932,1.4737,0.084888,inferred,
Thaha3,Thaha3,27.652,85.0761,macroseismic,,,,,,,,,,,,,,0.543965,0.814919,,0.462387,0.8059,1.0131,,1.0822,Stations_USGS,900.0,7.5,0.3,0.875,38.8932,1.4737,0.084927,inferred,
Gorkha11,Gorkha11,27.957,84.5563,macroseismic,,,,,,,,,,,,,,0.543951,0.814907,,0.462395,0.8059,1.0131,,1.0822,Stations_USGS,603.73,7.5,0.3,0.875,38.8932,1.4737,0.084929,inferred,
Karyabinayak18,Karyabinayak18,27.595,85.2945,macroseismic,,,,,,,,,,,,,,0.543121,0.814253,,0.462827,0.8059,1.0131,,1.0822,Stations_USGS,649.91,7.5,0.3,0.875,38.8932,1.4737,0.085018,inferred,
Karyabinayak15,Karyabinayak15,27.594,85.3095,macroseismic,,,,,,,,,,,,,,0.542715,0.813933,,0.46304,0.8059,1.0131,,1.0822,Stations_USGS,540.22,7.5,0.3,0.875,38.8932,1.4737,0.085062,inferred,
Karyabinayak16,Karyabinayak16,27.607,85.3053,macroseismic,,,,,,,,,,,,,,0.541514,0.812986,,0.463669,0.8059,1.0131,,1.0822,Stations_USGS,649.91,7.5,0.3,0.875,38.8932,1.4737,0.085191,inferred,
Karyabinayak12,Karyabinayak12,27.613,85.297,macroseismic,,,,,,,,,,,,,,0.541178,0.812721,,0.463845,0.8059,1.0131,,1.0822,Stations_USGS,591.85,7.5,0.3,0.875,38.8932,1.4737,0.085227,inferred,
Gorkha10,Gorkha10,27.977,84.5773,macroseismic,,,,,,,,,,,,,,0.540706,0.812348,,0.464093,0.8059,1.0131,,1.0822,Stations_USGS,627.64,7.5,0.3,0.875,38.8932,1.4737,0.085278,inferred,
Bajrabarahi3,Bajrabarahi3,27.613,85.3186,macroseismic,,,,,,,,,,,,,,0.540458,0.812152,,0.464224,0.8059,1.0131,,1.0822,Stations_USGS,550.14,7.5,0.3,0.875,38.8932,1.4737,0.085305,inferred,
Bajrabarahi4,Bajrabarahi4,27.613,85.3206,macroseismic,,,,,,,,,,,,,,0.540392,0.8121,,0.464258,0.8059,1.0131,,1.0822,Stations_USGS,550.14,7.5,0.3,0.875,38.8932,1.4737,0.085312,inferred,
Karyabinayak13,Karyabinayak13,27.619,85.3078,macroseismic,,,,,,,,,,,,,,0.540208,0.811954,,0.464356,0.8059,1.0131,,1.0822,Stations_USGS,591.85,7.5,0.3,0.875,38.8932,1.4737,0.085332,inferred,
Karyabinayak11,Karyabinayak11,27.625,85.3021,macroseismic,,,,,,,,,,,,,,0.539791,0.811625,,0.464576,0.8059,1.0131,,1.0822,Stations_USGS,530.93,7.5,0.3,0.875,38.8932,1.4737,0.085378,inferred,
Gorkha9,Gorkha9,27.973,84.5927,macroseismic,,,,,,,,,,,,,,0.539608,0.81148,,0.464672,0.8059,1.0131,,1.0822,Stations_USGS,556.56,7.5,0.3,0.875,38.8932,1.4737,0.085398,inferred,
Karyabinayak10,Karyabinayak10,27.629,85.2983,macroseismic,,,,,,,,,,,,,,0.539514,0.811406,,0.464721,0.8059,1.0131,,1.0822,Stations_USGS,530.93,7.5,0.3,0.875,38.8932,1.4737,0.085408,inferred,
Lalitpur25,Lalitpur25,27.621,85.33,macroseismic,,,,,,,,,,,,,,0.539277,0.811219,,0.464847,0.8059,1.0131,,1.0822,Stations_USGS,557.46,7.5,0.3,0.875,38.8932,1.4737,0.085434,inferred,
Godawari4,Godawari4,27.604,85.3835,macroseismic,,,,,,,,,,,,,,0.539266,0.81121,,0.464852,0.8059,1.0131,,1.0822,Stations_USGS,681.24,7.5,0.3,0.875,38.8932,1.4737,0.085435,inferred,
Lalitpur27,Lalitpur27,27.625,85.319,macroseismic,,,,,,,,,,,,,,0.539235,0.811185,,0.464869,0.8059,1.0131,,1.0822,Stations_USGS,524.18,7.5,0.3,0.875,38.8932,1.4737,0.085438,inferred,
