custom_site_id,lon,lat,slope,vs30,geology,xvf,region,vs30measured
t_131,19.96124964,40.77875077,0.067212075,509.72388,PLEISTOCENE,46.13890132,4,FALSE
t_132,19.96124964,40.7870841,0.10046371,557.3236,CENOZOIC,45.94093721,4,FALSE
t_133,19.96124964,40.79541743,0.07375356,530.726,CENOZOIC,45.74297311,4,FALSE
t_134,19.96124964,40.80375076,0.03823195,469.15424,CENOZOIC,45.545009,4,FALSE
t_135,19.96124964,40.81208409,0.05389071,470.89368,CENOZOIC,45.34704489,4,FALSE
t_136,19.96124964,40.82041742,0.04381234,521.8285,CENOZOIC,45.14908078,4,FALSE
t_137,19.96124964,40.82875075,0.06788952,516.1935,CENOZOIC,44.95111667,4,FALSE
t_138,19.96958297,40.77875077,0.035866167,496.69165,PLEISTOCENE,45.4534263,4,FALSE
t_139,19.96958297,40.7870841,0.021510666,502.06152,PLEISTOCENE,45.25554814,4,FALSE
t_140,19.96958297,40.79541743,0.04990551,505.5816,CENOZOIC,45.05766998,4,FALSE
t_141,19.96958297,40.80375076,0.07023725,513.32544,CENOZOIC,44.85979182,4,FALSE
t_142,19.96958297,40.81208409,0.066359654,533.2792,CENOZOIC,44.66191366,4,FALSE
t_143,19.96958297,40.82041742,0.06696436,530.79816,CENOZOIC,44.46403549,4,FALSE
t_144,19.96958297,40.82875075,0.050331548,490.56628,CENOZOIC,44.26615733,4,FALSE
t_145,19.96958297,40.84541741,0.03443813,478.26154,CENOZOIC,43.87038155,4,FALSE
t_146,19.96958297,40.85375074,0.08929106,551.00903,CENOZOIC,43.67249342,4,FALSE
t_147,19.96958297,40.86208407,0.11888758,680.5073,CENOZOIC,43.47460528,4,FALSE
t_148,19.9779163,40.77875077,0.09626933,628.8792,CENOZOIC,44.76795129,4,FALSE
t_149,19.9779163,40.7870841,0.083238795,577.87006,PLEISTOCENE,44.57015907,4,FALSE
t_150,19.9779163,40.79541743,0.10718109,598.8927,PLEISTOCENE,44.37236685,4,FALSE
t_151,19.9779163,40.80375076,0.042237252,553.3957,PLEISTOCENE,44.17457464,4,FALSE
t_152,19.9779163,40.81208409,0.07663781,529.4028,CENOZOIC,43.97678242,4,FALSE
t_153,19.9779163,40.82041742,0.0721427,561.7777,CENOZOIC,43.7789902,4,FALSE
t_154,19.9779163,40.82875075,0.08998448,558.6345,CENOZOIC,43.58119799,4,FALSE
t_155,19.9779163,40.83708408,0.069859974,523.05853,CENOZOIC,43.38339666,4,FALSE
t_156,19.9779163,40.84541741,0.07401179,462.76385,CENOZOIC,43.18559485,4,FALSE
t_157,19.9779163,40.85375074,0.015787128,482.04816,CENOZOIC,42.98779303,4,FALSE
t_158,19.9779163,40.86208407,0.14626834,635.6162,CENOZOIC,42.78999122,4,FALSE
t_159,19.98624963,40.77875077,0.13800861,691.7119,CENOZOIC,44.08247627,4,FALSE
t_160,19.98624963,40.7870841,0.121018864,741.09204,CENOZOIC,43.88477,4,FALSE
t_161,19.98624963,40.79541743,0.15918057,780.91516,CENOZOIC,43.68706373,4,FALSE
t_162,19.98624963,40.80375076,0.16568571,685.5073,PLEISTOCENE,43.48935746,4,FALSE
t_163,19.98624963,40.81208409,0.032333322,522.7774,PLEISTOCENE,43.29165119,4,FALSE
t_164,19.98624963,40.82041742,0.060644057,496.81305,CENOZOIC,43.09394492,4,FALSE
t_165,19.98624963,40.82875075,0.05057206,518.15735,CENOZOIC,42.89623864,4,FALSE
t_166,19.98624963,40.83708408,0.034113817,499.92673,CENOZOIC,42.69852362,4,FALSE
t_167,19.98624963,40.84541741,0.047179926,476.0477,CENOZOIC,42.50080814,4,FALSE
t_168,19.98624963,40.85375074,0.052315466,407.18768,CENOZOIC,42.30309265,4,FALSE
t_169,19.98624963,40.86208407,0.045677327,501.99323,CENOZOIC,42.10537717,4,FALSE
t_170,19.98624963,40.8704174,0.13730083,673.6594,CENOZOIC,41.90766169,4,FALSE
t_171,19.99458296,40.77875077,0.12531836,661.1677,CENOZOIC,43.39700125,4,FALSE
t_172,19.99458296,40.7870841,0.16584678,775.38086,CENOZOIC,43.19938093,4,FALSE
t_173,19.99458296,40.79541743,0.11797599,739.6162,CENOZOIC,43.0017606,4,FALSE
t_174,19.99458296,40.80375076,0.11684496,699.4831,CENOZOIC,42.80414028,4,FALSE
t_175,19.99458296,40.81208409,0.09956538,583.81323,CENOZOIC,42.60651995,4,FALSE
t_176,19.99458296,40.82041742,0.038253214,477.94562,PLEISTOCENE,42.40889963,4,FALSE
t_177,19.99458296,40.82875075,0.047825612,491.79855,CENOZOIC,42.2112793,4,FALSE
t_178,19.99458296,40.83708408,0.06728977,503.38895,CENOZOIC,42.01365059,4,FALSE
t_179,19.99458296,40.84541741,0.039028432,498.7829,CENOZOIC,41.81602143,4,FALSE
t_180,19.99458296,40.85375074,0.035450127,460.80093,CENOZOIC,41.61839227,4,FALSE
t_181,19.99458296,40.86208407,0.044248953,508.8004,CENOZOIC,41.42076312,4,FALSE
t_182,19.99458296,40.8704174,0.09756856,626.3315,CENOZOIC,41.22313396,4,FALSE
t_183,19.99458296,40.87875073,0.11016311,679.14905,CENOZOIC,41.02550481,4,FALSE
t_184,20.00291629,40.77875077,0.09024127,608.1615,CENOZOIC,42.71152623,4,FALSE
t_185,20.00291629,40.7870841,0.14424151,664.5949,CENOZOIC,42.51399185,4,FALSE
t_186,20.00291629,40.79541743,0.08096789,669.78674,CENOZOIC,42.31645748,4,FALSE
t_187,20.00291629,40.80375076,0.14458726,662.85333,CENOZOIC,42.1189231,4,FALSE
t_188,20.00291629,40.81208409,0.04691822,578.9942,CENOZOIC,41.92138872,4,FALSE
t_189,20.00291629,40.82041742,0.088502705,515.4786,CENOZOIC,41.72385434,4,FALSE
t_190,20.00291629,40.82875075,0.0310223,508.43665,CENOZOIC,41.52631996,4,FALSE
t_191,20.00291629,40.83708408,0.063691236,537.14276,CENOZOIC,41.32877755,4,FALSE
t_192,20.00291629,40.85375074,0.14039707,701.548,CENOZOIC,40.93369189,4,FALSE
t_193,20.00291629,40.86208407,0.1135473,713.6816,CENOZOIC,40.73614906,4,FALSE
t_194,20.00291629,40.8704174,0.10688144,720.2493,CENOZOIC,40.53860624,4,FALSE
t_195,20.00291629,40.87875073,0.11133682,723.2412,CENOZOIC,40.34106341,4,FALSE
t_196,20.01124962,40.7870841,0.043623306,553.9662,CENOZOIC,41.828481,4,FALSE
t_197,20.01124962,40.79541743,0.13097443,660.44006,CENOZOIC,41.63103273,4,FALSE
t_198,20.01124962,40.80375076,0.1202605,660.3025,CENOZOIC,41.43358446,4,FALSE
t_199,20.01124962,40.81208409,0.028125325,503.7734,CENOZOIC,41.23613619,4,FALSE
t_200,20.01124962,40.82041742,0.030079905,465.3418,CENOZOIC,41.03868792,4,FALSE
t_201,20.01124962,40.82875075,0.06209281,504.20813,CENOZOIC,40.84123965,4,FALSE
t_202,20.01124962,40.83708408,0.10214244,600.35754,CENOZOIC,40.64378353,4,FALSE
t_203,20.01124962,40.84541741,0.12587531,727.6102,CENOZOIC,40.446327,4,FALSE
t_204,20.01124962,40.85375074,0.19348457,804.9691,CENOZOIC,40.24887046,4,FALSE
t_205,20.01124962,40.86208407,0.17782179,837.7215,CENOZOIC,40.05141393,4,FALSE
t_206,20.01124962,40.8704174,0.21125214,862.36835,CENOZOIC,39.8539574,4,FALSE
t_207,20.01124962,40.87875073,0.20867044,842.8024,CENOZOIC,39.65650087,4,FALSE
t_208,20.01958295,40.77875077,0.110451944,603.2031,CENOZOIC,41.34031076,4,FALSE
t_209,20.01958295,40.7870841,0.06045277,574.2671,CENOZOIC,41.14294863,4,FALSE
t_210,20.01958295,40.79541743,0.122340955,654.0299,CENOZOIC,40.9455865,4,FALSE
t_211,20.01958295,40.80375076,0.09422006,646.7209,CENOZOIC,40.74822436,4,FALSE
t_212,20.01958295,40.81208409,0.059066873,488.17474,CENOZOIC,40.55086223,4,FALSE
t_213,20.01958295,40.82041742,0.053937197,436.59952,CENOZOIC,40.3535001,4,FALSE
t_214,20.02791628,40.77875077,0.14140792,612.2595,CENOZOIC,40.65469225,4,FALSE
t_215,20.02791628,40.7870841,0.07144704,650.8747,CENOZOIC,40.45741625,4,FALSE
t_216,20.02791628,40.79541743,0.14656961,675.4388,CENOZOIC,40.26014026,4,FALSE
t_217,20.02791628,40.80375076,0.095252804,619.99005,CENOZOIC,40.06286427,4,FALSE
t_218,20.02791628,40.81208409,0.092282176,522.0771,CENOZOIC,39.86558828,4,FALSE
t_219,20.03624961,40.7870841,0.14266318,664.2917,CENOZOIC,39.77188388,4,FALSE
t_220,20.03624961,40.79541743,0.13220781,702.1024,CENOZOIC,39.57469403,4,FALSE
t_221,20.03624961,40.81208409,0.036214076,502.01517,CENOZOIC,39.18031432,4,FALSE
t_222,20.04458294,40.7870841,0.10230024,611.3749,CENOZOIC,39.08635151,4,FALSE
t_223,20.04458294,40.80375076,0.07776067,567.2286,CENOZOIC,38.69214408,4,FALSE
t_224,20.04458294,40.81208409,0.038737282,463.7143,CENOZOIC,38.49504036,4,FALSE
t_225,20.05291627,40.7870841,0.13336337,614.3928,CENOZOIC,38.40081914,4,FALSE
t_226,20.05291627,40.80375076,0.052425247,573.25354,CENOZOIC,38.00678398,4,FALSE
t_227,20.05291627,40.81208409,0.061372988,498.0476,CENOZOIC,37.8097664,4,FALSE
t_228,20.0612496,40.7870841,0.10422263,607.39746,CENOZOIC,37.71528677,4,FALSE
t_229,20.0612496,40.81208409,0.07387663,573.94324,CENOZOIC,37.12449245,4,FALSE
t_230,20.06958293,40.7870841,0.1372659,719.0305,CENOZOIC,37.02975439,4,FALSE
t_231,20.06958293,40.79541743,0.15105242,732.71436,CENOZOIC,36.83290909,4,FALSE
t_232,20.06958293,40.80375076,0.11548191,719.0112,CENOZOIC,36.63606379,4,FALSE
t_233,20.06958293,40.81208409,0.1347388,713.584,CENOZOIC,36.43921849,4,FALSE
t_234,20.07791626,40.77875077,0.20428154,775.37115,CENOZOIC,36.54098118,4,FALSE
t_235,20.07791626,40.7870841,0.21554466,879.455,CENOZOIC,36.34422202,4,FALSE
t_236,20.07791626,40.79541743,0.16375977,863.84595,CENOZOIC,36.14746286,4,FALSE
t_237,20.08624959,40.77875077,0.058125537,684.35626,CENOZOIC,35.85536267,4,FALSE
t_238,19.86958301,40.72041746,0.20377658,742.72217,CENOZOIC,55.07060535,4,FALSE
t_239,19.86958301,40.72875079,0.15101263,605.3827,CENOZOIC,54.87170691,4,FALSE
t_240,19.86958301,40.73708412,0.02659303,587.0822,CENOZOIC,54.67280848,4,FALSE
t_241,19.86958301,40.74541745,0.18602365,711.1883,CENOZOIC,54.47391004,4,FALSE
t_242,19.87791634,40.72041746,0.081781454,643.81305,CENOZOIC,54.3846642,4,FALSE
t_243,19.87791634,40.72875079,0.08207376,504.28723,CENOZOIC,54.18585281,4,FALSE
t_244,19.87791634,40.73708412,0.062476497,463.3792,CENOZOIC,53.98704143,4,FALSE
t_245,19.87791634,40.74541745,0.016383471,628.9202,CENOZOIC,53.78823004,4,FALSE
t_246,19.87791634,40.76208411,0.15184274,674.45886,CENOZOIC,53.3905793,4,FALSE
t_247,19.87791634,40.77041744,0.040124122,456.44485,CENOZOIC,53.19175358,4,FALSE
t_248,19.87791634,40.77875077,0.005803963,281.15503,PLEISTOCENE,52.99292785,4,FALSE
t_249,19.88624967,40.72875079,0.11270742,647.88745,CENOZOIC,53.49999872,4,FALSE
t_250,19.88624967,40.74541745,0.19325465,770.98267,CENOZOIC,53.10255004,4,FALSE
t_251,19.88624967,40.75375078,0.19722198,795.8073,CENOZOIC,52.90381143,4,FALSE
t_252,19.88624967,40.76208411,0.062213894,546.35187,CENOZOIC,52.70507207,4,FALSE
t_253,19.88624967,40.77041744,0.004571195,308.9831,PLEISTOCENE,52.50633271,4,FALSE
t_254,19.88624967,40.77875077,0.001523899,234.75975,PLEISTOCENE,52.30759335,4,FALSE
t_255,19.894583,40.73708412,0.17805435,827.7209,CENOZOIC,52.61550733,4,FALSE
t_256,19.894583,40.74541745,0.17057115,785.6774,CENOZOIC,52.41687004,4,FALSE
t_257,19.894583,40.75375078,0.066950016,574.29517,CENOZOIC,52.21821783,4,FALSE
t_258,19.894583,40.76208411,0.002158369,328.4626,PLEISTOCENE,52.01956483,4,FALSE
t_259,19.894583,40.77041744,0.002681284,235.71846,PLEISTOCENE,51.82091184,4,FALSE
t_260,19.90291633,40.73708412,0.16355683,780.6242,CENOZOIC,51.92974028,4,FALSE
t_261,19.90291633,40.74541745,0.074659884,577.68884,CENOZOIC,51.73119003,4,FALSE
t_262,19.90291633,40.75375078,0.017500458,361.01886,PLEISTOCENE,51.53262422,4,FALSE
t_263,19.90291633,40.76208411,0.001293121,245.30078,PLEISTOCENE,51.33405759,4,FALSE
t_264,19.90291633,40.77041744,0.00176864,223.2027,PLEISTOCENE,51.13549096,4,FALSE
t_265,19.91124966,40.73708412,0.07300766,568.5217,CENOZOIC,51.24397323,4,FALSE
t_266,19.91124966,40.74541745,0.024185808,378.6347,PLEISTOCENE,51.04551003,4,FALSE
t_267,19.91124966,40.75375078,0.003721494,274.54233,PLEISTOCENE,50.84703062,4,FALSE
t_268,19.91124966,40.76208411,0.001523565,227.91385,PLEISTOCENE,50.64855036,4,FALSE
t_269,19.91124966,40.77041744,0.001523732,220.00519,PLEISTOCENE,50.45007009,4,FALSE
t_270,19.91958299,40.72041746,0.068853,527.1559,PLEISTOCENE,50.95495847,4,FALSE
t_271,19.91958299,40.72875079,0.036549527,437.12802,PLEISTOCENE,50.75658233,4,FALSE
t_272,19.91958299,40.73708412,0.008476189,340.60168,PLEISTOCENE,50.55820618,4,FALSE
t_273,19.91958299,40.74541745,0.004307297,275.59222,PLEISTOCENE,50.35983003,4,FALSE
t_274,19.91958299,40.75375078,0.004408045,242.11652,PLEISTOCENE,50.16143702,4,FALSE
t_275,19.91958299,40.76208411,0.003602668,256.20917,PLEISTOCENE,49.96304312,4,FALSE
t_276,19.91958299,40.77041744,0.009278143,309.5198,PLEISTOCENE,49.76464922,4,FALSE
t_277,19.92791632,40.72875079,0.004375071,280.30783,PLEISTOCENE,50.07065095,4,FALSE
t_278,19.92791632,40.73708412,0.005697106,276.8908,PLEISTOCENE,49.87234198,4,FALSE
t_279,19.92791632,40.74541745,0.006500257,292.10455,PLEISTOCENE,49.67403301,4,FALSE
t_280,19.92791632,40.75375078,0.007854041,274.36597,PLEISTOCENE,49.47572506,4,FALSE
t_281,19.92791632,40.76208411,0.01353039,330.89835,PLEISTOCENE,49.27741717,4,FALSE
t_282,19.92791632,40.77041744,0.050094604,447.48218,PLEISTOCENE,49.07910928,4,FALSE
t_283,19.93624965,40.72875079,0.009272351,308.9471,PLEISTOCENE,49.38470594,4,FALSE
t_284,19.93624965,40.73708412,0.022102645,372.94336,PLEISTOCENE,49.18646063,4,FALSE
t_285,19.93624965,40.74541745,0.047768023,426.85406,PLEISTOCENE,48.98821532,4,FALSE
t_286,19.93624965,40.75375078,0.024244247,381.70285,PLEISTOCENE,48.78999221,4,FALSE
t_287,19.93624965,40.76208411,0.033085693,411.9943,PLEISTOCENE,48.59177026,4,FALSE
