STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,EPICENTRAL_DISTANCE,STATION_TYPE,REFERENCES,PGA_VALUE,PGA_LN_SIGMA,PGA_E,PGA_N,PGA_V,SA(0.3)_VALUE,SA(0.3)_LN_SIGMA,SA(0.3)_E,SA(0.3)_N,SA(0.3)_V,SA(0.6)_VALUE,SA(0.6)_LN_SIGMA,SA(0.6)_E,SA(0.6)_N,SA(0.6)_V,SA(1.0)_VALUE,SA(1.0)_LN_SIGMA,SA(1.0)_E,SA(1.0)_N,SA(1.0)_V,SA(3.0)_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_E,SA(3.0)_N,SA(3.0)_V,COMMENTS,SOIL_TYPE,VS30,VS30_TYPE,MMI_VALUE,MMI_STDDEV,PGV_LN_SIGMA,PGV_VALUE
SABO,Monte Sabotino  Italy,45.9875,13.6336,,seismic,ESM,0.018558874,0.0,,,,0.0463687260519858,0.0,,,,0.0413545551129225,0.0,,,,0.0283357721458665,0.0,,,,,,,,,,B (inferred from geology),,B (inferred from geology),,,,
LJU,Ljubljana  SL,46.0438,14.5278,,seismic,ESM,0.013620621,0.0,,,,0.034055843002761,0.0,,,,0.016478962989043,0.0,,,,0.0104040736566438,0.0,,,,,,,,,,B (inferred from topography),,B (inferred from topography),,,,
VISS,Visnje  SL,45.8033,14.8393,,seismic,ESM,0.012597989,0.0,,,,0.0239418415848855,0.0,,,,0.0190516413723596,0.0,,,,0.008950846250575,0.0,,,,,,,,,,B (inferred from topography),,B (inferred from topography),,,,
BLY,Banja Luka  Bosnia and Herzegovina,44.7488,17.1839,,seismic,ESM,0.011811716,0.0,,,,0.0352962785247432,0.0,,,,0.0208814452528522,0.0,,,,0.0136315711550077,0.0,,,,,,,,,,A (inferred from topography),,A (inferred from topography),,,,
VNDS,Vrh nad Dolskim  SL,46.1016,14.7014,,seismic,ESM,0.010818329,0.0,,,,0.0291404252825216,0.0,,,,0.0222821360025884,0.0,,,,0.0105522685060372,0.0,,,,,,,,,,B (inferred from topography),,B (inferred from topography),,,,
CRNS,Crni vrh  SL,46.0807,14.2613,,seismic,ESM,0.010605062,0.0,,,,0.0443908877079724,0.0,,,,0.023135639226761,0.0,,,,0.0087155875119532,0.0,,,,,,,,,,A (inferred from topography),,A (inferred from topography),,,,
BOJS,Bojanci  SL,45.5043,15.2518,,seismic,ESM,0.009616958,0.0,,,,0.0270984487251436,0.0,,,,0.0105731436756461,0.0,,,,0.0057760253914094,0.0,,,,,,,,,,B (inferred from topography),,B (inferred from topography),,,,
DST2,Trieste Universita DST  Italy,45.6589,13.8013,,seismic,ESM,0.008516007,0.0,,,,0.0341155187044966,0.0,,,,0.0071780654218976,0.0,,,,0.0043401817723589,0.0,,,,,,,,,,B (inferred from geology),,B (inferred from geology),,,,
CEY,Cerknica  SL,45.7381,14.4221,,seismic,ESM,0.00744574,0.0,,,,0.0224830448410693,0.0,,,,0.0106725550781643,0.0,,,,0.0054648729143706,0.0,,,,,,,,,,B (inferred from topography),,B (inferred from topography),,,,
FREG,Fregona,46.011092,12.312986,,seismic,ESM,0.007338764,0.0,,,,0.0211755435071247,0.0,,,,0.0166671952319897,0.0,,,,0.0052510357692093,0.0,,,,,,,,,,B,400.0,B,,,,
MOZS,Mozjanca  SL,46.2941,14.4433,,seismic,ESM,0.00722384,0.0,,,,0.019164613547218,0.0,,,,0.0131109473726214,0.0,,,,0.0090901769325426,0.0,,,,,,,,,,B (inferred from topography),,B (inferred from topography),,,,
PERS,Pernice  SL,46.6365,15.1139,,seismic,ESM,0.006793067,0.0,,,,0.0275353039504385,0.0,,,,0.0132327453646048,0.0,,,,0.0042291801489314,0.0,,,,,,,,,,B (inferred from topography),,B (inferred from topography),,,,
CADS,Cadrg  SL,46.2281,13.7368,,seismic,ESM,0.004847258,0.0,,,,0.0170905489882979,0.0,,,,0.0079269718305429,0.0,,,,0.0039607218576737,0.0,,,,,,,,,,A (inferred from topography),,A (inferred from topography),,,,
DRE,Drenchia  Italy,46.1733,13.645,,seismic,ESM,0.004819058,0.0,,,,0.0155902096588577,0.0,,,,0.0132103134887424,0.0,,,,0.0042352853763655,0.0,,,,,,,,,,B (inferred from geology),,B (inferred from geology),,,,
ACOM,Acomizza  Italy,46.548,13.5137,,seismic,ESM,0.004506664,0.0,,,,0.0186042548841361,0.0,,,,0.0082180293339287,0.0,,,,0.0062222717004904,0.0,,,,,,,,,,A (inferred from geology),,A (inferred from geology),,,,
SENI,Senigallia,43.7052,13.2331,,seismic,ESM,0.003694369,0.0,,,,0.0105916336852941,0.0,,,,0.0073084081584564,0.0,,,,0.0048767806892402,0.0,,,,,,,,,,C,242.0,C,,,,
GORS,Gorjuse  SL,46.3174,13.9999,,seismic,ESM,0.003673613,0.0,,,,0.0108727765581041,0.0,,,,0.0055675047504473,0.0,,,,0.0028906849185834,0.0,,,,,,,,,,A (inferred from topography),,A (inferred from topography),,,,
VOJS,Vojsko  SL,46.0322,13.8877,,seismic,ESM,0.003483724,0.0,,,,0.0105636128225032,0.0,,,,0.0063807090576163,0.0,,,,0.0057031278862565,0.0,,,,,,,,,,A (inferred from topography),,A (inferred from topography),,,,
FRE8,Fregona,46.015,12.3552,,seismic,ESM,0.003463424,0.0,,,,0.0084179636750909,0.0,,,,0.0090037933918748,0.0,,,,0.0055672870889765,0.0,,,,,,,,,,A (inferred from geology),,A (inferred from geology),,,,
CIMA,Civitanova Marche,43.305297,13.670091,,seismic,ESM,0.0034275,0.0,,,,0.0046445767924138,0.0,,,,0.0065282291488817,0.0,,,,0.011856143534854,0.0,,,,,,,,,,B,443.0,B,,,,
STAL,Staligial,46.2601,12.7104,,seismic,ESM,0.002876782,0.0,,,,0.0097963266855882,0.0,,,,0.0050141287237306,0.0,,,,0.0027942434817779,0.0,,,,,,,,,,B (inferred from geology),,B (inferred from geology),,,,
SKDS,Skadanscina  SL,45.5464,14.0143,,seismic,ESM,0.002733275,0.0,,,,0.0090753259205615,0.0,,,,0.0053980191052227,0.0,,,,0.0052056673733253,0.0,,,,,,,,,,B (inferred from topography),,B (inferred from topography),,,,
COR1,Corinaldo,43.63183,13.00033,,seismic,ESM,0.002716788,0.0,,,,0.0036810710551353,0.0,,,,0.0065925782113662,0.0,,,,0.0066106983500448,0.0,,,,,,,,,,D (inferred from geology),,D (inferred from geology),,,,
FANO,Fano,43.843471,13.018354,,seismic,ESM,0.002588938,0.0,,,,0.0039052803713032,0.0,,,,0.0063482878975108,0.0,,,,0.0105736276313558,0.0,,,,,,,,,,C (inferred from topography),,C (inferred from topography),,,,
MPRI,Monte Prat  Italy,46.2408,12.9877,,seismic,ESM,0.002476609,0.0,,,,0.0078858081846238,0.0,,,,0.0065609755378085,0.0,,,,0.0050471728800362,0.0,,,,,,,,,,B (inferred from geology),,B (inferred from geology),,,,
GUMA,Gualdo di Macerata,43.0627,13.3352,,seismic,ESM,0.002338371,0.0,,,,0.004850023759288,0.0,,,,0.0078994213399428,0.0,,,,0.0035895421805561,0.0,,,,,,,,,,B,488.0,B,,,,
FCOR,Fonte Corniale  PU,43.76911,12.81459,,seismic,ESM,0.002050908,0.0,,,,0.002145633058751,0.0,,,,0.0052903316618478,0.0,,,,0.0037857199474847,0.0,,,,,,,,,,B (inferred from topography),,B (inferred from topography),,,,
MCIF,Montecalvo in Foglia,43.811583,12.631683,,seismic,ESM,0.001863305,0.0,,,,0.0033782720468125,0.0,,,,0.0041909934624203,0.0,,,,0.0047175672999088,0.0,,,,,,,,,,B (inferred from topography),,B (inferred from topography),,,,
BOO,Bordano  Italy,46.3195,13.0984,,seismic,ESM,0.001858483,0.0,,,,0.0047210023699632,0.0,,,,0.0037548899704182,0.0,,,,0.0020189817766359,0.0,,,,,,,,,,D (inferred from geology),,D (inferred from geology),,,,
MTL1,Matelica,43.256732,13.009601,,seismic,ESM,0.00174744,0.0,,,,0.0021170747822243,0.0,,,,0.0047224693309195,0.0,,,,0.0044729974470069,0.0,,,,,,,,,,C (inferred from geology),,C (inferred from geology),,,,
MNTP,Montappone,43.137378,13.469252,,seismic,ESM,0.001746706,0.0,,,,0.0034949338371298,0.0,,,,0.0038702863360671,0.0,,,,0.004301885876977,0.0,,,,,,,,,,C (inferred from geology),,C (inferred from geology),,,,
MLN,Malnisio  Italy,46.1495,12.6154,,seismic,ESM,0.001607296,0.0,,,,0.0032845209822789,0.0,,,,0.0042400809479372,0.0,,,,0.0027386895288362,0.0,,,,,,,,,,B (inferred from geology),,B (inferred from geology),,,,
TREM,ISOLE TREMITI   SAN NICOLA,42.123,15.51,,seismic,ESM,0.00140924,0.0,,,,0.0016666593025855,0.0,,,,0.0041878685197716,0.0,,,,0.0043041822281478,0.0,,,,,,,,,,B (inferred from geology),,B (inferred from geology),,,,
CLUD,Cludinico  Italy,46.4569,12.8814,,seismic,ESM,0.001342133,0.0,,,,0.0022439303980652,0.0,,,,0.0030000584861845,0.0,,,,0.0036516746557543,0.0,,,,,,,,,,A (inferred from geology),,A (inferred from geology),,,,
FUSE,Fusea  Italy,46.4142,13.0011,,seismic,ESM,0.00122085,0.0,,,,0.0032847161741097,0.0,,,,0.0033299147238883,0.0,,,,0.0029414734079029,0.0,,,,,,,,,,B (inferred from geology),,B (inferred from geology),,,,
PRED,Cave del Predil  Italy,46.4428,13.565,,seismic,ESM,0.001208557,0.0,,,,0.0037211705719687,0.0,,,,0.0038217981650393,0.0,,,,0.0019452918553832,0.0,,,,,,,,,,A (inferred from geology),,A (inferred from geology),,,,
BANR,Banloc,45.3828,21.137,,seismic,ESM,0.001121028,0.0,,,,0.0016838248289031,0.0,,,,0.002854749045433,0.0,,,,0.0029781193719976,0.0,,,,,,,,,,C (inferred from topography),,C (inferred from topography),,,,
CIMO,Cimolais  Italy,46.3116,12.4448,,seismic,ESM,0.001006037,0.0,,,,0.0021021192353456,0.0,,,,0.0014607611943507,0.0,,,,0.0012158631342865,0.0,,,,,,,,,,C (inferred from geology),,C (inferred from geology),,,,
MPAG,Monte Paganuccio,43.6292,12.7595,,seismic,ESM,0.000824875,0.0,,,,0.0012802992743729,0.0,,,,0.0022536592448884,0.0,,,,0.0025087164876841,0.0,,,,,,,,,,A (inferred from geology),,A (inferred from geology),,,,
SSFR,Montelago di Sassoferrato,43.43628,12.78225,,seismic,ESM,0.000764959,0.0,,,,0.0027560718929608,0.0,,,,0.0012580016172787,0.0,,,,0.0014200009097134,0.0,,,,,,,,,,C (inferred from geology),,C (inferred from geology),,,,
MSAG,Monte S. Angelo,41.712,15.9096,,seismic,ESM,0.000707634,0.0,,,,0.00159762770508,0.0,,,,0.0021899016712574,0.0,,,,0.0012071748278104,0.0,,,,,,,,,,A (inferred from geology),,A (inferred from geology),,,,
TERO,TERAMO,42.62279,13.60393,,seismic,ESM,0.000545585,0.0,,,,0.0007240091432021,0.0,,,,0.0014274553350277,0.0,,,,0.0013699176629893,0.0,,,,,,,,,,A,912.0,A,,,,
BZS,Buzias,45.6188,21.6401,,seismic,ESM,0.000338597,0.0,,,,0.0005346216350539,0.0,,,,0.0007969093463367,0.0,,,,0.0005992535557833,0.0,,,,,,,,,,A (inferred from topography),,A (inferred from topography),,,,
MDVR,Moldovita,44.7815,21.7128,,seismic,ESM,0.00029214,0.0,,,,0.0006565347463612,0.0,,,,0.0006235199277687,0.0,,,,0.0006824561686618,0.0,,,,,,,,,,B (inferred from topography),,B (inferred from topography),,,,
SIRR,Siria,46.2653,21.663,,seismic,ESM,0.000279322,0.0,,,,0.0006421531183362,0.0,,,,0.0004832565832536,0.0,,,,0.000558294316119,0.0,,,,,,,,,,B (inferred from topography),,B (inferred from topography),,,,
UTM:(33T 060 503 10000),,45.4606,16.343,,macroseismic,Stations_USGS,1.138778,0.8059,,,,1.662997,1.0131,,,,,,,,,0.923788,1.0822,,,,0.173339,1.4737,,,,,,225.29,inferred,8.7,0.3,0.875,82.8618
UTM:(33T 056 508 10000),,45.9155,15.8382,,macroseismic,Stations_USGS,0.243661,0.8059,,,,0.500912,1.0131,,,,,,,,,0.322252,1.0822,,,,0.065841,1.4737,,,,,,398.48,inferred,7.0,0.3,0.875,24.0093
UTM:(33T 058 506 10000),,45.7333,16.0925,,macroseismic,Stations_USGS,0.23838,0.8059,,,,0.462296,1.0131,,,,,,,,,0.229554,1.0822,,,,0.046738,1.4737,,,,,,228.69,inferred,6.7,0.3,0.875,19.2949
UTM:(33T 058 507 10000),,45.8233,16.0943,,macroseismic,Stations_USGS,0.183702,0.8059,,,,0.376352,1.0131,,,,,,,,,0.189276,1.0822,,,,0.039087,1.4737,,,,,,294.92,inferred,6.4,0.3,0.875,15.5062
UTM:(33T 058 505 10000),,45.6433,16.0907,,macroseismic,Stations_USGS,0.181121,0.8059,,,,0.348759,1.0131,,,,,,,,,0.134189,1.0822,,,,0.027599,1.4737,,,,,,323.61,inferred,6.1,0.3,0.875,12.4615
UTM:(33T 056 507 10000),,45.8255,15.8368,,macroseismic,Stations_USGS,0.17531,0.8059,,,,0.367213,1.0131,,,,,,,,,0.194779,1.0822,,,,0.040363,1.4737,,,,,,579.85,inferred,6.4,0.3,0.875,15.5062
UTM:(33T 059 506 10000),,45.732,16.221,,macroseismic,Stations_USGS,0.165233,0.8059,,,,0.332326,1.0131,,,,,,,,,0.141957,1.0822,,,,0.029396,1.4737,,,,,,222.59,inferred,6.1,0.3,0.875,12.4615
UTM:(33T 057 506 10000),,45.7345,15.964,,macroseismic,Stations_USGS,0.159191,0.8059,,,,0.325881,1.0131,,,,,,,,,0.145235,1.0822,,,,0.030157,1.4737,,,,,,209.13,inferred,6.1,0.3,0.875,12.4615
UTM:(33T 060 506 10000),,45.7306,16.3495,,macroseismic,Stations_USGS,0.15218,0.8059,,,,0.31105,1.0131,,,,,,,,,0.132743,1.0822,,,,0.027609,1.4737,,,,,,244.37,inferred,6.0,0.3,0.875,11.5857
UTM:(33T 055 508 10000),,45.9163,15.7092,,macroseismic,Stations_USGS,0.144532,0.8059,,,,0.31692,1.0131,,,,,,,,,0.173314,1.0822,,,,0.036308,1.4737,,,,,,505.28,inferred,6.2,0.3,0.875,13.4034
UTM:(33T 055 507 10000),,45.8263,15.7081,,macroseismic,Stations_USGS,0.140787,0.8059,,,,0.305498,1.0131,,,,,,,,,0.156594,1.0822,,,,0.032813,1.4737,,,,,,339.42,inferred,6.1,0.3,0.875,12.4615
UTM:(33T 057 507 10000),,45.8245,15.9655,,macroseismic,Stations_USGS,0.140583,0.8059,,,,0.298354,1.0131,,,,,,,,,0.139352,1.0822,,,,0.029154,1.4737,,,,,,456.36,inferred,6.0,0.3,0.875,11.5857
UTM:(33T 054 511 10000),,46.1871,15.5831,,macroseismic,Stations_USGS,0.137955,0.8059,,,,0.316417,1.0131,,,,,,,,,0.200577,1.0822,,,,0.042236,1.4737,,,,,,545.12,inferred,,,0.875,14.4165
UTM:(33T 057 497 10000),,44.9245,15.9503,,macroseismic,Stations_USGS,0.130558,0.8059,,,,0.286973,1.0131,,,,,,,,,0.145816,1.0822,,,,0.030673,1.4737,,,,,,287.67,inferred,6.0,0.3,0.875,11.5857
UTM:(33T 056 506 10000),,45.7355,15.8355,,macroseismic,Stations_USGS,0.126654,0.8059,,,,0.269784,1.0131,,,,,,,,,0.117433,1.0822,,,,0.024674,1.4737,,,,,,191.84,inferred,5.8,0.3,0.875,10.0146
UTM:(33T 060 511 10000),,46.1805,16.3605,,macroseismic,Stations_USGS,0.126466,0.8059,,,,0.288746,1.0131,,,,,,,,,0.167236,1.0822,,,,0.035323,1.4737,,,,,,386.62,inferred,6.1,0.3,0.875,12.4615
UTM:(33T 065 502 10000),,45.3613,16.9791,,macroseismic,Stations_USGS,0.124601,0.8059,,,,0.273673,1.0131,,,,,,,,,0.13341,1.0822,,,,0.028113,1.4737,,,,,,441.57,inferred,5.9,0.3,0.875,10.7716
UTM:(33T 050 511 10000),,46.1885,15.0648,,macroseismic,Stations_USGS,0.100694,0.8059,,,,0.244677,1.0131,,,,,,,,,0.152018,1.0822,,,,0.032543,1.4737,,,,,,565.5,inferred,5.9,0.3,0.875,10.7716
UTM:(33T 057 509 10000),,46.0044,15.9687,,macroseismic,Stations_USGS,0.093432,0.8059,,,,0.214644,1.0131,,,,,,,,,0.099455,1.0822,,,,0.021264,1.4737,,,,,,492.83,inferred,5.5,0.3,0.875,8.0482
UTM:(33T 064 508 10000),,45.9033,16.8694,,macroseismic,Stations_USGS,0.089942,0.8059,,,,0.210392,1.0131,,,,,,,,,0.101803,1.0822,,,,0.021827,1.4737,,,,,,311.98,inferred,5.5,0.3,0.875,8.0482
UTM:(33T 067 495 10000),,44.727,17.2099,,macroseismic,Stations_USGS,0.086637,0.8059,,,,0.21107,1.0131,,,,,,,,,0.117159,1.0822,,,,0.025232,1.4737,,,,,,428.92,inferred,5.6,0.3,0.875,8.6565
UTM:(33T 058 511 10000),,46.1832,16.1014,,macroseismic,Stations_USGS,0.08198,0.8059,,,,0.195848,1.0131,,,,,,,,,0.095804,1.0822,,,,0.020647,1.4737,,,,,,661.82,inferred,5.4,0.3,0.875,7.4826
UTM:(33T 056 511 10000),,46.1855,15.8423,,macroseismic,Stations_USGS,0.080848,0.8059,,,,0.194422,1.0131,,,,,,,,,0.096624,1.0822,,,,0.020845,1.4737,,,,,,767.33,inferred,5.4,0.3,0.875,7.4826
UTM:(33T 059 510 10000),,46.0919,16.2289,,macroseismic,Stations_USGS,0.079966,0.8059,,,,0.188927,1.0131,,,,,,,,,0.086488,1.0822,,,,0.018642,1.4737,,,,,,385.04,inferred,5.3,0.3,0.875,6.9567
UTM:(33T 056 496 10000),,44.8354,15.8224,,macroseismic,Stations_USGS,0.074951,0.8059,,,,0.178469,1.0131,,,,,,,,,0.080011,1.0822,,,,0.017299,1.4737,,,,,,235.7,inferred,5.2,0.3,0.875,6.4678
UTM:(33T 054 503 10000),,45.4671,15.5756,,macroseismic,Stations_USGS,0.074122,0.8059,,,,0.169485,1.0131,,,,,,,,,0.063681,1.0822,,,,0.013733,1.4737,,,,,,312.46,inferred,5.0,0.3,0.875,5.5907
UTM:(33T 068 494 10000),,44.6345,17.3325,,macroseismic,Stations_USGS,0.065222,0.8059,,,,0.165888,1.0131,,,,,,,,,0.087128,1.0822,,,,0.019033,1.4737,,,,,,649.78,inferred,5.2,0.3,0.875,6.4678
UTM:(33T 053 508 10000),,45.9177,15.4513,,macroseismic,Stations_USGS,0.061,0.8059,,,,0.13005,1.0131,,,,,,,,,0.063801,1.0822,,,,0.013935,1.4737,,,,,,364.56,inferred,4.9,0.3,0.875,5.1978
UTM:(33T 055 515 10000),,46.5463,15.7174,,macroseismic,Stations_USGS,0.056561,0.8059,,,,0.124801,1.0131,,,,,,,,,0.07516,1.0822,,,,0.016536,1.4737,,,,,,548.34,inferred,5.0,0.3,0.875,5.5907
UTM:(33T 062 513 10000),,46.357,16.6248,,macroseismic,Stations_USGS,0.055811,0.8059,,,,0.11598,1.0131,,,,,,,,,0.067374,1.0822,,,,0.014812,1.4737,,,,,,218.19,inferred,4.9,0.3,0.875,5.1978
UTM:(33T 051 507 10000),,45.8284,15.1931,,macroseismic,Stations_USGS,0.055273,0.8059,,,,0.108294,1.0131,,,,,,,,,0.060259,1.0822,,,,0.013235,1.4737,,,,,,360.03,inferred,4.8,0.3,0.875,4.8326
UTM:(34T 030 493 10000),,44.5419,18.5453,,macroseismic,Stations_USGS,0.052888,0.8059,,,,0.121068,1.0131,,,,,,,,,0.088086,1.0822,,,,0.01951,1.4737,,,,,,510.6,inferred,5.1,0.3,0.875,6.0133
UTM:(33T 054 513 10000),,46.3671,15.585,,macroseismic,Stations_USGS,0.051716,0.8059,,,,0.099403,1.0131,,,,,,,,,0.062767,1.0822,,,,0.013854,1.4737,,,,,,321.88,inferred,4.8,0.3,0.875,4.8326
UTM:(33T 060 512 10000),,46.2704,16.3627,,macroseismic,Stations_USGS,0.05128,0.8059,,,,0.092961,1.0131,,,,,,,,,0.056096,1.0822,,,,0.012368,1.4737,,,,,,243.6,inferred,4.7,0.3,0.875,4.493
UTM:(34T 026 500 10000),,45.1593,18.01,,macroseismic,Stations_USGS,0.048733,0.8059,,,,0.09208,1.0131,,,,,,,,,0.065095,1.0822,,,,0.014431,1.4737,,,,,,259.93,inferred,4.8,0.3,0.875,4.8326
UTM:(33T 064 511 10000),,46.1731,16.8785,,macroseismic,Stations_USGS,0.047528,0.8059,,,,0.079695,1.0131,,,,,,,,,0.052253,1.0822,,,,0.011566,1.4737,,,,,,234.05,inferred,4.6,0.3,0.875,4.1772
UTM:(33T 059 507 10000),,45.822,16.223,,macroseismic,Stations_USGS,0.046908,0.8059,,,,0.062609,1.0131,,,,,,,,,0.024176,1.0822,,,,0.004402,1.4737,,,,,,322.55,inferred,4.2,0.3,0.875,2.8651
UTM:(33T 056 513 10000),,46.3654,15.845,,macroseismic,Stations_USGS,0.046481,0.8059,,,,0.077441,1.0131,,,,,,,,,0.052972,1.0822,,,,0.011745,1.4737,,,,,,336.68,inferred,4.6,0.3,0.875,4.1772
UTM:(33T 050 513 10000),,46.3685,15.065,,macroseismic,Stations_USGS,0.046241,0.8059,,,,0.081367,1.0131,,,,,,,,,0.059768,1.0822,,,,0.013279,1.4737,,,,,,539.84,inferred,4.7,0.3,0.875,4.493
UTM:(33T 071 497 10000),,44.8959,17.723,,macroseismic,Stations_USGS,0.04411,0.8059,,,,0.072393,1.0131,,,,,,,,,0.054699,1.0822,,,,0.012175,1.4737,,,,,,385.28,inferred,4.6,0.3,0.875,4.1772
UTM:(33T 060 514 10000),,46.4504,16.3672,,macroseismic,Stations_USGS,0.042899,0.8059,,,,0.066033,1.0131,,,,,,,,,0.04947,1.0822,,,,0.011015,1.4737,,,,,,389.58,inferred,4.5,0.3,0.875,3.8837
UTM:(33T 039 503 10000),,45.4606,13.657,,macroseismic,Stations_USGS,0.041533,0.8059,,,,0.070859,1.0131,,,,,,,,,0.063833,1.0822,,,,0.014295,1.4737,,,,,,544.57,inferred,4.7,0.3,0.875,4.493
SSM1,San Severino Marche,43.2288,13.177,,seismic,Stations_USGS,0.040828,0.0,,,,0.002071,0.0,,,,,,,,,0.001046,0.0,,,,0.00034,0.0,,,,,,760.0,inferred,2.8,0.63,0.0,0.2178
UTM:(33T 053 515 10000),,46.5476,15.4565,,macroseismic,Stations_USGS,0.040802,0.8059,,,,0.061905,1.0131,,,,,,,,,0.051013,1.0822,,,,0.0114,1.4737,,,,,,441.79,inferred,4.5,0.3,0.875,3.8837
UTM:(33T 052 512 10000),,46.2781,15.3245,,macroseismic,Stations_USGS,0.040153,0.8059,,,,0.057332,1.0131,,,,,,,,,0.045804,1.0822,,,,0.010231,1.4737,,,,,,383.62,inferred,4.4,0.3,0.875,3.6107
UTM:(33T 051 512 10000),,46.2784,15.1947,,macroseismic,Stations_USGS,0.039564,0.8059,,,,0.056252,1.0131,,,,,,,,,0.04622,1.0822,,,,0.010335,1.4737,,,,,,286.28,inferred,4.4,0.3,0.875,3.6107
