ID_1,NAME_1,TAXONOMY,GEM_TAXONOMY,AFFECTED_UNITS,DAMAGED_UNITS,DS2_MODARATE_DAMAGED,DS3_EXTENSIVE,DS4_COMPLETE,COLLAPSED_UNITS,UNIT_TYPES,CAUSE_OF_DAMAGE,REFERENCE,COMMENTS
SV14,Cuscatlán,,COM6,,236,,,,,,Shaking,Yushimura_et_al_2001,
SV10,San Salvador,,RES,,3579,,,,1031.0,,Shaking,Yushimura_et_al_2001,
SV10,San Salvador,,ASS1,,6,,,,,,Shaking,Yushimura_et_al_2001,
SV10,San Salvador,,COM4,,4,,,,,,Shaking,Yushimura_et_al_2001,
SV10,San Salvador,,COM6,,24,,,,,,Shaking,Yushimura_et_al_2001,
SV09,San Miguel,,RES,,9372,,,,2902.0,,Shaking,Yushimura_et_al_2001,
SV09,San Miguel,,ASS1,,4,,,,,,Shaking,Yushimura_et_al_2001,
SV09,San Miguel,,COM4,,1,,,,,,Shaking,Yushimura_et_al_2001,
SV09,San Miguel,,COM6,,23,,,,,,Shaking,Yushimura_et_al_2001,
SV11,San Vicente,,RES,,13783,,,,3788.0,,Shaking,Yushimura_et_al_2001,
SV11,San Vicente,,ASS1,,10,,,,,,Shaking,Yushimura_et_al_2001,
SV11,San Vicente,,COM4,,1,,,,,,Shaking,Yushimura_et_al_2001,
SV11,San Vicente,,COM6,,20,,,,,,Shaking,Yushimura_et_al_2001,
SV07,La Unión,,RES,,1685,,,,226.0,,Shaking,Yushimura_et_al_2001,
SV07,La Unión,,ASS1,,5,,,,,,Shaking,Yushimura_et_al_2001,
SV07,La Unión,,COM6,,67,,,,,,Shaking,Yushimura_et_al_2001,
SV01,Ahuachapán,,RES,,2957,,,,693.0,,Shaking,Yushimura_et_al_2001,
SV01,Ahuachapán,,ASS1,,14,,,,,,Shaking,Yushimura_et_al_2001,
SV01,Ahuachapán,,COM6,,27,,,,,,Shaking,Yushimura_et_al_2001,
SV02,Cabañas,,RES,,180,,,,4.0,,Shaking,Yushimura_et_al_2001,
SV02,Cabañas,,ASS1,,3,,,,,,Shaking,Yushimura_et_al_2001,
SV02,Cabañas,,COM6,,31,,,,,,Shaking,Yushimura_et_al_2001,
SV08,Morazán,,RES,,30,,,,3.0,,Shaking,Yushimura_et_al_2001,
SV08,Morazán,,COM6,,4,,,,,,Shaking,Yushimura_et_al_2001,
SV03,Chalatenango,,RES,,67,,,,14.0,,Shaking,Yushimura_et_al_2001,
SV03,Chalatenango,,COM6,,6,,,,,,Shaking,Yushimura_et_al_2001,
