# 19881016_M5.88_Elia median gmf, Stations:Seismic, gmlt:GEM, Rupture:EFEHR
custom_site_id,lon,lat,"BCHydroESHM20SInter
faba_taper_model = ""SFunc""
a = -100.00
b = 100.00","BCHydroESHM20SInter
sigma_mu_epsilon = -1.355630
faba_taper_model = ""SFunc""
a = -100.00
b = 100.00","BCHydroESHM20SInter
sigma_mu_epsilon = 1.355630
faba_taper_model = ""SFunc""
a = -100.00
b = 100.00","BCHydroESHM20SInter
theta_6_adjustment = -0.001500
faba_taper_model = ""SFunc""
a = -100.00
b = 100.00","BCHydroESHM20SInter
theta_6_adjustment = 0.001500
faba_taper_model = ""SFunc""
a = -100.00
b = 100.00"
s_129,20.721000000000004,38.16,0.030133266,0.028660811,0.031681366,0.030133266,0.030133266
s_13,21.247000000000014,37.845,0.08624144,0.08473409,0.0877756,0.08624144,0.08624144
s_130,21.860000000000014,37.288,0.0066403304,0.006199153,0.007112905,0.0066403304,0.0066403304
s_131,21.495000000000005,38.837,0.004925407,0.004595357,0.0052791615,0.004925407,0.004925407
s_132,21.936000000000007,37.1,0.004385896,0.004091024,0.0047020223,0.004385896,0.004385896
s_133,20.542,38.111,0.022457609,0.021807697,0.02312689,0.022457609,0.022457609
s_134,20.521000000000015,38.11,0.020641237,0.020090738,0.02120682,0.020641237,0.020641237
s_135,20.595,38.23,0.016305365,0.0156924,0.016942272,0.016305365,0.016305365
s_136,20.52000000000001,38.189,0.014643269,0.014426892,0.014862889,0.014643269,0.014643269
s_137,20.715000000000003,38.331,0.020725239,0.019546151,0.021975452,0.020725239,0.020725239
s_138,21.38300000000001,38.179,0.022327876,0.021123955,0.023600409,0.022327876,0.022327876
s_139,21.450999999999993,38.171,0.022894332,0.021715451,0.024137214,0.022894332,0.022894332
s_14,21.307999999999993,37.873,0.082048,0.080391936,0.08373818,0.082048,0.082048
s_140,20.421999999999997,38.205,0.014523176,0.014176944,0.014877862,0.014523176,0.014523176
s_141,21.560000000000002,38.003,0.021835865,0.020753654,0.02297451,0.021835865,0.021835865
s_142,20.37299999999999,38.18,0.014296321,0.013824494,0.014784252,0.014296321,0.014296321
s_143,20.377999999999986,38.192,0.011975434,0.011586416,0.012377514,0.011975434,0.011975434
s_144,21.185000000000002,38.403,0.022240832,0.020820985,0.023757504,0.022240832,0.022240832
s_145,21.199000000000012,38.459,0.017561646,0.01642559,0.018776277,0.017561646,0.017561646
s_146,21.679000000000002,38.045,0.012508994,0.0118902745,0.013159908,0.012508994,0.012508994
s_147,21.701999999999998,37.835,0.013049342,0.01234021,0.013799223,0.013049342,0.013049342
s_148,21.47200000000001,38.39,0.01423598,0.013413058,0.015109391,0.01423598,0.01423598
s_149,21.70599999999999,37.817,0.015684368,0.014830903,0.016586944,0.015684368,0.015684368
s_15,21.361999999999995,37.906,0.05103203,0.049541466,0.052567437,0.05103203,0.05103203
s_150,21.726,37.921,0.012082029,0.011410506,0.0127930725,0.012082029,0.012082029
s_151,21.13300000000001,37.933,0.029388,0.029388,0.029388,0.029388,0.029388
s_152,21.74000000000001,37.865,0.011691041,0.011030423,0.012391224,0.011691041,0.011691041
s_153,21.287000000000006,38.526,0.013958051,0.013049677,0.014929655,0.013958051,0.013958051
s_154,21.704000000000008,38.172,0.012938648,0.012576643,0.013311073,0.012938648,0.012938648
s_155,21.35300000000001,38.508,0.009939702,0.009301271,0.010621954,0.009939702,0.009939702
s_156,21.760999999999996,37.848,0.010771764,0.010152553,0.011428742,0.010771764,0.010771764
s_157,21.072000000000003,38.598,0.010002312,0.009338515,0.010713293,0.010002312,0.010002312
s_158,21.75800000000001,38.094,0.012734066,0.01216037,0.0133348275,0.012734066,0.012734066
s_159,21.75399999999999,38.13,0.009915353,0.009532204,0.010313902,0.009915353,0.009915353
s_16,20.85300000000001,37.795,0.12560578,0.123493455,0.12775421,0.12560578,0.12560578
s_160,21.43100000000001,38.516,0.008671331,0.008120795,0.00925919,0.008671331,0.008671331
s_161,21.288999999999987,38.578,0.012811132,0.011969461,0.013711987,0.012811132,0.012811132
s_162,21.448000000000008,38.526,0.009726463,0.009108535,0.0103863105,0.009726463,0.009726463
s_163,21.855999999999995,38.055,0.008280691,0.0078362925,0.00875029,0.008280691,0.008280691
s_164,20.77000000000001,38.67,0.010011825,0.009345814,0.010725299,0.010011825,0.010011825
s_165,21.5,38.534,0.010594513,0.00992584,0.011308233,0.010594513,0.010594513
s_166,20.698000000000008,38.665,0.009339992,0.008720021,0.010004041,0.009339992,0.009339992
s_167,21.151999999999987,38.67,0.010472642,0.009774113,0.011221093,0.010472642,0.010472642
s_168,21.78200000000001,38.293,0.011336592,0.011023495,0.011658581,0.011336592,0.011336592
s_169,20.63300000000001,38.658,0.009805665,0.009156288,0.010501099,0.009805665,0.009805665
s_17,20.88900000000001,37.738,0.11306821,0.11076911,0.11541503,0.11306821,0.11306821
s_170,20.929000000000002,38.696,0.0079659745,0.0074336077,0.008536468,0.0079659745,0.0079659745
s_171,21.829000000000008,38.262,0.0077623245,0.007513318,0.008019583,0.0077623245,0.0077623245
s_172,20.641999999999996,38.688,0.007385635,0.0068945587,0.007911689,0.007385635,0.007385635
s_173,21.864000000000004,38.279,0.007119405,0.0068332027,0.0074175945,0.007119405,0.007119405
s_174,21.556999999999988,38.59,0.00758245,0.007095985,0.008102264,0.00758245,0.00758245
s_175,21.64500000000001,38.537,0.0075893328,0.007121025,0.008088438,0.0075893328,0.0075893328
s_176,21.716000000000008,38.487,0.0068248417,0.0064263805,0.0072480096,0.0068248417,0.0068248417
s_177,21.867999999999995,38.323,0.0068400237,0.006531162,0.0071634906,0.0068400237,0.0068400237
s_178,21.824000000000012,38.392,0.006980346,0.006628815,0.007350519,0.006980346,0.006980346
s_179,21.812999999999988,38.421,0.0064332173,0.0060900385,0.0067957346,0.0064332173,0.0064332173
s_18,20.841000000000008,37.737,0.09152241,0.08898789,0.09412912,0.09152241,0.09152241
s_180,22.010999999999996,37.887,0.006498336,0.006083575,0.0069413735,0.006498336,0.006498336
s_181,20.709000000000003,38.775,0.0074962717,0.0069940565,0.008034549,0.0074962717,0.0074962717
s_182,21.937999999999988,38.303,0.006802715,0.006454139,0.0071701165,0.006802715,0.006802715
s_183,20.703000000000003,38.795,0.0067627532,0.0063092546,0.007248849,0.0067627532,0.0067627532
s_184,21.046999999999997,38.812,0.006622503,0.006177623,0.0070994217,0.006622503,0.006622503
s_185,21.329000000000008,38.766,0.00700527,0.006536644,0.007507493,0.00700527,0.00700527
s_186,20.790999999999997,38.817,0.0063975146,0.005967941,0.0068580094,0.0063975146,0.0063975146
s_187,22.045000000000016,37.813,0.006662633,0.0062298775,0.00712545,0.006662633,0.006662633
s_188,22.018,38.189,0.0059083677,0.0055707763,0.0062664174,0.0059083677,0.0059083677
s_189,21.997000000000014,38.297,0.00659003,0.006221052,0.0069808927,0.00659003,0.00659003
s_19,20.841999999999985,37.726,0.093213946,0.0904149,0.096099645,0.093213946,0.093213946
s_190,20.691000000000003,38.831,0.007380444,0.0068848385,0.007911726,0.007380444,0.007380444
s_191,21.673000000000002,37.239,0.005471725,0.0051103085,0.005858702,0.005471725,0.005471725
s_192,21.960000000000008,37.509,0.0052394476,0.0048958333,0.0056071784,0.0052394476,0.0052394476
s_193,22.014999999999986,38.297,0.0067229494,0.0063383584,0.0071308766,0.0067229494,0.0067229494
s_194,20.986999999999995,38.865,0.0057552233,0.005368114,0.006170248,0.0057552233,0.0057552233
s_195,21.057999999999993,38.866,0.0057483017,0.005361664,0.0061628204,0.0057483017,0.0057483017
s_196,22.049000000000007,38.267,0.006375809,0.0060008736,0.0067741713,0.006375809,0.006375809
s_197,20.873999999999995,38.891,0.005594301,0.005217875,0.005997883,0.005594301,0.005594301
s_198,20.787000000000006,38.889,0.0063345735,0.005908421,0.0067914627,0.0063345735,0.0063345735
s_199,21.75399999999999,38.649,0.004548104,0.0042522363,0.004864558,0.004548104,0.004548104
s_2,21.43270000000001,37.6714,0.029512,0.029512,0.029512,0.029512,0.029512
s_20,21.281000000000006,37.947,0.055729356,0.054115362,0.05739149,0.055729356,0.055729356
s_200,21.613,37.128,0.0053246794,0.0049691927,0.005705597,0.0053246794,0.0053246794
s_201,22.117999999999995,38.217,0.005492664,0.0051530353,0.005854677,0.005492664,0.005492664
s_202,22.119,38.235,0.006873735,0.006448609,0.0073268884,0.006873735,0.006873735
s_203,21.232,38.895,0.0049324064,0.004600628,0.005288112,0.0049324064,0.0049324064
s_204,22.13499999999999,38.223,0.0064293914,0.00602819,0.0068572946,0.0064293914,0.0064293914
s_205,21.893,37.275,0.005375929,0.0050176787,0.005759758,0.005375929,0.005375929
s_206,22.187000000000012,38.149,0.004066762,0.0038061785,0.0043451856,0.004066762,0.004066762
s_207,21.233000000000004,38.926,0.0051897666,0.004840484,0.005564254,0.0051897666,0.0051897666
s_208,21.393,38.898,0.0041620615,0.0038823083,0.004461973,0.0041620615,0.0041620615
s_209,22.238,38.13,0.0037639218,0.0035190063,0.0040258826,0.0037639218,0.0037639218
s_21,21.284999999999997,37.82,0.10775356,0.106298976,0.109228045,0.10775356,0.10775356
s_210,22.271000000000015,37.979,0.0039744116,0.0037116266,0.004255802,0.0039744116,0.0039744116
s_211,21.896000000000015,37.205,0.004333284,0.00404323,0.0046441467,0.004333284,0.004333284
s_212,21.965000000000003,37.251,0.0062013925,0.005786272,0.006646294,0.0062013925,0.0062013925
s_213,22.117999999999995,37.416,0.0052961838,0.0049418127,0.0056759664,0.0052961838,0.0052961838
s_214,21.997000000000014,37.25,0.0052445526,0.004893106,0.0056212414,0.0052445526,0.0052445526
s_215,21.771000000000015,37.075,0.003953798,0.0036883582,0.0042383415,0.003953798,0.003953798
s_216,22.317000000000007,38.1,0.0032618993,0.0030463994,0.0034926431,0.0032618993,0.0032618993
s_217,21.723000000000013,36.991,0.004258493,0.0039720535,0.0045655887,0.004258493,0.004258493
s_218,22.353999999999985,38.134,0.003685174,0.0034408923,0.003946798,0.003685174,0.003685174
s_219,20.931999999999988,39.078,0.0057813185,0.0053915866,0.006199222,0.0057813185,0.0057813185
s_22,21.339,38.059,0.042164467,0.04018981,0.044236142,0.042164467,0.042164467
s_220,22.004999999999995,37.142,0.0048328605,0.0045079403,0.0051812003,0.0048328605,0.0048328605
s_221,21.974999999999994,37.111,0.0045787618,0.004270849,0.0049088746,0.0045787618,0.0045787618
s_222,22.405,38.127,0.003069945,0.0028654423,0.0032890427,0.003069945,0.003069945
s_223,22.042,37.082,0.003882757,0.003621357,0.0041630254,0.003882757,0.003882757
s_224,22.00200000000001,37.04,0.0039137118,0.0036501708,0.00419628,0.0039137118,0.0039137118
s_225,21.913999999999987,36.932,0.00280294,0.0026140774,0.0030054478,0.00280294,0.00280294
s_226,22.427999999999997,38.443,0.0027863854,0.0026000126,0.0029861175,0.0027863854,0.0027863854
s_227,20.92500000000001,39.252,0.0023320864,0.0021748042,0.0025007431,0.0023320864,0.0023320864
s_228,21.938999999999993,36.793,0.0026081163,0.002432253,0.0027966953,0.0026081163,0.0026081163
s_229,22.74600000000001,38.004,0.0022570041,0.002104947,0.0024200454,0.0022570041,0.0022570041
s_23,21.34299999999999,37.8,0.15097354,0.15077075,0.15117663,0.15097354,0.15097354
s_230,22.708,37.626,0.002029697,0.0018928656,0.0021764196,0.002029697,0.002029697
s_231,22.299000000000007,38.92,0.0018044283,0.001682869,0.0019347684,0.0018044283,0.0018044283
s_232,22.744,37.592,0.0028041557,0.0026150849,0.003006896,0.0028041557,0.0028041557
s_233,22.429000000000002,37.053,0.0025169184,0.00234719,0.00269892,0.0025169184,0.0025169184
s_234,22.681999999999988,37.398,0.0017233071,0.0016071006,0.0018479162,0.0017233071,0.0017233071
s_235,22.837999999999994,37.919,0.0019838305,0.0018500922,0.0021272362,0.0019838305,0.0019838305
s_236,22.438999999999993,36.952,0.0015611451,0.0014558558,0.0016740491,0.0015611451,0.0015611451
s_237,22.932999999999993,37.828,0.001454293,0.0013562216,0.0015594561,0.001454293,0.001454293
s_238,23.051999999999992,37.79,0.0011636678,0.0010851831,0.0012478287,0.0011636678,0.0011636678
s_239,20.865999999999985,39.636,0.0015839466,0.0014771039,0.0016985175,0.0015839466,0.0015839466
s_24,21.341999999999985,37.761,0.09678261,0.09605531,0.09751541,0.09678261,0.09678261
s_240,20.483000000000004,38.167,0.012449,0.012449,0.012449,0.012449,0.012449
s_25,21.311000000000007,37.648,0.036982663,0.0359766,0.038016863,0.036982663,0.036982663
s_26,21.349999999999994,37.8,0.156122,0.156122,0.156122,0.156122,0.156122
s_27,20.900000000000006,37.785,0.15102,0.15102,0.15102,0.15102,0.15102
s_28,21.363,37.873,0.070277445,0.06867207,0.07192035,0.070277445,0.070277445
s_29,21.37700000000001,38.02,0.03587412,0.034270857,0.037552394,0.03587412,0.03587412
s_3,21.733299999999986,38.2434,0.013857,0.013857,0.013857,0.013857,0.013857
s_30,21.409999999999997,37.738,0.048025817,0.047522545,0.048534416,0.048025817,0.048025817
s_31,21.465000000000003,37.848,0.041582055,0.04030176,0.042903025,0.041582055,0.041582055
s_32,21.47,37.762,0.035220157,0.03446866,0.035988044,0.035220157,0.035220157
s_33,21.51599999999999,37.831,0.033469003,0.032261733,0.03472145,0.033469003,0.033469003
s_34,21.483000000000004,38.153,0.025757797,0.024472423,0.027110683,0.025757797,0.025757797
s_35,21.587999999999994,37.873,0.022243874,0.02119875,0.023340525,0.022243874,0.022243874
s_36,21.58699999999999,38.101,0.019752828,0.018832548,0.02071808,0.019752828,0.019752828
s_37,21.595,37.766,0.018597834,0.017805248,0.019425698,0.018597834,0.018597834
s_38,20.831999999999994,37.802,0.10202155,0.09965545,0.10444384,0.10202155,0.10202155
s_39,20.683999999999997,37.823,0.054155584,0.051542066,0.056901626,0.054155584,0.054155584
s_4,21.726499999999987,38.2386,0.013682,0.013682,0.013682,0.013682,0.013682
s_40,21.283999999999992,37.92,0.061957538,0.060371492,0.06358525,0.061957538,0.061957538
s_41,21.312999999999988,37.835,0.10861239,0.10720008,0.1100433,0.10861239,0.10861239
s_42,21.36500000000001,38.06,0.039532006,0.037648,0.04151029,0.039532006,0.039532006
s_43,21.389999999999986,38.116,0.034563202,0.03278858,0.036433876,0.034563202,0.034563202
s_44,21.345,37.679,0.048826024,0.047988683,0.04967797,0.048826024,0.048826024
s_45,21.483000000000004,37.969,0.03008544,0.028717326,0.031518735,0.03008544,0.03008544
s_46,21.453000000000003,38.12,0.030130146,0.028602768,0.031739086,0.030130146,0.030130146
s_47,21.51599999999999,37.848,0.034742415,0.033432223,0.036103956,0.034742415,0.034742415
s_48,21.533000000000015,37.747,0.028253583,0.027355999,0.029180618,0.028253583,0.028253583
s_49,21.510999999999996,37.705,0.020906996,0.020388655,0.021438515,0.020906996,0.020906996
s_5,20.478800000000007,38.177,0.01316,0.01316,0.01316,0.01316,0.01316
s_50,21.607,37.901,0.0215452,0.020478439,0.02266753,0.0215452,0.0215452
s_51,21.591999999999985,37.788,0.021304987,0.02038551,0.022265937,0.021304987,0.021304987
s_52,21.55600000000001,37.657,0.020413594,0.019675098,0.021179808,0.020413594,0.020413594
s_53,21.60900000000001,37.72,0.016385779,0.015673354,0.017130587,0.016385779,0.016385779
s_54,21.36699999999999,38.633,0.010820984,0.010107567,0.011584755,0.010820984,0.010820984
s_55,20.677999999999997,37.895,0.050116695,0.047652815,0.05270797,0.050116695,0.050116695
s_56,21.704000000000008,38.521,0.0071760193,0.006741128,0.007638967,0.0071760193,0.0071760193
s_57,20.72200000000001,37.757,0.052010126,0.04965331,0.05447881,0.052010126,0.052010126
s_58,21.34700000000001,38.003,0.037990656,0.03641503,0.03963446,0.037990656,0.037990656
s_59,21.370000000000005,37.727,0.052663013,0.05213398,0.053197414,0.052663013,0.052663013
s_6,21.13300000000001,37.927,0.031264614,0.031206314,0.031323023,0.031264614,0.031264614
s_60,21.437000000000012,38.035,0.030672219,0.029206792,0.032211173,0.030672219,0.030672219
s_61,21.443000000000012,38.071,0.029801698,0.028326474,0.031353753,0.029801698,0.029801698
s_62,21.495000000000005,38.06,0.019313475,0.01836028,0.020316157,0.019313475,0.019313475
s_63,21.432999999999993,37.696,0.03125619,0.031057274,0.03145638,0.03125619,0.03125619
s_64,21.51400000000001,38.078,0.020265462,0.019266095,0.021316668,0.020265462,0.020265462
s_65,21.507000000000005,37.757,0.027197765,0.026444158,0.027972847,0.027197765,0.027197765
s_66,21.558999999999997,37.855,0.027890993,0.026685335,0.029151123,0.027890993,0.027890993
s_67,21.542,38.132,0.022847135,0.021769732,0.023977859,0.022847135,0.022847135
s_68,21.562999999999988,37.786,0.024149008,0.023203408,0.025133142,0.024149008,0.024149008
s_69,21.631,38.034,0.015540261,0.014765062,0.016356159,0.015540261,0.015540261
s_7,21.198000000000008,37.853,0.063785456,0.062669575,0.0649212,0.063785456,0.063785456
s_70,21.566000000000003,37.682,0.020560645,0.019805288,0.02134481,0.020560645,0.020560645
s_71,21.318000000000012,38.428,0.01687725,0.015813706,0.018012324,0.01687725,0.01687725
s_72,21.589,37.673,0.017938195,0.01720192,0.018705983,0.017938195,0.017938195
s_73,21.673000000000002,37.98,0.01420351,0.013455649,0.014992938,0.01420351,0.01420351
s_74,21.266999999999996,38.47,0.015957175,0.0149296615,0.017055403,0.015957175,0.015957175
s_75,21.650000000000006,37.678,0.013621284,0.012952375,0.014324738,0.013621284,0.013621284
s_76,21.62100000000001,37.617,0.013182874,0.012542465,0.013855983,0.013182874,0.013182874
s_77,21.22200000000001,38.542,0.013249959,0.012380537,0.014180436,0.013249959,0.013249959
s_78,21.754999999999995,37.953,0.010302502,0.009726492,0.010912623,0.010302502,0.010302502
s_79,21.712999999999994,37.705,0.012702194,0.012008936,0.013435474,0.012702194,0.012702194
s_8,21.14500000000001,37.886,0.04975038,0.049162228,0.050345566,0.04975038,0.04975038
s_80,21.781000000000006,38.021,0.010315342,0.009764693,0.010897043,0.010315342,0.010315342
s_81,21.238,38.583,0.01056277,0.009866104,0.011308627,0.01056277,0.01056277
s_82,21.334000000000003,38.55,0.009580507,0.00895692,0.010247508,0.009580507,0.009580507
s_83,21.771000000000015,37.69,0.009568282,0.009009023,0.0101622585,0.009568282,0.009568282
s_84,21.78200000000001,37.67,0.010660646,0.010029059,0.011332006,0.010660646,0.010660646
s_85,21.771000000000015,37.61,0.009344708,0.008786329,0.0099385725,0.009344708,0.009344708
s_86,21.716000000000008,38.353,0.00990067,0.009502261,0.010315784,0.00990067,0.00990067
s_87,21.829000000000008,38.188,0.008049385,0.0077644507,0.008344774,0.008049385,0.008049385
s_88,21.900000000000006,37.919,0.0075787012,0.007116253,0.008071202,0.0075787012,0.0075787012
s_89,21.451999999999998,38.607,0.009237006,0.008635016,0.009880966,0.009237006,0.009237006
s_9,21.162000000000006,37.92,0.036241397,0.035945434,0.036539793,0.036241397,0.036241397
s_90,21.480999999999995,38.62,0.008201005,0.0076661375,0.008773189,0.008201005,0.008201005
s_91,21.525000000000006,38.622,0.0062182634,0.005813909,0.0066507407,0.0062182634,0.0062182634
s_92,21.601,38.581,0.007364699,0.0068960544,0.007865192,0.007364699,0.007364699
s_93,21.269000000000005,38.726,0.0073441877,0.0068535497,0.0078699505,0.0073441877,0.0073441877
s_94,21.85900000000001,37.546,0.0070802933,0.0066294586,0.007561787,0.0070802933,0.0070802933
s_95,21.306999999999988,38.72,0.0075334487,0.007030801,0.008072033,0.0075334487,0.0075334487
s_96,21.563999999999993,38.624,0.0060413256,0.0056493627,0.0064604837,0.0060413256,0.0060413256
s_97,22.016999999999996,38.068,0.0069294646,0.0065120338,0.0073736534,0.0069294646,0.0069294646
s_98,22.018,38.275,0.006300631,0.0059414096,0.0066815712,0.006300631,0.006300631
s_99,21.787000000000006,38.591,0.004856548,0.004547253,0.00518688,0.004856548,0.004856548
t_0,21.029020000000003,38.50107,0.01457972,0.013624325,0.01560211,0.01457972,0.01457972
t_1,21.101730000000003,38.43494,0.016285915,0.015232764,0.017411876,0.016285915,0.016285915
t_10,20.88336000000001,38.63319,0.009696172,0.0090518715,0.010386333,0.009696172,0.009696172
t_100,20.86652000000001,39.31397,0.002205062,0.0020563372,0.0023645433,0.002205062,0.002205062
t_1000,23.755799999999994,38.20062,0.00026933933,0.00025117135,0.00028882147,0.00026933933,0.00026933933
t_1001,22.74911,37.99101,0.002320505,0.0021641618,0.0024881426,0.002320505,0.002320505
t_1002,22.671099999999996,37.99622,0.0021608046,0.0020153297,0.0023167804,0.0021608046,0.0021608046
t_1003,22.713390000000004,38.02449,0.0020829993,0.0019427114,0.0022334177,0.0020829993,0.0020829993
t_1004,22.677660000000003,38.05795,0.0022803063,0.002126806,0.0024448854,0.0022803063,0.0022803063
t_1005,22.593079999999986,38.00139,0.0024274641,0.0022642345,0.0026024608,0.0024274641,0.0024274641
t_1006,22.515050000000002,38.00653,0.002587117,0.002413493,0.0027732311,0.002587117,0.002587117
t_1007,22.63535999999999,38.02968,0.0020474438,0.0019096874,0.002195137,0.0020474438,0.0020474438
t_1008,22.55731,38.03484,0.0021716387,0.0020257628,0.0023280194,0.0021716387,0.0021716387
t_1009,22.47926000000001,38.03996,0.002947697,0.0027502114,0.0031593633,0.002947697,0.002947697
t_101,20.787509999999997,39.31834,0.0020092635,0.0018737441,0.0021545843,0.0020092635,0.0020092635
t_1010,22.59960000000001,38.06312,0.0026799077,0.0024997455,0.002873055,0.0026799077,0.0026799077
t_1011,22.521529999999984,38.06826,0.00227739,0.0021246173,0.002441148,0.00227739,0.00227739
t_1012,22.443449999999984,38.07337,0.0027163674,0.0025347876,0.0029109549,0.0027163674,0.0027163674
t_1013,22.56380999999999,38.09656,0.0023410674,0.0021838506,0.0025096023,0.0023410674,0.0023410674
t_1014,22.989840000000015,38.03691,0.0012497822,0.0011655029,0.0013401557,0.0012497822,0.0012497822
t_1015,22.9118,38.04222,0.0013067579,0.0012186526,0.0014012331,0.0013067579,0.0013067579
t_1016,23.110270000000014,38.05974,0.0008372566,0.00078078784,0.00089780934,0.0008372566,0.0008372566
t_1017,23.03223,38.0651,0.0011208479,0.0010452588,0.0012019031,0.0011208479,0.0011208479
t_1018,22.954180000000008,38.07043,0.0014432187,0.0013459034,0.0015475705,0.0014432187,0.0014432187
t_1019,23.386840000000007,38.07155,0.0005482463,0.0005112657,0.00058790174,0.0005482463,0.0005482463
t_102,20.829830000000015,39.34685,0.001830322,0.0017068692,0.0019627034,0.001830322,0.001830322
t_1020,23.30879999999999,38.07703,0.0005341953,0.00049816305,0.00057283376,0.0005341953,0.0005341953
t_1021,23.230760000000004,38.08248,0.00078660203,0.0007335459,0.0008434956,0.00078660203,0.00078660203
t_1022,23.42935,38.09964,0.0005367172,0.00050051406,0.0005755389,0.0005367172,0.0005367172
t_1023,23.351290000000006,38.10514,0.0005274401,0.0004918632,0.0005655903,0.0005274401,0.0005274401
t_1024,23.273230000000012,38.1106,0.0005665009,0.00052829,0.0006074755,0.0005665009,0.0005665009
t_1025,23.3938,38.13323,0.00053297775,0.00049702707,0.0005715288,0.00053297775,0.00053297775
t_1026,23.31572,38.13871,0.00058247265,0.000543184,0.000624603,0.00058247265,0.00058247265
t_1027,22.485720000000015,38.10168,0.0023976972,0.0022371358,0.0025697818,0.0023976972,0.0023976972
t_1028,23.04576,38.18847,0.0010156994,0.00094720145,0.0010891509,0.0010156994,0.0010156994
t_1029,23.08823000000001,38.21662,0.00081675575,0.0007616715,0.00087582367,0.00081675575,0.00081675575
t_103,20.98218,39.27667,0.00214747,0.0020026348,0.0023027796,0.00214747,0.00214747
t_1030,22.85374999999999,38.23256,0.00123658,0.0011532306,0.0013259533,0.00123658,0.00123658
t_1031,22.775569999999988,38.23781,0.0015200594,0.0014176529,0.0016298635,0.0015200594,0.0015200594
t_1032,22.81799000000001,38.26602,0.0013162834,0.0012275784,0.0014113983,0.0013162834,0.0013162834
t_1033,22.860420000000005,38.29421,0.0010605025,0.0009890179,0.0011371537,0.0010605025,0.0010605025
