# 20170403_M6.5_Moijabana median gmf, Stations:None, gmlt:USGS, Rupture:USGS
custom_site_id,lon,lat,Atkinson2008prime,AtkinsonBoore2006Modified2011,Campbell2003MwNSHMP2008,FrankelEtAl1996MwNSHMP2008,PezeshkEtAl2011,SilvaEtAl2002MwNSHMP2008,SomervilleEtAl2001NSHMP2008,TavakoliPezeshk2005MwNSHMP2008,ToroEtAl1997MwNSHMP2008
t_10021,26.817679999999996,-21.76365,0.027263084,0.02590187,0.034112304,0.031002956,0.018803531,0.019947588,0.031334184,0.03635275,0.01873052
t_10022,26.817679999999996,-21.72193,0.026448142,0.025507063,0.033410482,0.030403981,0.018414656,0.019529425,0.030731784,0.03558385,0.018337043
t_10023,26.77277000000001,-21.72193,0.031614132,0.029836882,0.03443294,0.03137708,0.018981252,0.020138701,0.031607553,0.036704138,0.018910037
t_10024,26.72784999999999,-21.72193,0.032811597,0.030318486,0.03549397,0.032394696,0.019569613,0.020772299,0.032505307,0.03786742,0.019503832
t_10025,26.72784999999999,-21.6802,0.0240428,0.022569377,0.034697246,0.03170545,0.019127777,0.02029631,0.031832095,0.036993846,0.01905794
t_10026,26.77277000000001,-21.6802,0.022461385,0.021533342,0.03368688,0.030735275,0.018567784,0.019693911,0.030969443,0.035886623,0.018491931
t_10027,26.817679999999996,-21.6802,0.024396865,0.023897313,0.032711465,0.029805679,0.01802751,0.019113554,0.030126797,0.034818366,0.017944777
t_10028,26.77277000000001,-21.63846,0.023319991,0.022721875,0.03294684,0.0300971,0.018157851,0.019253401,0.030330902,0.03507608,0.018076794
t_10029,26.817679999999996,-21.63846,0.026170932,0.026050748,0.032016877,0.029209347,0.01764299,0.01870094,0.029520636,0.03405807,0.017554639
t_1003,24.79647,-25.46666,0.0075201457,0.0146457,0.016310528,0.014414392,0.008996247,0.009601311,0.01443591,0.01698823,0.008670547
t_10030,26.72784999999999,-21.63846,0.029132647,0.027797708,0.0339084,0.031021371,0.018690532,0.019825786,0.031159325,0.036129322,0.018616006
t_10031,26.548190000000005,-21.72193,0.032243352,0.027511774,0.040140323,0.03692549,0.022150705,0.02356189,0.036310147,0.042969584,0.02209456
t_10032,26.503269999999986,-21.72193,0.03571875,0.029915594,0.04140635,0.038175248,0.022855265,0.024325935,0.037312932,0.044361882,0.022797871
t_10033,26.45836,-21.72193,0.0327516,0.026940279,0.042714547,0.03947097,0.02358386,0.025117086,0.03833465,0.045801412,0.023523483
t_10034,26.503269999999986,-21.6802,0.039568853,0.03368524,0.040292196,0.03719604,0.022235196,0.023653312,0.03643099,0.043136563,0.022178851
t_10035,26.41344000000001,-21.6802,0.04502702,0.03700143,0.0427886,0.039690655,0.023625119,0.025161741,0.038391825,0.045882925,0.023564361
t_10036,26.45836,-21.6802,0.024102679,0.020153865,0.04152195,0.03842252,0.022919627,0.024395617,0.037403595,0.044489056,0.022861889
t_10037,26.548190000000005,-21.6802,0.033933822,0.029427571,0.039099224,0.036011692,0.021571722,0.022934671,0.035474736,0.041825283,0.021515258
t_10038,26.503269999999986,-21.63846,0.037297525,0.032292627,0.039200637,0.036229946,0.021628104,0.022995561,0.03555633,0.04193672,0.021571575
t_10039,26.41344000000001,-21.63846,0.04155398,0.034735665,0.041543834,0.03858663,0.02293181,0.02440867,0.037420563,0.04451313,0.022873877
t_1004,24.79647,-25.30434,0.008515346,0.014656864,0.018020188,0.016048787,0.009932889,0.010582297,0.016232098,0.018831566,0.009656805
t_10040,26.45836,-21.63846,0.026663268,0.022676982,0.04035634,0.03738931,0.022270883,0.023691837,0.03648184,0.043207087,0.022214359
t_10041,26.63802000000001,-21.6802,0.02687487,0.024223262,0.036824938,0.033772483,0.020308219,0.02156884,0.033615757,0.039327662,0.020247422
t_10042,26.682940000000002,-21.6802,0.02523084,0.023202559,0.03574289,0.032717485,0.0197077,0.020921031,0.032714173,0.03814043,0.01964292
t_10043,26.63802000000001,-21.63846,0.033443637,0.030647652,0.035927508,0.032985996,0.01981013,0.021031354,0.032868642,0.038342945,0.019746015
t_10044,26.682940000000002,-21.63846,0.031266253,0.029229864,0.03490167,0.031983867,0.019241123,0.02041824,0.032005247,0.03721795,0.019172272
t_10045,26.593099999999993,-21.63846,0.038064327,0.03421005,0.036985964,0.03402781,0.020397618,0.021665238,0.033748798,0.0395044,0.020337198
t_10046,26.682940000000002,-21.5967,0.033578247,0.031929705,0.034071863,0.031258505,0.018781118,0.019923104,0.031299073,0.03630843,0.018707506
t_10047,26.63802000000001,-21.5967,0.02988245,0.027857276,0.03504399,0.032209303,0.019320041,0.020503119,0.032125495,0.037373986,0.019251816
t_10048,26.593099999999993,-21.5967,0.029940875,0.02737725,0.036045022,0.033196528,0.019875338,0.021101551,0.032966733,0.038471863,0.019811584
t_10049,26.593099999999993,-21.55493,0.027271876,0.02538438,0.035122395,0.032378975,0.019363523,0.020549837,0.032191582,0.037459955,0.019295583
t_1005,24.976139999999987,-25.62875,0.0062627234,0.013640126,0.014981608,0.013121605,0.008268942,0.008843974,0.013022634,0.015558909,0.0079043135
t_10050,26.682940000000002,-21.55493,0.029780151,0.028819216,0.033255003,0.030543242,0.01832853,0.019436529,0.030597156,0.03541356,0.0182495
t_10051,26.548190000000005,-21.63846,0.03158995,0.027858872,0.038076885,0.035109065,0.021003531,0.022319876,0.034644842,0.040702183,0.02094567
t_10052,26.503269999999986,-21.5967,0.03654208,0.032196034,0.03813289,0.035279356,0.021034649,0.022353383,0.034690358,0.04076369,0.020976758
t_10053,26.45836,-21.5967,0.027579961,0.023872381,0.03921881,0.03637389,0.021638207,0.023006348,0.035570774,0.04195669,0.02158155
t_10054,26.548190000000005,-21.5967,0.033538863,0.030095512,0.037074614,0.03421985,0.02044684,0.02171826,0.03382186,0.03960171,0.020386558
t_10055,26.41344000000001,-21.5967,0.03785482,0.032207437,0.040331986,0.03750289,0.022257332,0.023676986,0.036462244,0.043180306,0.022200672
t_10056,26.41344000000001,-21.55493,0.032168966,0.027873427,0.039154157,0.03644226,0.021602262,0.022967283,0.03551845,0.041885644,0.021545421
t_10057,26.548190000000005,-21.55493,0.034184977,0.031229584,0.036093894,0.033346403,0.019902457,0.021130675,0.033007383,0.038525477,0.019838778
t_10058,26.45836,-21.55493,0.029637894,0.026123008,0.038110632,0.03537893,0.02102228,0.022339867,0.034672,0.040739242,0.020964218
t_10059,26.503269999999986,-21.55493,0.030062482,0.02696874,0.03709036,0.03434678,0.020455586,0.02172757,0.033834677,0.039618995,0.020395223
t_1006,24.976139999999987,-25.46666,0.00787725,0.015120757,0.016496625,0.0145505695,0.009098148,0.009707729,0.014632698,0.017188642,0.008777884
t_10060,26.45836,-21.51315,0.02954132,0.02652876,0.037032485,0.034406465,0.020423448,0.021692734,0.033786695,0.039555464,0.020362796
t_10061,26.77277000000001,-21.5967,0.026347345,0.026105298,0.032214142,0.029463585,0.017752176,0.018817954,0.029693142,0.034273963,0.017665375
t_10062,26.72784999999999,-21.5967,0.02805711,0.027227242,0.03312879,0.030343937,0.018258622,0.019361531,0.030488253,0.035275333,0.018178793
t_10063,26.817679999999996,-21.5967,0.021225983,0.021482661,0.031327993,0.028615989,0.0172618,0.018292345,0.028914459,0.03330437,0.017167348
t_10064,26.817679999999996,-21.55493,0.018823564,0.019380651,0.030646253,0.028026741,0.016884733,0.017888619,0.028309606,0.032558843,0.016783724
t_10065,26.77277000000001,-21.55493,0.02284522,0.02302989,0.031490274,0.028835893,0.01735158,0.01838844,0.029057559,0.03348189,0.01725852
t_10066,26.72784999999999,-21.55493,0.028172784,0.027819712,0.03235993,0.029674351,0.01783288,0.018904436,0.02982033,0.034433533,0.01774717
t_10067,26.77277000000001,-21.51315,0.020382876,0.020916577,0.030776361,0.02821488,0.016956681,0.017965527,0.028425284,0.032701097,0.016856875
t_10068,26.72784999999999,-21.51315,0.025526352,0.025662523,0.03160296,0.029013453,0.01741393,0.01845516,0.029156718,0.03360517,0.017321788
t_10069,26.817679999999996,-21.51315,0.01949283,0.020427253,0.029972775,0.027442474,0.016512401,0.017490413,0.027707176,0.0318227,0.016404403
t_1007,24.976139999999987,-25.30434,0.0077872807,0.013202662,0.01824987,0.01621765,0.010058804,0.010714647,0.016471297,0.019079562,0.009789313
t_10070,26.817679999999996,-21.47136,0.023773516,0.02536966,0.029308524,0.026863927,0.016145336,0.017098287,0.027108166,0.031097,0.016029945
t_10071,26.63802000000001,-21.55493,0.03123631,0.029638434,0.03417593,0.03144449,0.018838795,0.019985039,0.03138785,0.03642247,0.018765712
t_10072,26.593099999999993,-21.51315,0.024687773,0.023404028,0.034219116,0.03157689,0.01886273,0.020010678,0.031424563,0.0364698,0.018789804
t_10073,26.63802000000001,-21.51315,0.023271348,0.022486363,0.033324424,0.030693159,0.018366983,0.019477738,0.030656915,0.03548959,0.01828834
t_10074,26.682940000000002,-21.51315,0.022498947,0.022169864,0.032452222,0.02983902,0.017883973,0.01895916,0.02990068,0.03453456,0.017798906
t_10075,26.63802000000001,-21.47136,0.028462125,0.02802147,0.032490347,0.029956153,0.01790508,0.018981712,0.029933756,0.03457629,0.01782022
t_10076,26.593099999999993,-21.47136,0.031041672,0.02998724,0.033335995,0.030791743,0.018373394,0.019484524,0.030666748,0.035502266,0.018294735
t_10077,26.682940000000002,-21.47136,0.021815998,0.021899976,0.031664442,0.029146457,0.01744795,0.018491527,0.0292107,0.033672433,0.017356263
t_10078,26.63802000000001,-21.42955,0.026998382,0.027096154,0.03167419,0.029233666,0.017453345,0.018497217,0.029219141,0.0336831,0.017361656
t_10079,26.593099999999993,-21.42955,0.026786359,0.026382124,0.03247343,0.03002405,0.017895715,0.018971564,0.029918876,0.034557775,0.01781063
t_1008,24.976139999999987,-25.14181,0.01091705,0.016388075,0.0202955,0.018168552,0.011181153,0.011899128,0.018577842,0.02129171,0.010969332
t_10080,26.682940000000002,-21.42955,0.025990574,0.026593225,0.030892223,0.028465861,0.017020758,0.018033935,0.028527996,0.032827787,0.016921913
t_10081,26.41344000000001,-21.51315,0.03240297,0.028608583,0.03801081,0.035406888,0.020966819,0.022279762,0.034590304,0.04062961,0.020908443
t_10082,26.548190000000005,-21.51315,0.031711373,0.02950913,0.035135675,0.032490566,0.019370887,0.020557653,0.03220263,0.037474513,0.019302903
t_10083,26.503269999999986,-21.51315,0.033779684,0.03087119,0.036073882,0.03343415,0.019891353,0.021118576,0.032990497,0.038503524,0.01982748
t_10084,26.45836,-21.47136,0.033044953,0.030250661,0.035984766,0.03345817,0.019841902,0.02106512,0.032915846,0.038405757,0.019777557
t_10085,26.503269999999986,-21.47136,0.030239636,0.028168619,0.03508403,0.032543074,0.019342247,0.020526685,0.03215884,0.03741789,0.019273896
t_10086,26.548190000000005,-21.47136,0.029035218,0.027536217,0.03420067,0.03165388,0.018852506,0.019999567,0.031408656,0.03644958,0.018779365
t_10087,26.41344000000001,-21.47136,0.034867924,0.031385537,0.03690212,0.03439852,0.020351067,0.02161445,0.033678737,0.03941237,0.020289902
t_10088,26.45836,-21.42955,0.03227825,0.030137673,0.034967396,0.03253518,0.019277569,0.02045691,0.03206006,0.03729001,0.019208517
t_10089,26.503269999999986,-21.42955,0.028258009,0.026844,0.03412092,0.031674676,0.018808305,0.019951912,0.031340383,0.03636219,0.018734584
t_1009,24.976139999999987,-24.97906,0.01370044,0.0182611,0.022704922,0.02045516,0.012505168,0.013307019,0.02100108,0.023904363,0.012358321
t_10090,26.41344000000001,-21.42955,0.02805598,0.025760263,0.035827767,0.033418298,0.019754792,0.020971067,0.03278428,0.038233534,0.019689685
t_10091,26.77277000000001,-21.47136,0.01927267,0.02014256,0.030073373,0.02760127,0.016568005,0.017549764,0.027797341,0.031932637,0.016461002
t_10092,26.72784999999999,-21.47136,0.020392857,0.020883191,0.030858828,0.02836192,0.017002288,0.018014252,0.028498461,0.032791268,0.016903203
t_10093,26.77277000000001,-21.42955,0.023704251,0.02524427,0.029381957,0.026995517,0.016185906,0.017141525,0.027174499,0.031177212,0.01607128
t_10094,26.72784999999999,-21.42955,0.025007434,0.026098387,0.030128153,0.02772015,0.016598286,0.017582053,0.027846336,0.031992503,0.016491782
t_10095,26.817679999999996,-21.42955,0.018046036,0.019620227,0.02865417,0.026291598,0.015783897,0.016712623,0.026513334,0.030382471,0.015660739
t_10096,26.77277000000001,-21.38774,0.02353055,0.025546992,0.028703123,0.026398402,0.015810931,0.016741378,0.026557881,0.030435914,0.015688298
t_10097,26.817679999999996,-21.38774,0.022981059,0.025468264,0.028010726,0.025726292,0.015428641,0.016334001,0.025923781,0.02968021,0.015297374
t_10098,26.72784999999999,-21.38774,0.02253916,0.023983717,0.029411923,0.027088873,0.016202463,0.017159123,0.02720148,0.031209942,0.016088102
t_10099,26.817679999999996,-21.34591,0.02166613,0.0244863,0.027378466,0.025168177,0.015079709,0.015962563,0.02533995,0.028990505,0.014940019
t_101,23.359170000000006,-24.57124,0.011210754,0.017902622,0.019210145,0.017664896,0.0105854655,0.011269335,0.017465482,0.020117264,0.010343228
t_1010,24.976139999999987,-24.81609,0.013443355,0.015961755,0.025573207,0.023137327,0.014084251,0.01500014,0.023801422,0.027023261,0.014009902
t_10100,26.77277000000001,-21.34591,0.021177888,0.023451354,0.028037095,0.025810027,0.015443196,0.016349433,0.025947921,0.029708982,0.015312202
t_10101,26.548190000000005,-21.42955,0.029719815,0.028740006,0.03328915,0.03083743,0.018347444,0.019456537,0.030626178,0.035450954,0.01826836
t_10102,26.45836,-21.38774,0.025046855,0.023863832,0.03398083,0.031638995,0.018730668,0.019868301,0.031220414,0.03620868,0.018655984
t_10103,26.41344000000001,-21.38774,0.028398452,0.026610916,0.034788,0.032467753,0.019178096,0.020349683,0.03190795,0.037093334,0.019108
t_10104,26.548190000000005,-21.38774,0.021824619,0.021530936,0.032401852,0.030042095,0.017856088,0.018928947,0.02985633,0.03447942,0.017770343
t_10105,26.503269999999986,-21.38774,0.025277924,0.024500748,0.03318516,0.030830393,0.018289845,0.019394556,0.030536234,0.03533707,0.018209934
t_10106,26.548190000000005,-21.34591,0.023685249,0.02384966,0.03153849,0.029267285,0.01737826,0.018416569,0.02909938,0.03353464,0.017285194
t_10107,26.503269999999986,-21.34591,0.028052092,0.027755518,0.03227629,0.030010028,0.01778658,0.01885428,0.029746598,0.034341987,0.017699737
t_10108,26.41344000000001,-21.34591,0.0232664,0.022261357,0.03378189,0.031547178,0.01862043,0.019749654,0.031049777,0.035990715,0.018544389
t_10109,26.45836,-21.34591,0.02357441,0.022931391,0.03302438,0.030769918,0.018200796,0.01929881,0.03039703,0.035160996,0.018119635
t_1011,25.065969999999993,-24.73453,0.018945402,0.021146668,0.027383938,0.024754183,0.015082729,0.016078107,0.025522148,0.028996475,0.0150512755
t_10110,26.548190000000005,-21.30407,0.024910208,0.025613828,0.030699274,0.028512854,0.016914051,0.017919475,0.028356044,0.032616813,0.016813077
t_10111,26.593099999999993,-21.38774,0.022543631,0.02264838,0.031632256,0.02927427,0.01743014,0.018472256,0.0291821,0.033637222,0.017337995
t_10112,26.63802000000001,-21.38774,0.022307606,0.022833912,0.030876867,0.028526274,0.017012265,0.018024756,0.028514225,0.032810993,0.016913189
t_10113,26.682940000000002,-21.38774,0.020546021,0.021437753,0.030136527,0.0277979,0.016602917,0.01758692,0.027853716,0.032001656,0.01649642
t_10114,26.682940000000002,-21.34591,0.022906791,0.024384897,0.029397434,0.027142486,0.016194457,0.017150497,0.027188256,0.031194115,0.016079856
t_10115,26.593099999999993,-21.34591,0.020422203,0.020938437,0.03081233,0.028542003,0.016976573,0.017986469,0.028456746,0.032740425,0.016876787
t_10116,26.63802000000001,-21.34591,0.023284955,0.024320366,0.030098353,0.027833745,0.016581815,0.017564278,0.027819369,0.031959936,0.016474837
t_10117,26.63802000000001,-21.30407,0.022218695,0.023690993,0.029339073,0.027156265,0.016162213,0.017115993,0.02713534,0.03113037,0.016046874
t_10118,26.682940000000002,-21.30407,0.022253724,0.024180545,0.028675439,0.026499912,0.015795643,0.016724925,0.026532399,0.03040569,0.015672531
t_10119,26.593099999999993,-21.30407,0.021593748,0.022604859,0.030013982,0.027827283,0.016535178,0.017514348,0.027743552,0.03186773,0.01642723
t_1012,25.021050000000002,-24.73453,0.01666282,0.018643273,0.027309803,0.02471386,0.015041824,0.016033838,0.025452403,0.028915625,0.015008659
t_10120,26.682940000000002,-21.26222,0.02176845,0.024154287,0.027970748,0.025870237,0.015406573,0.01631029,0.025886673,0.029636588,0.015274587
t_10121,27.40159,-21.88874,0.013063754,0.01645934,0.024294998,0.021779595,0.013380168,0.014160864,0.022428542,0.02563229,0.013193716
t_10122,27.35667000000001,-21.88874,0.01418976,0.01740181,0.024999943,0.022432841,0.013768399,0.014571579,0.023104079,0.026399218,0.013593735
t_10123,27.311759999999992,-21.88874,0.015445957,0.018443532,0.025733763,0.023110365,0.014172736,0.014999985,0.02380117,0.027198099,0.014009752
t_10124,27.311759999999992,-21.84706,0.014193758,0.017153503,0.025398254,0.022827605,0.013987844,0.014803967,0.023483166,0.026832776,0.013819559
t_10125,27.40159,-21.84706,0.012610695,0.016077233,0.02399789,0.021526743,0.013216599,0.013987978,0.022142041,0.025309214,0.013024982
t_10126,27.266840000000002,-21.84706,0.015936725,0.018760666,0.026141293,0.023514435,0.0143973725,0.015238235,0.024185551,0.027641987,0.014240575
t_10127,27.35667000000001,-21.84706,0.015568096,0.019321097,0.02468435,0.022165632,0.01359457,0.01438757,0.022802306,0.026055813,0.013414663
t_10128,27.40159,-21.80536,0.0120526245,0.015556415,0.023694428,0.02126689,0.013049567,0.013811551,0.021848354,0.024979327,0.012852576
t_10129,27.35667000000001,-21.80536,0.0132310465,0.016626354,0.024362296,0.021891281,0.013417222,0.0141999675,0.022493167,0.025705483,0.013231852
t_1013,24.976139999999987,-24.73453,0.02146569,0.024088463,0.027217923,0.024657648,0.014991132,0.01597899,0.025365883,0.028815433,0.01495584
t_10130,27.311759999999992,-21.80536,0.014172291,0.017344162,0.025056202,0.022537578,0.013799391,0.014604317,0.02315762,0.026460445,0.013625571
t_10131,28.5694,-21.84706,0.002525533,0.007025051,0.012660503,0.010877065,0.0070001003,0.007518018,0.0105012115,0.0130709335,0.0065535163
t_10132,28.749059999999986,-21.84706,0.0027935382,0.008851983,0.011625406,0.00991746,0.006434807,0.006940965,0.009390516,0.011965423,0.0059625776
t_10133,28.749059999999986,-21.6802,0.0022452145,0.0074053565,0.011333816,0.009663042,0.0062756147,0.0067788204,0.009077637,0.011654497,0.005796278
t_10134,27.67107999999999,-21.84706,0.008437011,0.012713416,0.020390758,0.01813158,0.0112334555,0.011901811,0.018582543,0.021394864,0.010971993
t_10135,28.03040999999999,-21.84706,0.005828797,0.011124455,0.016664833,0.014607392,0.009190264,0.009773018,0.0147532,0.01736984,0.008843694
t_10136,27.491420000000005,-21.84706,0.011314608,0.015234978,0.02270279,0.020314112,0.0125039965,0.013236284,0.02088141,0.02390205,0.0122888815
t_10137,28.21007,-21.84706,0.0043284236,0.00934151,0.015154252,0.013192913,0.008363392,0.008918186,0.013162077,0.01574441,0.007979576
t_10138,27.850750000000005,-21.84706,0.007977445,0.013505297,0.018395869,0.016241686,0.010138855,0.010758552,0.016550478,0.019237246,0.009833241
t_10139,28.38973999999999,-21.84706,0.003354898,0.008209975,0.0138289565,0.011960434,0.0076386156,0.008172332,0.011751996,0.014321943,0.0072214594
t_1014,25.065969999999993,-24.69373,0.020372532,0.022113899,0.028279357,0.025574567,0.015576937,0.016613677,0.026359804,0.029973352,0.015565867
t_10140,27.850750000000005,-21.6802,0.006855775,0.012173369,0.017672628,0.01560526,0.009742388,0.010345966,0.01580309,0.018456446,0.009419861
t_10141,28.38973999999999,-21.6802,0.0033272635,0.008498703,0.01341974,0.011604827,0.007414944,0.007942792,0.011314495,0.013883463,0.006987423
t_10142,28.21007,-21.6802,0.0045902063,0.0103557985,0.014663813,0.012765873,0.00809511,0.008641677,0.0126415165,0.0152175985,0.0076989555
t_10143,27.491420000000005,-21.6802,0.009974249,0.014138699,0.021592965,0.019347372,0.011893852,0.012594375,0.019785412,0.022697724,0.011657067
t_10144,27.266840000000002,-21.80536,0.014885156,0.017746465,0.025777696,0.023207413,0.014196948,0.015025579,0.023842577,0.02724594,0.014034567
t_10145,27.266840000000002,-21.76365,0.013437259,0.01623333,0.025408586,0.022893876,0.013993537,0.01480992,0.023492847,0.026844025,0.013825338
t_10146,27.40159,-21.76365,0.012847611,0.01679691,0.023385474,0.02100073,0.0128795495,0.013632097,0.021548254,0.024643574,0.012676985
t_10147,27.311759999999992,-21.76365,0.013377842,0.016587632,0.024708612,0.022241069,0.013607932,0.014401634,0.022825422,0.02608221,0.013428358
t_10148,27.35667000000001,-21.76365,0.012279166,0.015631607,0.024034716,0.021610511,0.013236871,0.014009326,0.022177488,0.025349256,0.013045829
t_10149,27.266840000000002,-21.72193,0.013348143,0.016348654,0.025034932,0.022574572,0.013787674,0.014591834,0.023137212,0.026437297,0.013613433
t_1015,25.021050000000002,-24.69373,0.017298112,0.01882204,0.02819984,0.02553144,0.015533038,0.016566051,0.02628577,0.029886574,0.015520181
t_10150,27.35667000000001,-21.72193,0.012074206,0.015579286,0.023702439,0.021323968,0.013053976,0.013816139,0.021856006,0.024988035,0.012857061
t_10151,27.311759999999992,-21.72193,0.017732035,0.02228774,0.024356382,0.021938771,0.013413966,0.014196452,0.022487361,0.025699051,0.013228424
t_10152,27.40159,-21.72193,0.013102142,0.017359968,0.023071801,0.020728914,0.012706971,0.013450071,0.021242432,0.0243028,0.012498644
t_10153,27.40159,-21.6802,0.012284831,0.016504137,0.022754146,0.020452093,0.012532241,0.013265912,0.020931564,0.023957811,0.012317972
t_10154,28.03040999999999,-21.6802,0.004994878,0.00998142,0.016072005,0.0140881585,0.008865657,0.009436898,0.014130985,0.016731448,0.008504553
t_10155,27.67107999999999,-21.6802,0.0075171166,0.011902182,0.01949959,0.01734833,0.010744281,0.011390039,0.017680032,0.02043031,0.010463456
t_10156,27.67107999999999,-21.51315,0.0076862564,0.012884669,0.01855216,0.016504675,0.010224557,0.010847681,0.016710965,0.019406078,0.009922374
t_10157,27.491420000000005,-21.51315,0.009472904,0.014246884,0.020427492,0.018313473,0.011253625,0.011922739,0.018619204,0.021434644,0.010992748
t_10158,27.850750000000005,-21.51315,0.0059193326,0.011105161,0.016895764,0.014915188,0.009316746,0.009904009,0.014994443,0.017618682,0.008975638
t_10159,28.03040999999999,-21.51315,0.005163435,0.010880839,0.015429686,0.013521551,0.0085141,0.009073584,0.013453419,0.016040474,0.008137053
t_1016,24.976139999999987,-24.69373,0.019831337,0.02164341,0.028101321,0.025471324,0.01547865,0.016507061,0.026193945,0.029779064,0.015463571
t_10160,27.40159,-21.47136,0.010431934,0.015129604,0.021129556,0.019014344,0.011639226,0.012326921,0.019323403,0.0221953,0.011392927
t_10161,27.40159,-21.42955,0.009440627,0.013922589,0.020801613,0.01872013,0.011459083,0.012137966,0.018995091,0.02183991,0.0112059945
t_10162,28.5694,-21.6802,0.0028599869,0.008291696,0.012316337,0.0105776945,0.0068121077,0.007325852,0.010131955,0.012703056,0.006356899
t_10163,27.40159,-21.38774,0.010170896,0.015259043,0.02047403,0.01842506,0.011279181,0.011949423,0.018665917,0.021485047,0.011019205
