# 2023_M6.9_Marrakesh median gmf, Stations:All, gmlt:GEM, Rupture:USGS
custom_site_id,lon,lat,AkkarEtAlRjb2014,AtkinsonBoore2006Modified2011,ChiouYoungs2014,PezeshkEtAl2011NEHRPBC.NRCan15SiteTerm
m_255,-7.6169,33.4813,0.0265096,0.027077448,0.026155148,0.025667628
m_256,-7.6162,33.5264,0.025747316,0.0257282,0.025494596,0.025939897
m_257,-7.6161,33.5354,0.025929322,0.025890298,0.025714787,0.026032396
m_258,-7.6153,33.5805,0.026217103,0.0262593,0.026279043,0.025479924
m_259,-7.6152,33.5895,0.025751648,0.025890926,0.025768904,0.025081327
m_262,-7.6137,33.0032,0.0341968,0.036099978,0.032647,0.034006335
m_263,-7.6053,33.5353,0.024603713,0.024432614,0.024066702,0.026047995
m_265,-7.605,33.5533,0.026648425,0.026481546,0.02608,0.026730955
m_266,-7.6049,33.5623,0.027756821,0.027700476,0.027425129,0.026735198
m_267,-7.6047,33.5713,0.027495164,0.02743721,0.027165344,0.026592625
m_268,-7.6046,33.5803,0.026926318,0.02686336,0.02650196,0.026395524
m_270,-7.6029,33.0121,0.032628275,0.034740016,0.03104527,0.033109207
m_271,-7.5957,33.463,0.0249452,0.024844911,0.024119493,0.025342043
m_272,-7.5945,33.5351,0.024555655,0.024406943,0.024058504,0.025953788
m_273,-7.5944,33.5442,0.026483104,0.02638028,0.025999144,0.026553804
m_276,-7.5936,33.5892,0.02781103,0.027827682,0.027068786,0.026838271
m_278,-7.588,33.2735,0.02393205,0.025525637,0.023853663,0.023839567
m_279,-7.5845,33.4899,0.024834467,0.024766386,0.024088934,0.025524022
m_281,-7.5836,33.544,0.02535936,0.025178107,0.024701213,0.026447581
m_282,-7.5829,33.5891,0.02834228,0.028385125,0.027515953,0.027105382
m_283,-7.5827,33.5981,0.026864197,0.026878133,0.025689354,0.026737403
m_285,-7.573,33.5349,0.026355606,0.026398212,0.026182303,0.025984079
m_287,-7.5621,33.5438,0.025364505,0.02515826,0.024585353,0.026547212
m_288,-7.5539,33.3904,0.02585247,0.02823349,0.025463877,0.02458075
m_289,-7.5515,33.5346,0.02686723,0.02686063,0.026382903,0.026394805
m_29,-9.5987,30.4202,0.0357649,0.03602163,0.036421992,0.03768164
m_290,-7.551,33.5617,0.026133766,0.02587142,0.025204727,0.027115135
m_291,-7.5506,33.5887,0.027013937,0.0269197,0.026046408,0.027128642
m_292,-7.5503,33.6068,0.027706834,0.027946766,0.026704673,0.026589358
m_294,-7.5399,33.5796,0.026254786,0.026010731,0.025248032,0.027245138
m_295,-7.5396,33.5976,0.026934106,0.026904942,0.0259141,0.027009565
m_297,-7.5328,33.3631,0.025456574,0.028336143,0.024850888,0.024197288
m_298,-7.5301,33.5254,0.02852934,0.029970026,0.028086822,0.026518077
m_30,-9.5988,30.4382,0.03648081,0.036757175,0.036990713,0.039314147
m_300,-7.5289,33.5975,0.027174432,0.027115539,0.02610498,0.027191808
m_301,-7.5078,33.5702,0.029466085,0.030777972,0.02934773,0.027241306
m_305,-7.4967,33.5881,0.02878849,0.02876468,0.027800817,0.027407262
m_306,-7.4962,33.6151,0.027130624,0.0272303,0.025008181,0.027133863
m_307,-7.4961,33.6242,0.026629938,0.02688175,0.024271639,0.02660931
m_308,-7.4859,33.588,0.029766085,0.0306021,0.028703898,0.02738591
m_309,-7.4751,33.5878,0.029765865,0.030681128,0.028335076,0.027333103
m_310,-7.474,33.651,0.027152805,0.028468957,0.02441048,0.024656562
m_312,-7.4542,33.5515,0.030620856,0.031267766,0.028167821,0.0282769
m_313,-7.42,33.6593,0.02515806,0.026222251,0.022061298,0.02356961
m_314,-7.3976,33.7041,0.024931699,0.028258983,0.021975303,0.021935176
m_315,-7.3873,33.6769,0.023688072,0.024708409,0.020472623,0.022642393
m_316,-7.3871,33.6859,0.023401598,0.024401292,0.020213123,0.022400917
m_319,-7.376,33.7038,0.023004536,0.024098992,0.019710364,0.021778895
m_320,-7.3657,33.6766,0.02337522,0.024464354,0.019981224,0.022384698
m_322,-7.3441,33.6763,0.022707112,0.023834085,0.019044314,0.02211959
m_323,-7.3438,33.6944,0.022086328,0.023234122,0.018312542,0.02162585
m_324,-7.3435,33.7124,0.020617934,0.021718225,0.016619584,0.021078795
m_325,-7.2776,33.7656,0.019272542,0.021031182,0.014127541,0.0190402
m_326,-7.237,33.6388,0.02424391,0.025553942,0.020281404,0.022586258
m_328,-7.1589,33.7639,0.02002564,0.0222583,0.014437707,0.018443484
m_329,-7.1587,33.7729,0.019914847,0.022162672,0.01427419,0.018299347
m_33,-9.5883,30.4293,0.0389779,0.03903066,0.038760804,0.040422067
m_330,-7.1585,33.7819,0.019813852,0.022076232,0.014121189,0.018160375
m_331,-7.1475,33.7908,0.019572502,0.021820242,0.013836379,0.018003438
m_332,-7.1191,33.61,0.021803608,0.024493584,0.016778218,0.019934734
m_333,-7.0381,33.8522,0.01502928,0.016268563,0.010046499,0.017853022
m_334,-6.95,33.9229,0.018205775,0.018935591,0.013930052,0.019478707
m_335,-6.9396,33.9047,0.018395144,0.019093562,0.01432406,0.019619681
m_336,-6.9392,33.9227,0.018714525,0.019364467,0.014652456,0.01978619
m_337,-6.931,33.8144,0.016702924,0.01783094,0.011894911,0.018897122
m_338,-6.929,33.8955,0.018655658,0.019321293,0.014698069,0.019788308
m_339,-6.9288,33.9045,0.01885096,0.01947007,0.015000275,0.019882238
m_340,-6.9281,33.9315,0.019428387,0.019983854,0.015532561,0.020218795
m_341,-6.9182,33.8953,0.019087803,0.019684117,0.015302532,0.020037161
m_343,-6.9315,32.8856,0.032192916,0.03362863,0.030769693,0.031035928
m_345,-6.9089,33.832,0.017769735,0.01872989,0.013123965,0.019445539
m_347,-6.9056,33.9672,0.021199407,0.021608744,0.017226327,0.021352027
m_348,-6.9212,32.8674,0.028901191,0.030232333,0.028287604,0.029133061
m_349,-6.9208,32.8854,0.032471158,0.03566063,0.031479932,0.030546457
m_351,-6.8959,33.922,0.020789104,0.021141496,0.017506577,0.021048212
m_352,-6.8957,33.931,0.021144902,0.02148362,0.017775528,0.021292863
m_353,-6.8946,33.9761,0.021735674,0.022087678,0.01785412,0.021694966
m_354,-6.8844,33.9488,0.022528801,0.022770418,0.019120993,0.022210944
m_356,-6.8836,33.9849,0.02205081,0.022360906,0.018281898,0.02189371
m_357,-6.8833,33.9939,0.021667246,0.022012286,0.017765706,0.021620627
m_358,-6.8994,32.885,0.030940183,0.034797605,0.030053353,0.02931545
m_359,-6.9022,32.3079,0.03540502,0.050266594,0.040567465,0.034954686
m_360,-6.8892,32.8668,0.02672139,0.027866203,0.025311239,0.028512333
m_361,-6.8885,32.8939,0.029680662,0.03236497,0.02831585,0.02883497
m_362,-6.8624,33.9665,0.023316106,0.023481864,0.020107217,0.02274371
m_363,-6.8619,33.9845,0.0231406,0.023317724,0.019899664,0.022629919
m_364,-6.8615,34.0025,0.022402188,0.022642484,0.018864363,0.022080867
m_366,-6.8506,34.0023,0.022882776,0.02306086,0.019597579,0.022394203
m_367,-6.8502,34.0204,0.021948602,0.022197086,0.018319426,0.021683905
m_369,-6.841,33.9571,0.023215478,0.023392513,0.020049846,0.022676036
m_37,-9.5779,30.4293,0.041729044,0.041588493,0.04074147,0.0422549
m_370,-6.8396,34.0112,0.02293436,0.023082413,0.019732276,0.022372391
m_371,-6.8394,34.0202,0.02250074,0.022678288,0.019142993,0.022037387
m_372,-6.8297,33.9749,0.023523489,0.02364845,0.020578392,0.02287139
m_373,-6.8295,33.984,0.023571271,0.023676964,0.020702332,0.022888308
m_374,-6.8292,33.993,0.023505878,0.023603689,0.020652875,0.022818353
m_376,-6.8193,33.9567,0.023037536,0.02324235,0.019789608,0.022555472
m_377,-6.8191,33.9657,0.023269266,0.023435224,0.020173842,0.02270328
m_378,-6.8186,33.9838,0.02348494,0.023592265,0.020644618,0.022818085
m_379,-6.8182,34.0018,0.023321165,0.023404364,0.020581791,0.02264813
m_38,-9.5674,30.4023,0.043700315,0.04340976,0.042364806,0.041567076
m_380,-6.8173,34.0378,0.02120408,0.021396043,0.018061897,0.02102978
m_381,-6.817,34.0468,0.020394983,0.020640427,0.01704487,0.020424942
m_382,-6.8074,34.0016,0.023152187,0.023232806,0.020533072,0.022529034
m_383,-6.8069,34.0196,0.02242198,0.02251611,0.01981184,0.021950275
m_384,-6.8067,34.0286,0.021817392,0.021940814,0.019107582,0.021486862
m_385,-6.8064,34.0376,0.021115754,0.021278158,0.018254865,0.020950593
m_386,-6.797,33.9834,0.023252146,0.023375103,0.02039956,0.022648552
m_387,-6.7949,34.0645,0.018962603,0.019242166,0.015574721,0.01927309
m_388,-6.7947,34.0735,0.01825608,0.018607728,0.014448994,0.018749114
m_389,-6.7845,34.0463,0.020188449,0.02035037,0.017539857,0.02020716
m_392,-6.7737,34.0461,0.020002315,0.020178596,0.017264096,0.020069037
m_394,-6.7636,34.0188,0.021484494,0.021620814,0.01892867,0.021306058
m_395,-6.7624,34.0639,0.018592488,0.018884031,0.015087387,0.018964788
m_396,-6.7542,33.9646,0.022420302,0.022732547,0.018526439,0.022112867
m_397,-6.7518,34.0547,0.018884033,0.01918532,0.015301157,0.019233853
m_398,-6.7511,34.0817,0.017054033,0.017512865,0.012592662,0.017833764
m_400,-6.7321,33.9822,0.022688435,0.022953773,0.018650454,0.022219736
m_402,-6.7316,34.0002,0.022370717,0.0225913,0.018559027,0.021933455
m_403,-6.7283,34.1264,0.0142424805,0.014943379,0.008646827,0.015667269
m_404,-6.6923,34.2519,0.010783552,0.011588716,0.0047967182,0.012657212
m_405,-6.7114,32.2956,0.033263616,0.04719404,0.03684825,0.031572334
m_406,-6.66,34.2423,0.010775363,0.011579078,0.0047817454,0.012645205
m_407,-6.7008,32.2954,0.033599224,0.04897462,0.037422463,0.03137766
m_408,-6.6955,32.5027,0.029868098,0.042275943,0.031233458,0.028155593
m_409,-6.638,34.2509,0.010558012,0.011354959,0.004568927,0.012430686
m_410,-6.6267,34.2687,0.010305084,0.011089722,0.0043281773,0.012174164
m_411,-6.6166,34.2415,0.01056748,0.011366902,0.004574403,0.01244226
m_412,-6.6156,34.2775,0.010171379,0.010947839,0.0042018127,0.012035311
m_413,-6.6153,34.2865,0.010083875,0.0108538605,0.0041204137,0.011942806
m_414,-6.5946,34.2501,0.010362126,0.011153422,0.0043777316,0.012236588
m_415,-6.5944,34.2591,0.010268198,0.011053305,0.0042898334,0.012138885
m_416,-6.5941,34.2681,0.010178109,0.010956769,0.0042058486,0.012044207
m_417,-6.5835,34.2589,0.010222306,0.011005623,0.004246005,0.012092583
m_418,-6.5727,34.2586,0.010178005,0.010959568,0.0042039333,0.012047825
m_419,-6.5899,32.8704,0.020267121,0.02433148,0.016976433,0.022637889
m_420,-6.5792,32.8702,0.020180061,0.024260003,0.01684885,0.022519924
m_421,-6.5364,34.0145,0.012674781,0.01366579,0.0066262516,0.0146627985
m_422,-6.5354,33.2932,0.017486503,0.020905372,0.0120856995,0.017795715
m_423,-6.3817,32.3162,0.024522483,0.026349787,0.023797963,0.025092341
m_425,-6.3602,32.3248,0.022077331,0.023387568,0.021017501,0.024433171
m_426,-6.3498,32.3156,0.020506732,0.021776013,0.019163493,0.024463551
m_428,-6.2954,32.3595,0.02178792,0.024408849,0.020205231,0.02371004
m_430,-6.0663,33.8329,0.015531549,0.016230412,0.008565817,0.016095199
m_431,-6.0336,32.57,0.015908197,0.019058274,0.011917267,0.020239832
m_432,-5.9911,31.3702,0.021886839,0.027626177,0.02119855,0.027754888
m_433,-5.8453,30.3545,0.02505357,0.028322017,0.022896612,0.025057822
m_435,-5.5864,31.5594,0.01513562,0.018450104,0.011637831,0.0212608
m_436,-5.5328,31.5244,0.018013805,0.02213474,0.014194462,0.020738311
m_437,-5.9774,32.5787,0.014320635,0.017073318,0.0102599915,0.019713238
m_438,-5.9158,34.257,0.00873164,0.009242667,0.0028216916,0.010210732
m_440,-5.7194,34.2255,0.008671438,0.009104816,0.002704686,0.010006758
m_441,-5.6007,33.8945,0.013212483,0.013749764,0.0060124523,0.013794867
m_442,-5.5899,33.8947,0.013549216,0.014059636,0.006255951,0.014001502
m_443,-5.5791,33.8949,0.013926137,0.014406305,0.006534048,0.014232011
m_444,-5.5672,33.8591,0.013728743,0.014260058,0.006439829,0.0141751515
m_445,-5.5675,33.8681,0.01397963,0.014485238,0.0066187647,0.014318298
m_446,-5.5683,33.8951,0.0143483905,0.014794298,0.0068522813,0.014488968
m_447,-5.5564,33.8593,0.013965473,0.01447387,0.0066101667,0.014312139
m_448,-5.5462,33.8776,0.014940352,0.015355957,0.007339194,0.014879198
m_449,-5.5467,33.8956,0.015353777,0.015715823,0.0076369517,0.015093988
m_450,-5.5248,33.887,0.01594108,0.016254462,0.008115204,0.01544574
m_452,-5.514,33.8872,0.015618879,0.015941288,0.007821067,0.01522128
m_453,-5.4821,33.9059,0.01392517,0.014292698,0.0063601662,0.014025489
m_456,-5.2212,33.433,0.009850987,0.010751973,0.0037703256,0.011331929
m_457,-5.2126,33.9381,0.008847736,0.009220251,0.002739831,0.010032517
m_458,-5.0623,33.9858,0.008114181,0.008378109,0.002234343,0.009218225
m_459,-4.9955,32.0029,0.011322816,0.013034271,0.0060373815,0.014825439
m_460,-5.0193,33.9955,0.007982743,0.008217569,0.0021398948,0.009053175
m_461,-5.0195,34.0046,0.007964876,0.008193516,0.0021251251,0.009026553
m_462,-5.0206,34.0496,0.00787511,0.008073604,0.0020524797,0.008894567
m_463,-5.0089,34.0137,0.007922034,0.008138925,0.0020927517,0.008968476
m_464,-5.0091,34.0228,0.007904262,0.008115048,0.002078253,0.008942086
m_465,-5.0093,34.0318,0.0078866,0.008091371,0.002063939,0.008915962
m_466,-4.987,34.0051,0.007890371,0.008101706,0.0020718558,0.008931383
m_467,-4.9774,34.0593,0.0077663288,0.007936318,0.0019732406,0.00874955
m_468,-4.9777,34.0684,0.0077494057,0.007913527,0.0019597537,0.00872433
m_469,-4.8314,33.8181,0.007901477,0.008151833,0.0021135109,0.009013886
m_470,-4.8208,33.8273,0.007868376,0.008106326,0.002085483,0.008962643
m_471,-3.8896,32.5748,0.00777478,0.007992567,0.002020871,0.008846079
m_52,-9.5352,30.2219,0.055715248,0.060344253,0.05777482,0.053158462
m_59,-9.5256,30.3844,0.03346278,0.033194534,0.034185413,0.034196798
m_6,-9.7634,31.4931,0.03043391,0.03162521,0.033222545,0.03181498
m_64,-9.5045,30.3213,0.038698748,0.03880568,0.03998317,0.03900293
m_66,-9.5047,30.3574,0.03608155,0.03593284,0.037031993,0.03540783
m_70,-9.4944,30.3845,0.033440724,0.032813106,0.033610072,0.03613967
m_71,-9.4838,30.3485,0.04447411,0.044199914,0.043576762,0.04135172
m_72,-9.4732,30.3124,0.047342062,0.048470143,0.04777725,0.044774134
m_74,-9.4371,31.5217,0.056981985,0.05293033,0.07027994,0.057857435
m_79,-9.2233,30.1506,0.03731676,0.03987138,0.044922695,0.05286494
m_8,-9.739,29.6885,0.03562578,0.03988563,0.03617287,0.036919992
m_9,-9.7391,29.6975,0.03382029,0.0376986,0.034116607,0.036981415
m_92,-8.3369,30.7086,0.19266579,0.15036277,0.23449038,0.16581564
s_472,-7.4133,33.2981,0.024896936,0.029725038,0.022967985,0.023447689
t_0,-6.14521,33.34407,0.013020159,0.0150929205,0.007461637,0.015524599
t_1,-5.60622,33.34407,0.012739131,0.014441669,0.006154084,0.013140816
t_10,-5.87572,32.66607,0.014734563,0.017542392,0.010051589,0.018327974
t_100,-5.87572,32.13514,0.014568247,0.017726649,0.011202928,0.021810383
t_1000,-7.67235,31.29457,0.07818923,0.05838306,0.09013991,0.082174726
t_1001,-7.49268,31.29457,0.05824043,0.043527458,0.0715164,0.0662339
t_1002,-7.31302,31.29457,0.046504248,0.040837105,0.058191128,0.056930825
t_1003,-7.04353,31.29457,0.03598202,0.039530493,0.043783605,0.052592695
t_1004,-7.13336,31.29457,0.03434104,0.03569501,0.04147114,0.050540306
t_1005,-7.76218,31.29457,0.09201578,0.07713475,0.1005687,0.10139953
t_1006,-7.22319,31.29457,0.043622456,0.041921414,0.055023056,0.051825315
t_1007,-7.40285,31.29457,0.050620317,0.041151892,0.062689506,0.06193791
t_1008,-7.49268,31.3713,0.05652906,0.043862585,0.06836738,0.06619718
t_1009,-7.31302,31.3713,0.044118658,0.039850898,0.054280203,0.058899105
t_101,-5.69605,32.13514,0.017345782,0.02102882,0.013100175,0.019975796
t_1010,-7.58252,31.3713,0.07433322,0.054216646,0.09003009,0.06996568
t_1011,-7.67235,31.3713,0.07850287,0.058258925,0.089356236,0.07630218
t_1012,-7.04353,31.3713,0.03397983,0.03827402,0.04118071,0.05406986
t_1013,-7.13336,31.3713,0.041472156,0.043427985,0.052191064,0.05425942
t_1014,-7.22319,31.3713,0.044243485,0.042907234,0.05563348,0.05580221
t_1015,-7.40285,31.3713,0.057734884,0.04796616,0.0729814,0.062532246
t_1016,-7.76218,31.3713,0.099354155,0.08861234,0.1088496,0.08939374
t_1017,-7.49268,31.44796,0.05458563,0.044112474,0.06522767,0.06638959
t_1018,-7.31302,31.44796,0.04444049,0.041112978,0.05420456,0.06062043
t_1019,-7.58252,31.44796,0.061175074,0.04702389,0.07086341,0.07037783
t_102,-5.60622,32.21118,0.0146939065,0.017556833,0.010189706,0.018757591
t_1020,-7.67235,31.44796,0.078428574,0.058242552,0.08843703,0.07623049
t_1021,-7.04353,31.44796,0.042107485,0.047955476,0.05293764,0.0555187
t_1022,-7.13336,31.44796,0.037140433,0.03961715,0.045039885,0.05668885
t_1023,-7.22319,31.44796,0.040425934,0.040195804,0.049242947,0.05836452
t_1024,-7.40285,31.44796,0.049137626,0.04235008,0.059638124,0.06328743
t_1025,-7.76218,31.44796,0.10870444,0.08817058,0.117485195,0.09113002
t_1026,-7.49268,31.52457,0.06519765,0.055054136,0.08042001,0.06634784
t_1027,-7.76218,31.52457,0.11629381,0.09636031,0.124305755,0.09167409
t_1028,-7.31302,31.52457,0.046607703,0.043988317,0.056456033,0.062149104
t_1029,-7.40285,31.52457,0.05215608,0.04603697,0.06344929,0.063966386
t_103,-6.14521,32.21118,0.021161556,0.025430871,0.018989194,0.024113009
t_1030,-7.22319,31.52457,0.045751125,0.046036374,0.056015674,0.060434736
t_1031,-7.58252,31.52457,0.073615685,0.059705213,0.08841716,0.070205845
t_1032,-7.13336,31.52457,0.037987884,0.04120212,0.045330122,0.05864046
t_1033,-7.67235,31.52457,0.07400608,0.057635143,0.082361124,0.07755189
t_1034,-7.04353,31.52457,0.035061758,0.040572256,0.04169082,0.05683281
t_1035,-7.76218,31.60111,0.1052346,0.09194126,0.111423194,0.09026259
t_1036,-7.40285,31.60111,0.058284722,0.053746536,0.07137909,0.06471625
t_1037,-7.49268,31.60111,0.07050804,0.06359318,0.08761326,0.06581394
t_1038,-7.31302,31.60111,0.05798577,0.0566972,0.07117783,0.06414282
t_1039,-7.67235,31.60111,0.083851404,0.072475456,0.096972,0.074439034
t_104,-5.87572,32.21118,0.01752566,0.021251816,0.01387319,0.02130908
t_1040,-7.58252,31.60111,0.06738625,0.05738845,0.08057304,0.068307675
t_1041,-7.22319,31.60111,0.042817924,0.044244602,0.04971105,0.06316036
t_1042,-7.13336,31.60111,0.056050777,0.062909804,0.06946519,0.061081976
t_1043,-7.04353,31.60111,0.04348762,0.050996244,0.052614734,0.058376454
t_1044,-7.58252,31.67759,0.07153261,0.06759494,0.08807249,0.065234065
t_1045,-7.13336,31.67759,0.049464013,0.05471815,0.056585155,0.065167405
t_1046,-7.04353,31.67759,0.055367358,0.06781116,0.0671569,0.06043371
t_1047,-7.22319,31.67759,0.05748023,0.05998094,0.066131085,0.06826148
t_1048,-7.67235,31.67759,0.0709058,0.06957809,0.08505475,0.066120334
t_1049,-7.76218,31.67759,0.086395495,0.08365582,0.09478379,0.079413876
t_105,-5.78589,32.21118,0.01429162,0.017202286,0.010471076,0.02041837
t_1050,-7.31302,31.67759,0.05578683,0.05520849,0.06485897,0.067475244
t_1051,-7.40285,31.67759,0.0650728,0.06296475,0.07924074,0.06578334
t_1052,-7.67235,30.52384,0.06656999,0.048982777,0.088391624,0.06628805
t_1053,-7.76218,30.52384,0.08198532,0.056797285,0.11027173,0.06801091
t_1054,-7.31302,30.52384,0.058169693,0.05938817,0.07902209,0.059758473
t_1055,-7.13336,30.52384,0.036853697,0.0415685,0.046361826,0.056920398
t_1056,-7.49268,30.52384,0.05198166,0.044407386,0.06808265,0.06289171
t_1057,-7.22319,30.52384,0.055369653,0.060783714,0.07489742,0.058307383
t_1058,-7.76218,30.60119,0.071754634,0.044205654,0.09188739,0.07023534
t_1059,-7.40285,30.60119,0.059246097,0.052434735,0.07947981,0.06256896
t_106,-5.96555,32.21118,0.01907182,0.023198275,0.015837474,0.022231938
t_1060,-7.58252,30.60119,0.060054883,0.044304162,0.07810527,0.0662021
t_1061,-7.31302,30.60119,0.046128724,0.04350875,0.059585847,0.060947757
t_1062,-7.49268,30.60119,0.06980488,0.057648182,0.09472255,0.0643212
t_1063,-7.13336,30.60119,0.03900205,0.042352393,0.049072094,0.05802006
t_1064,-7.04353,30.60119,0.050472204,0.06043968,0.06644212,0.056643836
t_1065,-7.67235,30.60119,0.0686091,0.046243966,0.08946019,0.068188734
t_1066,-7.22319,30.60119,0.056382455,0.058952447,0.07574677,0.05944173
t_1067,-7.22319,30.67848,0.04490852,0.043838445,0.05708845,0.060690157
t_1068,-7.40285,30.67848,0.058686472,0.04914843,0.07752943,0.063839525
t_1069,-7.76218,30.67848,0.08436653,0.053091433,0.10798854,0.079275064
t_107,-6.05538,32.21118,0.020179484,0.024481105,0.017446408,0.02317305
t_1070,-7.31302,30.67848,0.04903781,0.04434631,0.063157,0.062176913
t_1071,-7.49268,30.67848,0.059049256,0.04486007,0.0767412,0.06571421
t_1072,-7.67235,30.67848,0.070940636,0.04424486,0.09074135,0.07009458
t_1073,-7.04353,30.67848,0.038738556,0.04316706,0.047586814,0.057969324
t_1074,-7.58252,30.67848,0.06373485,0.04407659,0.0821557,0.06780622
t_1075,-7.13336,30.67848,0.045701396,0.04808133,0.058317713,0.059314325
t_1076,-7.40285,30.75571,0.063789435,0.051344965,0.08414208,0.06506354
t_1077,-7.22319,30.75571,0.06738647,0.067235775,0.08977787,0.062134
t_1078,-7.13336,30.75571,0.044840217,0.045356523,0.0553028,0.060959212
t_1079,-7.58252,30.75571,0.07230357,0.04695784,0.09357882,0.06931816
t_108,-5.69605,32.21118,0.015853737,0.019074023,0.011549709,0.019566916
t_1080,-7.67235,30.75571,0.082073554,0.05127769,0.10525599,0.07611259
t_1081,-7.76218,30.75571,0.09531152,0.06167016,0.120891094,0.08972887
t_1082,-7.49268,30.75571,0.06301055,0.04552693,0.08146775,0.067015946
t_1083,-7.31302,30.75571,0.056320764,0.04937683,0.073187895,0.06345771
t_1084,-7.04353,30.75571,0.03999206,0.043159053,0.04765403,0.059785247
t_1085,-7.22319,30.83287,0.051536918,0.04732694,0.06369073,0.06386675
