# 2023_M6.9_Marrakesh median gmf, Stations:None, gmlt:GEM, Rupture:USGS
custom_site_id,lon,lat,AkkarEtAlRjb2014,AtkinsonBoore2006Modified2011,ChiouYoungs2014,"NRCan15SiteTerm
gmpe_name = 'PezeshkEtAl2011NEHRPBC'"
t_1045,-7.13336,31.67759,0.019216398,0.033316478,0.032678608,0.035678264
t_1046,-7.04353,31.67759,0.022986544,0.04377682,0.040947065,0.04629195
t_1047,-7.22319,31.67759,0.021790305,0.03564434,0.03779375,0.038676478
t_1048,-7.67235,31.67759,0.040452927,0.051885348,0.07379372,0.060450785
t_1049,-7.76218,31.67759,0.04354159,0.051626045,0.078355946,0.06101877
t_105,-5.78589,32.21118,0.00698374,0.012620431,0.006920937,0.011808124
t_1050,-7.31302,31.67759,0.022447681,0.034261324,0.038731083,0.0376909
t_1051,-7.40285,31.67759,0.028525092,0.04150466,0.0510047,0.04630582
t_1052,-7.67235,30.52384,0.032538936,0.03577642,0.05869394,0.042701
t_1053,-7.76218,30.52384,0.040119156,0.04149556,0.07378342,0.050392665
t_1054,-7.31302,30.52384,0.028226577,0.04320899,0.05287248,0.048134435
t_1055,-7.13336,30.52384,0.017788993,0.030172614,0.030585233,0.03262256
t_1056,-7.49268,30.52384,0.02533691,0.032391287,0.04508099,0.037317507
t_1057,-7.22319,30.52384,0.026795413,0.044164732,0.050148852,0.048446298
t_1058,-7.76218,30.60119,0.035096973,0.032237235,0.06088225,0.04007062
t_1059,-7.40285,30.60119,0.028703287,0.038061015,0.05274276,0.0436046
t_106,-5.96555,32.21118,0.009283698,0.017081654,0.010424826,0.01611707
t_1060,-7.58252,30.60119,0.029272985,0.032274652,0.05170807,0.03846033
t_1061,-7.31302,30.60119,0.022247305,0.03149616,0.039297312,0.03545228
t_1062,-7.49268,30.60119,0.033938367,0.041935828,0.06328661,0.048951
t_1063,-7.13336,30.60119,0.018617176,0.030509464,0.03225186,0.033236433
t_1064,-7.04353,30.60119,0.023995822,0.04350206,0.044188894,0.046687428
t_1065,-7.67235,30.60119,0.03350526,0.033713296,0.059292495,0.04101677
t_1066,-7.22319,30.60119,0.027051782,0.042557746,0.05042628,0.047089595
t_1067,-7.22319,30.67848,0.021238063,0.031287726,0.037384003,0.03490274
t_1068,-7.40285,30.67848,0.028259633,0.035467163,0.051211305,0.041082084
t_1069,-7.76218,30.67848,0.041230217,0.038596645,0.071559444,0.047471926
t_107,-6.05538,32.21118,0.009778756,0.018096998,0.0114145605,0.017151743
t_1070,-7.31302,30.67848,0.023420371,0.031831577,0.04150876,0.03616228
t_1071,-7.49268,30.67848,0.02860611,0.03250021,0.050711103,0.03845518
t_1072,-7.67235,30.67848,0.03459765,0.03216064,0.060058933,0.03986843
t_1073,-7.04353,30.67848,0.017986763,0.030618148,0.031009756,0.033057645
t_1074,-7.58252,30.67848,0.031000834,0.032006722,0.05434358,0.038736403
t_1075,-7.13336,30.67848,0.021396011,0.034163285,0.03812705,0.03746831
t_1076,-7.40285,30.75571,0.030458987,0.036733963,0.055493046,0.04295871
t_1077,-7.22319,30.75571,0.0311361,0.047052238,0.059470106,0.052825794
t_1078,-7.13336,30.75571,0.020321522,0.031443994,0.035672974,0.034690622
t_1079,-7.58252,30.75571,0.03507629,0.033944238,0.061914425,0.041664552
t_108,-5.69605,32.21118,0.0077528576,0.013983199,0.0076461737,0.0130318515
t_1080,-7.67235,30.75571,0.03995333,0.037101742,0.06968187,0.045725215
t_1081,-7.76218,30.75571,0.046505608,0.044596784,0.08004982,0.054516047
t_1082,-7.49268,30.75571,0.03038572,0.032795943,0.05377855,0.0392603
t_1083,-7.31302,30.75571,0.026504701,0.0349644,0.047923654,0.040038772
t_1084,-7.04353,30.75571,0.017822446,0.029815739,0.030620052,0.03235423
t_1085,-7.22319,30.83287,0.022983229,0.032058563,0.04077079,0.036210395
t_1086,-7.13336,30.83287,0.020545145,0.03112837,0.036050543,0.034506086
t_1087,-7.49268,30.83287,0.032878157,0.03405884,0.05845132,0.041169498
t_1088,-7.67235,30.83287,0.04335973,0.040964656,0.075164236,0.050271038
t_1089,-7.76218,30.83287,0.049771115,0.048557665,0.084136784,0.059073377
t_109,-6.05538,32.28716,0.009806446,0.018133327,0.011285575,0.017141357
t_1090,-7.31302,30.83287,0.033453096,0.044260804,0.06307596,0.05099955
t_1091,-7.04353,30.83287,0.020290801,0.03331571,0.03583969,0.03629804
t_1092,-7.40285,30.83287,0.029389018,0.033985574,0.052635957,0.040072836
t_1093,-7.58252,30.83287,0.03789971,0.03480656,0.06684966,0.043242093
t_1094,-7.04353,30.90998,0.02212512,0.036061946,0.039775968,0.03940474
t_1095,-7.58252,30.90998,0.038495835,0.035487533,0.06717054,0.04380754
t_1096,-7.49268,30.90998,0.034421638,0.03454149,0.061189145,0.042060528
t_1097,-7.31302,30.90998,0.031222858,0.03962175,0.05773362,0.045887876
t_1098,-7.76218,30.90998,0.056334678,0.055984076,0.095288604,0.06772011
t_1099,-7.40285,30.90998,0.02939988,0.033043858,0.0522608,0.039199557
t_11,-5.87572,32.74166,0.008120287,0.014574314,0.0075575495,0.013474126
t_110,-5.69605,32.28716,0.0063012727,0.011379918,0.0058215098,0.010585621
t_1100,-7.13336,30.90998,0.021405924,0.03195898,0.037820816,0.035549205
t_1101,-7.22319,30.90998,0.023383472,0.032024175,0.041489128,0.036320515
t_1102,-7.67235,30.90998,0.04657398,0.044605557,0.08045004,0.054547284
t_1103,-7.67235,30.98702,0.06127109,0.063093685,0.111006714,0.07658776
t_1104,-7.31302,30.98702,0.033698745,0.04273563,0.06308496,0.049630437
t_1105,-7.22319,30.98702,0.02720521,0.037281368,0.04978675,0.04237684
t_1106,-7.13336,30.98702,0.030085534,0.047026884,0.057389002,0.052398082
t_1107,-7.40285,30.98702,0.03275998,0.036522564,0.059365556,0.043468107
t_1108,-7.49268,30.98702,0.03566357,0.035133597,0.0634926,0.042969175
t_1109,-7.76218,30.98702,0.054455575,0.054564808,0.08989282,0.06594031
t_111,-5.96555,32.28716,0.009238902,0.016970614,0.010206644,0.015973777
t_1110,-7.58252,30.98702,0.041886922,0.03905546,0.07382414,0.048114184
t_1111,-7.04353,30.98702,0.022844411,0.037031196,0.04131633,0.040534258
t_1112,-7.31302,31.064,0.027906487,0.03434711,0.050218217,0.039939266
t_1113,-7.67235,31.064,0.04467717,0.043263745,0.075340696,0.052819
t_1114,-7.22319,31.064,0.025969712,0.035311405,0.047036957,0.04016767
t_1115,-7.13336,31.064,0.021869084,0.03228831,0.038754128,0.03600992
t_1116,-7.49268,31.064,0.036178578,0.03548475,0.06449988,0.04344751
t_1117,-7.40285,31.064,0.031628415,0.03498232,0.056816213,0.041680258
t_1118,-7.76218,31.064,0.052621435,0.05319943,0.08584052,0.06424503
t_1119,-7.58252,31.064,0.04015574,0.037332855,0.06994279,0.045993775
t_112,-5.78589,32.28716,0.007981407,0.014440971,0.008042641,0.013483796
t_1120,-7.04353,31.064,0.025354449,0.041623298,0.046863776,0.04558022
t_1121,-7.31302,31.14092,0.028340576,0.03515905,0.05124322,0.040824607
t_1122,-7.76218,29.90281,0.0151217375,0.028722353,0.02511969,0.030310765
t_1123,-7.67235,29.90281,0.014689996,0.028575987,0.02421711,0.0299768
t_1124,-7.58252,29.90281,0.016327277,0.03167493,0.027526498,0.033038214
t_1125,-7.22319,29.90281,0.0120911915,0.023487898,0.018678296,0.023922939
t_1126,-7.22319,29.98066,0.0128780585,0.025017709,0.020356307,0.02569147
t_1127,-7.31302,29.98066,0.019813778,0.039555978,0.03478013,0.040901843
t_1128,-7.49268,29.98066,0.019897368,0.039254688,0.035100352,0.041136824
t_1129,-7.13336,29.98066,0.01688686,0.033144295,0.028201299,0.033802632
t_113,-5.87572,32.28716,0.009220083,0.01689536,0.009906815,0.015837759
t_1130,-7.76218,29.98066,0.016328761,0.029132113,0.027603429,0.031174831
t_1131,-7.58252,29.98066,0.0152348345,0.028776333,0.025353054,0.03040432
t_1132,-7.67235,29.98066,0.015891828,0.029110327,0.026710618,0.030962639
t_1133,-7.40285,29.98066,0.016303562,0.03164282,0.027453614,0.032942265
t_1134,-7.04353,29.98066,0.01795763,0.035864267,0.030291494,0.03632616
t_1135,-7.31302,30.05844,0.014299732,0.027813455,0.023390315,0.02902549
t_1136,-7.67235,30.05844,0.017164117,0.029526453,0.02930035,0.0318479
t_1137,-7.58252,30.05844,0.016381634,0.029176502,0.027710468,0.031232439
t_1138,-7.22319,30.05844,0.013688772,0.026592933,0.022082563,0.027540816
t_1139,-7.40285,30.05844,0.015005618,0.02875386,0.024872594,0.030280331
t_114,-6.14521,32.28716,0.0084488075,0.015508901,0.009616135,0.01472586
t_1140,-7.76218,30.05844,0.017933551,0.029876145,0.03085233,0.032451008
t_1141,-7.04353,30.05844,0.01573598,0.030645866,0.025867982,0.03126161
t_1142,-7.49268,30.05844,0.015732707,0.029033747,0.026381403,0.030830894
t_1143,-7.13336,30.05844,0.012781417,0.024878442,0.020182364,0.025569938
t_1144,-7.49268,30.13616,0.016590105,0.028992977,0.028120462,0.031179855
t_1145,-7.31302,30.13616,0.015297618,0.029003438,0.025475811,0.030607892
t_1146,-7.67235,30.13616,0.018399103,0.029663742,0.03173093,0.03247465
t_1147,-7.22319,30.13616,0.014522796,0.028210951,0.023847988,0.029469818
t_1148,-7.58252,30.13616,0.017643962,0.029551039,0.03025025,0.032071244
t_1149,-7.13336,30.13616,0.015732829,0.030504346,0.026207801,0.031599775
t_115,-5.60622,32.28716,0.007531347,0.01348569,0.007040161,0.012499215
t_1150,-7.40285,30.13616,0.015977222,0.029063886,0.026883248,0.030964317
t_1151,-7.76218,30.13616,0.019082136,0.029706823,0.03303913,0.03278531
t_1152,-7.04353,30.13616,0.012752922,0.024820877,0.020120319,0.02550154
t_1153,-7.40285,30.21382,0.016979933,0.029293355,0.028915362,0.031584475
t_1154,-7.76218,30.21382,0.02386181,0.034376815,0.042924486,0.038587034
t_1155,-7.22319,30.21382,0.015294873,0.028962286,0.025470618,0.030574696
t_1156,-7.31302,30.21382,0.016386423,0.029550955,0.02772699,0.031526018
t_1157,-7.58252,30.21382,0.01944474,0.030450217,0.033850443,0.033527218
t_1158,-7.49268,30.21382,0.017928936,0.029514607,0.03080164,0.032161333
t_1159,-7.04353,30.21382,0.01483606,0.028669162,0.02436523,0.029667241
t_116,-5.96555,32.36307,0.0088960575,0.01627359,0.009581992,0.015280288
t_1160,-7.67235,30.21382,0.02028173,0.0304264,0.035425864,0.03383756
t_1161,-7.13336,30.21382,0.017436849,0.0339735,0.029842323,0.035473447
t_1162,-7.76218,30.29141,0.02331875,0.030974125,0.041070838,0.03540906
t_1163,-7.22319,30.29141,0.016340164,0.029548498,0.027631283,0.03150326
t_1164,-7.58252,30.29141,0.02098276,0.0307438,0.036794897,0.034364145
t_1165,-7.31302,30.29141,0.02313983,0.04051904,0.042173527,0.043700885
t_1166,-7.40285,30.29141,0.018403195,0.029996254,0.031779047,0.032740667
t_1167,-7.49268,30.29141,0.01966529,0.030381994,0.034257174,0.03355976
t_1168,-7.04353,30.29141,0.014227425,0.027656026,0.023230579,0.028822852
t_1169,-7.67235,30.29141,0.02531316,0.035390522,0.045853358,0.04001113
t_117,-6.05538,32.36307,0.008640444,0.015816497,0.009488366,0.014911726
t_1170,-7.13336,30.29141,0.014806877,0.028320894,0.024469852,0.029853899
t_1171,-7.04353,30.36895,0.0149653405,0.028918708,0.024777327,0.030387392
t_1172,-7.22319,30.36895,0.017249746,0.029847246,0.029487072,0.03213584
t_1173,-7.58252,30.36895,0.02284252,0.031210348,0.040298685,0.03543497
t_1174,-7.31302,30.36895,0.025214415,0.04232072,0.04665636,0.04614747
t_1175,-7.76218,30.36895,0.027837463,0.033913817,0.049961425,0.039522767
t_1176,-7.40285,30.36895,0.024273062,0.037804853,0.04426457,0.04177245
t_1177,-7.49268,30.36895,0.020625938,0.030061027,0.035974953,0.03367121
t_1178,-7.67235,30.36895,0.024853937,0.031936463,0.044097383,0.036747128
t_1179,-7.13336,30.36895,0.016185015,0.029589895,0.027311208,0.031465735
t_118,-5.69605,32.36307,0.0076646158,0.013762191,0.0073024547,0.01277698
t_1180,-7.49268,30.44642,0.024443194,0.033323903,0.04375355,0.037853748
t_1181,-7.67235,30.44642,0.029675178,0.035423554,0.053680804,0.041497897
t_1182,-7.13336,30.44642,0.018305367,0.032198217,0.031739905,0.03453112
t_1183,-7.04353,30.44642,0.01581201,0.029480426,0.026536878,0.031211741
t_1184,-7.40285,30.44642,0.021503976,0.031275053,0.037878036,0.03499411
t_1185,-7.76218,30.44642,0.029531693,0.03277612,0.052373532,0.038992133
t_1186,-7.31302,30.44642,0.02753963,0.044488322,0.05172104,0.04903891
t_1187,-7.22319,30.44642,0.0271537,0.04919358,0.05157096,0.053462006
t_1188,-7.58252,30.44642,0.0329445,0.04324584,0.061864786,0.049864404
t_1189,-7.40285,30.52384,0.031926177,0.04624249,0.060771443,0.052349217
t_119,-5.87572,32.36307,0.007607355,0.013748268,0.007673219,0.012858602
t_1190,-7.58252,30.52384,0.02759444,0.032638833,0.049065687,0.038271785
t_1191,-7.04353,30.52384,0.016792368,0.030231293,0.028566401,0.032235544
t_1192,-7.49268,29.27789,0.009597306,0.018093247,0.012618753,0.017571922
t_1193,-7.22319,29.27789,0.009996622,0.018832652,0.0128616765,0.01814296
t_1194,-7.22319,29.35622,0.008647656,0.016430032,0.01100869,0.015922716
t_1195,-7.58252,29.35622,0.0123225665,0.02364362,0.017720373,0.0231779
t_1196,-7.76218,29.35622,0.014481167,0.02831119,0.021950066,0.027876634
t_1197,-7.04353,29.35622,0.0093794465,0.017602121,0.011853938,0.016946817
t_1198,-7.40285,29.35622,0.012769367,0.024592098,0.018218834,0.023978407
t_1199,-7.13336,29.35622,0.008833912,0.016636685,0.011160203,0.016070815
t_12,-5.96555,32.74166,0.009271013,0.016899101,0.009189026,0.015670821
t_120,-5.78589,32.36307,0.008223959,0.014880591,0.008213552,0.013865335
t_1200,-7.67235,29.35622,0.016091352,0.036349464,0.025373744,0.035717126
t_1201,-7.49268,29.35622,0.013020157,0.025123091,0.018828848,0.024564665
t_1202,-7.31302,29.35622,0.01290279,0.024894632,0.018283954,0.024201363
t_1203,-7.31302,29.43449,0.014283776,0.02796179,0.021242784,0.027361413
t_1204,-7.49268,29.43449,0.011521787,0.022009715,0.016522171,0.021674642
t_1205,-7.67235,29.43449,0.0151025355,0.029648261,0.023447908,0.029357072
t_1206,-7.13336,29.43449,0.013177227,0.02550744,0.018755008,0.02478608
t_1207,-7.04353,29.43449,0.012685112,0.024437444,0.017647762,0.023659984
t_1208,-7.40285,29.43449,0.016076514,0.03665601,0.025331847,0.035986666
t_1209,-7.76218,29.43449,0.015888903,0.03161583,0.025167841,0.031377822
t_121,-5.60622,32.36307,0.0072834706,0.012991408,0.0066441963,0.01201968
t_1210,-7.58252,29.43449,0.013590709,0.026306452,0.02040942,0.02598029
t_1211,-7.22319,29.43449,0.013272868,0.025690751,0.019137256,0.025053045
t_1212,-7.40285,29.51269,0.016731143,0.037798062,0.027043581,0.037376124
t_1213,-7.31302,29.51269,0.01608488,0.035139497,0.025387505,0.03462176
t_1214,-7.67235,29.51269,0.016856633,0.034769654,0.027478255,0.03470995
t_1215,-7.22319,29.51269,0.013750361,0.026695043,0.020385666,0.026202606
t_1216,-7.13336,29.51269,0.009208015,0.017597355,0.012265828,0.017205562
t_1217,-7.49268,29.51269,0.012657713,0.02433971,0.018905332,0.024150468
t_1218,-7.76218,29.51269,0.01636584,0.032379337,0.026488852,0.032407388
t_1219,-7.04353,29.51269,0.010344303,0.019593531,0.013978204,0.019081125
t_122,-6.14521,32.36307,0.007315537,0.013495971,0.00791849,0.012777858
t_1220,-7.58252,29.51269,0.011710339,0.022412727,0.017297236,0.022309365
t_1221,-7.31302,29.59084,0.016576324,0.035308838,0.026694784,0.03503986
t_1222,-7.40285,29.59084,0.0134876,0.026054885,0.020628981,0.025960062
t_1223,-7.67235,29.59084,0.014697503,0.028553385,0.02337863,0.028752232
t_1224,-7.49268,29.59084,0.012330234,0.023670785,0.018612517,0.023674345
t_1225,-7.04353,29.59084,0.014970929,0.030730663,0.022701211,0.03010873
t_1226,-7.76218,29.59084,0.015585505,0.030433748,0.025238987,0.030734586
t_1227,-7.58252,29.59084,0.01626818,0.032070033,0.026388153,0.032188762
t_1228,-7.22319,29.59084,0.016668499,0.0376386,0.02687946,0.037196785
t_1229,-7.13336,29.59084,0.011384835,0.021729171,0.016246209,0.021382414
t_123,-5.96555,32.43891,0.007721671,0.013982507,0.007898985,0.013096552
t_1230,-7.22319,29.66892,0.017365579,0.03903384,0.028683627,0.03885074
t_1231,-7.31302,29.66892,0.0117552085,0.022506978,0.017536474,0.022504486
t_1232,-7.58252,29.66892,0.013497047,0.026033463,0.021231594,0.026360983
t_1233,-7.49268,29.66892,0.013184322,0.025402835,0.020508215,0.025620809
t_1234,-7.67235,29.66892,0.016514856,0.03238425,0.027332015,0.032911118
t_1235,-7.13336,29.66892,0.01506641,0.029551907,0.023395129,0.029275283
t_1236,-7.04353,29.66892,0.012804846,0.024646116,0.018876966,0.024299184
t_1237,-7.76218,29.66892,0.014765864,0.028619383,0.023918275,0.02917989
t_1238,-7.40285,29.66892,0.016075158,0.031608094,0.026014455,0.03174499
t_1239,-7.31302,29.74695,0.016434796,0.032360572,0.026879918,0.032613043
t_124,-5.87572,32.43891,0.008136647,0.014731202,0.0081991665,0.013746377
t_1240,-7.67235,29.74695,0.016138868,0.031443976,0.026848687,0.032269537
t_1241,-7.13336,29.74695,0.01636873,0.032493476,0.026374944,0.0324132
t_1242,-7.49268,29.74695,0.012023147,0.023350203,0.01852895,0.02375998
t_1243,-7.04353,29.74695,0.014630993,0.028536247,0.022618914,0.028317364
t_1244,-7.76218,29.74695,0.014743762,0.028514067,0.024106227,0.029370487
t_1245,-7.22319,29.74695,0.016961817,0.033878732,0.027829291,0.0339703
t_1246,-7.40285,29.74695,0.01641317,0.032214876,0.027008535,0.032626294
t_1247,-7.58252,29.74695,0.01234678,0.02400785,0.019240767,0.02453766
t_1248,-7.13336,29.82491,0.01698416,0.033759013,0.027935855,0.033917848
t_1249,-7.40285,29.82491,0.012394698,0.024077224,0.019324867,0.02459964
t_125,-6.05538,32.43891,0.0069129914,0.012660157,0.0070740106,0.011904015
t_1250,-7.04353,29.82491,0.01155276,0.02209749,0.017132405,0.022074707
t_1251,-7.76218,29.82491,0.013901778,0.027095014,0.022573939,0.028214222
t_1252,-7.67235,29.82491,0.014876209,0.028742608,0.024479624,0.029805433
t_1253,-7.58252,29.82491,0.013267569,0.025804812,0.021204595,0.026635885
t_1254,-7.31302,29.82491,0.017367272,0.034319285,0.029094094,0.034872737
t_1255,-7.22319,29.82491,0.01690656,0.03339219,0.027950456,0.033740867
t_1256,-7.49268,29.82491,0.012815473,0.024918726,0.020238342,0.025593616
t_1257,-7.40285,29.90281,0.0193757,0.038606137,0.033768043,0.03980779
t_1258,-7.49268,29.90281,0.017616544,0.03445765,0.030119361,0.035739955
t_1259,-7.31302,29.90281,0.012692637,0.024655702,0.019959833,0.025268849
t_126,-5.69605,32.43891,0.009373337,0.017104732,0.0092606405,0.015849112
t_1260,-7.13336,29.90281,0.011865993,0.02294381,0.018104194,0.023222707
t_1261,-7.04353,29.90281,0.016299203,0.03208951,0.026527978,0.03227647
t_1262,-7.49268,28.72793,0.011105244,0.023369884,0.012577156,0.021845922
t_1263,-7.13336,28.72793,0.009756179,0.018130833,0.01008416,0.016849289
t_1264,-7.31302,28.72793,0.010838935,0.022651963,0.011939888,0.021116732
t_1265,-7.40285,28.72793,0.010517782,0.02068368,0.01153829,0.019309364
t_1266,-7.67235,28.72793,0.011309258,0.023840945,0.013091937,0.022339776
t_1267,-7.04353,28.72793,0.009787804,0.018569041,0.009995812,0.017227612
t_1268,-7.58252,28.72793,0.011277208,0.023999486,0.012956976,0.022461614
t_1269,-7.76218,28.72793,0.011405331,0.02403567,0.0133404145,0.022549536
t_127,-6.14521,32.43891,0.0095862085,0.017684264,0.0108854305,0.016694898
t_1270,-7.22319,28.72793,0.009734421,0.018016223,0.01017954,0.016769659
t_1271,-7.67235,28.80668,0.0069354596,0.012819638,0.007240511,0.012069966
t_1272,-7.22319,28.80668,0.010573211,0.02068028,0.011717447,0.019330438
t_1273,-7.13336,28.80668,0.010849239,0.02246171,0.01202306,0.020958932
t_1274,-7.49268,28.80668,0.010986479,0.021641776,0.012709903,0.020323683
t_1275,-7.31302,28.80668,0.011205546,0.023484508,0.012857016,0.021988068
t_1276,-7.76218,28.80668,0.010181001,0.019043364,0.011770891,0.017952787
t_1277,-7.40285,28.80668,0.01141085,0.024190681,0.013318305,0.022684552
t_1278,-7.04353,28.80668,0.010523816,0.021225713,0.011372667,0.019769536
t_1279,-7.58252,28.80668,0.0103375465,0.019358424,0.011815514,0.018203408
t_128,-5.78589,32.43891,0.009106275,0.016588066,0.009178058,0.015423567
t_1280,-7.22319,28.88536,0.0115700085,0.024744447,0.013680559,0.023231864
t_1281,-7.13336,28.88536,0.010925046,0.021818856,0.012454675,0.02044613
t_1282,-7.49268,28.88536,0.012029464,0.025864793,0.014844298,0.024407757
t_1283,-7.31302,28.88536,0.011200075,0.022320284,0.013169355,0.02099386
t_1284,-7.76218,28.88536,0.011648136,0.022810845,0.014441169,0.021615455
t_1285,-7.67235,28.88536,0.009978497,0.018655634,0.011738764,0.017653918
t_1286,-7.40285,28.88536,0.010601903,0.019930085,0.012354727,0.018777652
t_1287,-7.04353,28.88536,0.00908322,0.016724523,0.009655469,0.015641227
t_1288,-7.58252,28.88536,0.011954996,0.025020389,0.014794963,0.023645103
t_1289,-7.04353,28.96399,0.0077098147,0.0140992105,0.008120166,0.013242872
t_129,-5.60622,32.43891,0.00760067,0.0135629885,0.0068869446,0.012525761
t_1290,-7.22319,28.96399,0.0099011855,0.018468034,0.011400589,0.017420018
t_1291,-7.58252,28.96399,0.011520381,0.021943145,0.014405916,0.020846682
t_1292,-7.13336,28.96399,0.010900014,0.020761669,0.01274462,0.019542862
t_1293,-7.31302,28.96399,0.0071531353,0.013280999,0.0077072983,0.0125521375
t_1294,-7.49268,28.96399,0.0073597734,0.013719682,0.008155922,0.013013456
t_1295,-7.76218,28.96399,0.0076200766,0.014271957,0.008726728,0.013598109
t_1296,-7.40285,28.96399,0.0081842365,0.015109324,0.0092076985,0.014306753
t_1297,-7.67235,28.96399,0.00997162,0.018687095,0.012084841,0.01777905
t_1298,-7.49268,29.04256,0.008600578,0.01599214,0.010184988,0.015251462
t_1299,-7.04353,29.04256,0.009824374,0.018313412,0.011308447,0.017278915
t_13,-5.69605,32.74166,0.006806991,0.011996875,0.005720632,0.011027383
t_130,-5.87572,32.51469,0.007531422,0.013547201,0.0073127686,0.012612286
t_1300,-7.22319,29.04256,0.01123947,0.021324286,0.013788034,0.020212894
t_1301,-7.58252,29.04256,0.00777896,0.014606336,0.009075607,0.013954161
t_1302,-7.31302,29.04256,0.012165155,0.024753705,0.015506239,0.023514368
t_1303,-7.13336,29.04256,0.011108648,0.021038912,0.013416447,0.019897241
t_1304,-7.76218,29.04256,0.008160911,0.0153146,0.009776286,0.014676385
