STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,SOIL_TYPE,PGA_VALUE,PGA_LN_SIGMA,SA(0.3)_VALUE,SA(0.3)_LN_SIGMA,SA(0.6)_VALUE,SA(0.6)_LN_SIGMA,SA(1.0)_VALUE,SA(1.0)_LN_SIGMA,VS30,VS30_TYPE,MMI_VALUE,MMI_STDDEV
PLS,PALOMBARA SABINA S.S.636,42.083556,12.762627,seismic,INGV,B (inferred from geology),0.002223929,0.0,0.0059356576759744,0.0,0.0060592861250268,0.0,0.0026000301983463,0.0,,B (inferred from geology),,
POFI,POSTA FIBRENO,41.71743,13.71202,seismic,INGV,A,0.000849024,0.0,0.0017388854194823,0.0,0.0019920681979087,0.0,0.0013824349187916,0.0,1280.0,A,,
PP3,PP3,43.37783,13.6095,seismic,INGV,C (inferred from geology),0.009149042,0.0,0.0206585089876191,0.0,0.0196110175869276,0.0,0.009940339933538,0.0,,C (inferred from geology),,
PRE,PRECI,42.879299,13.0334,seismic,INGV,B (inferred from geology),0.041833691,0.0,0.0303342978774009,0.0,0.0123671656701669,0.0,0.0092108978630106,0.0,,B (inferred from geology),,
PSC,PESCASSEROLI,41.812042,13.789196,seismic,INGV,A,0.001173904,0.0,0.0030118254934094,0.0,0.0048209335149979,0.0,0.0031505420740822,0.0,1000.0,A,,
PTI,PETRITOLI,43.066567,13.657076,seismic,INGV,C (inferred from geology),0.019850159,0.0,0.035805999213971,0.0,0.0199241260474451,0.0,0.0154608694619664,0.0,,C (inferred from geology),,
PZI1,PIZZOLI,42.4356,13.3262,seismic,INGV,B,0.099610886,0.0,0.159614297748196,0.0,0.0729680671537768,0.0,0.0503337263600347,0.0,705.0,B,,
RMCL,ROMA CLODIO,41.914001,12.4542,seismic,INGV,D (inferred from geology),0.003235624,0.0,0.0078453486020289,0.0,0.0103263983034436,0.0,0.0079390684967038,0.0,,D (inferred from geology),,
RMMM,ROMA MONTE MARIO,41.923199,12.4526,seismic,INGV,B,0.002831984,0.0,0.0052599361665329,0.0,0.0072987976588509,0.0,0.0037839797981481,0.0,433.0,B,,
RMVT,ROMA DPC VITORCHIANO,41.956001,12.4859,seismic,INGV,D (inferred from geology),0.003776663,0.0,0.008710824809631,0.0,0.0144147444942955,0.0,0.0093182560054541,0.0,,D (inferred from geology),,
RNI2,RIONERO SANNITICO,41.70328,14.1524,seismic,INGV,A (inferred from geology),0.001032196,0.0,0.0023150924093813,0.0,0.0036775364521604,0.0,0.0028590859376089,0.0,,A (inferred from geology),,
RQT,ARQUATA DEL TRONTO,42.813091,13.311026,seismic,INGV,A,0.115564133,0.0,0.1256291508472468,0.0,0.022376075524668,0.0,0.0094723078762164,0.0,805.0,A,,
SACS,SAN CASCIANO DEI BAGNI,42.84906,11.90967,seismic,INGV,B,0.001262108,0.0,0.0025690810083238,0.0,0.0028299662596914,0.0,0.002937714076324,0.0,692.0,B,,
SBT,S.BENEDETTO,42.933846,13.860366,seismic,INGV,C (inferred from geology),0.015328099,0.0,0.0493575783496634,0.0,0.024185487435398,0.0,0.0139257395290705,0.0,,C (inferred from geology),,
SCN,SCANNO,41.918655,13.872396,seismic,INGV,A,0.001579202,0.0,0.0019693102028802,0.0,0.0024690791443448,0.0,0.0021987556133799,0.0,839.0,A,,
SDM,S. DEMETRIO NEI VESTINI,42.289706,13.557652,seismic,INGV,B,0.02824157,0.0,0.0547154591621127,0.0,0.0269039894197462,0.0,0.023667271524915,0.0,752.0,B,,
SEF1,SEFRO,43.14683,12.94762,seismic,INGV,E,0.013444839,0.0,0.0329187889086204,0.0,0.0091514830760723,0.0,0.0029829114470663,0.0,485.0,E,,
SGMA,S. GIULIANO - PALAZZO MARCHESALE,41.684502,14.9644,seismic,INGV,B (inferred from geology),0.000258473,0.0,0.0007981158443442,0.0,0.0007835191122867,0.0,0.000862012532013,0.0,,B (inferred from geology),,
SGPA,S. GIULIANO - PARCO DELLA MEMORIA,41.687599,14.9629,seismic,INGV,B,0.000874655,0.0,0.0024088532178314,0.0,0.0012277996055165,0.0,0.0011324175243599,0.0,378.0,B,,
SGSC,S. GIULIANO - SCUOLA NUOVA,41.689201,14.9581,seismic,INGV,B (inferred from geology),0.000330481,0.0,0.0009412381834059,0.0,0.0011107037203458,0.0,0.0011111882363143,0.0,,B (inferred from geology),,
SIG,SIGILLO,43.330799,12.7408,seismic,INGV,C (inferred from geology),0.003321594,0.0,0.0053697979182896,0.0,0.0040143057813981,0.0,0.0030910554517577,0.0,,C (inferred from geology),,
SNAL,S. ANGELO DEI LOMBARDI,40.92542,15.20908,seismic,INGV,B,0.000198818,0.0,0.0002702399749467,0.0,0.0005244369109165,0.0,0.0004413564899353,0.0,728.0,B,,
SNG,SENIGALLIA,43.68558,13.226162,seismic,INGV,C,0.0113721239999999,0.0,0.0303800055041288,0.0,0.0260200694039733,0.0,0.0085915992527178,0.0,258.0,C,,
SNI,SANGEMINI,42.632,12.5536,seismic,INGV,B (inferred from geology),0.022036953,0.0,0.0397591517876716,0.0,0.021074319994866,0.0,0.012005791601509,0.0,,B (inferred from geology),,
SNM,SAN MARINO,43.934326,12.44929,seismic,INGV,B (inferred from geology),0.001057996,0.0,0.0013752558923988,0.0,0.0024686111987765,0.0,0.0036365341287815,0.0,,B (inferred from geology),,
SNO,SARNANO,43.03717,13.304135,seismic,INGV,B (inferred from geology),0.011947787,0.0,0.0163586329303004,0.0,0.0084651919194646,0.0,0.0041654251562438,0.0,,B (inferred from geology),,
SNS1,SANSEPOLCRO 2,43.573502,12.1312,seismic,INGV,C (inferred from geology),0.003530576,0.0,0.0052708882121933,0.0,0.0080814851476436,0.0,0.009199149084511,0.0,,C (inferred from geology),,
SNTG,ESANATOGLIA,43.255,12.94057,seismic,INGV,B (inferred from geology),0.004021102,0.0,0.00730698449187,0.0,0.0044612803441139,0.0,0.0018760128243557,0.0,,B (inferred from geology),,
SOR,SORA,41.720299,13.6136,seismic,INGV,B (inferred from geology),0.002503872,0.0,0.0068072174264674,0.0,0.0102555031716023,0.0,0.0032082341084667,0.0,,B (inferred from geology),,
SPD,SELLA PEDICATE  CAMPOTOSTO,42.515139,13.371038,seismic,INGV,B (inferred from geology),0.209370056,0.0,0.4583262502253852,0.0,0.1981556103157883,0.0,0.0780935132785587,0.0,,B (inferred from geology),,
SPM,SPOLETO  MONTELUCO,42.72324,12.751268,seismic,INGV,A (inferred from geology),0.04473753,0.0,0.0589160333128857,0.0,0.0170487017258606,0.0,0.0042484555119474,0.0,,A (inferred from geology),,
SPO1,SPOLETO 2,42.734402,12.7363,seismic,INGV,B (inferred from geology),0.022516312,0.0,0.0625085385838917,0.0,0.0340584839341333,0.0,0.0211580746746734,0.0,,B (inferred from geology),,
SSFR,MONTELAGO DI SASSOFERRATO,43.43628,12.78225,seismic,INGV,C (inferred from geology),0.00767116,0.0,0.021854141323952,0.0,0.0044643441927664,0.0,0.0023529414559507,0.0,,C (inferred from geology),,
SSO,SANSEPOLCRO OSPEDALE,43.571499,12.154,seismic,INGV,D (inferred from geology),0.001212054,0.0,0.0028563250002177,0.0,0.0027296159449191,0.0,0.0023086789656605,0.0,,D (inferred from geology),,
STF,S. SOFIA,43.908112,11.794457,seismic,INGV,B,0.0004104769999999,0.0,0.0008384675650671,0.0,0.0009218842360397,0.0,0.0013200504266409,0.0,486.0,B,,
SULP,SULMONA POLIZIA,42.085,13.9274,seismic,INGV,C,0.013752489,0.0,0.0304069776934797,0.0,0.0317750172480339,0.0,0.0205727168699125,0.0,275.0,C,,
