calc_id,description,cal_time,recording_stations,gmlt,rupture,max_distance,gmpe,imt,max_gmv,nominal_bias_mean,nominal_bias_stdev,abs_bias
2,"20150425_M7.8_Gorkha median gmf, Stations:None, gmlt:Adjusted, Rupture:Kobayashi
",29, None, Adjusted, Kobayashi,,"AbrahamsonEtAl2014
region = ""CHN""",PGA,0.6335828,,,
2,"20150425_M7.8_Gorkha median gmf, Stations:None, gmlt:Adjusted, Rupture:Kobayashi
",29, None, Adjusted, Kobayashi,,AbrahamsonEtAl2015SInter,PGA,0.70268726,,,
2,"20150425_M7.8_Gorkha median gmf, Stations:None, gmlt:Adjusted, Rupture:Kobayashi
",29, None, Adjusted, Kobayashi,,AtkinsonBoore2003SInter,PGA,0.21910532,,,
2,"20150425_M7.8_Gorkha median gmf, Stations:None, gmlt:Adjusted, Rupture:Kobayashi
",29, None, Adjusted, Kobayashi,,CauzziEtAl2014,PGA,0.62336934,,,
2,"20150425_M7.8_Gorkha median gmf, Stations:None, gmlt:Adjusted, Rupture:Kobayashi
",29, None, Adjusted, Kobayashi,,ChiouYoungs2014,PGA,0.79161394,,,
2,"20150425_M7.8_Gorkha median gmf, Stations:None, gmlt:Adjusted, Rupture:Kobayashi
",29, None, Adjusted, Kobayashi,,YoungsEtAl1997SInter,PGA,0.40048668,,,
2,"20150425_M7.8_Gorkha median gmf, Stations:None, gmlt:Adjusted, Rupture:Kobayashi
",29, None, Adjusted, Kobayashi,,ZhaoEtAl2016SInter,PGA,1.2560349,,,
3,"20150425_M7.8_Gorkha median gmf, Stations:None, gmlt:Adjusted, Rupture:Stevens
",7, None, Adjusted, Stevens,,"AbrahamsonEtAl2014
region = ""CHN""",PGA,0.6785052,,,
3,"20150425_M7.8_Gorkha median gmf, Stations:None, gmlt:Adjusted, Rupture:Stevens
",7, None, Adjusted, Stevens,,AbrahamsonEtAl2015SInter,PGA,0.71967757,,,
3,"20150425_M7.8_Gorkha median gmf, Stations:None, gmlt:Adjusted, Rupture:Stevens
",7, None, Adjusted, Stevens,,AtkinsonBoore2003SInter,PGA,0.20958818,,,
3,"20150425_M7.8_Gorkha median gmf, Stations:None, gmlt:Adjusted, Rupture:Stevens
",7, None, Adjusted, Stevens,,CauzziEtAl2014,PGA,0.671134,,,
3,"20150425_M7.8_Gorkha median gmf, Stations:None, gmlt:Adjusted, Rupture:Stevens
",7, None, Adjusted, Stevens,,ChiouYoungs2014,PGA,0.8208249,,,
3,"20150425_M7.8_Gorkha median gmf, Stations:None, gmlt:Adjusted, Rupture:Stevens
",7, None, Adjusted, Stevens,,YoungsEtAl1997SInter,PGA,0.39977688,,,
3,"20150425_M7.8_Gorkha median gmf, Stations:None, gmlt:Adjusted, Rupture:Stevens
",7, None, Adjusted, Stevens,,ZhaoEtAl2016SInter,PGA,1.2711357,,,
4,"20150425_M7.8_Gorkha median gmf, Stations:None, gmlt:Adjusted, Rupture:USGS
",6, None, Adjusted, USGS,,"AbrahamsonEtAl2014
region = ""CHN""",PGA,0.60385877,,,
4,"20150425_M7.8_Gorkha median gmf, Stations:None, gmlt:Adjusted, Rupture:USGS
",6, None, Adjusted, USGS,,AbrahamsonEtAl2015SInter,PGA,0.55903244,,,
4,"20150425_M7.8_Gorkha median gmf, Stations:None, gmlt:Adjusted, Rupture:USGS
",6, None, Adjusted, USGS,,AtkinsonBoore2003SInter,PGA,0.19547907,,,
4,"20150425_M7.8_Gorkha median gmf, Stations:None, gmlt:Adjusted, Rupture:USGS
",6, None, Adjusted, USGS,,CauzziEtAl2014,PGA,0.47333062,,,
4,"20150425_M7.8_Gorkha median gmf, Stations:None, gmlt:Adjusted, Rupture:USGS
",6, None, Adjusted, USGS,,ChiouYoungs2014,PGA,0.699747,,,
4,"20150425_M7.8_Gorkha median gmf, Stations:None, gmlt:Adjusted, Rupture:USGS
",6, None, Adjusted, USGS,,YoungsEtAl1997SInter,PGA,0.35431015,,,
4,"20150425_M7.8_Gorkha median gmf, Stations:None, gmlt:Adjusted, Rupture:USGS
",6, None, Adjusted, USGS,,ZhaoEtAl2016SInter,PGA,1.052386,,,
5,"20150425_M7.8_Gorkha median gmf, Stations:None, gmlt:Adjusted, Rupture:Yagi
",9, None, Adjusted, Yagi,,"AbrahamsonEtAl2014
region = ""CHN""",PGA,0.80402553,,,
5,"20150425_M7.8_Gorkha median gmf, Stations:None, gmlt:Adjusted, Rupture:Yagi
",9, None, Adjusted, Yagi,,AbrahamsonEtAl2015SInter,PGA,0.8828119,,,
5,"20150425_M7.8_Gorkha median gmf, Stations:None, gmlt:Adjusted, Rupture:Yagi
",9, None, Adjusted, Yagi,,AtkinsonBoore2003SInter,PGA,0.22053297,,,
5,"20150425_M7.8_Gorkha median gmf, Stations:None, gmlt:Adjusted, Rupture:Yagi
",9, None, Adjusted, Yagi,,CauzziEtAl2014,PGA,0.79176974,,,
5,"20150425_M7.8_Gorkha median gmf, Stations:None, gmlt:Adjusted, Rupture:Yagi
",9, None, Adjusted, Yagi,,ChiouYoungs2014,PGA,0.94264096,,,
5,"20150425_M7.8_Gorkha median gmf, Stations:None, gmlt:Adjusted, Rupture:Yagi
",9, None, Adjusted, Yagi,,YoungsEtAl1997SInter,PGA,0.4256694,,,
5,"20150425_M7.8_Gorkha median gmf, Stations:None, gmlt:Adjusted, Rupture:Yagi
",9, None, Adjusted, Yagi,,ZhaoEtAl2016SInter,PGA,1.4048874,,,
