STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,SOIL_TYPE,PGA_VALUE,PGA_LN_SIGMA,PGA_VALUE_1,PGA_VALUE_2,PGA_VALUE_V,VS30,VS30_TYPE 
LMOI,LMOI,10.005,-83.076,seismic,https://www.lis.ucr.ac.cr/Descargas,S2,0.026800,0,0.026800,0.018900,0.0146,555,measured 
LSQR,LSQR,10.096,-83.505,seismic,https://www.lis.ucr.ac.cr/Descargas,S2,0.018200,0,0.015500,0.018200,0.00733,555,measured 
LTAL,LTAL,9.623,-82.856,seismic,https://www.lis.ucr.ac.cr/Descargas,S4,0.039700,0,0.039700,0.034900,0.0107,180,measured 
PBNA,PBNA,9.172,-83.336,seismic,https://www.lis.ucr.ac.cr/Descargas,S3,0.036200,0,0.036200,0.029500,0.0118,265,measured 
PCDA,PCDA,9.911,-84.717,seismic,https://www.lis.ucr.ac.cr/Descargas,S3,0.221000,0,0.221000,0.201000,0.0776,265,measured 
PCNH,PCNH,8.632,-82.938,seismic,https://www.lis.ucr.ac.cr/Descargas,S3,0.015400,0,0.015400,0.013500,0.00994,265,measured 
PCNL,PCNL,8.648,-82.942,seismic,https://www.lis.ucr.ac.cr/Descargas,S1,0.013200,0,0.011900,0.013200,0.00684,760,measured 
PGOL,PGOL,8.644,-83.171,seismic,https://www.lis.ucr.ac.cr/Descargas,S2,0.004800,0,0.004800,0.004000,0.00276,555,measured 
PJAC,PJAC,9.609,-84.623,seismic,https://www.lis.ucr.ac.cr/Descargas,S3,0.157000,0,0.157000,0.132000,0.0489,265,measured 
PJMN,PJMN,8.53,-83.305,seismic,https://www.lis.ucr.ac.cr/Descargas,S3,0.020200,0,0.020200,0.019800,0.00757,265,measured 
PLRL,PLRL,8.432,-82.957,seismic,https://www.lis.ucr.ac.cr/Descargas,S3,0.020800,0,0.020100,0.020800,0.0106,265,measured 
POSA,POSA,8.979,-83.532,seismic,https://www.lis.ucr.ac.cr/Descargas,S4,0.022600,0,0.018900,0.022600,0.00869,180,measured 
PPQR,PPQR,9.82,-84.936,seismic,https://www.lis.ucr.ac.cr/Descargas,S3,0.428000,0,0.317000,0.428000,0.205,265,measured 
PPTG,PPTG,9.017,-83.174,seismic,https://www.lis.ucr.ac.cr/Descargas,S3,0.025900,0,0.019800,0.025900,0.0146,265,measured 
PPUN,PPUN,9.981,-84.81,seismic,https://www.lis.ucr.ac.cr/Descargas,S4,0.212000,0,0.212000,0.181000,0.0721,180,measured 
PQSH,PQSH,9.443,-84.137,seismic,https://www.lis.ucr.ac.cr/Descargas,S3,0.044200,0,0.044200,0.035000,0.013,265,measured 
PQUE,PQUE,9.428,-84.16,seismic,https://www.lis.ucr.ac.cr/Descargas,S3,0.042900,0,0.042900,0.034100,0.0181,265,measured 
PSVT,PSVT,8.822,-82.967,seismic,https://www.lis.ucr.ac.cr/Descargas,S3,0.017600,0,0.011400,0.017600,0.00882,265,measured 
SCCH,SCCH,9.915,-84.242,seismic,https://www.lis.ucr.ac.cr/Descargas,S3,0.117000,0,0.117000,0.094200,0.053,265,measured 
SCGH,SCGH,9.936,-84.071,seismic,https://www.lis.ucr.ac.cr/Descargas,S3,0.082300,0,0.082300,0.060600,0.0376,265,measured 
SFRA,SFRA,9.751,-84.056,seismic,https://www.lis.ucr.ac.cr/Descargas,S2,0.060100,0,0.060100,0.041600,0.0158,555,measured 
SGTS,SGTS,9.869,-84.036,seismic,https://www.lis.ucr.ac.cr/Descargas,S3,0.053700,0,0.052200,0.053700,0.0176,265,measured 
SHTH,SHTH,9.915,-84.097,seismic,https://www.lis.ucr.ac.cr/Descargas,S3,0.070100,0,0.060700,0.070100,0.0347,265,measured 
SIAC,SIAC,9.799,-84.161,seismic,https://www.lis.ucr.ac.cr/Descargas,S3,0.088700,0,0.088700,0.072700,0.0508,265,measured 
SISD,SISD,9.372,-83.703,seismic,https://www.lis.ucr.ac.cr/Descargas,S2,0.027500,0,0.025200,0.027500,0.0101,555,measured 
SISH,SISH,9.37,-83.705,seismic,https://www.lis.ucr.ac.cr/Descargas,S2,0.026600,0,0.018500,0.026600,0.0122,555,measured 
SJUD,SJUD,9.934,-84.184,seismic,https://www.lis.ucr.ac.cr/Descargas,S1,0.053200,0,0.053200,0.034200,0.0318,760,measured 
SMSO,SMSO,9.915,-84.069,seismic,https://www.lis.ucr.ac.cr/Descargas,S1,0.051000,0,0.051000,0.040300,0.0318,760,measured 
SSBN,SSBN,9.943,-84.113,seismic,https://www.lis.ucr.ac.cr/Descargas,S3,0.082900,0,0.082900,0.076300,0.0395,265,measured 
SSMD,SSMD,9.649,-83.972,seismic,https://www.lis.ucr.ac.cr/Descargas,S3,0.031700,0,0.027700,0.031700,0.0155,265,measured 
STRN,STRN,9.933,-84.077,seismic,https://www.lis.ucr.ac.cr/Descargas,S3,0.085100,0,0.085100,0.067600,0.0471,265,measured 
