STATION_NAME,STATION_ID,LATITUDE,LONGITUDE,PGA_VALUE_1,PGA_VALUE_2,PGA_VALUE,PGA_LN_SIGMA,STATION_TYPE,REFERENCES,VS30,MMI_VALUE,MMI_STDDEV,PGV_LN_SIGMA,PGV_VALUE,SA(0.3)_LN_SIGMA,SA(0.3)_VALUE,SA(1.0)_LN_SIGMA,SA(1.0)_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE,VS30_TYPE
UTM:(45R 057 294 10000),UTM:(45R 057 294 10000),26.6239,87.7535,,,0.162185,0.8059,macroseismic,Stations_USGS,277.99,6.6,0.3,0.875,19.1548,1.0131,0.358894,1.0822,0.299525,1.4737,0.060735,inferred
UTM:(45R 062 299 10000),UTM:(45R 062 299 10000),27.0716,88.2606,,,0.088226,0.8059,macroseismic,Stations_USGS,900,5.4,0.3,0.875,7.9897,1.0131,0.197973,1.0822,0.10615,1.4737,0.022061,inferred
UTM:(45R 073 303 10000),UTM:(45R 073 303 10000),27.4181,89.3771,,,0.087759,0.8059,macroseismic,Stations_USGS,900,5.6,0.3,0.875,9.2432,1.0131,0.206675,1.0822,0.134718,1.4737,0.028104,inferred
UTM:(45R 074 291 10000),UTM:(45R 074 291 10000),26.334,89.4547,,,0.082105,0.8059,macroseismic,Stations_USGS,195.85,5.7,0.3,0.875,9.9419,1.0131,0.204187,1.0822,0.157835,1.4737,0.033146,inferred
UTM:(45R 052 292 10000),UTM:(45R 052 292 10000),26.4451,87.2508,,,0.05243,0.8059,macroseismic,Stations_USGS,224.17,4.9,0.3,0.875,5.5501,1.0131,0.099963,1.0822,0.081135,1.4737,0.017375,inferred
UTM:(45R 098 289 10000),UTM:(45R 098 289 10000),26.0928,91.8465,,,0.047012,0.8059,macroseismic,Stations_USGS,760,5,0.3,0.875,5.9697,1.0131,0.091875,1.0822,0.097565,1.4737,0.021099,inferred
UTM:(45R 035 305 10000),UTM:(45R 035 305 10000),27.6112,85.5306,,,0.046564,0.8059,macroseismic,Stations_USGS,527.35,4.9,0.3,0.875,5.5501,1.0131,0.085799,1.0822,0.087256,1.4737,0.018851,inferred
UTM:(45R 097 290 10000),UTM:(45R 097 290 10000),26.1862,91.7505,,,0.044175,0.8059,macroseismic,Stations_USGS,760,4.9,0.3,0.875,5.5501,1.0131,0.080173,1.0822,0.090118,1.4737,0.019545,inferred
UTM:(45R 033 306 10000),UTM:(45R 033 306 10000),27.6992,85.3266,,,0.037581,0.8059,macroseismic,Stations_USGS,312.68,4.6,0.3,0.875,4.4603,1.0131,0.055539,1.0822,0.069623,1.4737,0.015196,inferred
UTM:(45R 034 306 10000),UTM:(45R 034 306 10000),27.7004,85.428,,,0.028605,0.8059,macroseismic,Stations_USGS,356.27,4.4,0.3,0.875,3.8555,1.0131,0.042847,1.0822,0.059033,1.4737,0.01295,inferred
UTM:(45R 020 312 10000),UTM:(45R 020 312 10000),28.2179,83.9944,,,0.022279,0.8059,macroseismic,Stations_USGS,760,4.3,0.3,0.875,3.5845,1.0131,0.0354,1.0822,0.055965,1.4737,0.012351,inferred
UTM:(45R 032 258 10000),UTM:(45R 032 258 10000),23.3653,85.2879,,,0.022279,0.8059,macroseismic,Stations_USGS,760,4.3,0.3,0.875,3.5845,1.0131,0.0354,1.0822,0.055965,1.4737,0.012351,inferred
UTM:(45R 064 250 10000),UTM:(45R 064 250 10000),22.6458,88.4111,,,0.022279,0.8059,macroseismic,Stations_USGS,760,4.3,0.3,0.875,3.5845,1.0131,0.0354,1.0822,0.055965,1.4737,0.012351,inferred
UTM:(45R 031 283 10000),UTM:(45R 031 283 10000),25.621,85.1575,,,0.022279,0.8059,macroseismic,Stations_USGS,760,4.3,0.3,0.875,3.5845,1.0131,0.0354,1.0822,0.055965,1.4737,0.012351,inferred
UTM:(45R 033 289 10000),UTM:(45R 033 289 10000),26.1649,85.3492,,,0.022279,0.8059,macroseismic,Stations_USGS,236.43,4.3,0.3,0.875,3.5845,1.0131,0.0354,1.0822,0.055965,1.4737,0.012351,inferred
UTM:(45R 098 283 10000),UTM:(45R 098 283 10000),25.5529,91.8245,,,0.016553,0.8059,macroseismic,Stations_USGS,760,4.1,0.3,0.875,2.8206,1.0131,0.026956,1.0822,0.047747,1.4737,0.010599,inferred
UTM:(45R 064 251 10000),UTM:(45R 064 251 10000),22.7361,88.412,,,0.016553,0.8059,macroseismic,Stations_USGS,760,4.1,0.3,0.875,2.8206,1.0131,0.026956,1.0822,0.047747,1.4737,0.010599,inferred
UTM:(45R 063 249 10000),UTM:(45R 063 249 10000),22.5564,88.313,,,0.016553,0.8059,macroseismic,Stations_USGS,760,4.1,0.3,0.875,2.8206,1.0131,0.026956,1.0822,0.047747,1.4737,0.010599,inferred
UTM:(45R 115 301 10000),UTM:(45R 115 301 10000),27.1023,93.5992,,,0.016553,0.8059,macroseismic,Stations_USGS,760,4.1,0.3,0.875,2.8206,1.0131,0.026956,1.0822,0.047747,1.4737,0.010599,inferred
UTM:(45R 099 247 10000),UTM:(45R 099 247 10000),22.3098,91.8021,,,0.014268,0.8059,macroseismic,Stations_USGS,760,,,0.875,2.4116,1.0131,0.023522,1.0822,0.042403,1.4737,0.009627,inferred
UTM:(45R 106 292 10000),UTM:(45R 106 292 10000),26.3334,92.656,,,0.014268,0.8059,macroseismic,Stations_USGS,760,4,0.3,0.875,2.4116,1.0131,0.023522,1.0822,0.042403,1.4737,0.009627,inferred
UTM:(45R 081 245 10000),UTM:(45R 081 245 10000),22.1717,90.0544,,,,,macroseismic,Stations_USGS,760,3.9,0.3,,,,,,,,,inferred
UTM:(45R 001 297 10000),UTM:(45R 001 297 10000),26.8126,82.1232,,,,,macroseismic,Stations_USGS,760,3.4,0.3,,,,,,,,,inferred
UTM:(45R 093 264 10000),UTM:(45R 093 264 10000),23.8574,91.2695,,,,,macroseismic,Stations_USGS,760,2.7,0.3,,,,,,,,,inferred
UTM:(45R 024 306 10000),UTM:(45R 024 306 10000),27.6852,84.4145,,,,,macroseismic,Stations_USGS,760,3.6,0.3,,,,,,,,,inferred
UTM:(45R 082 282 10000),UTM:(45R 082 282 10000),25.5066,90.233,,,,,macroseismic,Stations_USGS,900,3.9,0.3,,,,,,,,,inferred
UTM:(45R 066 269 10000),UTM:(45R 066 269 10000),24.3595,88.6267,,,,,macroseismic,Stations_USGS,760,3.6,0.3,,,,,,,,,inferred
UTM:(45R 108 275 10000),UTM:(45R 108 275 10000),24.7981,92.7815,,,,,macroseismic,Stations_USGS,760,3.1,0.3,,,,,,,,,inferred
UTM:(45R 063 250 10000),UTM:(45R 063 250 10000),22.6467,88.3139,,,,,macroseismic,Stations_USGS,760,3.6,0.3,,,,,,,,,inferred
